,Nombre_Mostrar,Provincia,Población,Puntuación,Factor,PuntuaciónFinal,SumaMunicipiosCercanos,PuntuaciónExtendida
0,Alcolea,Cordoba,831,39.12,1,39.12,0,39.12
1,Los Blázquez,Cordoba,635,34.26,1,34.26,0,34.26
2,Adamuz (E. singular Algallarín),Cordoba,576,30.94,0.14,30.94,0,30.94
3,El Guijo,Cordoba,344,27.73,1,27.73,0,27.73
4,Córdoba (Núcleo Los Mochos),Cordoba,1006,27.21,0,27.21,0,27.21
5,Castro del Río (E. singular Llano del Espinar),Cordoba,433,25.75,0.06,25.75,0,25.75
6,Conquista,Cordoba,371,25.43,1,25.43,0,25.43
7,Obejo (E. singular Obejo),Cordoba,412,24.31,0.2,24.31,0,24.31
8,Iznájar (E. singular El Higueral),Cordoba,278,23.86,0.07,23.86,0,23.86
