,Nombre_Mostrar,Provincia,Población,Puntuación,Factor,PuntuaciónFinal,SumaMunicipiosCercanos,PuntuaciónExtendida
0,Castilleja del Campo,Sevilla,607,31.26,1,31.26,0,31.26
1,Alcalá del Río (E. singular San Ignacio del Viar),Sevilla,672,26.85,0.05,26.85,0,26.85
2,Villanueva del Río y Minas (E. singular Villanueva del Río),Sevilla,528,26.41,0.1,26.41,0,26.41
3,Lora del Río (E. singular Setefilla),Sevilla,512,24.43,0.03,24.43,0,24.43
4,La Rinconada (Núcleo Urbanización Nueva Jarilla),Sevilla,486,23.34,0.01,23.34,0,23.34
