Territorio;Anual;Medida;Sexo;Edad;Valor;
Andalucía;2016;Demandantes;Hombres;De 16 a 29 años;92354,999999;
Andalucía;2016;Demandantes;Hombres;De 30 a 44 años;136814,58333251;
Andalucía;2016;Demandantes;Hombres;De 45 a 64 años;190777,66666569;
Andalucía;2016;Demandantes;Hombres;TOTAL;419947,2499972;
Andalucía;2016;Demandantes;Mujeres;De 16 a 29 años;104723,99999907;
Andalucía;2016;Demandantes;Mujeres;De 30 a 44 años;193401,24999954;
Andalucía;2016;Demandantes;Mujeres;De 45 a 64 años;216945,74999956;
Andalucía;2016;Demandantes;Mujeres;TOTAL;515070,99999817;
Andalucía;2016;Demandantes;Ambos sexos;De 16 a 29 años;197078,99999807;
Andalucía;2016;Demandantes;Ambos sexos;De 30 a 44 años;330215,83333205;
Andalucía;2016;Demandantes;Ambos sexos;De 45 a 64 años;407723,41666525;
Andalucía;2016;Demandantes;Ambos sexos;TOTAL;935018,24999537;
Andalucía;2017;Demandantes;Hombres;De 16 a 29 años;75625,49999929;
Andalucía;2017;Demandantes;Hombres;De 30 a 44 años;114615,58333166;
Andalucía;2017;Demandantes;Hombres;De 45 a 64 años;174807,74999935;
Andalucía;2017;Demandantes;Hombres;TOTAL;365048,8333303;
Andalucía;2017;Demandantes;Mujeres;De 16 a 29 años;90626,24999926;
Andalucía;2017;Demandantes;Mujeres;De 30 a 44 años;178824,99999935;
Andalucía;2017;Demandantes;Mujeres;De 45 a 64 años;214960,24999932;
Andalucía;2017;Demandantes;Mujeres;TOTAL;484411,49999793;
Andalucía;2017;Demandantes;Ambos sexos;De 16 a 29 años;166251,74999855;
Andalucía;2017;Demandantes;Ambos sexos;De 30 a 44 años;293440,58333101;
Andalucía;2017;Demandantes;Ambos sexos;De 45 a 64 años;389767,99999867;
Andalucía;2017;Demandantes;Ambos sexos;TOTAL;849460,33332823;
Andalucía;2018;Demandantes;Hombres;De 16 a 29 años;69340,49999842;
Andalucía;2018;Demandantes;Hombres;De 30 a 44 años;102972,58333136;
Andalucía;2018;Demandantes;Hombres;De 45 a 64 años;163787,33333248;
Andalucía;2018;Demandantes;Hombres;TOTAL;336100,41666226;
Andalucía;2018;Demandantes;Mujeres;De 16 a 29 años;85709,16666631;
Andalucía;2018;Demandantes;Mujeres;De 30 a 44 años;171429,74999944;
Andalucía;2018;Demandantes;Mujeres;De 45 a 64 años;216603,58333274;
Andalucía;2018;Demandantes;Mujeres;TOTAL;473742,49999849;
Andalucía;2018;Demandantes;Ambos sexos;De 16 a 29 años;155049,66666473;
Andalucía;2018;Demandantes;Ambos sexos;De 30 a 44 años;274402,3333308;
Andalucía;2018;Demandantes;Ambos sexos;De 45 a 64 años;380390,91666522;
Andalucía;2018;Demandantes;Ambos sexos;TOTAL;809842,91666075;
Almería;2016;Demandantes;Hombres;De 16 a 29 años;6170,9166667;
Almería;2016;Demandantes;Hombres;De 30 a 44 años;10847,58333318;
Almería;2016;Demandantes;Hombres;De 45 a 64 años;14702,16666644;
Almería;2016;Demandantes;Hombres;TOTAL;31720,66666632;
Almería;2016;Demandantes;Mujeres;De 16 a 29 años;7611,41666661;
Almería;2016;Demandantes;Mujeres;De 30 a 44 años;14852,16666665;
Almería;2016;Demandantes;Mujeres;De 45 a 64 años;14606,16666676;
Almería;2016;Demandantes;Mujeres;TOTAL;37069,75000002;
Almería;2016;Demandantes;Ambos sexos;De 16 a 29 años;13782,33333331;
Almería;2016;Demandantes;Ambos sexos;De 30 a 44 años;25699,74999983;
Almería;2016;Demandantes;Ambos sexos;De 45 a 64 años;29308,3333332;
Almería;2016;Demandantes;Ambos sexos;TOTAL;68790,41666634;
Almería;2017;Demandantes;Hombres;De 16 a 29 años;5136,58333326;
Almería;2017;Demandantes;Hombres;De 30 a 44 años;9248,33333296;
Almería;2017;Demandantes;Hombres;De 45 a 64 años;13384,99999987;
Almería;2017;Demandantes;Hombres;TOTAL;27769,91666609;
Almería;2017;Demandantes;Mujeres;De 16 a 29 años;6774,91666643;
Almería;2017;Demandantes;Mujeres;De 30 a 44 años;13781,74999993;
Almería;2017;Demandantes;Mujeres;De 45 a 64 años;14506,74999988;
Almería;2017;Demandantes;Mujeres;TOTAL;35063,41666624;
Almería;2017;Demandantes;Ambos sexos;De 16 a 29 años;11911,49999969;
Almería;2017;Demandantes;Ambos sexos;De 30 a 44 años;23030,08333289;
Almería;2017;Demandantes;Ambos sexos;De 45 a 64 años;27891,74999975;
Almería;2017;Demandantes;Ambos sexos;TOTAL;62833,33333233;
Almería;2018;Demandantes;Hombres;De 16 a 29 años;4881,83333309;
Almería;2018;Demandantes;Hombres;De 30 a 44 años;8306,91666653;
Almería;2018;Demandantes;Hombres;De 45 a 64 años;12532,41666663;
Almería;2018;Demandantes;Hombres;TOTAL;25721,16666625;
Almería;2018;Demandantes;Mujeres;De 16 a 29 años;6471,83333339;
Almería;2018;Demandantes;Mujeres;De 30 a 44 años;13201,74999996;
Almería;2018;Demandantes;Mujeres;De 45 a 64 años;14475,83333336;
Almería;2018;Demandantes;Mujeres;TOTAL;34149,41666671;
Almería;2018;Demandantes;Ambos sexos;De 16 a 29 años;11353,66666648;
Almería;2018;Demandantes;Ambos sexos;De 30 a 44 años;21508,66666649;
Almería;2018;Demandantes;Ambos sexos;De 45 a 64 años;27008,24999999;
Almería;2018;Demandantes;Ambos sexos;TOTAL;59870,58333296;
Abla;2016;Demandantes;Hombres;De 16 a 29 años;10,41666667;
Abla;2016;Demandantes;Hombres;De 30 a 44 años;13,41666665;
Abla;2016;Demandantes;Hombres;De 45 a 64 años;32,74999999;
Abla;2016;Demandantes;Hombres;TOTAL;56,58333331;
Abla;2016;Demandantes;Mujeres;De 16 a 29 años;8,91666667;
Abla;2016;Demandantes;Mujeres;De 30 a 44 años;20,08333333;
Abla;2016;Demandantes;Mujeres;De 45 a 64 años;9,83333333;
Abla;2016;Demandantes;Mujeres;TOTAL;38,83333333;
Abla;2016;Demandantes;Ambos sexos;De 16 a 29 años;19,33333334;
