Lugar de residencia;Anual;Sexo;Medida;Valor;
Abla;1999;Mujeres;Crecimiento vegetativo;-5;
Abla;2000;Ambos sexos;Crecimiento vegetativo;7;
Abla;2000;Hombres;Crecimiento vegetativo;9;
Abla;2000;Mujeres;Crecimiento vegetativo;-2;
Abla;2001;Ambos sexos;Crecimiento vegetativo;-6;
Abla;2001;Hombres;Crecimiento vegetativo;-1;
Abla;2001;Mujeres;Crecimiento vegetativo;-5;
Abla;2002;Ambos sexos;Crecimiento vegetativo;-20;
Abla;2002;Hombres;Crecimiento vegetativo;-10;
Abla;2002;Mujeres;Crecimiento vegetativo;-10;
Abla;2003;Ambos sexos;Crecimiento vegetativo;-6;
Abla;2003;Hombres;Crecimiento vegetativo;-1;
Abla;2003;Mujeres;Crecimiento vegetativo;-5;
Abla;2004;Ambos sexos;Crecimiento vegetativo;-9;
Abla;2004;Hombres;Crecimiento vegetativo;-7;
Abla;2004;Mujeres;Crecimiento vegetativo;-2;
Abla;2005;Ambos sexos;Crecimiento vegetativo;-9;
Abla;2005;Hombres;Crecimiento vegetativo;-4;
Abla;2005;Mujeres;Crecimiento vegetativo;-5;
Abla;2006;Ambos sexos;Crecimiento vegetativo;-7;
Abla;2006;Hombres;Crecimiento vegetativo;-2;
Abla;2006;Mujeres;Crecimiento vegetativo;-5;
Abla;2007;Ambos sexos;Crecimiento vegetativo;-11;
Abla;2007;Hombres;Crecimiento vegetativo;-3;
Abla;2007;Mujeres;Crecimiento vegetativo;-8;
Abla;2008;Ambos sexos;Crecimiento vegetativo;-3;
Abla;2008;Hombres;Crecimiento vegetativo;0;
Abla;2008;Mujeres;Crecimiento vegetativo;-3;
Abla;2009;Ambos sexos;Crecimiento vegetativo;-6;
Abla;2009;Hombres;Crecimiento vegetativo;-1;
Abla;2009;Mujeres;Crecimiento vegetativo;-5;
Abla;2010;Ambos sexos;Crecimiento vegetativo;-12;
Abla;2010;Hombres;Crecimiento vegetativo;-7;
Abla;2010;Mujeres;Crecimiento vegetativo;-5;
Abla;2011;Ambos sexos;Crecimiento vegetativo;-8;
Abla;2011;Hombres;Crecimiento vegetativo;-7;
Abla;2011;Mujeres;Crecimiento vegetativo;-1;
Abla;2012;Ambos sexos;Crecimiento vegetativo;1;
Abla;2012;Hombres;Crecimiento vegetativo;1;
Abla;2012;Mujeres;Crecimiento vegetativo;0;
Abla;2013;Ambos sexos;Crecimiento vegetativo;-16;
Abla;2013;Hombres;Crecimiento vegetativo;-9;
Abla;2013;Mujeres;Crecimiento vegetativo;-7;
Abla;2014;Ambos sexos;Crecimiento vegetativo;-5;
Abla;2014;Hombres;Crecimiento vegetativo;-4;
Abla;2014;Mujeres;Crecimiento vegetativo;-1;
Abla;2015;Ambos sexos;Crecimiento vegetativo;-10;
Abla;2015;Hombres;Crecimiento vegetativo;-5;
Abla;2015;Mujeres;Crecimiento vegetativo;-5;
Abla;2016;Ambos sexos;Crecimiento vegetativo;-15;
Abla;2016;Hombres;Crecimiento vegetativo;-5;
Abla;2016;Mujeres;Crecimiento vegetativo;-10;
Abla;2017;Ambos sexos;Crecimiento vegetativo;-5;
Abla;2017;Hombres;Crecimiento vegetativo;-3;
Abla;2017;Mujeres;Crecimiento vegetativo;-2;
Abla;2018;Ambos sexos;Crecimiento vegetativo;-14;
Abla;2018;Hombres;Crecimiento vegetativo;-10;
Abla;2018;Mujeres;Crecimiento vegetativo;-4;
Abla;2019;Ambos sexos;Crecimiento vegetativo;-5;
Abla;2019;Hombres;Crecimiento vegetativo;-2;
Abla;2019;Mujeres;Crecimiento vegetativo;-3;
Abla;2020;Ambos sexos;Crecimiento vegetativo;-2;
Abla;2020;Hombres;Crecimiento vegetativo;2;
Abla;2020;Mujeres;Crecimiento vegetativo;-4;
Abla;2021;Ambos sexos;Crecimiento vegetativo;-25;
Abla;2021;Hombres;Crecimiento vegetativo;-17;
Abla;2021;Mujeres;Crecimiento vegetativo;-8;
Abla;2022;Ambos sexos;Crecimiento vegetativo;-4;
Abla;2022;Hombres;Crecimiento vegetativo;-2;
Abla;2022;Mujeres;Crecimiento vegetativo;-2;
Abla;2023;Ambos sexos;Crecimiento vegetativo;-17;
Abla;2023;Hombres;Crecimiento vegetativo;-13;
Abla;2023;Mujeres;Crecimiento vegetativo;-4;
Abrucena;1996;Ambos sexos;Crecimiento vegetativo;-4;
Abrucena;1996;Hombres;Crecimiento vegetativo;-1;
Abrucena;1996;Mujeres;Crecimiento vegetativo;-3;
Abrucena;1997;Ambos sexos;Crecimiento vegetativo;-4;
Abrucena;1997;Hombres;Crecimiento vegetativo;-6;
Abrucena;1997;Mujeres;Crecimiento vegetativo;2;
