Territorio;Anual;Medida;Sexo;Edad;Valor;
Andalucía;2022;Demandantes;Hombres;De 16 a 29 años;60475,16666564;
Andalucía;2022;Demandantes;Hombres;De 30 a 44 años;89055,66666436;
Andalucía;2022;Demandantes;Hombres;De 45 a 64 años;161244,24999849;
Andalucía;2022;Demandantes;Hombres;TOTAL;310775,08332849;
Andalucía;2022;Demandantes;Mujeres;De 16 a 29 años;71666,83333202;
Andalucía;2022;Demandantes;Mujeres;De 30 a 44 años;152838,99999959;
Andalucía;2022;Demandantes;Mujeres;De 45 a 64 años;238117,91666581;
Andalucía;2022;Demandantes;Mujeres;TOTAL;462623,74999742;
Andalucía;2022;Demandantes;Ambos sexos;De 16 a 29 años;132141,99999766;
Andalucía;2022;Demandantes;Ambos sexos;De 30 a 44 años;241894,66666395;
Andalucía;2022;Demandantes;Ambos sexos;De 45 a 64 años;399362,1666643;
Andalucía;2022;Demandantes;Ambos sexos;TOTAL;773398,83332591;
Andalucía;2023;Demandantes;Hombres;De 16 a 29 años;54275,83333104;
Andalucía;2023;Demandantes;Hombres;De 30 a 44 años;75960,08333231;
Andalucía;2023;Demandantes;Hombres;De 45 a 64 años;147970,74999937;
Andalucía;2023;Demandantes;Hombres;TOTAL;278206,66666272;
Andalucía;2023;Demandantes;Mujeres;De 16 a 29 años;63711,6666652;
Andalucía;2023;Demandantes;Mujeres;De 30 a 44 años;137961,74999942;
Andalucía;2023;Demandantes;Mujeres;De 45 a 64 años;235039,83333327;
Andalucía;2023;Demandantes;Mujeres;TOTAL;436713,24999789;
Andalucía;2023;Demandantes;Ambos sexos;De 16 a 29 años;117987,49999624;
Andalucía;2023;Demandantes;Ambos sexos;De 30 a 44 años;213921,83333173;
Andalucía;2023;Demandantes;Ambos sexos;De 45 a 64 años;383010,58333264;
Andalucía;2023;Demandantes;Ambos sexos;TOTAL;714919,91666061;
Andalucía;2024;Demandantes;Hombres;De 16 a 29 años;49174,83333132;
Andalucía;2024;Demandantes;Hombres;De 30 a 44 años;68720,74999841;
Andalucía;2024;Demandantes;Hombres;De 45 a 64 años;139262,08333191;
Andalucía;2024;Demandantes;Hombres;TOTAL;257157,66666164;
Andalucía;2024;Demandantes;Mujeres;De 16 a 29 años;56951,333332;
Andalucía;2024;Demandantes;Mujeres;De 30 a 44 años;123722,16666568;
Andalucía;2024;Demandantes;Mujeres;De 45 a 64 años;227325,33333266;
Andalucía;2024;Demandantes;Mujeres;TOTAL;407998,83333034;
Andalucía;2024;Demandantes;Ambos sexos;De 16 a 29 años;106126,16666332;
Andalucía;2024;Demandantes;Ambos sexos;De 30 a 44 años;192442,91666409;
Andalucía;2024;Demandantes;Ambos sexos;De 45 a 64 años;366587,41666457;
Andalucía;2024;Demandantes;Ambos sexos;TOTAL;665156,49999198;
Almería;2022;Demandantes;Hombres;De 16 a 29 años;4486,83333312;
Almería;2022;Demandantes;Hombres;De 30 a 44 años;7416,24999981;
Almería;2022;Demandantes;Hombres;De 45 a 64 años;12544,66666644;
Almería;2022;Demandantes;Hombres;TOTAL;24447,74999937;
Almería;2022;Demandantes;Mujeres;De 16 a 29 años;5810,7499998;
Almería;2022;Demandantes;Mujeres;De 30 a 44 años;12492,24999987;
Almería;2022;Demandantes;Mujeres;De 45 a 64 años;16395,33333318;
Almería;2022;Demandantes;Mujeres;TOTAL;34698,33333285;
Almería;2022;Demandantes;Ambos sexos;De 16 a 29 años;10297,58333292;
Almería;2022;Demandantes;Ambos sexos;De 30 a 44 años;19908,49999968;
Almería;2022;Demandantes;Ambos sexos;De 45 a 64 años;28939,99999962;
Almería;2022;Demandantes;Ambos sexos;TOTAL;59146,08333222;
Almería;2023;Demandantes;Hombres;De 16 a 29 años;4101,41666643;
Almería;2023;Demandantes;Hombres;De 30 a 44 años;6200,83333326;
Almería;2023;Demandantes;Hombres;De 45 a 64 años;11529,08333332;
Almería;2023;Demandantes;Hombres;TOTAL;21831,33333301;
Almería;2023;Demandantes;Mujeres;De 16 a 29 años;4937,6666667;
Almería;2023;Demandantes;Mujeres;De 30 a 44 años;10824,83333327;
