Territorio;Anual;Medida;Sexo;Edad;Valor;
Andalucía;2013;Demandantes;Hombres;De 16 a 29 años;119529,24999881;
Andalucía;2013;Demandantes;Hombres;De 30 a 44 años;201127,99999862;
Andalucía;2013;Demandantes;Hombres;De 45 a 64 años;204394,08333236;
Andalucía;2013;Demandantes;Hombres;TOTAL;525051,33332979;
Andalucía;2013;Demandantes;Mujeres;De 16 a 29 años;123035,66666575;
Andalucía;2013;Demandantes;Mujeres;De 30 a 44 años;222530,49999981;
Andalucía;2013;Demandantes;Mujeres;De 45 a 64 años;206249,49999949;
Andalucía;2013;Demandantes;Mujeres;TOTAL;551815,66666505;
Andalucía;2013;Demandantes;Ambos sexos;De 16 a 29 años;242564,91666456;
Andalucía;2013;Demandantes;Ambos sexos;De 30 a 44 años;423658,49999843;
Andalucía;2013;Demandantes;Ambos sexos;De 45 a 64 años;410643,58333185;
Andalucía;2013;Demandantes;Ambos sexos;TOTAL;1076866,99999484;
Andalucía;2014;Demandantes;Hombres;De 16 a 29 años;111554,08333221;
Andalucía;2014;Demandantes;Hombres;De 30 a 44 años;178504,08333172;
Andalucía;2014;Demandantes;Hombres;De 45 a 64 años;204297,24999945;
Andalucía;2014;Demandantes;Hombres;TOTAL;494355,41666338;
Andalucía;2014;Demandantes;Mujeres;De 16 a 29 años;119126,3333325;
Andalucía;2014;Demandantes;Mujeres;De 30 a 44 años;214583,16666516;
Andalucía;2014;Demandantes;Mujeres;De 45 a 64 años;211641,91666579;
Andalucía;2014;Demandantes;Mujeres;TOTAL;545351,41666345;
Andalucía;2014;Demandantes;Ambos sexos;De 16 a 29 años;230680,41666471;
Andalucía;2014;Demandantes;Ambos sexos;De 30 a 44 años;393087,24999688;
Andalucía;2014;Demandantes;Ambos sexos;De 45 a 64 años;415939,16666524;
Andalucía;2014;Demandantes;Ambos sexos;TOTAL;1039706,83332683;
Andalucía;2015;Demandantes;Hombres;De 16 a 29 años;106583,91666595;
Andalucía;2015;Demandantes;Hombres;De 30 a 44 años;158240,24999899;
Andalucía;2015;Demandantes;Hombres;De 45 a 64 años;198703,16666572;
Andalucía;2015;Demandantes;Hombres;TOTAL;463527,33333066;
Andalucía;2015;Demandantes;Mujeres;De 16 a 29 años;116405,74999855;
Andalucía;2015;Demandantes;Mujeres;De 30 a 44 años;207414,41666589;
Andalucía;2015;Demandantes;Mujeres;De 45 a 64 años;217144,74999929;
Andalucía;2015;Demandantes;Mujeres;TOTAL;540964,91666373;
Andalucía;2015;Demandantes;Ambos sexos;De 16 a 29 años;222989,6666645;
Andalucía;2015;Demandantes;Ambos sexos;De 30 a 44 años;365654,66666488;
Andalucía;2015;Demandantes;Ambos sexos;De 45 a 64 años;415847,91666501;
Andalucía;2015;Demandantes;Ambos sexos;TOTAL;1004492,24999439;
Almería;2013;Demandantes;Hombres;De 16 a 29 años;8081,9166664;
Almería;2013;Demandantes;Hombres;De 30 a 44 años;15961,91666668;
Almería;2013;Demandantes;Hombres;De 45 a 64 años;16263,33333326;
Almería;2013;Demandantes;Hombres;TOTAL;40307,16666634;
Almería;2013;Demandantes;Mujeres;De 16 a 29 años;9021,99999996;
Almería;2013;Demandantes;Mujeres;De 30 a 44 años;16917,83333336;
Almería;2013;Demandantes;Mujeres;De 45 a 64 años;13799,91666663;
Almería;2013;Demandantes;Mujeres;TOTAL;39739,74999995;
Almería;2013;Demandantes;Ambos sexos;De 16 a 29 años;17103,91666636;
Almería;2013;Demandantes;Ambos sexos;De 30 a 44 años;32879,75000004;
Almería;2013;Demandantes;Ambos sexos;De 45 a 64 años;30063,24999989;
Almería;2013;Demandantes;Ambos sexos;TOTAL;80046,91666629;
