Lugar de residencia;Anual;Sexo;Medida;Valor;
Alameda;1998;Hombres;Crecimiento vegetativo;-9;
Alameda;1998;Mujeres;Crecimiento vegetativo;-3;
Alameda;1999;Ambos sexos;Crecimiento vegetativo;21;
Alameda;1999;Hombres;Crecimiento vegetativo;23;
Alameda;1999;Mujeres;Crecimiento vegetativo;-2;
Alameda;2000;Ambos sexos;Crecimiento vegetativo;17;
Alameda;2000;Hombres;Crecimiento vegetativo;6;
Alameda;2000;Mujeres;Crecimiento vegetativo;11;
Alameda;2001;Ambos sexos;Crecimiento vegetativo;20;
Alameda;2001;Hombres;Crecimiento vegetativo;4;
Alameda;2001;Mujeres;Crecimiento vegetativo;16;
Alameda;2002;Ambos sexos;Crecimiento vegetativo;29;
Alameda;2002;Hombres;Crecimiento vegetativo;8;
Alameda;2002;Mujeres;Crecimiento vegetativo;21;
Alameda;2003;Ambos sexos;Crecimiento vegetativo;14;
Alameda;2003;Hombres;Crecimiento vegetativo;10;
Alameda;2003;Mujeres;Crecimiento vegetativo;4;
Alameda;2004;Ambos sexos;Crecimiento vegetativo;22;
Alameda;2004;Hombres;Crecimiento vegetativo;10;
Alameda;2004;Mujeres;Crecimiento vegetativo;12;
Alameda;2005;Ambos sexos;Crecimiento vegetativo;26;
Alameda;2005;Hombres;Crecimiento vegetativo;15;
Alameda;2005;Mujeres;Crecimiento vegetativo;11;
Alameda;2006;Ambos sexos;Crecimiento vegetativo;41;
Alameda;2006;Hombres;Crecimiento vegetativo;19;
Alameda;2006;Mujeres;Crecimiento vegetativo;22;
Alameda;2007;Ambos sexos;Crecimiento vegetativo;19;
Alameda;2007;Hombres;Crecimiento vegetativo;6;
Alameda;2007;Mujeres;Crecimiento vegetativo;13;
Alameda;2008;Ambos sexos;Crecimiento vegetativo;20;
Alameda;2008;Hombres;Crecimiento vegetativo;10;
Alameda;2008;Mujeres;Crecimiento vegetativo;10;
Alameda;2009;Ambos sexos;Crecimiento vegetativo;23;
Alameda;2009;Hombres;Crecimiento vegetativo;11;
Alameda;2009;Mujeres;Crecimiento vegetativo;12;
Alameda;2010;Ambos sexos;Crecimiento vegetativo;15;
Alameda;2010;Hombres;Crecimiento vegetativo;3;
Alameda;2010;Mujeres;Crecimiento vegetativo;12;
Alameda;2011;Ambos sexos;Crecimiento vegetativo;19;
Alameda;2011;Hombres;Crecimiento vegetativo;9;
Alameda;2011;Mujeres;Crecimiento vegetativo;10;
Alameda;2012;Ambos sexos;Crecimiento vegetativo;-1;
Alameda;2012;Hombres;Crecimiento vegetativo;4;
Alameda;2012;Mujeres;Crecimiento vegetativo;-5;
Alameda;2013;Ambos sexos;Crecimiento vegetativo;10;
Alameda;2013;Hombres;Crecimiento vegetativo;11;
Alameda;2013;Mujeres;Crecimiento vegetativo;-1;
Alameda;2014;Ambos sexos;Crecimiento vegetativo;4;
Alameda;2014;Hombres;Crecimiento vegetativo;7;
Alameda;2014;Mujeres;Crecimiento vegetativo;-3;
Alameda;2015;Ambos sexos;Crecimiento vegetativo;4;
Alameda;2015;Hombres;Crecimiento vegetativo;1;
Alameda;2015;Mujeres;Crecimiento vegetativo;3;
Alameda;2016;Ambos sexos;Crecimiento vegetativo;13;
Alameda;2016;Hombres;Crecimiento vegetativo;5;
Alameda;2016;Mujeres;Crecimiento vegetativo;8;
Alameda;2017;Ambos sexos;Crecimiento vegetativo;10;
Alameda;2017;Hombres;Crecimiento vegetativo;14;
Alameda;2017;Mujeres;Crecimiento vegetativo;-4;
Alameda;2018;Ambos sexos;Crecimiento vegetativo;1;
Alameda;2018;Hombres;Crecimiento vegetativo;6;
Alameda;2018;Mujeres;Crecimiento vegetativo;-5;
Alameda;2019;Ambos sexos;Crecimiento vegetativo;7;
Alameda;2019;Hombres;Crecimiento vegetativo;-2;
Alameda;2019;Mujeres;Crecimiento vegetativo;9;
Alameda;2020;Ambos sexos;Crecimiento vegetativo;-4;
Alameda;2020;Hombres;Crecimiento vegetativo;6;
Alameda;2020;Mujeres;Crecimiento vegetativo;-10;
Alameda;2021;Ambos sexos;Crecimiento vegetativo;-23;
Alameda;2021;Hombres;Crecimiento vegetativo;-14;
Alameda;2021;Mujeres;Crecimiento vegetativo;-9;
Alameda;2022;Ambos sexos;Crecimiento vegetativo;-11;
Alameda;2022;Hombres;Crecimiento vegetativo;0;
Alameda;2022;Mujeres;Crecimiento vegetativo;-11;
Alameda;2023;Ambos sexos;Crecimiento vegetativo;-19;
Alameda;2023;Hombres;Crecimiento vegetativo;-2;
Alameda;2023;Mujeres;Crecimiento vegetativo;-17;
Alcaucín;1996;Ambos sexos;Crecimiento vegetativo;-6;
Alcaucín;1996;Hombres;Crecimiento vegetativo;-7;
Alcaucín;1996;Mujeres;Crecimiento vegetativo;1;
Alcaucín;1997;Ambos sexos;Crecimiento vegetativo;0;
Alcaucín;1997;Hombres;Crecimiento vegetativo;-1;
Alcaucín;1997;Mujeres;Crecimiento vegetativo;1;
Alcaucín;1998;Ambos sexos;Crecimiento vegetativo;-4;
Alcaucín;1998;Hombres;Crecimiento vegetativo;-8;
Alcaucín;1998;Mujeres;Crecimiento vegetativo;4;
Alcaucín;1999;Ambos sexos;Crecimiento vegetativo;-5;
Alcaucín;1999;Hombres;Crecimiento vegetativo;-4;
Alcaucín;1999;Mujeres;Crecimiento vegetativo;-1;
Alcaucín;2000;Ambos sexos;Crecimiento vegetativo;-10;
Alcaucín;2000;Hombres;Crecimiento vegetativo;-9;
Alcaucín;2000;Mujeres;Crecimiento vegetativo;-1;
Alcaucín;2001;Ambos sexos;Crecimiento vegetativo;-8;
Alcaucín;2001;Hombres;Crecimiento vegetativo;-6;
Alcaucín;2001;Mujeres;Crecimiento vegetativo;-2;
Alcaucín;2002;Ambos sexos;Crecimiento vegetativo;-2;
Alcaucín;2002;Hombres;Crecimiento vegetativo;-1;
Alcaucín;2002;Mujeres;Crecimiento vegetativo;-1;
Alcaucín;2003;Ambos sexos;Crecimiento vegetativo;-9;
Alcaucín;2003;Hombres;Crecimiento vegetativo;-8;
Alcaucín;2003;Mujeres;Crecimiento vegetativo;-1;
Alcaucín;2004;Ambos sexos;Crecimiento vegetativo;5;
Alcaucín;2004;Hombres;Crecimiento vegetativo;2;
Alcaucín;2004;Mujeres;Crecimiento vegetativo;3;
Alcaucín;2005;Ambos sexos;Crecimiento vegetativo;-12;
Alcaucín;2005;Hombres;Crecimiento vegetativo;-11;
Alcaucín;2005;Mujeres;Crecimiento vegetativo;-1;
Alcaucín;2006;Ambos sexos;Crecimiento vegetativo;-6;
Alcaucín;2006;Hombres;Crecimiento vegetativo;-6;
Alcaucín;2006;Mujeres;Crecimiento vegetativo;0;
Alcaucín;2007;Ambos sexos;Crecimiento vegetativo;5;
Alcaucín;2007;Hombres;Crecimiento vegetativo;6;
Alcaucín;2007;Mujeres;Crecimiento vegetativo;-1;
Alcaucín;2008;Ambos sexos;Crecimiento vegetativo;-10;
Alcaucín;2008;Hombres;Crecimiento vegetativo;-6;
Alcaucín;2008;Mujeres;Crecimiento vegetativo;-4;
Alcaucín;2009;Ambos sexos;Crecimiento vegetativo;-7;
Alcaucín;2009;Hombres;Crecimiento vegetativo;-5;
Alcaucín;2009;Mujeres;Crecimiento vegetativo;-2;
Alcaucín;2010;Ambos sexos;Crecimiento vegetativo;-12;
Alcaucín;2010;Hombres;Crecimiento vegetativo;-11;
Alcaucín;2010;Mujeres;Crecimiento vegetativo;-1;
Alcaucín;2011;Ambos sexos;Crecimiento vegetativo;-7;
Alcaucín;2011;Hombres;Crecimiento vegetativo;-9;
Alcaucín;2011;Mujeres;Crecimiento vegetativo;2;
Alcaucín;2012;Ambos sexos;Crecimiento vegetativo;-13;
Alcaucín;2012;Hombres;Crecimiento vegetativo;-7;
Alcaucín;2012;Mujeres;Crecimiento vegetativo;-6;
Alcaucín;2013;Ambos sexos;Crecimiento vegetativo;-12;
Alcaucín;2013;Hombres;Crecimiento vegetativo;-7;
Alcaucín;2013;Mujeres;Crecimiento vegetativo;-5;
Alcaucín;2014;Ambos sexos;Crecimiento vegetativo;-12;
Alcaucín;2014;Hombres;Crecimiento vegetativo;-11;
Alcaucín;2014;Mujeres;Crecimiento vegetativo;-1;
Alcaucín;2015;Ambos sexos;Crecimiento vegetativo;-12;
Alcaucín;2015;Hombres;Crecimiento vegetativo;-1;
Alcaucín;2015;Mujeres;Crecimiento vegetativo;-11;
Alcaucín;2016;Ambos sexos;Crecimiento vegetativo;-13;
Alcaucín;2016;Hombres;Crecimiento vegetativo;-8;
Alcaucín;2016;Mujeres;Crecimiento vegetativo;-5;
Alcaucín;2017;Ambos sexos;Crecimiento vegetativo;-23;
Alcaucín;2017;Hombres;Crecimiento vegetativo;-16;
Alcaucín;2017;Mujeres;Crecimiento vegetativo;-7;
Alcaucín;2018;Ambos sexos;Crecimiento vegetativo;-19;
Alcaucín;2018;Hombres;Crecimiento vegetativo;-9;
Alcaucín;2018;Mujeres;Crecimiento vegetativo;-10;
Alcaucín;2019;Ambos sexos;Crecimiento vegetativo;-17;
Alcaucín;2019;Hombres;Crecimiento vegetativo;-8;
Alcaucín;2019;Mujeres;Crecimiento vegetativo;-9;
Alcaucín;2020;Ambos sexos;Crecimiento vegetativo;-7;
Alcaucín;2020;Hombres;Crecimiento vegetativo;-11;
Alcaucín;2020;Mujeres;Crecimiento vegetativo;4;
Alcaucín;2021;Ambos sexos;Crecimiento vegetativo;-19;
Alcaucín;2021;Hombres;Crecimiento vegetativo;-9;
Alcaucín;2021;Mujeres;Crecimiento vegetativo;-10;
Alcaucín;2022;Ambos sexos;Crecimiento vegetativo;-12;
Alcaucín;2022;Hombres;Crecimiento vegetativo;-5;
Alcaucín;2022;Mujeres;Crecimiento vegetativo;-7;
Alcaucín;2023;Ambos sexos;Crecimiento vegetativo;-15;
Alcaucín;2023;Hombres;Crecimiento vegetativo;-11;
Alcaucín;2023;Mujeres;Crecimiento vegetativo;-4;
Alfarnate;1996;Ambos sexos;Crecimiento vegetativo;-7;
Alfarnate;1996;Hombres;Crecimiento vegetativo;-2;
Alfarnate;1996;Mujeres;Crecimiento vegetativo;-5;
Alfarnate;1997;Ambos sexos;Crecimiento vegetativo;-9;
Alfarnate;1997;Hombres;Crecimiento vegetativo;-7;
Alfarnate;1997;Mujeres;Crecimiento vegetativo;-2;
Alfarnate;1998;Ambos sexos;Crecimiento vegetativo;-2;
Alfarnate;1998;Hombres;Crecimiento vegetativo;-3;
Alfarnate;1998;Mujeres;Crecimiento vegetativo;1;
Alfarnate;1999;Ambos sexos;Crecimiento vegetativo;-16;
Alfarnate;1999;Hombres;Crecimiento vegetativo;-4;
Alfarnate;1999;Mujeres;Crecimiento vegetativo;-12;
Alfarnate;2000;Ambos sexos;Crecimiento vegetativo;-10;
Alfarnate;2000;Hombres;Crecimiento vegetativo;-1;
Alfarnate;2000;Mujeres;Crecimiento vegetativo;-9;
Alfarnate;2001;Ambos sexos;Crecimiento vegetativo;-8;
Alfarnate;2001;Hombres;Crecimiento vegetativo;-6;
Alfarnate;2001;Mujeres;Crecimiento vegetativo;-2;
Alfarnate;2002;Ambos sexos;Crecimiento vegetativo;5;
Alfarnate;2002;Hombres;Crecimiento vegetativo;2;
Alfarnate;2002;Mujeres;Crecimiento vegetativo;3;
Alfarnate;2003;Ambos sexos;Crecimiento vegetativo;-3;
Alfarnate;2003;Hombres;Crecimiento vegetativo;0;
Alfarnate;2003;Mujeres;Crecimiento vegetativo;-3;
Alfarnate;2004;Ambos sexos;Crecimiento vegetativo;-6;
Alfarnate;2004;Hombres;Crecimiento vegetativo;-7;
Alfarnate;2004;Mujeres;Crecimiento vegetativo;1;
Alfarnate;2005;Ambos sexos;Crecimiento vegetativo;-16;
Alfarnate;2005;Hombres;Crecimiento vegetativo;-4;
Alfarnate;2005;Mujeres;Crecimiento vegetativo;-12;
Alfarnate;2006;Ambos sexos;Crecimiento vegetativo;-7;
Alfarnate;2006;Hombres;Crecimiento vegetativo;0;
Alfarnate;2006;Mujeres;Crecimiento vegetativo;-7;
Alfarnate;2007;Ambos sexos;Crecimiento vegetativo;-3;
Alfarnate;2007;Hombres;Crecimiento vegetativo;-2;
Alfarnate;2007;Mujeres;Crecimiento vegetativo;-1;
Alfarnate;2008;Ambos sexos;Crecimiento vegetativo;-11;
Alfarnate;2008;Hombres;Crecimiento vegetativo;-5;
Alfarnate;2008;Mujeres;Crecimiento vegetativo;-6;
Alfarnate;2009;Ambos sexos;Crecimiento vegetativo;-10;
Alfarnate;2009;Hombres;Crecimiento vegetativo;-5;
Alfarnate;2009;Mujeres;Crecimiento vegetativo;-5;
Alfarnate;2010;Ambos sexos;Crecimiento vegetativo;-10;
Alfarnate;2010;Hombres;Crecimiento vegetativo;-12;
Alfarnate;2010;Mujeres;Crecimiento vegetativo;2;
Alfarnate;2011;Ambos sexos;Crecimiento vegetativo;-11;
Alfarnate;2011;Hombres;Crecimiento vegetativo;-8;
Alfarnate;2011;Mujeres;Crecimiento vegetativo;-3;
Alfarnate;2012;Ambos sexos;Crecimiento vegetativo;-12;
Alfarnate;2012;Hombres;Crecimiento vegetativo;-8;
Alfarnate;2012;Mujeres;Crecimiento vegetativo;-4;
Alfarnate;2013;Ambos sexos;Crecimiento vegetativo;-11;
