Lugar de residencia;Anual;Sexo;Medida;Valor;
Alamedilla;2013;Ambos sexos;Crecimiento vegetativo;-7;
Alamedilla;2013;Hombres;Crecimiento vegetativo;-4;
Alamedilla;2013;Mujeres;Crecimiento vegetativo;-3;
Alamedilla;2014;Ambos sexos;Crecimiento vegetativo;-3;
Alamedilla;2014;Hombres;Crecimiento vegetativo;-1;
Alamedilla;2014;Mujeres;Crecimiento vegetativo;-2;
Alamedilla;2015;Ambos sexos;Crecimiento vegetativo;-10;
Alamedilla;2015;Hombres;Crecimiento vegetativo;-7;
Alamedilla;2015;Mujeres;Crecimiento vegetativo;-3;
Alamedilla;2016;Ambos sexos;Crecimiento vegetativo;-5;
Alamedilla;2016;Hombres;Crecimiento vegetativo;-2;
Alamedilla;2016;Mujeres;Crecimiento vegetativo;-3;
Alamedilla;2017;Ambos sexos;Crecimiento vegetativo;-3;
Alamedilla;2017;Hombres;Crecimiento vegetativo;-2;
Alamedilla;2017;Mujeres;Crecimiento vegetativo;-1;
Alamedilla;2018;Ambos sexos;Crecimiento vegetativo;-5;
Alamedilla;2018;Hombres;Crecimiento vegetativo;-5;
Alamedilla;2018;Mujeres;Crecimiento vegetativo;0;
Alamedilla;2019;Ambos sexos;Crecimiento vegetativo;-4;
Alamedilla;2019;Hombres;Crecimiento vegetativo;-2;
Alamedilla;2019;Mujeres;Crecimiento vegetativo;-2;
Alamedilla;2020;Ambos sexos;Crecimiento vegetativo;-6;
Alamedilla;2020;Hombres;Crecimiento vegetativo;-4;
Alamedilla;2020;Mujeres;Crecimiento vegetativo;-2;
Alamedilla;2021;Ambos sexos;Crecimiento vegetativo;-6;
Alamedilla;2021;Hombres;Crecimiento vegetativo;-1;
Alamedilla;2021;Mujeres;Crecimiento vegetativo;-5;
Alamedilla;2022;Ambos sexos;Crecimiento vegetativo;-9;
Alamedilla;2022;Hombres;Crecimiento vegetativo;-5;
Alamedilla;2022;Mujeres;Crecimiento vegetativo;-4;
Alamedilla;2023;Ambos sexos;Crecimiento vegetativo;-12;
Alamedilla;2023;Hombres;Crecimiento vegetativo;-7;
Alamedilla;2023;Mujeres;Crecimiento vegetativo;-5;
Albolote;2010;Ambos sexos;Crecimiento vegetativo;142;
Albolote;2010;Hombres;Crecimiento vegetativo;80;
Albolote;2010;Mujeres;Crecimiento vegetativo;62;
Albolote;2011;Ambos sexos;Crecimiento vegetativo;115;
Albolote;2011;Hombres;Crecimiento vegetativo;63;
Albolote;2011;Mujeres;Crecimiento vegetativo;52;
Albolote;2012;Ambos sexos;Crecimiento vegetativo;80;
Albolote;2012;Hombres;Crecimiento vegetativo;44;
Albolote;2012;Mujeres;Crecimiento vegetativo;36;
Albolote;2013;Ambos sexos;Crecimiento vegetativo;88;
Albolote;2013;Hombres;Crecimiento vegetativo;46;
Albolote;2013;Mujeres;Crecimiento vegetativo;42;
Albolote;2014;Ambos sexos;Crecimiento vegetativo;105;
Albolote;2014;Hombres;Crecimiento vegetativo;54;
Albolote;2014;Mujeres;Crecimiento vegetativo;51;
Albolote;2015;Ambos sexos;Crecimiento vegetativo;72;
Albolote;2015;Hombres;Crecimiento vegetativo;31;
Albolote;2015;Mujeres;Crecimiento vegetativo;41;
Albolote;2016;Ambos sexos;Crecimiento vegetativo;116;
Albolote;2016;Hombres;Crecimiento vegetativo;46;
Albolote;2016;Mujeres;Crecimiento vegetativo;70;
