Lugar de residencia;Anual;Sexo;Medida;Valor;
Granada;1996;Ambos sexos;Crecimiento vegetativo;2009;
Granada;1996;Hombres;Crecimiento vegetativo;955;
Granada;1996;Mujeres;Crecimiento vegetativo;1054;
Granada;1997;Ambos sexos;Crecimiento vegetativo;2013;
Granada;1997;Hombres;Crecimiento vegetativo;894;
Granada;1997;Mujeres;Crecimiento vegetativo;1119;
Granada;1998;Ambos sexos;Crecimiento vegetativo;1268;
Granada;1998;Hombres;Crecimiento vegetativo;549;
Granada;1998;Mujeres;Crecimiento vegetativo;719;
Granada;1999;Ambos sexos;Crecimiento vegetativo;1085;
Granada;1999;Hombres;Crecimiento vegetativo;461;
Granada;1999;Mujeres;Crecimiento vegetativo;624;
Granada;2000;Ambos sexos;Crecimiento vegetativo;1678;
Granada;2000;Hombres;Crecimiento vegetativo;814;
Granada;2000;Mujeres;Crecimiento vegetativo;864;
Granada;2001;Ambos sexos;Crecimiento vegetativo;1927;
Granada;2001;Hombres;Crecimiento vegetativo;918;
Granada;2001;Mujeres;Crecimiento vegetativo;1009;
Granada;2002;Ambos sexos;Crecimiento vegetativo;1199;
Granada;2002;Hombres;Crecimiento vegetativo;588;
Granada;2002;Mujeres;Crecimiento vegetativo;611;
Granada;2003;Ambos sexos;Crecimiento vegetativo;1623;
Granada;2003;Hombres;Crecimiento vegetativo;723;
Granada;2003;Mujeres;Crecimiento vegetativo;900;
Granada;2004;Ambos sexos;Crecimiento vegetativo;2119;
Granada;2004;Hombres;Crecimiento vegetativo;918;
Granada;2004;Mujeres;Crecimiento vegetativo;1201;
Granada;2005;Ambos sexos;Crecimiento vegetativo;2045;
Granada;2005;Hombres;Crecimiento vegetativo;1029;
Granada;2005;Mujeres;Crecimiento vegetativo;1016;
Granada;2006;Ambos sexos;Crecimiento vegetativo;2749;
Granada;2006;Hombres;Crecimiento vegetativo;1365;
Granada;2006;Mujeres;Crecimiento vegetativo;1384;
Granada;2007;Ambos sexos;Crecimiento vegetativo;2590;
Granada;2007;Hombres;Crecimiento vegetativo;1178;
Granada;2007;Mujeres;Crecimiento vegetativo;1412;
Granada;2008;Ambos sexos;Crecimiento vegetativo;2937;
Granada;2008;Hombres;Crecimiento vegetativo;1565;
Granada;2008;Mujeres;Crecimiento vegetativo;1372;
Granada;2009;Ambos sexos;Crecimiento vegetativo;2089;
Granada;2009;Hombres;Crecimiento vegetativo;900;
Granada;2009;Mujeres;Crecimiento vegetativo;1189;
Agrón;1996;Ambos sexos;Crecimiento vegetativo;-2;
Agrón;1996;Hombres;Crecimiento vegetativo;0;
Agrón;1996;Mujeres;Crecimiento vegetativo;-2;
Agrón;1997;Ambos sexos;Crecimiento vegetativo;1;
Agrón;1997;Hombres;Crecimiento vegetativo;-1;
Agrón;1997;Mujeres;Crecimiento vegetativo;2;
Agrón;1998;Ambos sexos;Crecimiento vegetativo;-6;
Agrón;1998;Hombres;Crecimiento vegetativo;-6;
Agrón;1998;Mujeres;Crecimiento vegetativo;0;
Agrón;1999;Ambos sexos;Crecimiento vegetativo;0;
Agrón;1999;Hombres;Crecimiento vegetativo;-1;
Agrón;1999;Mujeres;Crecimiento vegetativo;1;
Agrón;2000;Ambos sexos;Crecimiento vegetativo;-1;
Agrón;2000;Hombres;Crecimiento vegetativo;-2;
Agrón;2000;Mujeres;Crecimiento vegetativo;1;
Agrón;2001;Ambos sexos;Crecimiento vegetativo;-6;
Agrón;2001;Hombres;Crecimiento vegetativo;-4;
Agrón;2001;Mujeres;Crecimiento vegetativo;-2;
Agrón;2002;Ambos sexos;Crecimiento vegetativo;-3;
Agrón;2002;Hombres;Crecimiento vegetativo;-3;
Agrón;2002;Mujeres;Crecimiento vegetativo;-;
Agrón;2003;Ambos sexos;Crecimiento vegetativo;-4;
Agrón;2003;Hombres;Crecimiento vegetativo;-2;
Agrón;2003;Mujeres;Crecimiento vegetativo;-2;
Agrón;2004;Ambos sexos;Crecimiento vegetativo;0;
Agrón;2004;Hombres;Crecimiento vegetativo;-1;
Agrón;2004;Mujeres;Crecimiento vegetativo;1;
Agrón;2005;Ambos sexos;Crecimiento vegetativo;-7;
Agrón;2005;Hombres;Crecimiento vegetativo;-2;
Agrón;2005;Mujeres;Crecimiento vegetativo;-5;
Agrón;2006;Ambos sexos;Crecimiento vegetativo;-1;
Agrón;2006;Hombres;Crecimiento vegetativo;-1;
Agrón;2006;Mujeres;Crecimiento vegetativo;0;
Agrón;2007;Ambos sexos;Crecimiento vegetativo;-3;
Agrón;2007;Hombres;Crecimiento vegetativo;-1;
Agrón;2007;Mujeres;Crecimiento vegetativo;-2;
Agrón;2008;Ambos sexos;Crecimiento vegetativo;-3;
Agrón;2008;Hombres;Crecimiento vegetativo;-2;
Agrón;2008;Mujeres;Crecimiento vegetativo;-1;
Agrón;2009;Ambos sexos;Crecimiento vegetativo;-1;
Agrón;2009;Hombres;Crecimiento vegetativo;0;
Agrón;2009;Mujeres;Crecimiento vegetativo;-1;
Alamedilla;1996;Ambos sexos;Crecimiento vegetativo;1;
Alamedilla;1996;Hombres;Crecimiento vegetativo;-;
Alamedilla;1996;Mujeres;Crecimiento vegetativo;1;
Alamedilla;1997;Ambos sexos;Crecimiento vegetativo;-1;
Alamedilla;1997;Hombres;Crecimiento vegetativo;-1;
Alamedilla;1997;Mujeres;Crecimiento vegetativo;-;
Alamedilla;1998;Ambos sexos;Crecimiento vegetativo;-2;
Alamedilla;1998;Hombres;Crecimiento vegetativo;-;
Alamedilla;1998;Mujeres;Crecimiento vegetativo;-2;
Alamedilla;1999;Ambos sexos;Crecimiento vegetativo;-3;
Alamedilla;1999;Hombres;Crecimiento vegetativo;-2;
Alamedilla;1999;Mujeres;Crecimiento vegetativo;-1;
Alamedilla;2000;Ambos sexos;Crecimiento vegetativo;-6;
Alamedilla;2000;Hombres;Crecimiento vegetativo;-5;
Alamedilla;2000;Mujeres;Crecimiento vegetativo;-1;
Alamedilla;2001;Ambos sexos;Crecimiento vegetativo;-3;
Alamedilla;2001;Hombres;Crecimiento vegetativo;-4;
Alamedilla;2001;Mujeres;Crecimiento vegetativo;1;
Alamedilla;2002;Ambos sexos;Crecimiento vegetativo;6;
Alamedilla;2002;Hombres;Crecimiento vegetativo;5;
Alamedilla;2002;Mujeres;Crecimiento vegetativo;1;
Alamedilla;2003;Ambos sexos;Crecimiento vegetativo;4;
Alamedilla;2003;Hombres;Crecimiento vegetativo;1;
Alamedilla;2003;Mujeres;Crecimiento vegetativo;3;
Alamedilla;2004;Ambos sexos;Crecimiento vegetativo;2;
Alamedilla;2004;Hombres;Crecimiento vegetativo;2;
Alamedilla;2004;Mujeres;Crecimiento vegetativo;0;
Alamedilla;2005;Ambos sexos;Crecimiento vegetativo;-5;
Alamedilla;2005;Hombres;Crecimiento vegetativo;-4;
Alamedilla;2005;Mujeres;Crecimiento vegetativo;-1;
Alamedilla;2006;Ambos sexos;Crecimiento vegetativo;3;
Alamedilla;2006;Hombres;Crecimiento vegetativo;3;
Alamedilla;2006;Mujeres;Crecimiento vegetativo;0;
Alamedilla;2007;Ambos sexos;Crecimiento vegetativo;-7;
Alamedilla;2007;Hombres;Crecimiento vegetativo;0;
Alamedilla;2007;Mujeres;Crecimiento vegetativo;-7;
Alamedilla;2008;Ambos sexos;Crecimiento vegetativo;-1;
Alamedilla;2008;Hombres;Crecimiento vegetativo;1;
Alamedilla;2008;Mujeres;Crecimiento vegetativo;-2;
Alamedilla;2009;Ambos sexos;Crecimiento vegetativo;-3;
Alamedilla;2009;Hombres;Crecimiento vegetativo;0;
Alamedilla;2009;Mujeres;Crecimiento vegetativo;-3;
Albolote;1996;Ambos sexos;Crecimiento vegetativo;78;
Albolote;1996;Hombres;Crecimiento vegetativo;28;
Albolote;1996;Mujeres;Crecimiento vegetativo;50;
Albolote;1997;Ambos sexos;Crecimiento vegetativo;80;
Albolote;1997;Hombres;Crecimiento vegetativo;33;
Albolote;1997;Mujeres;Crecimiento vegetativo;47;
Albolote;1998;Ambos sexos;Crecimiento vegetativo;99;
Albolote;1998;Hombres;Crecimiento vegetativo;51;
Albolote;1998;Mujeres;Crecimiento vegetativo;48;
Albolote;1999;Ambos sexos;Crecimiento vegetativo;108;
Albolote;1999;Hombres;Crecimiento vegetativo;52;
Albolote;1999;Mujeres;Crecimiento vegetativo;56;
Albolote;2000;Ambos sexos;Crecimiento vegetativo;87;
Albolote;2000;Hombres;Crecimiento vegetativo;38;
Albolote;2000;Mujeres;Crecimiento vegetativo;49;
Albolote;2001;Ambos sexos;Crecimiento vegetativo;102;
Albolote;2001;Hombres;Crecimiento vegetativo;61;
Albolote;2001;Mujeres;Crecimiento vegetativo;41;
Albolote;2002;Ambos sexos;Crecimiento vegetativo;96;
Albolote;2002;Hombres;Crecimiento vegetativo;61;
Albolote;2002;Mujeres;Crecimiento vegetativo;35;
