Lugar de residencia;Anual;Sexo;Medida;Valor;
Adamuz;1997;Mujeres;Crecimiento vegetativo;-5;
Adamuz;1998;Ambos sexos;Crecimiento vegetativo;4;
Adamuz;1998;Hombres;Crecimiento vegetativo;1;
Adamuz;1998;Mujeres;Crecimiento vegetativo;3;
Adamuz;1999;Ambos sexos;Crecimiento vegetativo;-12;
Adamuz;1999;Hombres;Crecimiento vegetativo;-14;
Adamuz;1999;Mujeres;Crecimiento vegetativo;2;
Adamuz;2000;Ambos sexos;Crecimiento vegetativo;10;
Adamuz;2000;Hombres;Crecimiento vegetativo;2;
Adamuz;2000;Mujeres;Crecimiento vegetativo;8;
Adamuz;2001;Ambos sexos;Crecimiento vegetativo;-4;
Adamuz;2001;Hombres;Crecimiento vegetativo;-11;
Adamuz;2001;Mujeres;Crecimiento vegetativo;7;
Adamuz;2002;Ambos sexos;Crecimiento vegetativo;-6;
Adamuz;2002;Hombres;Crecimiento vegetativo;-3;
Adamuz;2002;Mujeres;Crecimiento vegetativo;-3;
Adamuz;2003;Ambos sexos;Crecimiento vegetativo;-12;
Adamuz;2003;Hombres;Crecimiento vegetativo;-6;
Adamuz;2003;Mujeres;Crecimiento vegetativo;-6;
Adamuz;2004;Ambos sexos;Crecimiento vegetativo;-11;
Adamuz;2004;Hombres;Crecimiento vegetativo;-7;
Adamuz;2004;Mujeres;Crecimiento vegetativo;-4;
Adamuz;2005;Ambos sexos;Crecimiento vegetativo;-15;
Adamuz;2005;Hombres;Crecimiento vegetativo;-12;
Adamuz;2005;Mujeres;Crecimiento vegetativo;-3;
Adamuz;2006;Ambos sexos;Crecimiento vegetativo;17;
Adamuz;2006;Hombres;Crecimiento vegetativo;8;
Adamuz;2006;Mujeres;Crecimiento vegetativo;9;
Adamuz;2007;Ambos sexos;Crecimiento vegetativo;-23;
Adamuz;2007;Hombres;Crecimiento vegetativo;-10;
Adamuz;2007;Mujeres;Crecimiento vegetativo;-13;
Adamuz;2008;Ambos sexos;Crecimiento vegetativo;-9;
Adamuz;2008;Hombres;Crecimiento vegetativo;-7;
Adamuz;2008;Mujeres;Crecimiento vegetativo;-2;
Adamuz;2009;Ambos sexos;Crecimiento vegetativo;-3;
Adamuz;2009;Hombres;Crecimiento vegetativo;1;
Adamuz;2009;Mujeres;Crecimiento vegetativo;-4;
Adamuz;2010;Ambos sexos;Crecimiento vegetativo;12;
Adamuz;2010;Hombres;Crecimiento vegetativo;7;
Adamuz;2010;Mujeres;Crecimiento vegetativo;5;
Adamuz;2011;Ambos sexos;Crecimiento vegetativo;-8;
Adamuz;2011;Hombres;Crecimiento vegetativo;4;
Adamuz;2011;Mujeres;Crecimiento vegetativo;-12;
Adamuz;2012;Ambos sexos;Crecimiento vegetativo;8;
Adamuz;2012;Hombres;Crecimiento vegetativo;0;
Adamuz;2012;Mujeres;Crecimiento vegetativo;8;
Adamuz;2013;Ambos sexos;Crecimiento vegetativo;-4;
Adamuz;2013;Hombres;Crecimiento vegetativo;-1;
Adamuz;2013;Mujeres;Crecimiento vegetativo;-3;
Adamuz;2014;Ambos sexos;Crecimiento vegetativo;-26;
Adamuz;2014;Hombres;Crecimiento vegetativo;-23;
Adamuz;2014;Mujeres;Crecimiento vegetativo;-3;
Adamuz;2015;Ambos sexos;Crecimiento vegetativo;16;
Adamuz;2015;Hombres;Crecimiento vegetativo;10;
Adamuz;2015;Mujeres;Crecimiento vegetativo;6;
Adamuz;2016;Ambos sexos;Crecimiento vegetativo;-4;
Adamuz;2016;Hombres;Crecimiento vegetativo;-1;
Adamuz;2016;Mujeres;Crecimiento vegetativo;-3;
Adamuz;2017;Ambos sexos;Crecimiento vegetativo;-9;
Adamuz;2017;Hombres;Crecimiento vegetativo;-1;
Adamuz;2017;Mujeres;Crecimiento vegetativo;-8;
Adamuz;2018;Ambos sexos;Crecimiento vegetativo;6;
Adamuz;2018;Hombres;Crecimiento vegetativo;5;
Adamuz;2018;Mujeres;Crecimiento vegetativo;1;
Adamuz;2019;Ambos sexos;Crecimiento vegetativo;-8;
Adamuz;2019;Hombres;Crecimiento vegetativo;-7;
Adamuz;2019;Mujeres;Crecimiento vegetativo;-1;
Adamuz;2020;Ambos sexos;Crecimiento vegetativo;-9;
Adamuz;2020;Hombres;Crecimiento vegetativo;-6;
Adamuz;2020;Mujeres;Crecimiento vegetativo;-3;
Adamuz;2021;Ambos sexos;Crecimiento vegetativo;-14;
Adamuz;2021;Hombres;Crecimiento vegetativo;-14;
Adamuz;2021;Mujeres;Crecimiento vegetativo;0;
Adamuz;2022;Ambos sexos;Crecimiento vegetativo;-29;
Adamuz;2022;Hombres;Crecimiento vegetativo;-18;
Adamuz;2022;Mujeres;Crecimiento vegetativo;-11;
Adamuz;2023;Ambos sexos;Crecimiento vegetativo;-8;
Adamuz;2023;Hombres;Crecimiento vegetativo;-5;
Adamuz;2023;Mujeres;Crecimiento vegetativo;-3;
Aguilar de la Frontera;1996;Ambos sexos;Crecimiento vegetativo;36;
Aguilar de la Frontera;1996;Hombres;Crecimiento vegetativo;12;
Aguilar de la Frontera;1996;Mujeres;Crecimiento vegetativo;24;
Aguilar de la Frontera;1997;Ambos sexos;Crecimiento vegetativo;43;
Aguilar de la Frontera;1997;Hombres;Crecimiento vegetativo;26;
Aguilar de la Frontera;1997;Mujeres;Crecimiento vegetativo;17;
Aguilar de la Frontera;1998;Ambos sexos;Crecimiento vegetativo;20;
Aguilar de la Frontera;1998;Hombres;Crecimiento vegetativo;3;
Aguilar de la Frontera;1998;Mujeres;Crecimiento vegetativo;17;
Aguilar de la Frontera;1999;Ambos sexos;Crecimiento vegetativo;9;
Aguilar de la Frontera;1999;Hombres;Crecimiento vegetativo;3;
Aguilar de la Frontera;1999;Mujeres;Crecimiento vegetativo;6;
Aguilar de la Frontera;2000;Ambos sexos;Crecimiento vegetativo;34;
Aguilar de la Frontera;2000;Hombres;Crecimiento vegetativo;21;
Aguilar de la Frontera;2000;Mujeres;Crecimiento vegetativo;13;
Aguilar de la Frontera;2001;Ambos sexos;Crecimiento vegetativo;29;
Aguilar de la Frontera;2001;Hombres;Crecimiento vegetativo;12;
Aguilar de la Frontera;2001;Mujeres;Crecimiento vegetativo;17;
Aguilar de la Frontera;2002;Ambos sexos;Crecimiento vegetativo;1;
Aguilar de la Frontera;2002;Hombres;Crecimiento vegetativo;-8;
Aguilar de la Frontera;2002;Mujeres;Crecimiento vegetativo;9;
Aguilar de la Frontera;2003;Ambos sexos;Crecimiento vegetativo;11;
Aguilar de la Frontera;2003;Hombres;Crecimiento vegetativo;-1;
Aguilar de la Frontera;2003;Mujeres;Crecimiento vegetativo;12;
Aguilar de la Frontera;2004;Ambos sexos;Crecimiento vegetativo;9;
Aguilar de la Frontera;2004;Hombres;Crecimiento vegetativo;9;
Aguilar de la Frontera;2004;Mujeres;Crecimiento vegetativo;0;
Aguilar de la Frontera;2005;Ambos sexos;Crecimiento vegetativo;40;
Aguilar de la Frontera;2005;Hombres;Crecimiento vegetativo;15;
Aguilar de la Frontera;2005;Mujeres;Crecimiento vegetativo;25;
Aguilar de la Frontera;2006;Ambos sexos;Crecimiento vegetativo;23;
Aguilar de la Frontera;2006;Hombres;Crecimiento vegetativo;16;
Aguilar de la Frontera;2006;Mujeres;Crecimiento vegetativo;7;
Aguilar de la Frontera;2007;Ambos sexos;Crecimiento vegetativo;-11;
Aguilar de la Frontera;2007;Hombres;Crecimiento vegetativo;-2;
Aguilar de la Frontera;2007;Mujeres;Crecimiento vegetativo;-9;
Aguilar de la Frontera;2008;Ambos sexos;Crecimiento vegetativo;38;
Aguilar de la Frontera;2008;Hombres;Crecimiento vegetativo;32;
Aguilar de la Frontera;2008;Mujeres;Crecimiento vegetativo;6;
Aguilar de la Frontera;2009;Ambos sexos;Crecimiento vegetativo;23;
Aguilar de la Frontera;2009;Hombres;Crecimiento vegetativo;11;
Aguilar de la Frontera;2009;Mujeres;Crecimiento vegetativo;12;
Aguilar de la Frontera;2010;Ambos sexos;Crecimiento vegetativo;6;
Aguilar de la Frontera;2010;Hombres;Crecimiento vegetativo;22;
Aguilar de la Frontera;2010;Mujeres;Crecimiento vegetativo;-16;
Aguilar de la Frontera;2011;Ambos sexos;Crecimiento vegetativo;13;
Aguilar de la Frontera;2011;Hombres;Crecimiento vegetativo;23;
Aguilar de la Frontera;2011;Mujeres;Crecimiento vegetativo;-10;
Aguilar de la Frontera;2012;Ambos sexos;Crecimiento vegetativo;2;
Aguilar de la Frontera;2012;Hombres;Crecimiento vegetativo;5;
