Lugar de residencia;Anual;Sexo;Medida;Valor;
Alájar;1999;Ambos sexos;Crecimiento vegetativo;-11;
Alájar;1999;Hombres;Crecimiento vegetativo;-1;
Alájar;1999;Mujeres;Crecimiento vegetativo;-10;
Alájar;2000;Ambos sexos;Crecimiento vegetativo;-5;
Alájar;2000;Hombres;Crecimiento vegetativo;0;
Alájar;2000;Mujeres;Crecimiento vegetativo;-5;
Alájar;2001;Ambos sexos;Crecimiento vegetativo;-2;
Alájar;2001;Hombres;Crecimiento vegetativo;-1;
Alájar;2001;Mujeres;Crecimiento vegetativo;-1;
Alájar;2002;Ambos sexos;Crecimiento vegetativo;-6;
Alájar;2002;Hombres;Crecimiento vegetativo;-2;
Alájar;2002;Mujeres;Crecimiento vegetativo;-4;
Alájar;2003;Ambos sexos;Crecimiento vegetativo;-4;
Alájar;2003;Hombres;Crecimiento vegetativo;-6;
Alájar;2003;Mujeres;Crecimiento vegetativo;2;
Alájar;2004;Ambos sexos;Crecimiento vegetativo;1;
Alájar;2004;Hombres;Crecimiento vegetativo;-1;
Alájar;2004;Mujeres;Crecimiento vegetativo;2;
Alájar;2005;Ambos sexos;Crecimiento vegetativo;-2;
Alájar;2005;Hombres;Crecimiento vegetativo;-2;
Alájar;2005;Mujeres;Crecimiento vegetativo;0;
Alájar;2006;Ambos sexos;Crecimiento vegetativo;-3;
Alájar;2006;Hombres;Crecimiento vegetativo;-3;
Alájar;2006;Mujeres;Crecimiento vegetativo;0;
Alájar;2007;Ambos sexos;Crecimiento vegetativo;-6;
Alájar;2007;Hombres;Crecimiento vegetativo;0;
Alájar;2007;Mujeres;Crecimiento vegetativo;-6;
Alájar;2008;Ambos sexos;Crecimiento vegetativo;-2;
Alájar;2008;Hombres;Crecimiento vegetativo;-5;
Alájar;2008;Mujeres;Crecimiento vegetativo;3;
Alájar;2009;Ambos sexos;Crecimiento vegetativo;-6;
Alájar;2009;Hombres;Crecimiento vegetativo;-6;
Alájar;2009;Mujeres;Crecimiento vegetativo;0;
Alájar;2010;Ambos sexos;Crecimiento vegetativo;-2;
Alájar;2010;Hombres;Crecimiento vegetativo;0;
Alájar;2010;Mujeres;Crecimiento vegetativo;-2;
Alájar;2011;Ambos sexos;Crecimiento vegetativo;0;
Alájar;2011;Hombres;Crecimiento vegetativo;0;
Alájar;2011;Mujeres;Crecimiento vegetativo;0;
Alájar;2012;Ambos sexos;Crecimiento vegetativo;-3;
Alájar;2012;Hombres;Crecimiento vegetativo;0;
Alájar;2012;Mujeres;Crecimiento vegetativo;-3;
Alájar;2013;Ambos sexos;Crecimiento vegetativo;1;
Alájar;2013;Hombres;Crecimiento vegetativo;-2;
Alájar;2013;Mujeres;Crecimiento vegetativo;3;
Alájar;2014;Ambos sexos;Crecimiento vegetativo;1;
Alájar;2014;Hombres;Crecimiento vegetativo;-5;
Alájar;2014;Mujeres;Crecimiento vegetativo;6;
Alájar;2015;Ambos sexos;Crecimiento vegetativo;-4;
Alájar;2015;Hombres;Crecimiento vegetativo;0;
Alájar;2015;Mujeres;Crecimiento vegetativo;-4;
Alájar;2016;Ambos sexos;Crecimiento vegetativo;-5;
Alájar;2016;Hombres;Crecimiento vegetativo;-1;
Alájar;2016;Mujeres;Crecimiento vegetativo;-4;
Alájar;2017;Ambos sexos;Crecimiento vegetativo;-5;
Alájar;2017;Hombres;Crecimiento vegetativo;-3;
Alájar;2017;Mujeres;Crecimiento vegetativo;-2;
Alájar;2018;Ambos sexos;Crecimiento vegetativo;-6;
Alájar;2018;Hombres;Crecimiento vegetativo;-6;
Alájar;2018;Mujeres;Crecimiento vegetativo;0;
Alájar;2019;Ambos sexos;Crecimiento vegetativo;-1;
Alájar;2019;Hombres;Crecimiento vegetativo;0;
Alájar;2019;Mujeres;Crecimiento vegetativo;-1;
Alájar;2020;Ambos sexos;Crecimiento vegetativo;-1;
Alájar;2020;Hombres;Crecimiento vegetativo;1;
Alájar;2020;Mujeres;Crecimiento vegetativo;-2;
Alájar;2021;Ambos sexos;Crecimiento vegetativo;-2;
Alájar;2021;Hombres;Crecimiento vegetativo;-3;
Alájar;2021;Mujeres;Crecimiento vegetativo;1;
Alájar;2022;Ambos sexos;Crecimiento vegetativo;-8;
Alájar;2022;Hombres;Crecimiento vegetativo;-8;
Alájar;2022;Mujeres;Crecimiento vegetativo;0;
Alájar;2023;Ambos sexos;Crecimiento vegetativo;-4;
Alájar;2023;Hombres;Crecimiento vegetativo;-4;
Alájar;2023;Mujeres;Crecimiento vegetativo;0;
Aljaraque;1996;Ambos sexos;Crecimiento vegetativo;67;
Aljaraque;1996;Hombres;Crecimiento vegetativo;33;
Aljaraque;1996;Mujeres;Crecimiento vegetativo;34;
Aljaraque;1997;Ambos sexos;Crecimiento vegetativo;26;
Aljaraque;1997;Hombres;Crecimiento vegetativo;17;
Aljaraque;1997;Mujeres;Crecimiento vegetativo;9;
Aljaraque;1998;Ambos sexos;Crecimiento vegetativo;40;
Aljaraque;1998;Hombres;Crecimiento vegetativo;16;
Aljaraque;1998;Mujeres;Crecimiento vegetativo;24;
Aljaraque;1999;Ambos sexos;Crecimiento vegetativo;58;
Aljaraque;1999;Hombres;Crecimiento vegetativo;31;
Aljaraque;1999;Mujeres;Crecimiento vegetativo;27;
Aljaraque;2000;Ambos sexos;Crecimiento vegetativo;85;
Aljaraque;2000;Hombres;Crecimiento vegetativo;43;
Aljaraque;2000;Mujeres;Crecimiento vegetativo;42;
Aljaraque;2001;Ambos sexos;Crecimiento vegetativo;90;
Aljaraque;2001;Hombres;Crecimiento vegetativo;30;
Aljaraque;2001;Mujeres;Crecimiento vegetativo;60;
Aljaraque;2002;Ambos sexos;Crecimiento vegetativo;94;
Aljaraque;2002;Hombres;Crecimiento vegetativo;46;
Aljaraque;2002;Mujeres;Crecimiento vegetativo;48;
Aljaraque;2003;Ambos sexos;Crecimiento vegetativo;117;
Aljaraque;2003;Hombres;Crecimiento vegetativo;58;
Aljaraque;2003;Mujeres;Crecimiento vegetativo;59;
Aljaraque;2004;Ambos sexos;Crecimiento vegetativo;148;
Aljaraque;2004;Hombres;Crecimiento vegetativo;80;
Aljaraque;2004;Mujeres;Crecimiento vegetativo;68;
Aljaraque;2005;Ambos sexos;Crecimiento vegetativo;126;
Aljaraque;2005;Hombres;Crecimiento vegetativo;52;
Aljaraque;2005;Mujeres;Crecimiento vegetativo;74;
Aljaraque;2006;Ambos sexos;Crecimiento vegetativo;161;
Aljaraque;2006;Hombres;Crecimiento vegetativo;81;
Aljaraque;2006;Mujeres;Crecimiento vegetativo;80;
Aljaraque;2007;Ambos sexos;Crecimiento vegetativo;159;
Aljaraque;2007;Hombres;Crecimiento vegetativo;65;
Aljaraque;2007;Mujeres;Crecimiento vegetativo;94;
Aljaraque;2008;Ambos sexos;Crecimiento vegetativo;192;
Aljaraque;2008;Hombres;Crecimiento vegetativo;101;
Aljaraque;2008;Mujeres;Crecimiento vegetativo;91;
Aljaraque;2009;Ambos sexos;Crecimiento vegetativo;158;
Aljaraque;2009;Hombres;Crecimiento vegetativo;90;
Aljaraque;2009;Mujeres;Crecimiento vegetativo;68;
Aljaraque;2010;Ambos sexos;Crecimiento vegetativo;186;
Aljaraque;2010;Hombres;Crecimiento vegetativo;101;
Aljaraque;2010;Mujeres;Crecimiento vegetativo;85;
Aljaraque;2011;Ambos sexos;Crecimiento vegetativo;197;
Aljaraque;2011;Hombres;Crecimiento vegetativo;117;
Aljaraque;2011;Mujeres;Crecimiento vegetativo;80;
Aljaraque;2012;Ambos sexos;Crecimiento vegetativo;166;
Aljaraque;2012;Hombres;Crecimiento vegetativo;92;
Aljaraque;2012;Mujeres;Crecimiento vegetativo;74;
Aljaraque;2013;Ambos sexos;Crecimiento vegetativo;164;
Aljaraque;2013;Hombres;Crecimiento vegetativo;83;
Aljaraque;2013;Mujeres;Crecimiento vegetativo;81;
Aljaraque;2014;Ambos sexos;Crecimiento vegetativo;128;
Aljaraque;2014;Hombres;Crecimiento vegetativo;71;
Aljaraque;2014;Mujeres;Crecimiento vegetativo;57;
Aljaraque;2015;Ambos sexos;Crecimiento vegetativo;129;
Aljaraque;2015;Hombres;Crecimiento vegetativo;51;
Aljaraque;2015;Mujeres;Crecimiento vegetativo;78;
Aljaraque;2016;Ambos sexos;Crecimiento vegetativo;111;
Aljaraque;2016;Hombres;Crecimiento vegetativo;70;
Aljaraque;2016;Mujeres;Crecimiento vegetativo;41;
Aljaraque;2017;Ambos sexos;Crecimiento vegetativo;113;
Aljaraque;2017;Hombres;Crecimiento vegetativo;65;
Aljaraque;2017;Mujeres;Crecimiento vegetativo;48;
Aljaraque;2018;Ambos sexos;Crecimiento vegetativo;59;
Aljaraque;2018;Hombres;Crecimiento vegetativo;37;
Aljaraque;2018;Mujeres;Crecimiento vegetativo;22;
Aljaraque;2019;Ambos sexos;Crecimiento vegetativo;60;
Aljaraque;2019;Hombres;Crecimiento vegetativo;28;
Aljaraque;2019;Mujeres;Crecimiento vegetativo;32;
Aljaraque;2020;Ambos sexos;Crecimiento vegetativo;23;
Aljaraque;2020;Hombres;Crecimiento vegetativo;14;
Aljaraque;2020;Mujeres;Crecimiento vegetativo;9;
Aljaraque;2021;Ambos sexos;Crecimiento vegetativo;59;
Aljaraque;2021;Hombres;Crecimiento vegetativo;29;
Aljaraque;2021;Mujeres;Crecimiento vegetativo;30;
Aljaraque;2022;Ambos sexos;Crecimiento vegetativo;56;
Aljaraque;2022;Hombres;Crecimiento vegetativo;38;
Aljaraque;2022;Mujeres;Crecimiento vegetativo;18;
Aljaraque;2023;Ambos sexos;Crecimiento vegetativo;30;
Aljaraque;2023;Hombres;Crecimiento vegetativo;16;
Aljaraque;2023;Mujeres;Crecimiento vegetativo;14;
Almonaster la Real;1996;Ambos sexos;Crecimiento vegetativo;-10;
Almonaster la Real;1996;Hombres;Crecimiento vegetativo;-6;
Almonaster la Real;1996;Mujeres;Crecimiento vegetativo;-4;
Almonaster la Real;1997;Ambos sexos;Crecimiento vegetativo;-3;
Almonaster la Real;1997;Hombres;Crecimiento vegetativo;-5;
Almonaster la Real;1997;Mujeres;Crecimiento vegetativo;2;
Almonaster la Real;1998;Ambos sexos;Crecimiento vegetativo;-16;
Almonaster la Real;1998;Hombres;Crecimiento vegetativo;-5;
Almonaster la Real;1998;Mujeres;Crecimiento vegetativo;-11;
Almonaster la Real;1999;Ambos sexos;Crecimiento vegetativo;-10;
Almonaster la Real;1999;Hombres;Crecimiento vegetativo;-8;
Almonaster la Real;1999;Mujeres;Crecimiento vegetativo;-2;
Almonaster la Real;2000;Ambos sexos;Crecimiento vegetativo;-10;
Almonaster la Real;2000;Hombres;Crecimiento vegetativo;-4;
Almonaster la Real;2000;Mujeres;Crecimiento vegetativo;-6;
Almonaster la Real;2001;Ambos sexos;Crecimiento vegetativo;-20;
Almonaster la Real;2001;Hombres;Crecimiento vegetativo;-9;
Almonaster la Real;2001;Mujeres;Crecimiento vegetativo;-11;
Almonaster la Real;2002;Ambos sexos;Crecimiento vegetativo;-23;
Almonaster la Real;2002;Hombres;Crecimiento vegetativo;-14;
Almonaster la Real;2002;Mujeres;Crecimiento vegetativo;-9;
Almonaster la Real;2003;Ambos sexos;Crecimiento vegetativo;-2;
Almonaster la Real;2003;Hombres;Crecimiento vegetativo;-3;
Almonaster la Real;2003;Mujeres;Crecimiento vegetativo;1;
Almonaster la Real;2004;Ambos sexos;Crecimiento vegetativo;-13;
Almonaster la Real;2004;Hombres;Crecimiento vegetativo;-6;
Almonaster la Real;2004;Mujeres;Crecimiento vegetativo;-7;
Almonaster la Real;2005;Ambos sexos;Crecimiento vegetativo;-21;
Almonaster la Real;2005;Hombres;Crecimiento vegetativo;-19;
Almonaster la Real;2005;Mujeres;Crecimiento vegetativo;-2;
Almonaster la Real;2006;Ambos sexos;Crecimiento vegetativo;-13;
Almonaster la Real;2006;Hombres;Crecimiento vegetativo;-5;
Almonaster la Real;2006;Mujeres;Crecimiento vegetativo;-8;
Almonaster la Real;2007;Ambos sexos;Crecimiento vegetativo;-5;
