Territorio;Anual;Medida;Sexo;Edad;Valor;
Andalucía;2007;Demandantes;Hombres;De 16 a 29 años;56577,4166648;
Andalucía;2007;Demandantes;Hombres;De 30 a 44 años;68385,16666501;
Andalucía;2007;Demandantes;Hombres;De 45 a 64 años;64387,49999907;
Andalucía;2007;Demandantes;Hombres;TOTAL;189350,08332888;
Andalucía;2007;Demandantes;Mujeres;De 16 a 29 años;74771,74999859;
Andalucía;2007;Demandantes;Mujeres;De 30 a 44 años;123473,83333175;
Andalucía;2007;Demandantes;Mujeres;De 45 a 64 años;104714,08333209;
Andalucía;2007;Demandantes;Mujeres;TOTAL;302959,66666243;
Andalucía;2007;Demandantes;Ambos sexos;De 16 a 29 años;131349,16666339;
Andalucía;2007;Demandantes;Ambos sexos;De 30 a 44 años;191858,99999676;
Andalucía;2007;Demandantes;Ambos sexos;De 45 a 64 años;169101,58333116;
Andalucía;2007;Demandantes;Ambos sexos;TOTAL;492309,74999131;
Andalucía;2008;Demandantes;Hombres;De 16 a 29 años;81427,91666488;
Andalucía;2008;Demandantes;Hombres;De 30 a 44 años;103066,24999838;
Andalucía;2008;Demandantes;Hombres;De 45 a 64 años;86426,24999849;
Andalucía;2008;Demandantes;Hombres;TOTAL;270920,41666175;
Andalucía;2008;Demandantes;Mujeres;De 16 a 29 años;78267,66666547;
Andalucía;2008;Demandantes;Mujeres;De 30 a 44 años;136870,58333174;
Andalucía;2008;Demandantes;Mujeres;De 45 a 64 años;116829,24999897;
Andalucía;2008;Demandantes;Mujeres;TOTAL;331967,49999618;
Andalucía;2008;Demandantes;Ambos sexos;De 16 a 29 años;159695,58333035;
Andalucía;2008;Demandantes;Ambos sexos;De 30 a 44 años;239936,83333012;
Andalucía;2008;Demandantes;Ambos sexos;De 45 a 64 años;203255,49999746;
Andalucía;2008;Demandantes;Ambos sexos;TOTAL;602887,91665793;
Andalucía;2009;Demandantes;Hombres;De 16 a 29 años;115058,74999862;
Andalucía;2009;Demandantes;Hombres;De 30 a 44 años;162102,99999884;
Andalucía;2009;Demandantes;Hombres;De 45 a 64 años;124018,58333188;
Andalucía;2009;Demandantes;Hombres;TOTAL;401180,33332934;
Andalucía;2009;Demandantes;Mujeres;De 16 a 29 años;94933,16666503;
Andalucía;2009;Demandantes;Mujeres;De 30 a 44 años;170178,66666584;
Andalucía;2009;Demandantes;Mujeres;De 45 a 64 años;137355,41666576;
Andalucía;2009;Demandantes;Mujeres;TOTAL;402467,24999663;
Andalucía;2009;Demandantes;Ambos sexos;De 16 a 29 años;209991,91666365;
Andalucía;2009;Demandantes;Ambos sexos;De 30 a 44 años;332281,66666468;
Andalucía;2009;Demandantes;Ambos sexos;De 45 a 64 años;261373,99999764;
Andalucía;2009;Demandantes;Ambos sexos;TOTAL;803647,58332597;
Almería;2007;Demandantes;Hombres;De 16 a 29 años;3690,83333317;
Almería;2007;Demandantes;Hombres;De 30 a 44 años;4674,58333315;
Almería;2007;Demandantes;Hombres;De 45 a 64 años;3943,08333339;
Almería;2007;Demandantes;Hombres;TOTAL;12308,49999971;
Almería;2007;Demandantes;Mujeres;De 16 a 29 años;5186,66666665;
Almería;2007;Demandantes;Mujeres;De 30 a 44 años;7700,9166666;
Almería;2007;Demandantes;Mujeres;De 45 a 64 años;4673,83333324;
Almería;2007;Demandantes;Mujeres;TOTAL;17561,41666649;
Almería;2007;Demandantes;Ambos sexos;De 16 a 29 años;8877,49999982;
Almería;2007;Demandantes;Ambos sexos;De 30 a 44 años;12375,49999975;
Almería;2007;Demandantes;Ambos sexos;De 45 a 64 años;8616,91666663;
Almería;2007;Demandantes;Ambos sexos;TOTAL;29869,9166662;
Almería;2008;Demandantes;Hombres;De 16 a 29 años;6308,58333314;
Almería;2008;Demandantes;Hombres;De 30 a 44 años;8405,83333328;
Almería;2008;Demandantes;Hombres;De 45 a 64 años;6155,99999986;
Almería;2008;Demandantes;Hombres;TOTAL;20870,41666628;
Almería;2008;Demandantes;Mujeres;De 16 a 29 años;5669,4999998;
Almería;2008;Demandantes;Mujeres;De 30 a 44 años;9023,16666638;
Almería;2008;Demandantes;Mujeres;De 45 a 64 años;5660,33333324;
Almería;2008;Demandantes;Mujeres;TOTAL;20352,99999942;
Almería;2008;Demandantes;Ambos sexos;De 16 a 29 años;11978,08333294;
Almería;2008;Demandantes;Ambos sexos;De 30 a 44 años;17428,99999966;
Almería;2008;Demandantes;Ambos sexos;De 45 a 64 años;11816,3333331;
Almería;2008;Demandantes;Ambos sexos;TOTAL;41223,4166657;
Almería;2009;Demandantes;Hombres;De 16 a 29 años;9329,58333304;
Almería;2009;Demandantes;Hombres;De 30 a 44 años;14263,41666664;
Almería;2009;Demandantes;Hombres;De 45 a 64 años;9806,58333324;
Almería;2009;Demandantes;Hombres;TOTAL;33399,58333292;
Almería;2009;Demandantes;Mujeres;De 16 a 29 años;7224,33333328;
Almería;2009;Demandantes;Mujeres;De 30 a 44 años;12083,41666648;
Almería;2009;Demandantes;Mujeres;De 45 a 64 años;7423,91666655;
Almería;2009;Demandantes;Mujeres;TOTAL;26731,66666631;
Almería;2009;Demandantes;Ambos sexos;De 16 a 29 años;16553,91666632;
Almería;2009;Demandantes;Ambos sexos;De 30 a 44 años;26346,83333312;
Almería;2009;Demandantes;Ambos sexos;De 45 a 64 años;17230,49999979;
Almería;2009;Demandantes;Ambos sexos;TOTAL;60131,24999923;
Abla;2007;Demandantes;Hombres;De 16 a 29 años;5,16666667;
Abla;2007;Demandantes;Hombres;De 30 a 44 años;4,83333333;
Abla;2007;Demandantes;Hombres;De 45 a 64 años;10,66666665;
Abla;2007;Demandantes;Hombres;TOTAL;20,66666665;
Abla;2007;Demandantes;Mujeres;De 16 a 29 años;8,58333334;
Abla;2007;Demandantes;Mujeres;De 30 a 44 años;9,16666667;
Abla;2007;Demandantes;Mujeres;De 45 a 64 años;10,16666666;
Abla;2007;Demandantes;Mujeres;TOTAL;27,91666667;
Abla;2007;Demandantes;Ambos sexos;De 16 a 29 años;13,75000001;
Abla;2007;Demandantes;Ambos sexos;De 30 a 44 años;14;
Abla;2007;Demandantes;Ambos sexos;De 45 a 64 años;20,83333331;
Abla;2007;Demandantes;Ambos sexos;TOTAL;48,58333332;
Abla;2008;Demandantes;Hombres;De 16 a 29 años;7;
Abla;2008;Demandantes;Hombres;De 30 a 44 años;11,41666668;
Abla;2008;Demandantes;Hombres;De 45 a 64 años;19,58333334;
Abla;2008;Demandantes;Hombres;TOTAL;38,00000002;
Abla;2008;Demandantes;Mujeres;De 16 a 29 años;6,00000001;
Abla;2008;Demandantes;Mujeres;De 30 a 44 años;13,41666669;
Abla;2008;Demandantes;Mujeres;De 45 a 64 años;6,99999999;
Abla;2008;Demandantes;Mujeres;TOTAL;26,41666669;
Abla;2008;Demandantes;Ambos sexos;De 16 a 29 años;13,00000001;
Abla;2008;Demandantes;Ambos sexos;De 30 a 44 años;24,83333337;
Abla;2008;Demandantes;Ambos sexos;De 45 a 64 años;26,58333333;
Abla;2008;Demandantes;Ambos sexos;TOTAL;64,41666671;
Abla;2009;Demandantes;Hombres;De 16 a 29 años;9,58333334;
Abla;2009;Demandantes;Hombres;De 30 a 44 años;12,25;
Abla;2009;Demandantes;Hombres;De 45 a 64 años;25,08333333;
Abla;2009;Demandantes;Hombres;TOTAL;46,91666667;
Abla;2009;Demandantes;Mujeres;De 16 a 29 años;5,41666666;
Abla;2009;Demandantes;Mujeres;De 30 a 44 años;13,16666666;
Abla;2009;Demandantes;Mujeres;De 45 a 64 años;7,5;
Abla;2009;Demandantes;Mujeres;TOTAL;26,08333332;
Abla;2009;Demandantes;Ambos sexos;De 16 a 29 años;15;
Abla;2009;Demandantes;Ambos sexos;De 30 a 44 años;25,41666666;
Abla;2009;Demandantes;Ambos sexos;De 45 a 64 años;32,58333333;
Abla;2009;Demandantes;Ambos sexos;TOTAL;72,99999999;
Abrucena;2007;Demandantes;Hombres;De 16 a 29 años;4,25;
Abrucena;2007;Demandantes;Hombres;De 30 a 44 años;9,25000001;
Abrucena;2007;Demandantes;Hombres;De 45 a 64 años;10,83333334;
Abrucena;2007;Demandantes;Hombres;TOTAL;24,33333335;
Abrucena;2007;Demandantes;Mujeres;De 16 a 29 años;7,66666666;
Abrucena;2007;Demandantes;Mujeres;De 30 a 44 años;3,91666665;
Abrucena;2007;Demandantes;Mujeres;De 45 a 64 años;2,58333333;
Abrucena;2007;Demandantes;Mujeres;TOTAL;14,16666664;
Abrucena;2007;Demandantes;Ambos sexos;De 16 a 29 años;11,91666666;
Abrucena;2007;Demandantes;Ambos sexos;De 30 a 44 años;13,16666666;
Abrucena;2007;Demandantes;Ambos sexos;De 45 a 64 años;13,41666667;
Abrucena;2007;Demandantes;Ambos sexos;TOTAL;38,49999999;
Abrucena;2008;Demandantes;Hombres;De 16 a 29 años;6,41666666;
Abrucena;2008;Demandantes;Hombres;De 30 a 44 años;14,08333333;
Abrucena;2008;Demandantes;Hombres;De 45 a 64 años;13,83333334;
Abrucena;2008;Demandantes;Hombres;TOTAL;34,33333333;
Abrucena;2008;Demandantes;Mujeres;De 16 a 29 años;7,74999999;
Abrucena;2008;Demandantes;Mujeres;De 30 a 44 años;7,74999999;
Abrucena;2008;Demandantes;Mujeres;De 45 a 64 años;2,99999999;
Abrucena;2008;Demandantes;Mujeres;TOTAL;18,49999997;
Abrucena;2008;Demandantes;Ambos sexos;De 16 a 29 años;14,16666665;
Abrucena;2008;Demandantes;Ambos sexos;De 30 a 44 años;21,83333332;
Abrucena;2008;Demandantes;Ambos sexos;De 45 a 64 años;16,83333333;
Abrucena;2008;Demandantes;Ambos sexos;TOTAL;52,8333333;
Abrucena;2009;Demandantes;Hombres;De 16 a 29 años;8,08333334;
Abrucena;2009;Demandantes;Hombres;De 30 a 44 años;13,08333333;
Abrucena;2009;Demandantes;Hombres;De 45 a 64 años;14,75;
Abrucena;2009;Demandantes;Hombres;TOTAL;35,91666667;
Abrucena;2009;Demandantes;Mujeres;De 16 a 29 años;8;
Abrucena;2009;Demandantes;Mujeres;De 30 a 44 años;7,16666667;
Abrucena;2009;Demandantes;Mujeres;De 45 a 64 años;5,5;
Abrucena;2009;Demandantes;Mujeres;TOTAL;20,66666667;
Abrucena;2009;Demandantes;Ambos sexos;De 16 a 29 años;16,08333334;
Abrucena;2009;Demandantes;Ambos sexos;De 30 a 44 años;20,25;
Abrucena;2009;Demandantes;Ambos sexos;De 45 a 64 años;20,25;
Abrucena;2009;Demandantes;Ambos sexos;TOTAL;56,58333334;
Adra;2007;Demandantes;Hombres;De 16 a 29 años;140;
Adra;2007;Demandantes;Hombres;De 30 a 44 años;147,41666667;
Adra;2007;Demandantes;Hombres;De 45 a 64 años;105,58333334;
Adra;2007;Demandantes;Hombres;TOTAL;393,00000001;
Adra;2007;Demandantes;Mujeres;De 16 a 29 años;286,41666667;
Adra;2007;Demandantes;Mujeres;De 30 a 44 años;300,5833333;
Adra;2007;Demandantes;Mujeres;De 45 a 64 años;178,49999999;
Adra;2007;Demandantes;Mujeres;TOTAL;765,49999996;
Adra;2007;Demandantes;Ambos sexos;De 16 a 29 años;426,41666667;
Adra;2007;Demandantes;Ambos sexos;De 30 a 44 años;447,99999997;
Adra;2007;Demandantes;Ambos sexos;De 45 a 64 años;284,08333333;
Adra;2007;Demandantes;Ambos sexos;TOTAL;1158,49999997;
Adra;2008;Demandantes;Hombres;De 16 a 29 años;350,83333333;
Adra;2008;Demandantes;Hombres;De 30 a 44 años;328,5;
Adra;2008;Demandantes;Hombres;De 45 a 64 años;204,33333333;
Adra;2008;Demandantes;Hombres;TOTAL;883,66666666;
Adra;2008;Demandantes;Mujeres;De 16 a 29 años;272,08333332;
Adra;2008;Demandantes;Mujeres;De 30 a 44 años;325,00000001;
Adra;2008;Demandantes;Mujeres;De 45 a 64 años;227,83333333;
Adra;2008;Demandantes;Mujeres;TOTAL;824,91666666;
Adra;2008;Demandantes;Ambos sexos;De 16 a 29 años;622,91666665;
Adra;2008;Demandantes;Ambos sexos;De 30 a 44 años;653,50000001;
Adra;2008;Demandantes;Ambos sexos;De 45 a 64 años;432,16666666;
Adra;2008;Demandantes;Ambos sexos;TOTAL;1708,58333332;
Adra;2009;Demandantes;Hombres;De 16 a 29 años;497,41666665;
Adra;2009;Demandantes;Hombres;De 30 a 44 años;545,83333331;
Adra;2009;Demandantes;Hombres;De 45 a 64 años;351,5;
Adra;2009;Demandantes;Hombres;TOTAL;1394,74999996;
Adra;2009;Demandantes;Mujeres;De 16 a 29 años;306,8333333;
Adra;2009;Demandantes;Mujeres;De 30 a 44 años;448,91666666;
Adra;2009;Demandantes;Mujeres;De 45 a 64 años;325,58333333;
Adra;2009;Demandantes;Mujeres;TOTAL;1081,33333329;
Adra;2009;Demandantes;Ambos sexos;De 16 a 29 años;804,24999995;
Adra;2009;Demandantes;Ambos sexos;De 30 a 44 años;994,74999997;
Adra;2009;Demandantes;Ambos sexos;De 45 a 64 años;677,08333333;
Adra;2009;Demandantes;Ambos sexos;TOTAL;2476,08333325;
Albanchez;2007;Demandantes;Hombres;De 16 a 29 años;0,66666667;
Albanchez;2007;Demandantes;Hombres;De 30 a 44 años;1,75;
Albanchez;2007;Demandantes;Hombres;De 45 a 64 años;2,83333333;
Albanchez;2007;Demandantes;Hombres;TOTAL;5,25;
Albanchez;2007;Demandantes;Mujeres;De 16 a 29 años;-;
Albanchez;2007;Demandantes;Mujeres;De 30 a 44 años;0,58333334;
Albanchez;2007;Demandantes;Mujeres;De 45 a 64 años;1,25;
Albanchez;2007;Demandantes;Mujeres;TOTAL;1,83333334;
Albanchez;2007;Demandantes;Ambos sexos;De 16 a 29 años;0,66666667;
Albanchez;2007;Demandantes;Ambos sexos;De 30 a 44 años;2,33333334;
Albanchez;2007;Demandantes;Ambos sexos;De 45 a 64 años;4,08333333;
Albanchez;2007;Demandantes;Ambos sexos;TOTAL;7,08333334;
Albanchez;2008;Demandantes;Hombres;De 16 a 29 años;3,58333334;
Albanchez;2008;Demandantes;Hombres;De 30 a 44 años;4,58333333;
Albanchez;2008;Demandantes;Hombres;De 45 a 64 años;5,16666667;
Albanchez;2008;Demandantes;Hombres;TOTAL;13,33333334;
Albanchez;2008;Demandantes;Mujeres;De 16 a 29 años;0,91666666;
Albanchez;2008;Demandantes;Mujeres;De 30 a 44 años;3,83333333;
Albanchez;2008;Demandantes;Mujeres;De 45 a 64 años;1,16666666;
Albanchez;2008;Demandantes;Mujeres;TOTAL;5,91666665;
Albanchez;2008;Demandantes;Ambos sexos;De 16 a 29 años;4,5;
Albanchez;2008;Demandantes;Ambos sexos;De 30 a 44 años;8,41666666;
Albanchez;2008;Demandantes;Ambos sexos;De 45 a 64 años;6,33333333;
Albanchez;2008;Demandantes;Ambos sexos;TOTAL;19,24999999;
Albanchez;2009;Demandantes;Hombres;De 16 a 29 años;5,41666666;
Albanchez;2009;Demandantes;Hombres;De 30 a 44 años;6,41666667;
Albanchez;2009;Demandantes;Hombres;De 45 a 64 años;3,91666667;
Albanchez;2009;Demandantes;Hombres;TOTAL;15,75;
Albanchez;2009;Demandantes;Mujeres;De 16 a 29 años;2,16666667;
Albanchez;2009;Demandantes;Mujeres;De 30 a 44 años;4,58333333;
Albanchez;2009;Demandantes;Mujeres;De 45 a 64 años;2;
Albanchez;2009;Demandantes;Mujeres;TOTAL;8,75;
Albanchez;2009;Demandantes;Ambos sexos;De 16 a 29 años;7,58333333;
Albanchez;2009;Demandantes;Ambos sexos;De 30 a 44 años;11;
Albanchez;2009;Demandantes;Ambos sexos;De 45 a 64 años;5,91666667;
Albanchez;2009;Demandantes;Ambos sexos;TOTAL;24,5;
Alboloduy;2007;Demandantes;Hombres;De 16 a 29 años;2,75;
Alboloduy;2007;Demandantes;Hombres;De 30 a 44 años;5,33333333;
Alboloduy;2007;Demandantes;Hombres;De 45 a 64 años;2;
Alboloduy;2007;Demandantes;Hombres;TOTAL;10,08333333;
Alboloduy;2007;Demandantes;Mujeres;De 16 a 29 años;7,16666666;
Alboloduy;2007;Demandantes;Mujeres;De 30 a 44 años;8,33333333;
Alboloduy;2007;Demandantes;Mujeres;De 45 a 64 años;0,08333333;
Alboloduy;2007;Demandantes;Mujeres;TOTAL;15,58333332;
Alboloduy;2007;Demandantes;Ambos sexos;De 16 a 29 años;9,91666666;
Alboloduy;2007;Demandantes;Ambos sexos;De 30 a 44 años;13,66666666;
Alboloduy;2007;Demandantes;Ambos sexos;De 45 a 64 años;2,08333333;
Alboloduy;2007;Demandantes;Ambos sexos;TOTAL;25,66666665;
Alboloduy;2008;Demandantes;Hombres;De 16 a 29 años;2,66666666;
Alboloduy;2008;Demandantes;Hombres;De 30 a 44 años;6,41666667;
Alboloduy;2008;Demandantes;Hombres;De 45 a 64 años;3,41666667;
Alboloduy;2008;Demandantes;Hombres;TOTAL;12,5;
Alboloduy;2008;Demandantes;Mujeres;De 16 a 29 años;5,66666667;
Alboloduy;2008;Demandantes;Mujeres;De 30 a 44 años;7,41666666;
Alboloduy;2008;Demandantes;Mujeres;De 45 a 64 años;0,08333333;
Alboloduy;2008;Demandantes;Mujeres;TOTAL;13,16666666;
Alboloduy;2008;Demandantes;Ambos sexos;De 16 a 29 años;8,33333333;
Alboloduy;2008;Demandantes;Ambos sexos;De 30 a 44 años;13,83333333;
Alboloduy;2008;Demandantes;Ambos sexos;De 45 a 64 años;3,5;
Alboloduy;2008;Demandantes;Ambos sexos;TOTAL;25,66666666;
Alboloduy;2009;Demandantes;Hombres;De 16 a 29 años;5,58333333;
Alboloduy;2009;Demandantes;Hombres;De 30 a 44 años;8;
Alboloduy;2009;Demandantes;Hombres;De 45 a 64 años;5,66666667;
Alboloduy;2009;Demandantes;Hombres;TOTAL;19,25;
Alboloduy;2009;Demandantes;Mujeres;De 16 a 29 años;2,5;
Alboloduy;2009;Demandantes;Mujeres;De 30 a 44 años;8,58333332;
Alboloduy;2009;Demandantes;Mujeres;De 45 a 64 años;0,83333333;
Alboloduy;2009;Demandantes;Mujeres;TOTAL;11,91666665;
Alboloduy;2009;Demandantes;Ambos sexos;De 16 a 29 años;8,08333333;
Alboloduy;2009;Demandantes;Ambos sexos;De 30 a 44 años;16,58333332;
Alboloduy;2009;Demandantes;Ambos sexos;De 45 a 64 años;6,5;
Alboloduy;2009;Demandantes;Ambos sexos;TOTAL;31,16666665;
Albox;2007;Demandantes;Hombres;De 16 a 29 años;37,99999999;
Albox;2007;Demandantes;Hombres;De 30 a 44 años;59,16666667;
Albox;2007;Demandantes;Hombres;De 45 a 64 años;65,75;
Albox;2007;Demandantes;Hombres;TOTAL;162,91666666;
Albox;2007;Demandantes;Mujeres;De 16 a 29 años;62,16666667;
Albox;2007;Demandantes;Mujeres;De 30 a 44 años;81,58333333;
Albox;2007;Demandantes;Mujeres;De 45 a 64 años;53,83333335;
Albox;2007;Demandantes;Mujeres;TOTAL;197,58333335;
Albox;2007;Demandantes;Ambos sexos;De 16 a 29 años;100,16666666;
Albox;2007;Demandantes;Ambos sexos;De 30 a 44 años;140,75;
Albox;2007;Demandantes;Ambos sexos;De 45 a 64 años;119,58333335;
Albox;2007;Demandantes;Ambos sexos;TOTAL;360,50000001;
Albox;2008;Demandantes;Hombres;De 16 a 29 años;81,58333333;
Albox;2008;Demandantes;Hombres;De 30 a 44 años;98,83333333;
Albox;2008;Demandantes;Hombres;De 45 a 64 años;94,41666666;
