Lugar de destino;Anual;Sexo;Edad;Medida;Valor;
Almería;2021;Hombres;TOTAL;Inmigraciones;24775;
Almería;2021;Mujeres;Menores de 16 años;Inmigraciones;3355;
Almería;2021;Mujeres;De 16 a 39 años;Inmigraciones;8288;
Almería;2021;Mujeres;De 40 a 64 años;Inmigraciones;5268;
Almería;2021;Mujeres;De 65 y más años;Inmigraciones;1583;
Almería;2021;Mujeres;TOTAL;Inmigraciones;18494;
Almería;2021;Ambos sexos;Menores de 16 años;Inmigraciones;7006;
Almería;2021;Ambos sexos;De 16 a 39 años;Inmigraciones;20970;
Almería;2021;Ambos sexos;De 40 a 64 años;Inmigraciones;12123;
Almería;2021;Ambos sexos;De 65 y más años;Inmigraciones;3170;
Almería;2021;Ambos sexos;TOTAL;Inmigraciones;43269;
Abla;2019;Hombres;Menores de 16 años;Inmigraciones;3;
Abla;2019;Hombres;De 16 a 39 años;Inmigraciones;16;
Abla;2019;Hombres;De 40 a 64 años;Inmigraciones;11;
Abla;2019;Hombres;De 65 y más años;Inmigraciones;7;
Abla;2019;Hombres;TOTAL;Inmigraciones;37;
Abla;2019;Mujeres;Menores de 16 años;Inmigraciones;9;
Abla;2019;Mujeres;De 16 a 39 años;Inmigraciones;13;
Abla;2019;Mujeres;De 40 a 64 años;Inmigraciones;10;
Abla;2019;Mujeres;De 65 y más años;Inmigraciones;13;
Abla;2019;Mujeres;TOTAL;Inmigraciones;45;
Abla;2019;Ambos sexos;Menores de 16 años;Inmigraciones;12;
Abla;2019;Ambos sexos;De 16 a 39 años;Inmigraciones;29;
Abla;2019;Ambos sexos;De 40 a 64 años;Inmigraciones;21;
Abla;2019;Ambos sexos;De 65 y más años;Inmigraciones;20;
Abla;2019;Ambos sexos;TOTAL;Inmigraciones;82;
Abla;2020;Hombres;Menores de 16 años;Inmigraciones;3;
Abla;2020;Hombres;De 16 a 39 años;Inmigraciones;14;
Abla;2020;Hombres;De 40 a 64 años;Inmigraciones;12;
Abla;2020;Hombres;De 65 y más años;Inmigraciones;7;
Abla;2020;Hombres;TOTAL;Inmigraciones;36;
Abla;2020;Mujeres;Menores de 16 años;Inmigraciones;3;
