Lugar de destino;Anual;Sexo;Edad;Medida;Valor;
Hinojosa del Duque;2021;Mujeres;Menores de 16 años;Inmigraciones;10;
Hinojosa del Duque;2021;Mujeres;De 16 a 39 años;Inmigraciones;23;
Hinojosa del Duque;2021;Mujeres;De 40 a 64 años;Inmigraciones;25;
Hinojosa del Duque;2021;Mujeres;De 65 y más años;Inmigraciones;10;
Hinojosa del Duque;2021;Mujeres;TOTAL;Inmigraciones;68;
Hinojosa del Duque;2021;Ambos sexos;Menores de 16 años;Inmigraciones;15;
Hinojosa del Duque;2021;Ambos sexos;De 16 a 39 años;Inmigraciones;57;
Hinojosa del Duque;2021;Ambos sexos;De 40 a 64 años;Inmigraciones;38;
Hinojosa del Duque;2021;Ambos sexos;De 65 y más años;Inmigraciones;18;
Hinojosa del Duque;2021;Ambos sexos;TOTAL;Inmigraciones;128;
Hornachuelos;2019;Hombres;Menores de 16 años;Inmigraciones;15;
Hornachuelos;2019;Hombres;De 16 a 39 años;Inmigraciones;29;
Hornachuelos;2019;Hombres;De 40 a 64 años;Inmigraciones;27;
Hornachuelos;2019;Hombres;De 65 y más años;Inmigraciones;1;
Hornachuelos;2019;Hombres;TOTAL;Inmigraciones;72;
Hornachuelos;2019;Mujeres;Menores de 16 años;Inmigraciones;20;
Hornachuelos;2019;Mujeres;De 16 a 39 años;Inmigraciones;35;
Hornachuelos;2019;Mujeres;De 40 a 64 años;Inmigraciones;14;
Hornachuelos;2019;Mujeres;De 65 y más años;Inmigraciones;9;
Hornachuelos;2019;Mujeres;TOTAL;Inmigraciones;78;
Hornachuelos;2019;Ambos sexos;Menores de 16 años;Inmigraciones;35;
Hornachuelos;2019;Ambos sexos;De 16 a 39 años;Inmigraciones;64;
Hornachuelos;2019;Ambos sexos;De 40 a 64 años;Inmigraciones;41;
Hornachuelos;2019;Ambos sexos;De 65 y más años;Inmigraciones;10;
Hornachuelos;2019;Ambos sexos;TOTAL;Inmigraciones;150;
Hornachuelos;2020;Hombres;Menores de 16 años;Inmigraciones;26;
Hornachuelos;2020;Hombres;De 16 a 39 años;Inmigraciones;28;
Hornachuelos;2020;Hombres;De 40 a 64 años;Inmigraciones;22;
Hornachuelos;2020;Hombres;De 65 y más años;Inmigraciones;6;
Hornachuelos;2020;Hombres;TOTAL;Inmigraciones;82;
Hornachuelos;2020;Mujeres;Menores de 16 años;Inmigraciones;15;
Hornachuelos;2020;Mujeres;De 16 a 39 años;Inmigraciones;31;
Hornachuelos;2020;Mujeres;De 40 a 64 años;Inmigraciones;17;
Hornachuelos;2020;Mujeres;De 65 y más años;Inmigraciones;7;
Hornachuelos;2020;Mujeres;TOTAL;Inmigraciones;70;
Hornachuelos;2020;Ambos sexos;Menores de 16 años;Inmigraciones;41;
Hornachuelos;2020;Ambos sexos;De 16 a 39 años;Inmigraciones;59;
Hornachuelos;2020;Ambos sexos;De 40 a 64 años;Inmigraciones;39;
Hornachuelos;2020;Ambos sexos;De 65 y más años;Inmigraciones;13;
Hornachuelos;2020;Ambos sexos;TOTAL;Inmigraciones;152;
Hornachuelos;2021;Hombres;Menores de 16 años;Inmigraciones;7;
Hornachuelos;2021;Hombres;De 16 a 39 años;Inmigraciones;23;
Hornachuelos;2021;Hombres;De 40 a 64 años;Inmigraciones;12;
Hornachuelos;2021;Hombres;De 65 y más años;Inmigraciones;4;
Hornachuelos;2021;Hombres;TOTAL;Inmigraciones;46;
Hornachuelos;2021;Mujeres;Menores de 16 años;Inmigraciones;8;
Hornachuelos;2021;Mujeres;De 16 a 39 años;Inmigraciones;26;
Hornachuelos;2021;Mujeres;De 40 a 64 años;Inmigraciones;10;
Hornachuelos;2021;Mujeres;De 65 y más años;Inmigraciones;6;
Hornachuelos;2021;Mujeres;TOTAL;Inmigraciones;50;
Hornachuelos;2021;Ambos sexos;Menores de 16 años;Inmigraciones;15;
Hornachuelos;2021;Ambos sexos;De 16 a 39 años;Inmigraciones;49;
Hornachuelos;2021;Ambos sexos;De 40 a 64 años;Inmigraciones;22;
Hornachuelos;2021;Ambos sexos;De 65 y más años;Inmigraciones;10;
Hornachuelos;2021;Ambos sexos;TOTAL;Inmigraciones;96;
Iznájar;2019;Hombres;Menores de 16 años;Inmigraciones;8;
Iznájar;2019;Hombres;De 16 a 39 años;Inmigraciones;26;
Iznájar;2019;Hombres;De 40 a 64 años;Inmigraciones;21;
Iznájar;2019;Hombres;De 65 y más años;Inmigraciones;6;
Iznájar;2019;Hombres;TOTAL;Inmigraciones;61;
Iznájar;2019;Mujeres;Menores de 16 años;Inmigraciones;11;
Iznájar;2019;Mujeres;De 16 a 39 años;Inmigraciones;26;
Iznájar;2019;Mujeres;De 40 a 64 años;Inmigraciones;27;
Iznájar;2019;Mujeres;De 65 y más años;Inmigraciones;12;
Iznájar;2019;Mujeres;TOTAL;Inmigraciones;76;
Iznájar;2019;Ambos sexos;Menores de 16 años;Inmigraciones;19;
Iznájar;2019;Ambos sexos;De 16 a 39 años;Inmigraciones;52;
Iznájar;2019;Ambos sexos;De 40 a 64 años;Inmigraciones;48;
Iznájar;2019;Ambos sexos;De 65 y más años;Inmigraciones;18;
Iznájar;2019;Ambos sexos;TOTAL;Inmigraciones;137;
Iznájar;2020;Hombres;Menores de 16 años;Inmigraciones;11;
Iznájar;2020;Hombres;De 16 a 39 años;Inmigraciones;24;
Iznájar;2020;Hombres;De 40 a 64 años;Inmigraciones;28;
Iznájar;2020;Hombres;De 65 y más años;Inmigraciones;7;
Iznájar;2020;Hombres;TOTAL;Inmigraciones;70;
Iznájar;2020;Mujeres;Menores de 16 años;Inmigraciones;6;
Iznájar;2020;Mujeres;De 16 a 39 años;Inmigraciones;28;
Iznájar;2020;Mujeres;De 40 a 64 años;Inmigraciones;14;
Iznájar;2020;Mujeres;De 65 y más años;Inmigraciones;4;
Iznájar;2020;Mujeres;TOTAL;Inmigraciones;52;
Iznájar;2020;Ambos sexos;Menores de 16 años;Inmigraciones;17;
Iznájar;2020;Ambos sexos;De 16 a 39 años;Inmigraciones;52;
Iznájar;2020;Ambos sexos;De 40 a 64 años;Inmigraciones;42;
Iznájar;2020;Ambos sexos;De 65 y más años;Inmigraciones;11;
Iznájar;2020;Ambos sexos;TOTAL;Inmigraciones;122;
Iznájar;2021;Hombres;Menores de 16 años;Inmigraciones;11;
Iznájar;2021;Hombres;De 16 a 39 años;Inmigraciones;38;
Iznájar;2021;Hombres;De 40 a 64 años;Inmigraciones;27;
Iznájar;2021;Hombres;De 65 y más años;Inmigraciones;4;
Iznájar;2021;Hombres;TOTAL;Inmigraciones;80;
Iznájar;2021;Mujeres;Menores de 16 años;Inmigraciones;8;
Iznájar;2021;Mujeres;De 16 a 39 años;Inmigraciones;19;
Iznájar;2021;Mujeres;De 40 a 64 años;Inmigraciones;18;
Iznájar;2021;Mujeres;De 65 y más años;Inmigraciones;10;
Iznájar;2021;Mujeres;TOTAL;Inmigraciones;55;
Iznájar;2021;Ambos sexos;Menores de 16 años;Inmigraciones;19;
Iznájar;2021;Ambos sexos;De 16 a 39 años;Inmigraciones;57;
Iznájar;2021;Ambos sexos;De 40 a 64 años;Inmigraciones;45;
Iznájar;2021;Ambos sexos;De 65 y más años;Inmigraciones;14;
Iznájar;2021;Ambos sexos;TOTAL;Inmigraciones;135;
La Carlota;2019;Hombres;Menores de 16 años;Inmigraciones;40;
La Carlota;2019;Hombres;De 16 a 39 años;Inmigraciones;89;
La Carlota;2019;Hombres;De 40 a 64 años;Inmigraciones;69;
La Carlota;2019;Hombres;De 65 y más años;Inmigraciones;24;
La Carlota;2019;Hombres;TOTAL;Inmigraciones;222;
La Carlota;2019;Mujeres;Menores de 16 años;Inmigraciones;43;
La Carlota;2019;Mujeres;De 16 a 39 años;Inmigraciones;130;
La Carlota;2019;Mujeres;De 40 a 64 años;Inmigraciones;53;
La Carlota;2019;Mujeres;De 65 y más años;Inmigraciones;28;
La Carlota;2019;Mujeres;TOTAL;Inmigraciones;254;
La Carlota;2019;Ambos sexos;Menores de 16 años;Inmigraciones;83;
La Carlota;2019;Ambos sexos;De 16 a 39 años;Inmigraciones;219;
La Carlota;2019;Ambos sexos;De 40 a 64 años;Inmigraciones;122;
La Carlota;2019;Ambos sexos;De 65 y más años;Inmigraciones;52;
La Carlota;2019;Ambos sexos;TOTAL;Inmigraciones;476;
La Carlota;2020;Hombres;Menores de 16 años;Inmigraciones;41;
La Carlota;2020;Hombres;De 16 a 39 años;Inmigraciones;95;
La Carlota;2020;Hombres;De 40 a 64 años;Inmigraciones;67;
La Carlota;2020;Hombres;De 65 y más años;Inmigraciones;28;
La Carlota;2020;Hombres;TOTAL;Inmigraciones;231;
La Carlota;2020;Mujeres;Menores de 16 años;Inmigraciones;46;
La Carlota;2020;Mujeres;De 16 a 39 años;Inmigraciones;119;
La Carlota;2020;Mujeres;De 40 a 64 años;Inmigraciones;58;
La Carlota;2020;Mujeres;De 65 y más años;Inmigraciones;26;
La Carlota;2020;Mujeres;TOTAL;Inmigraciones;249;
La Carlota;2020;Ambos sexos;Menores de 16 años;Inmigraciones;87;
La Carlota;2020;Ambos sexos;De 16 a 39 años;Inmigraciones;214;
La Carlota;2020;Ambos sexos;De 40 a 64 años;Inmigraciones;125;
La Carlota;2020;Ambos sexos;De 65 y más años;Inmigraciones;54;
La Carlota;2020;Ambos sexos;TOTAL;Inmigraciones;480;
La Carlota;2021;Hombres;Menores de 16 años;Inmigraciones;39;
La Carlota;2021;Hombres;De 16 a 39 años;Inmigraciones;104;
La Carlota;2021;Hombres;De 40 a 64 años;Inmigraciones;68;
La Carlota;2021;Hombres;De 65 y más años;Inmigraciones;27;
La Carlota;2021;Hombres;TOTAL;Inmigraciones;238;
La Carlota;2021;Mujeres;Menores de 16 años;Inmigraciones;36;
La Carlota;2021;Mujeres;De 16 a 39 años;Inmigraciones;104;
La Carlota;2021;Mujeres;De 40 a 64 años;Inmigraciones;55;
La Carlota;2021;Mujeres;De 65 y más años;Inmigraciones;24;
La Carlota;2021;Mujeres;TOTAL;Inmigraciones;219;
La Carlota;2021;Ambos sexos;Menores de 16 años;Inmigraciones;75;
La Carlota;2021;Ambos sexos;De 16 a 39 años;Inmigraciones;208;
La Carlota;2021;Ambos sexos;De 40 a 64 años;Inmigraciones;123;
La Carlota;2021;Ambos sexos;De 65 y más años;Inmigraciones;51;
La Carlota;2021;Ambos sexos;TOTAL;Inmigraciones;457;
La Granjuela;2019;Hombres;Menores de 16 años;Inmigraciones;-;
La Granjuela;2019;Hombres;De 16 a 39 años;Inmigraciones;3;
La Granjuela;2019;Hombres;De 40 a 64 años;Inmigraciones;1;
La Granjuela;2019;Hombres;De 65 y más años;Inmigraciones;1;
La Granjuela;2019;Hombres;TOTAL;Inmigraciones;5;
La Granjuela;2019;Mujeres;Menores de 16 años;Inmigraciones;-;
La Granjuela;2019;Mujeres;De 16 a 39 años;Inmigraciones;4;
La Granjuela;2019;Mujeres;De 40 a 64 años;Inmigraciones;1;
La Granjuela;2019;Mujeres;De 65 y más años;Inmigraciones;2;
La Granjuela;2019;Mujeres;TOTAL;Inmigraciones;7;
La Granjuela;2019;Ambos sexos;Menores de 16 años;Inmigraciones;-;
La Granjuela;2019;Ambos sexos;De 16 a 39 años;Inmigraciones;7;
La Granjuela;2019;Ambos sexos;De 40 a 64 años;Inmigraciones;2;
La Granjuela;2019;Ambos sexos;De 65 y más años;Inmigraciones;3;
La Granjuela;2019;Ambos sexos;TOTAL;Inmigraciones;12;
La Granjuela;2020;Hombres;Menores de 16 años;Inmigraciones;2;
La Granjuela;2020;Hombres;De 16 a 39 años;Inmigraciones;2;
La Granjuela;2020;Hombres;De 40 a 64 años;Inmigraciones;2;
La Granjuela;2020;Hombres;De 65 y más años;Inmigraciones;1;
La Granjuela;2020;Hombres;TOTAL;Inmigraciones;7;
La Granjuela;2020;Mujeres;Menores de 16 años;Inmigraciones;3;
La Granjuela;2020;Mujeres;De 16 a 39 años;Inmigraciones;3;
La Granjuela;2020;Mujeres;De 40 a 64 años;Inmigraciones;2;
La Granjuela;2020;Mujeres;De 65 y más años;Inmigraciones;-;
La Granjuela;2020;Mujeres;TOTAL;Inmigraciones;8;
La Granjuela;2020;Ambos sexos;Menores de 16 años;Inmigraciones;5;
La Granjuela;2020;Ambos sexos;De 16 a 39 años;Inmigraciones;5;
La Granjuela;2020;Ambos sexos;De 40 a 64 años;Inmigraciones;4;
La Granjuela;2020;Ambos sexos;De 65 y más años;Inmigraciones;1;
La Granjuela;2020;Ambos sexos;TOTAL;Inmigraciones;15;
La Granjuela;2021;Hombres;Menores de 16 años;Inmigraciones;-;
La Granjuela;2021;Hombres;De 16 a 39 años;Inmigraciones;-;
La Granjuela;2021;Hombres;De 40 a 64 años;Inmigraciones;1;
La Granjuela;2021;Hombres;De 65 y más años;Inmigraciones;1;
La Granjuela;2021;Hombres;TOTAL;Inmigraciones;2;
La Granjuela;2021;Mujeres;Menores de 16 años;Inmigraciones;1;
La Granjuela;2021;Mujeres;De 16 a 39 años;Inmigraciones;5;
La Granjuela;2021;Mujeres;De 40 a 64 años;Inmigraciones;1;
La Granjuela;2021;Mujeres;De 65 y más años;Inmigraciones;1;
La Granjuela;2021;Mujeres;TOTAL;Inmigraciones;8;
La Granjuela;2021;Ambos sexos;Menores de 16 años;Inmigraciones;1;
La Granjuela;2021;Ambos sexos;De 16 a 39 años;Inmigraciones;5;
La Granjuela;2021;Ambos sexos;De 40 a 64 años;Inmigraciones;2;
La Granjuela;2021;Ambos sexos;De 65 y más años;Inmigraciones;2;
La Granjuela;2021;Ambos sexos;TOTAL;Inmigraciones;10;
La Guijarrosa;2019;Hombres;Menores de 16 años;Inmigraciones;3;
La Guijarrosa;2019;Hombres;De 16 a 39 años;Inmigraciones;9;
La Guijarrosa;2019;Hombres;De 40 a 64 años;Inmigraciones;4;
La Guijarrosa;2019;Hombres;De 65 y más años;Inmigraciones;2;
La Guijarrosa;2019;Hombres;TOTAL;Inmigraciones;18;
La Guijarrosa;2019;Mujeres;Menores de 16 años;Inmigraciones;2;
La Guijarrosa;2019;Mujeres;De 16 a 39 años;Inmigraciones;10;
La Guijarrosa;2019;Mujeres;De 40 a 64 años;Inmigraciones;4;
La Guijarrosa;2019;Mujeres;De 65 y más años;Inmigraciones;2;
La Guijarrosa;2019;Mujeres;TOTAL;Inmigraciones;18;
La Guijarrosa;2019;Ambos sexos;Menores de 16 años;Inmigraciones;5;
La Guijarrosa;2019;Ambos sexos;De 16 a 39 años;Inmigraciones;19;
La Guijarrosa;2019;Ambos sexos;De 40 a 64 años;Inmigraciones;8;
La Guijarrosa;2019;Ambos sexos;De 65 y más años;Inmigraciones;4;
La Guijarrosa;2019;Ambos sexos;TOTAL;Inmigraciones;36;
La Guijarrosa;2020;Hombres;Menores de 16 años;Inmigraciones;4;
La Guijarrosa;2020;Hombres;De 16 a 39 años;Inmigraciones;9;
La Guijarrosa;2020;Hombres;De 40 a 64 años;Inmigraciones;4;
La Guijarrosa;2020;Hombres;De 65 y más años;Inmigraciones;-;
La Guijarrosa;2020;Hombres;TOTAL;Inmigraciones;17;
La Guijarrosa;2020;Mujeres;Menores de 16 años;Inmigraciones;1;
La Guijarrosa;2020;Mujeres;De 16 a 39 años;Inmigraciones;6;
La Guijarrosa;2020;Mujeres;De 40 a 64 años;Inmigraciones;3;
La Guijarrosa;2020;Mujeres;De 65 y más años;Inmigraciones;1;
La Guijarrosa;2020;Mujeres;TOTAL;Inmigraciones;11;
La Guijarrosa;2020;Ambos sexos;Menores de 16 años;Inmigraciones;5;
La Guijarrosa;2020;Ambos sexos;De 16 a 39 años;Inmigraciones;15;
La Guijarrosa;2020;Ambos sexos;De 40 a 64 años;Inmigraciones;7;
La Guijarrosa;2020;Ambos sexos;De 65 y más años;Inmigraciones;1;
La Guijarrosa;2020;Ambos sexos;TOTAL;Inmigraciones;28;
La Guijarrosa;2021;Hombres;Menores de 16 años;Inmigraciones;3;
La Guijarrosa;2021;Hombres;De 16 a 39 años;Inmigraciones;7;
La Guijarrosa;2021;Hombres;De 40 a 64 años;Inmigraciones;1;
La Guijarrosa;2021;Hombres;De 65 y más años;Inmigraciones;-;
La Guijarrosa;2021;Hombres;TOTAL;Inmigraciones;11;
La Guijarrosa;2021;Mujeres;Menores de 16 años;Inmigraciones;1;
La Guijarrosa;2021;Mujeres;De 16 a 39 años;Inmigraciones;5;
La Guijarrosa;2021;Mujeres;De 40 a 64 años;Inmigraciones;-;
La Guijarrosa;2021;Mujeres;De 65 y más años;Inmigraciones;-;
La Guijarrosa;2021;Mujeres;TOTAL;Inmigraciones;6;
La Guijarrosa;2021;Ambos sexos;Menores de 16 años;Inmigraciones;4;
La Guijarrosa;2021;Ambos sexos;De 16 a 39 años;Inmigraciones;12;
La Guijarrosa;2021;Ambos sexos;De 40 a 64 años;Inmigraciones;1;
La Guijarrosa;2021;Ambos sexos;De 65 y más años;Inmigraciones;-;
La Guijarrosa;2021;Ambos sexos;TOTAL;Inmigraciones;17;
La Rambla;2019;Hombres;Menores de 16 años;Inmigraciones;12;
La Rambla;2019;Hombres;De 16 a 39 años;Inmigraciones;37;
La Rambla;2019;Hombres;De 40 a 64 años;Inmigraciones;21;
La Rambla;2019;Hombres;De 65 y más años;Inmigraciones;8;
La Rambla;2019;Hombres;TOTAL;Inmigraciones;78;
La Rambla;2019;Mujeres;Menores de 16 años;Inmigraciones;9;
La Rambla;2019;Mujeres;De 16 a 39 años;Inmigraciones;42;
La Rambla;2019;Mujeres;De 40 a 64 años;Inmigraciones;17;
La Rambla;2019;Mujeres;De 65 y más años;Inmigraciones;10;
La Rambla;2019;Mujeres;TOTAL;Inmigraciones;78;
La Rambla;2019;Ambos sexos;Menores de 16 años;Inmigraciones;21;
La Rambla;2019;Ambos sexos;De 16 a 39 años;Inmigraciones;79;
La Rambla;2019;Ambos sexos;De 40 a 64 años;Inmigraciones;38;
La Rambla;2019;Ambos sexos;De 65 y más años;Inmigraciones;18;
La Rambla;2019;Ambos sexos;TOTAL;Inmigraciones;156;
La Rambla;2020;Hombres;Menores de 16 años;Inmigraciones;10;
La Rambla;2020;Hombres;De 16 a 39 años;Inmigraciones;39;
La Rambla;2020;Hombres;De 40 a 64 años;Inmigraciones;18;
La Rambla;2020;Hombres;De 65 y más años;Inmigraciones;6;
La Rambla;2020;Hombres;TOTAL;Inmigraciones;73;
La Rambla;2020;Mujeres;Menores de 16 años;Inmigraciones;8;
La Rambla;2020;Mujeres;De 16 a 39 años;Inmigraciones;29;
La Rambla;2020;Mujeres;De 40 a 64 años;Inmigraciones;11;
La Rambla;2020;Mujeres;De 65 y más años;Inmigraciones;8;
La Rambla;2020;Mujeres;TOTAL;Inmigraciones;56;
La Rambla;2020;Ambos sexos;Menores de 16 años;Inmigraciones;18;
La Rambla;2020;Ambos sexos;De 16 a 39 años;Inmigraciones;68;
La Rambla;2020;Ambos sexos;De 40 a 64 años;Inmigraciones;29;
La Rambla;2020;Ambos sexos;De 65 y más años;Inmigraciones;14;
La Rambla;2020;Ambos sexos;TOTAL;Inmigraciones;129;
La Rambla;2021;Hombres;Menores de 16 años;Inmigraciones;20;
La Rambla;2021;Hombres;De 16 a 39 años;Inmigraciones;28;
La Rambla;2021;Hombres;De 40 a 64 años;Inmigraciones;25;
La Rambla;2021;Hombres;De 65 y más años;Inmigraciones;7;
La Rambla;2021;Hombres;TOTAL;Inmigraciones;80;
La Rambla;2021;Mujeres;Menores de 16 años;Inmigraciones;12;
La Rambla;2021;Mujeres;De 16 a 39 años;Inmigraciones;37;
La Rambla;2021;Mujeres;De 40 a 64 años;Inmigraciones;20;
La Rambla;2021;Mujeres;De 65 y más años;Inmigraciones;9;
La Rambla;2021;Mujeres;TOTAL;Inmigraciones;78;
La Rambla;2021;Ambos sexos;Menores de 16 años;Inmigraciones;32;
La Rambla;2021;Ambos sexos;De 16 a 39 años;Inmigraciones;65;
La Rambla;2021;Ambos sexos;De 40 a 64 años;Inmigraciones;45;
La Rambla;2021;Ambos sexos;De 65 y más años;Inmigraciones;16;
La Rambla;2021;Ambos sexos;TOTAL;Inmigraciones;158;
La Victoria;2019;Hombres;Menores de 16 años;Inmigraciones;8;
La Victoria;2019;Hombres;De 16 a 39 años;Inmigraciones;16;
La Victoria;2019;Hombres;De 40 a 64 años;Inmigraciones;11;
La Victoria;2019;Hombres;De 65 y más años;Inmigraciones;3;
La Victoria;2019;Hombres;TOTAL;Inmigraciones;38;
La Victoria;2019;Mujeres;Menores de 16 años;Inmigraciones;6;
La Victoria;2019;Mujeres;De 16 a 39 años;Inmigraciones;14;
La Victoria;2019;Mujeres;De 40 a 64 años;Inmigraciones;14;
La Victoria;2019;Mujeres;De 65 y más años;Inmigraciones;5;
La Victoria;2019;Mujeres;TOTAL;Inmigraciones;39;
La Victoria;2019;Ambos sexos;Menores de 16 años;Inmigraciones;14;
La Victoria;2019;Ambos sexos;De 16 a 39 años;Inmigraciones;30;
La Victoria;2019;Ambos sexos;De 40 a 64 años;Inmigraciones;25;
La Victoria;2019;Ambos sexos;De 65 y más años;Inmigraciones;8;
La Victoria;2019;Ambos sexos;TOTAL;Inmigraciones;77;
La Victoria;2020;Hombres;Menores de 16 años;Inmigraciones;20;
La Victoria;2020;Hombres;De 16 a 39 años;Inmigraciones;22;
La Victoria;2020;Hombres;De 40 a 64 años;Inmigraciones;15;
La Victoria;2020;Hombres;De 65 y más años;Inmigraciones;6;
La Victoria;2020;Hombres;TOTAL;Inmigraciones;63;
La Victoria;2020;Mujeres;Menores de 16 años;Inmigraciones;8;
La Victoria;2020;Mujeres;De 16 a 39 años;Inmigraciones;20;
La Victoria;2020;Mujeres;De 40 a 64 años;Inmigraciones;16;
La Victoria;2020;Mujeres;De 65 y más años;Inmigraciones;7;
La Victoria;2020;Mujeres;TOTAL;Inmigraciones;51;
La Victoria;2020;Ambos sexos;Menores de 16 años;Inmigraciones;28;
La Victoria;2020;Ambos sexos;De 16 a 39 años;Inmigraciones;42;
La Victoria;2020;Ambos sexos;De 40 a 64 años;Inmigraciones;31;
La Victoria;2020;Ambos sexos;De 65 y más años;Inmigraciones;13;
La Victoria;2020;Ambos sexos;TOTAL;Inmigraciones;114;
La Victoria;2021;Hombres;Menores de 16 años;Inmigraciones;4;
La Victoria;2021;Hombres;De 16 a 39 años;Inmigraciones;12;
La Victoria;2021;Hombres;De 40 a 64 años;Inmigraciones;12;
La Victoria;2021;Hombres;De 65 y más años;Inmigraciones;2;
La Victoria;2021;Hombres;TOTAL;Inmigraciones;30;
La Victoria;2021;Mujeres;Menores de 16 años;Inmigraciones;9;
La Victoria;2021;Mujeres;De 16 a 39 años;Inmigraciones;12;
La Victoria;2021;Mujeres;De 40 a 64 años;Inmigraciones;17;
La Victoria;2021;Mujeres;De 65 y más años;Inmigraciones;6;
La Victoria;2021;Mujeres;TOTAL;Inmigraciones;44;
La Victoria;2021;Ambos sexos;Menores de 16 años;Inmigraciones;13;
La Victoria;2021;Ambos sexos;De 16 a 39 años;Inmigraciones;24;
La Victoria;2021;Ambos sexos;De 40 a 64 años;Inmigraciones;29;
La Victoria;2021;Ambos sexos;De 65 y más años;Inmigraciones;8;
La Victoria;2021;Ambos sexos;TOTAL;Inmigraciones;74;
Los Blázquez;2019;Hombres;Menores de 16 años;Inmigraciones;-;
Los Blázquez;2019;Hombres;De 16 a 39 años;Inmigraciones;1;
Los Blázquez;2019;Hombres;De 40 a 64 años;Inmigraciones;2;
Los Blázquez;2019;Hombres;De 65 y más años;Inmigraciones;2;
Los Blázquez;2019;Hombres;TOTAL;Inmigraciones;5;
Los Blázquez;2019;Mujeres;Menores de 16 años;Inmigraciones;1;
Los Blázquez;2019;Mujeres;De 16 a 39 años;Inmigraciones;3;
Los Blázquez;2019;Mujeres;De 40 a 64 años;Inmigraciones;3;
Los Blázquez;2019;Mujeres;De 65 y más años;Inmigraciones;1;
Los Blázquez;2019;Mujeres;TOTAL;Inmigraciones;8;
Los Blázquez;2019;Ambos sexos;Menores de 16 años;Inmigraciones;1;
Los Blázquez;2019;Ambos sexos;De 16 a 39 años;Inmigraciones;4;
Los Blázquez;2019;Ambos sexos;De 40 a 64 años;Inmigraciones;5;
Los Blázquez;2019;Ambos sexos;De 65 y más años;Inmigraciones;3;
Los Blázquez;2019;Ambos sexos;TOTAL;Inmigraciones;13;
Los Blázquez;2020;Hombres;Menores de 16 años;Inmigraciones;1;
Los Blázquez;2020;Hombres;De 16 a 39 años;Inmigraciones;1;
Los Blázquez;2020;Hombres;De 40 a 64 años;Inmigraciones;2;
Los Blázquez;2020;Hombres;De 65 y más años;Inmigraciones;-;
Los Blázquez;2020;Hombres;TOTAL;Inmigraciones;4;
Los Blázquez;2020;Mujeres;Menores de 16 años;Inmigraciones;-;
Los Blázquez;2020;Mujeres;De 16 a 39 años;Inmigraciones;1;
Los Blázquez;2020;Mujeres;De 40 a 64 años;Inmigraciones;5;
Los Blázquez;2020;Mujeres;De 65 y más años;Inmigraciones;-;
Los Blázquez;2020;Mujeres;TOTAL;Inmigraciones;6;
Los Blázquez;2020;Ambos sexos;Menores de 16 años;Inmigraciones;1;
Los Blázquez;2020;Ambos sexos;De 16 a 39 años;Inmigraciones;2;
Los Blázquez;2020;Ambos sexos;De 40 a 64 años;Inmigraciones;7;
Los Blázquez;2020;Ambos sexos;De 65 y más años;Inmigraciones;-;
Los Blázquez;2020;Ambos sexos;TOTAL;Inmigraciones;10;
Los Blázquez;2021;Hombres;Menores de 16 años;Inmigraciones;-;
Los Blázquez;2021;Hombres;De 16 a 39 años;Inmigraciones;2;
Los Blázquez;2021;Hombres;De 40 a 64 años;Inmigraciones;1;
Los Blázquez;2021;Hombres;De 65 y más años;Inmigraciones;4;
Los Blázquez;2021;Hombres;TOTAL;Inmigraciones;7;
Los Blázquez;2021;Mujeres;Menores de 16 años;Inmigraciones;-;
Los Blázquez;2021;Mujeres;De 16 a 39 años;Inmigraciones;8;
Los Blázquez;2021;Mujeres;De 40 a 64 años;Inmigraciones;2;
Los Blázquez;2021;Mujeres;De 65 y más años;Inmigraciones;2;
Los Blázquez;2021;Mujeres;TOTAL;Inmigraciones;12;
Los Blázquez;2021;Ambos sexos;Menores de 16 años;Inmigraciones;-;
Los Blázquez;2021;Ambos sexos;De 16 a 39 años;Inmigraciones;10;
Los Blázquez;2021;Ambos sexos;De 40 a 64 años;Inmigraciones;3;
Los Blázquez;2021;Ambos sexos;De 65 y más años;Inmigraciones;6;
Los Blázquez;2021;Ambos sexos;TOTAL;Inmigraciones;19;
Lucena;2019;Hombres;Menores de 16 años;Inmigraciones;125;
Lucena;2019;Hombres;De 16 a 39 años;Inmigraciones;304;
Lucena;2019;Hombres;De 40 a 64 años;Inmigraciones;144;
Lucena;2019;Hombres;De 65 y más años;Inmigraciones;40;
Lucena;2019;Hombres;TOTAL;Inmigraciones;613;
Lucena;2019;Mujeres;Menores de 16 años;Inmigraciones;101;
Lucena;2019;Mujeres;De 16 a 39 años;Inmigraciones;329;
Lucena;2019;Mujeres;De 40 a 64 años;Inmigraciones;149;
Lucena;2019;Mujeres;De 65 y más años;Inmigraciones;48;
Lucena;2019;Mujeres;TOTAL;Inmigraciones;627;
Lucena;2019;Ambos sexos;Menores de 16 años;Inmigraciones;226;
Lucena;2019;Ambos sexos;De 16 a 39 años;Inmigraciones;633;
Lucena;2019;Ambos sexos;De 40 a 64 años;Inmigraciones;293;
Lucena;2019;Ambos sexos;De 65 y más años;Inmigraciones;88;
Lucena;2019;Ambos sexos;TOTAL;Inmigraciones;1240;
Lucena;2020;Hombres;Menores de 16 años;Inmigraciones;101;
Lucena;2020;Hombres;De 16 a 39 años;Inmigraciones;274;
Lucena;2020;Hombres;De 40 a 64 años;Inmigraciones;113;
