Lugar de residencia;Anual;Sexo;Medida;Valor;
Aguadulce;1997;Hombres;Crecimiento vegetativo;-1;
Aguadulce;1997;Mujeres;Crecimiento vegetativo;1;
Aguadulce;1998;Ambos sexos;Crecimiento vegetativo;-6;
Aguadulce;1998;Hombres;Crecimiento vegetativo;-7;
Aguadulce;1998;Mujeres;Crecimiento vegetativo;1;
Aguadulce;1999;Ambos sexos;Crecimiento vegetativo;1;
Aguadulce;1999;Hombres;Crecimiento vegetativo;-1;
Aguadulce;1999;Mujeres;Crecimiento vegetativo;2;
Aguadulce;2000;Ambos sexos;Crecimiento vegetativo;-12;
Aguadulce;2000;Hombres;Crecimiento vegetativo;-4;
Aguadulce;2000;Mujeres;Crecimiento vegetativo;-8;
Aguadulce;2001;Ambos sexos;Crecimiento vegetativo;-5;
Aguadulce;2001;Hombres;Crecimiento vegetativo;-2;
Aguadulce;2001;Mujeres;Crecimiento vegetativo;-3;
Aguadulce;2002;Ambos sexos;Crecimiento vegetativo;-6;
Aguadulce;2002;Hombres;Crecimiento vegetativo;-11;
Aguadulce;2002;Mujeres;Crecimiento vegetativo;5;
Aguadulce;2003;Ambos sexos;Crecimiento vegetativo;-4;
Aguadulce;2003;Hombres;Crecimiento vegetativo;2;
Aguadulce;2003;Mujeres;Crecimiento vegetativo;-6;
Aguadulce;2004;Ambos sexos;Crecimiento vegetativo;-6;
Aguadulce;2004;Hombres;Crecimiento vegetativo;-3;
Aguadulce;2004;Mujeres;Crecimiento vegetativo;-3;
Aguadulce;2005;Ambos sexos;Crecimiento vegetativo;-1;
Aguadulce;2005;Hombres;Crecimiento vegetativo;-5;
Aguadulce;2005;Mujeres;Crecimiento vegetativo;4;
Aguadulce;2006;Ambos sexos;Crecimiento vegetativo;5;
Aguadulce;2006;Hombres;Crecimiento vegetativo;8;
Aguadulce;2006;Mujeres;Crecimiento vegetativo;-3;
Aguadulce;2007;Ambos sexos;Crecimiento vegetativo;2;
Aguadulce;2007;Hombres;Crecimiento vegetativo;1;
Aguadulce;2007;Mujeres;Crecimiento vegetativo;1;
Aguadulce;2008;Ambos sexos;Crecimiento vegetativo;-15;
Aguadulce;2008;Hombres;Crecimiento vegetativo;-6;
Aguadulce;2008;Mujeres;Crecimiento vegetativo;-9;
Aguadulce;2009;Ambos sexos;Crecimiento vegetativo;-4;
Aguadulce;2009;Hombres;Crecimiento vegetativo;-11;
Aguadulce;2009;Mujeres;Crecimiento vegetativo;7;
Aguadulce;2010;Ambos sexos;Crecimiento vegetativo;-2;
Aguadulce;2010;Hombres;Crecimiento vegetativo;-3;
Aguadulce;2010;Mujeres;Crecimiento vegetativo;1;
