Territorio;Anual;Medida;Sexo;Edad;Valor;
Andalucía;2010;Demandantes;Hombres;De 16 a 29 años;117263,58333197;
Andalucía;2010;Demandantes;Hombres;De 30 a 44 años;180485,08333215;
Andalucía;2010;Demandantes;Hombres;De 45 a 64 años;142937,58333255;
Andalucía;2010;Demandantes;Hombres;TOTAL;440686,24999667;
Andalucía;2010;Demandantes;Mujeres;De 16 a 29 años;102757,41666563;
Andalucía;2010;Demandantes;Mujeres;De 30 a 44 años;187997,49999889;
Andalucía;2010;Demandantes;Mujeres;De 45 a 64 años;154019,99999905;
Andalucía;2010;Demandantes;Mujeres;TOTAL;444774,91666357;
Andalucía;2010;Demandantes;Ambos sexos;De 16 a 29 años;220020,9999976;
Andalucía;2010;Demandantes;Ambos sexos;De 30 a 44 años;368482,58333104;
Andalucía;2010;Demandantes;Ambos sexos;De 45 a 64 años;296957,5833316;
Andalucía;2010;Demandantes;Ambos sexos;TOTAL;885461,16666024;
Andalucía;2011;Demandantes;Hombres;De 16 a 29 años;118848,33333254;
Andalucía;2011;Demandantes;Hombres;De 30 a 44 años;184135,33333209;
Andalucía;2011;Demandantes;Hombres;De 45 a 64 años;159981,08333284;
Andalucía;2011;Demandantes;Hombres;TOTAL;462964,74999747;
Andalucía;2011;Demandantes;Mujeres;De 16 a 29 años;111992,08333254;
Andalucía;2011;Demandantes;Mujeres;De 30 a 44 años;196622,74999822;
Andalucía;2011;Demandantes;Mujeres;De 45 a 64 años;168246,08333271;
Andalucía;2011;Demandantes;Mujeres;TOTAL;476860,91666347;
Andalucía;2011;Demandantes;Ambos sexos;De 16 a 29 años;230840,41666508;
Andalucía;2011;Demandantes;Ambos sexos;De 30 a 44 años;380758,08333031;
Andalucía;2011;Demandantes;Ambos sexos;De 45 a 64 años;328227,16666555;
Andalucía;2011;Demandantes;Ambos sexos;TOTAL;939825,66666094;
Andalucía;2012;Demandantes;Hombres;De 16 a 29 años;127031,49999901;
Andalucía;2012;Demandantes;Hombres;De 30 a 44 años;203320,91666602;
Andalucía;2012;Demandantes;Hombres;De 45 a 64 años;188564,99999943;
Andalucía;2012;Demandantes;Hombres;TOTAL;518917,41666446;
Andalucía;2012;Demandantes;Mujeres;De 16 a 29 años;125405,41666596;
Andalucía;2012;Demandantes;Mujeres;De 30 a 44 años;216212,16666578;
Andalucía;2012;Demandantes;Mujeres;De 45 a 64 años;190103,16666645;
Andalucía;2012;Demandantes;Mujeres;TOTAL;531720,74999819;
Andalucía;2012;Demandantes;Ambos sexos;De 16 a 29 años;252436,91666497;
Andalucía;2012;Demandantes;Ambos sexos;De 30 a 44 años;419533,0833318;
Andalucía;2012;Demandantes;Ambos sexos;De 45 a 64 años;378668,16666588;
Andalucía;2012;Demandantes;Ambos sexos;TOTAL;1050638,16666265;
Almería;2010;Demandantes;Hombres;De 16 a 29 años;9927,66666665;
Almería;2010;Demandantes;Hombres;De 30 a 44 años;16958,66666661;
Almería;2010;Demandantes;Hombres;De 45 a 64 años;11980,41666651;
Almería;2010;Demandantes;Hombres;TOTAL;38866,74999977;
Almería;2010;Demandantes;Mujeres;De 16 a 29 años;8311,3333332;
Almería;2010;Demandantes;Mujeres;De 30 a 44 años;14425,41666662;
Almería;2010;Demandantes;Mujeres;De 45 a 64 años;9220,99999981;
Almería;2010;Demandantes;Mujeres;TOTAL;31957,74999963;
Almería;2010;Demandantes;Ambos sexos;De 16 a 29 años;18238,99999985;
Almería;2010;Demandantes;Ambos sexos;De 30 a 44 años;31384,08333323;
Almería;2010;Demandantes;Ambos sexos;De 45 a 64 años;21201,41666632;
Almería;2010;Demandantes;Ambos sexos;TOTAL;70824,4999994;
