Territorio;Características básicas de la explotación;Medida;Valor;
Paterna de Rivera;Cabezas;Ovinos;1060;
Paterna de Rivera;Cabezas;Caprinos;282;
Paterna de Rivera;Cabezas;Porcinos;2;
Paterna de Rivera;Cabezas;Aves corral;0;
Paterna de Rivera;Cabezas;Conejas madre;0;
Paterna de Rivera;UGT;Colmenas;0;
Paterna de Rivera;UGT;Equinos;25;
Paterna de Rivera;UGT;Bovinos;168,1;
Paterna de Rivera;UGT;Ovinos;106;
Paterna de Rivera;UGT;Caprinos;28,2;
Paterna de Rivera;UGT;Porcinos;1;
Paterna de Rivera;UGT;Aves corral;0;
Paterna de Rivera;UGT;Conejas madre;0;
Prado del Rey;Nº explotaciones;Bovinos;14;
Prado del Rey;Nº explotaciones;Ovinos;39;
Prado del Rey;Nº explotaciones;Caprinos;14;
Prado del Rey;Nº explotaciones;Porcinos;29;
Prado del Rey;Nº explotaciones;Aves corral;4;
Prado del Rey;Nº explotaciones;Conejas madre;0;
Prado del Rey;Nº explotaciones;Colmenas;7;
Prado del Rey;Cabezas;Equinos;36;
Prado del Rey;Cabezas;Bovinos;763;
Prado del Rey;Cabezas;Ovinos;3047;
Prado del Rey;Cabezas;Caprinos;4788;
Prado del Rey;Cabezas;Porcinos;3171;
Prado del Rey;Cabezas;Aves corral;2929;
Prado del Rey;Cabezas;Conejas madre;0;
Prado del Rey;UGT;Colmenas;2257;
Prado del Rey;UGT;Equinos;127;
Prado del Rey;UGT;Bovinos;519,3;
Prado del Rey;UGT;Ovinos;304,7;
Prado del Rey;UGT;Caprinos;478,8;
Prado del Rey;UGT;Porcinos;1028,37;
Prado del Rey;UGT;Aves corral;41,054;
Prado del Rey;UGT;Conejas madre;0;
Puerto Real;Nº explotaciones;Bovinos;24;
Puerto Real;Nº explotaciones;Ovinos;13;
Puerto Real;Nº explotaciones;Caprinos;7;
Puerto Real;Nº explotaciones;Porcinos;1;
Puerto Real;Nº explotaciones;Aves corral;4;
Puerto Real;Nº explotaciones;Conejas madre;0;
Puerto Real;Nº explotaciones;Colmenas;0;
Puerto Real;Cabezas;Equinos;17;
Puerto Real;Cabezas;Bovinos;2541;
Puerto Real;Cabezas;Ovinos;3068;
Puerto Real;Cabezas;Caprinos;671;
Puerto Real;Cabezas;Porcinos;40;
Puerto Real;Cabezas;Aves corral;12012;
Puerto Real;Cabezas;Conejas madre;0;
Puerto Real;UGT;Colmenas;0;
Puerto Real;UGT;Equinos;120;
Puerto Real;UGT;Bovinos;1558,9;
Puerto Real;UGT;Ovinos;306,8;
Puerto Real;UGT;Caprinos;67,1;
Puerto Real;UGT;Porcinos;20;
Puerto Real;UGT;Aves corral;360,129;
Puerto Real;UGT;Conejas madre;0;
Puerto Serrano;Nº explotaciones;Bovinos;5;
Puerto Serrano;Nº explotaciones;Ovinos;8;
Puerto Serrano;Nº explotaciones;Caprinos;6;
Puerto Serrano;Nº explotaciones;Porcinos;4;
Puerto Serrano;Nº explotaciones;Aves corral;0;
Puerto Serrano;Nº explotaciones;Conejas madre;0;
Puerto Serrano;Nº explotaciones;Colmenas;0;
Puerto Serrano;Cabezas;Equinos;14;
Puerto Serrano;Cabezas;Bovinos;671;
Puerto Serrano;Cabezas;Ovinos;5012;
Puerto Serrano;Cabezas;Caprinos;3311;
Puerto Serrano;Cabezas;Porcinos;544;
Puerto Serrano;Cabezas;Aves corral;0;
Puerto Serrano;Cabezas;Conejas madre;0;
Puerto Serrano;UGT;Colmenas;0;
Puerto Serrano;UGT;Equinos;136;
Puerto Serrano;UGT;Bovinos;446,8;
Puerto Serrano;UGT;Ovinos;501,2;
Puerto Serrano;UGT;Caprinos;331,1;
Puerto Serrano;UGT;Porcinos;164;
Puerto Serrano;UGT;Aves corral;0;
Puerto Serrano;UGT;Conejas madre;0;
Rota;Nº explotaciones;Bovinos;18;
Rota;Nº explotaciones;Ovinos;4;
Rota;Nº explotaciones;Caprinos;6;
Rota;Nº explotaciones;Porcinos;0;
Rota;Nº explotaciones;Aves corral;3;
Rota;Nº explotaciones;Conejas madre;0;
Rota;Nº explotaciones;Colmenas;0;
Rota;Cabezas;Equinos;12;
Rota;Cabezas;Bovinos;1658;
Rota;Cabezas;Ovinos;471;
Rota;Cabezas;Caprinos;824;
Rota;Cabezas;Porcinos;0;
Rota;Cabezas;Aves corral;91;
Rota;Cabezas;Conejas madre;0;
Rota;UGT;Colmenas;0;
Rota;UGT;Equinos;38;
Rota;UGT;Bovinos;1315,9;
Rota;UGT;Ovinos;47,1;
Rota;UGT;Caprinos;82,4;
Rota;UGT;Porcinos;0;
Rota;UGT;Aves corral;1,524;
Rota;UGT;Conejas madre;0;
San Fernando;Nº explotaciones;Bovinos;1;
San Fernando;Nº explotaciones;Ovinos;0;
San Fernando;Nº explotaciones;Caprinos;0;
San Fernando;Nº explotaciones;Porcinos;0;
San Fernando;Nº explotaciones;Aves corral;0;
San Fernando;Nº explotaciones;Conejas madre;0;
San Fernando;Nº explotaciones;Colmenas;0;
San Fernando;Cabezas;Equinos;1;
San Fernando;Cabezas;Bovinos;5;
San Fernando;Cabezas;Ovinos;0;
San Fernando;Cabezas;Caprinos;0;
San Fernando;Cabezas;Porcinos;0;
San Fernando;Cabezas;Aves corral;0;
San Fernando;Cabezas;Conejas madre;0;
San Fernando;UGT;Colmenas;0;
San Fernando;UGT;Equinos;4;
San Fernando;UGT;Bovinos;3,8;
San Fernando;UGT;Ovinos;0;
San Fernando;UGT;Caprinos;0;
San Fernando;UGT;Porcinos;0;
San Fernando;UGT;Aves corral;0;
San Fernando;UGT;Conejas madre;0;
San José del Valle;Nº explotaciones;Bovinos;37;
San José del Valle;Nº explotaciones;Ovinos;29;
San José del Valle;Nº explotaciones;Caprinos;38;
San José del Valle;Nº explotaciones;Porcinos;13;
San José del Valle;Nº explotaciones;Aves corral;0;
San José del Valle;Nº explotaciones;Conejas madre;0;
San José del Valle;Nº explotaciones;Colmenas;1;
San José del Valle;Cabezas;Equinos;22;
San José del Valle;Cabezas;Bovinos;4378;
San José del Valle;Cabezas;Ovinos;9777;
San José del Valle;Cabezas;Caprinos;11708;
San José del Valle;Cabezas;Porcinos;6044;
San José del Valle;Cabezas;Aves corral;0;
San José del Valle;Cabezas;Conejas madre;0;
San José del Valle;UGT;Colmenas;7;
San José del Valle;UGT;Equinos;187;
San José del Valle;UGT;Bovinos;2933,2;
San José del Valle;UGT;Ovinos;977,7;
San José del Valle;UGT;Caprinos;1170,8;
San José del Valle;UGT;Porcinos;1768,936;
San José del Valle;UGT;Aves corral;0;
San José del Valle;UGT;Conejas madre;0;
San Martín del Tesorillo;Nº explotaciones;Bovinos;2;
San Martín del Tesorillo;Nº explotaciones;Ovinos;1;
San Martín del Tesorillo;Nº explotaciones;Caprinos;2;
San Martín del Tesorillo;Nº explotaciones;Porcinos;0;
San Martín del Tesorillo;Nº explotaciones;Aves corral;0;
San Martín del Tesorillo;Nº explotaciones;Conejas madre;0;
San Martín del Tesorillo;Nº explotaciones;Colmenas;0;
San Martín del Tesorillo;Cabezas;Equinos;5;
San Martín del Tesorillo;Cabezas;Bovinos;6;
San Martín del Tesorillo;Cabezas;Ovinos;30;
San Martín del Tesorillo;Cabezas;Caprinos;164;
San Martín del Tesorillo;Cabezas;Porcinos;0;
San Martín del Tesorillo;Cabezas;Aves corral;0;
San Martín del Tesorillo;Cabezas;Conejas madre;0;
San Martín del Tesorillo;UGT;Colmenas;0;
San Martín del Tesorillo;UGT;Equinos;114;
San Martín del Tesorillo;UGT;Bovinos;4,8;
San Martín del Tesorillo;UGT;Ovinos;3;
San Martín del Tesorillo;UGT;Caprinos;16,4;
San Martín del Tesorillo;UGT;Porcinos;0;
San Martín del Tesorillo;UGT;Aves corral;0;
San Martín del Tesorillo;UGT;Conejas madre;0;
San Roque;Nº explotaciones;Bovinos;17;
San Roque;Nº explotaciones;Ovinos;11;
San Roque;Nº explotaciones;Caprinos;10;
San Roque;Nº explotaciones;Porcinos;0;
San Roque;Nº explotaciones;Aves corral;3;
San Roque;Nº explotaciones;Conejas madre;0;
San Roque;Nº explotaciones;Colmenas;0;
San Roque;Cabezas;Equinos;10;
San Roque;Cabezas;Bovinos;1546;
San Roque;Cabezas;Ovinos;809;
San Roque;Cabezas;Caprinos;670;
San Roque;Cabezas;Porcinos;0;
San Roque;Cabezas;Aves corral;74;
San Roque;Cabezas;Conejas madre;0;
San Roque;UGT;Colmenas;0;
San Roque;UGT;Equinos;48;
San Roque;UGT;Bovinos;1094,3;
San Roque;UGT;Ovinos;80,9;
San Roque;UGT;Caprinos;67;
San Roque;UGT;Porcinos;0;
San Roque;UGT;Aves corral;0,98;
San Roque;UGT;Conejas madre;0;
Sanlúcar de Barrameda;Nº explotaciones;Bovinos;15;
Sanlúcar de Barrameda;Nº explotaciones;Ovinos;7;
Sanlúcar de Barrameda;Nº explotaciones;Caprinos;6;
Sanlúcar de Barrameda;Nº explotaciones;Porcinos;1;
Sanlúcar de Barrameda;Nº explotaciones;Aves corral;7;
Sanlúcar de Barrameda;Nº explotaciones;Conejas madre;0;
Sanlúcar de Barrameda;Nº explotaciones;Colmenas;0;
Sanlúcar de Barrameda;Cabezas;Equinos;18;
Sanlúcar de Barrameda;Cabezas;Bovinos;2028;
Sanlúcar de Barrameda;Cabezas;Ovinos;4583;
Sanlúcar de Barrameda;Cabezas;Caprinos;528;
Sanlúcar de Barrameda;Cabezas;Porcinos;4;
Sanlúcar de Barrameda;Cabezas;Aves corral;28910;
Sanlúcar de Barrameda;Cabezas;Conejas madre;0;
Sanlúcar de Barrameda;UGT;Colmenas;0;
Sanlúcar de Barrameda;UGT;Equinos;153;
Sanlúcar de Barrameda;UGT;Bovinos;1528,9;
Sanlúcar de Barrameda;UGT;Ovinos;458,3;
Sanlúcar de Barrameda;UGT;Caprinos;52,8;
Sanlúcar de Barrameda;UGT;Porcinos;1,8;
Sanlúcar de Barrameda;UGT;Aves corral;865,459;
Sanlúcar de Barrameda;UGT;Conejas madre;0;
Setenil de las Bodegas;Nº explotaciones;Bovinos;5;
Setenil de las Bodegas;Nº explotaciones;Ovinos;14;
Setenil de las Bodegas;Nº explotaciones;Caprinos;5;
Setenil de las Bodegas;Nº explotaciones;Porcinos;20;
Setenil de las Bodegas;Nº explotaciones;Aves corral;6;
Setenil de las Bodegas;Nº explotaciones;Conejas madre;0;
Setenil de las Bodegas;Nº explotaciones;Colmenas;4;
Setenil de las Bodegas;Cabezas;Equinos;18;
Setenil de las Bodegas;Cabezas;Bovinos;926;
Setenil de las Bodegas;Cabezas;Ovinos;2448;
Setenil de las Bodegas;Cabezas;Caprinos;527;
Setenil de las Bodegas;Cabezas;Porcinos;10751;
Setenil de las Bodegas;Cabezas;Aves corral;169001;
Setenil de las Bodegas;Cabezas;Conejas madre;0;
Setenil de las Bodegas;UGT;Colmenas;993;
Setenil de las Bodegas;UGT;Equinos;83;
Setenil de las Bodegas;UGT;Bovinos;629,9;
Setenil de las Bodegas;UGT;Ovinos;244,8;
Setenil de las Bodegas;UGT;Caprinos;52,7;
Setenil de las Bodegas;UGT;Porcinos;2932,95;
Setenil de las Bodegas;UGT;Aves corral;2103,007;
Setenil de las Bodegas;UGT;Conejas madre;0;
Tarifa;Nº explotaciones;Bovinos;124;
Tarifa;Nº explotaciones;Ovinos;35;
Tarifa;Nº explotaciones;Caprinos;43;
Tarifa;Nº explotaciones;Porcinos;67;
Tarifa;Nº explotaciones;Aves corral;9;
Tarifa;Nº explotaciones;Conejas madre;0;
Tarifa;Nº explotaciones;Colmenas;5;
Tarifa;Cabezas;Equinos;87;
Tarifa;Cabezas;Bovinos;16153;
Tarifa;Cabezas;Ovinos;3864;
Tarifa;Cabezas;Caprinos;6211;
Tarifa;Cabezas;Porcinos;1688;
Tarifa;Cabezas;Aves corral;1968;
Tarifa;Cabezas;Conejas madre;0;
Tarifa;UGT;Colmenas;458;
Tarifa;UGT;Equinos;709;
Tarifa;UGT;Bovinos;11704,2;
Tarifa;UGT;Ovinos;386,4;
Tarifa;UGT;Caprinos;621,1;
Tarifa;UGT;Porcinos;389,867;
Tarifa;UGT;Aves corral;26,789;
Tarifa;UGT;Conejas madre;0;
Torre Alháquime;Nº explotaciones;Bovinos;0;
Torre Alháquime;Nº explotaciones;Ovinos;5;
Torre Alháquime;Nº explotaciones;Caprinos;5;
Torre Alháquime;Nº explotaciones;Porcinos;3;
Torre Alháquime;Nº explotaciones;Aves corral;2;
Torre Alháquime;Nº explotaciones;Conejas madre;0;
Torre Alháquime;Nº explotaciones;Colmenas;0;
Torre Alháquime;Cabezas;Equinos;4;
Torre Alháquime;Cabezas;Bovinos;0;
Torre Alháquime;Cabezas;Ovinos;885;
Torre Alháquime;Cabezas;Caprinos;1928;
Torre Alháquime;Cabezas;Porcinos;1200;
Torre Alháquime;Cabezas;Aves corral;70;
Torre Alháquime;Cabezas;Conejas madre;0;
Torre Alháquime;UGT;Colmenas;0;
Torre Alháquime;UGT;Equinos;13;
Torre Alháquime;UGT;Bovinos;0;
Torre Alháquime;UGT;Ovinos;88,5;
Torre Alháquime;UGT;Caprinos;192,8;
Torre Alháquime;UGT;Porcinos;432,4;
Torre Alháquime;UGT;Aves corral;0,79;
Torre Alháquime;UGT;Conejas madre;0;
Trebujena;Nº explotaciones;Bovinos;7;
Trebujena;Nº explotaciones;Ovinos;5;
Trebujena;Nº explotaciones;Caprinos;18;
Trebujena;Nº explotaciones;Porcinos;0;
Trebujena;Nº explotaciones;Aves corral;1;
Trebujena;Nº explotaciones;Conejas madre;0;
Trebujena;Nº explotaciones;Colmenas;0;
Trebujena;Cabezas;Equinos;13;
Trebujena;Cabezas;Bovinos;785;
Trebujena;Cabezas;Ovinos;973;
Trebujena;Cabezas;Caprinos;4317;
Trebujena;Cabezas;Porcinos;0;
Trebujena;Cabezas;Aves corral;4;
Trebujena;Cabezas;Conejas madre;0;
Trebujena;UGT;Colmenas;0;
Trebujena;UGT;Equinos;65;
Trebujena;UGT;Bovinos;510,2;
Trebujena;UGT;Ovinos;97,3;
Trebujena;UGT;Caprinos;431,7;
Trebujena;UGT;Porcinos;0;
Trebujena;UGT;Aves corral;0,056;
Trebujena;UGT;Conejas madre;0;
Ubrique;Nº explotaciones;Bovinos;28;
Ubrique;Nº explotaciones;Ovinos;23;
Ubrique;Nº explotaciones;Caprinos;16;
Ubrique;Nº explotaciones;Porcinos;18;
Ubrique;Nº explotaciones;Aves corral;10;
Ubrique;Nº explotaciones;Conejas madre;0;
Ubrique;Nº explotaciones;Colmenas;0;
Ubrique;Cabezas;Equinos;18;
Ubrique;Cabezas;Bovinos;1196;
Ubrique;Cabezas;Ovinos;1847;
Ubrique;Cabezas;Caprinos;1336;
Ubrique;Cabezas;Porcinos;809;
Ubrique;Cabezas;Aves corral;1285;
Ubrique;Cabezas;Conejas madre;0;
Ubrique;UGT;Colmenas;0;
Ubrique;UGT;Equinos;49;
Ubrique;UGT;Bovinos;827,5;
Ubrique;UGT;Ovinos;184,7;
Ubrique;UGT;Caprinos;133,6;
Ubrique;UGT;Porcinos;253,053;
Ubrique;UGT;Aves corral;17,835;
Ubrique;UGT;Conejas madre;0;
Vejer de la Frontera;Nº explotaciones;Bovinos;108;
Vejer de la Frontera;Nº explotaciones;Ovinos;8;
Vejer de la Frontera;Nº explotaciones;Caprinos;17;
Vejer de la Frontera;Nº explotaciones;Porcinos;7;
Vejer de la Frontera;Nº explotaciones;Aves corral;6;
Vejer de la Frontera;Nº explotaciones;Conejas madre;0;
Vejer de la Frontera;Nº explotaciones;Colmenas;0;
Vejer de la Frontera;Cabezas;Equinos;41;
Vejer de la Frontera;Cabezas;Bovinos;10337;
Vejer de la Frontera;Cabezas;Ovinos;408;
Vejer de la Frontera;Cabezas;Caprinos;1074;
Vejer de la Frontera;Cabezas;Porcinos;3575;
Vejer de la Frontera;Cabezas;Aves corral;86346;
Vejer de la Frontera;Cabezas;Conejas madre;0;
Vejer de la Frontera;UGT;Colmenas;0;
Vejer de la Frontera;UGT;Equinos;230;
Vejer de la Frontera;UGT;Bovinos;7241;
Vejer de la Frontera;UGT;Ovinos;40,8;
Vejer de la Frontera;UGT;Caprinos;107,4;
Vejer de la Frontera;UGT;Porcinos;1017,498;
Vejer de la Frontera;UGT;Aves corral;1208,641;
Vejer de la Frontera;UGT;Conejas madre;0;
Villaluenga del Rosario;Nº explotaciones;Bovinos;13;
Villaluenga del Rosario;Nº explotaciones;Ovinos;15;
Villaluenga del Rosario;Nº explotaciones;Caprinos;17;
Villaluenga del Rosario;Nº explotaciones;Porcinos;9;
Villaluenga del Rosario;Nº explotaciones;Aves corral;0;
Villaluenga del Rosario;Nº explotaciones;Conejas madre;0;
Villaluenga del Rosario;Nº explotaciones;Colmenas;0;
Villaluenga del Rosario;Cabezas;Equinos;11;
Villaluenga del Rosario;Cabezas;Bovinos;691;
Villaluenga del Rosario;Cabezas;Ovinos;3894;
Villaluenga del Rosario;Cabezas;Caprinos;4298;
Villaluenga del Rosario;Cabezas;Porcinos;1037;
Villaluenga del Rosario;Cabezas;Aves corral;0;
Villaluenga del Rosario;Cabezas;Conejas madre;0;
Villaluenga del Rosario;UGT;Colmenas;0;
Villaluenga del Rosario;UGT;Equinos;26;
Villaluenga del Rosario;UGT;Bovinos;486,9;
Villaluenga del Rosario;UGT;Ovinos;389,4;
Villaluenga del Rosario;UGT;Caprinos;429,8;
Villaluenga del Rosario;UGT;Porcinos;327,5;
Villaluenga del Rosario;UGT;Aves corral;0;
Villaluenga del Rosario;UGT;Conejas madre;0;
Villamartín;Nº explotaciones;Bovinos;7;
Villamartín;Nº explotaciones;Ovinos;14;
Villamartín;Nº explotaciones;Caprinos;7;
Villamartín;Nº explotaciones;Porcinos;6;
Villamartín;Nº explotaciones;Aves corral;0;
Villamartín;Nº explotaciones;Conejas madre;0;
Villamartín;Nº explotaciones;Colmenas;0;
Villamartín;Cabezas;Equinos;18;
Villamartín;Cabezas;Bovinos;484;
Villamartín;Cabezas;Ovinos;3374;
Villamartín;Cabezas;Caprinos;3123;
Villamartín;Cabezas;Porcinos;316;
Villamartín;Cabezas;Aves corral;0;
Villamartín;Cabezas;Conejas madre;0;
Villamartín;UGT;Colmenas;0;
Villamartín;UGT;Equinos;144;
Villamartín;UGT;Bovinos;333,2;
Villamartín;UGT;Ovinos;337,4;
Villamartín;UGT;Caprinos;312,3;
Villamartín;UGT;Porcinos;104,267;
Villamartín;UGT;Aves corral;0;
Villamartín;UGT;Conejas madre;0;
Zahara;Nº explotaciones;Bovinos;11;
Zahara;Nº explotaciones;Ovinos;21;
Zahara;Nº explotaciones;Caprinos;17;
Zahara;Nº explotaciones;Porcinos;8;
Zahara;Nº explotaciones;Aves corral;3;
Zahara;Nº explotaciones;Conejas madre;0;
Zahara;Nº explotaciones;Colmenas;2;
Zahara;Cabezas;Equinos;13;
Zahara;Cabezas;Bovinos;903;
Zahara;Cabezas;Ovinos;2563;
Zahara;Cabezas;Caprinos;8164;
Zahara;Cabezas;Porcinos;416;
Zahara;Cabezas;Aves corral;70;
Zahara;Cabezas;Conejas madre;0;
Zahara;UGT;Colmenas;110;
Zahara;UGT;Equinos;33;
Zahara;UGT;Bovinos;593,1;
Zahara;UGT;Ovinos;256,3;
Zahara;UGT;Caprinos;816,4;
Zahara;UGT;Porcinos;125,41;
Zahara;UGT;Aves corral;0,7;
Zahara;UGT;Conejas madre;0;
Córdoba;Nº explotaciones;Bovinos;1320;
Córdoba;Nº explotaciones;Ovinos;1940;
Córdoba;Nº explotaciones;Caprinos;699;
Córdoba;Nº explotaciones;Porcinos;1440;
Córdoba;Nº explotaciones;Aves corral;142;
Córdoba;Nº explotaciones;Conejas madre;3;
Córdoba;Nº explotaciones;Colmenas;90;
Córdoba;Cabezas;Equinos;1293;
Córdoba;Cabezas;Bovinos;160838;
Córdoba;Cabezas;Ovinos;743321;
Córdoba;Cabezas;Caprinos;63480;
Córdoba;Cabezas;Porcinos;293195;
Córdoba;Cabezas;Aves corral;1390074;
Córdoba;Cabezas;Conejas madre;6;
Córdoba;UGT;Colmenas;8563;
Córdoba;UGT;Equinos;6980;
Córdoba;UGT;Bovinos;118694,7;
Córdoba;UGT;Ovinos;74332,1;
Córdoba;UGT;Caprinos;6348;
Córdoba;UGT;Porcinos;81095,191;
Córdoba;UGT;Aves corral;11410,392;
Córdoba;UGT;Conejas madre;0,12;
Adamuz;Nº explotaciones;Bovinos;36;
Adamuz;Nº explotaciones;Ovinos;29;
Adamuz;Nº explotaciones;Caprinos;24;
Adamuz;Nº explotaciones;Porcinos;55;
Adamuz;Nº explotaciones;Aves corral;2;
Adamuz;Nº explotaciones;Conejas madre;0;
Adamuz;Nº explotaciones;Colmenas;0;
Adamuz;Cabezas;Equinos;47;
Adamuz;Cabezas;Bovinos;2291;
Adamuz;Cabezas;Ovinos;4255;
Adamuz;Cabezas;Caprinos;396;
Adamuz;Cabezas;Porcinos;4517;
Adamuz;Cabezas;Aves corral;9910;
Adamuz;Cabezas;Conejas madre;0;
Adamuz;UGT;Colmenas;0;
Adamuz;UGT;Equinos;219;
Adamuz;UGT;Bovinos;1556,8;
Adamuz;UGT;Ovinos;425,5;
Adamuz;UGT;Caprinos;39,6;
Adamuz;UGT;Porcinos;1297,418;
Adamuz;UGT;Aves corral;69,552;
Adamuz;UGT;Conejas madre;0;
Aguilar de la Frontera;Nº explotaciones;Bovinos;0;
Aguilar de la Frontera;Nº explotaciones;Ovinos;3;
Aguilar de la Frontera;Nº explotaciones;Caprinos;1;
Aguilar de la Frontera;Nº explotaciones;Porcinos;0;
Aguilar de la Frontera;Nº explotaciones;Aves corral;0;
Aguilar de la Frontera;Nº explotaciones;Conejas madre;0;
Aguilar de la Frontera;Nº explotaciones;Colmenas;1;
Aguilar de la Frontera;Cabezas;Equinos;5;
Aguilar de la Frontera;Cabezas;Bovinos;0;
Aguilar de la Frontera;Cabezas;Ovinos;42;
Aguilar de la Frontera;Cabezas;Caprinos;3;
Aguilar de la Frontera;Cabezas;Porcinos;0;
Aguilar de la Frontera;Cabezas;Aves corral;0;
Aguilar de la Frontera;Cabezas;Conejas madre;0;
Aguilar de la Frontera;UGT;Colmenas;450;
Aguilar de la Frontera;UGT;Equinos;12;
Aguilar de la Frontera;UGT;Bovinos;0;
Aguilar de la Frontera;UGT;Ovinos;4,2;
Aguilar de la Frontera;UGT;Caprinos;0,3;
Aguilar de la Frontera;UGT;Porcinos;0;
Aguilar de la Frontera;UGT;Aves corral;0;
Aguilar de la Frontera;UGT;Conejas madre;0;
Alcaracejos;Nº explotaciones;Bovinos;39;
Alcaracejos;Nº explotaciones;Ovinos;56;
Alcaracejos;Nº explotaciones;Caprinos;6;
Alcaracejos;Nº explotaciones;Porcinos;30;
Alcaracejos;Nº explotaciones;Aves corral;6;
Alcaracejos;Nº explotaciones;Conejas madre;0;
Alcaracejos;Nº explotaciones;Colmenas;3;
Alcaracejos;Cabezas;Equinos;27;
Alcaracejos;Cabezas;Bovinos;6119;
Alcaracejos;Cabezas;Ovinos;13008;
Alcaracejos;Cabezas;Caprinos;2263;
Alcaracejos;Cabezas;Porcinos;1597;
Alcaracejos;Cabezas;Aves corral;144546;
Alcaracejos;Cabezas;Conejas madre;0;
Alcaracejos;UGT;Colmenas;478;
Alcaracejos;UGT;Equinos;66;
Alcaracejos;UGT;Bovinos;4918,3;
Alcaracejos;UGT;Ovinos;1300,8;
Alcaracejos;UGT;Caprinos;226,3;
Alcaracejos;UGT;Porcinos;458,3;
Alcaracejos;UGT;Aves corral;1012,144;
Alcaracejos;UGT;Conejas madre;0;
Almedinilla;Nº explotaciones;Bovinos;0;
Almedinilla;Nº explotaciones;Ovinos;4;
Almedinilla;Nº explotaciones;Caprinos;11;
Almedinilla;Nº explotaciones;Porcinos;5;
Almedinilla;Nº explotaciones;Aves corral;0;
Almedinilla;Nº explotaciones;Conejas madre;0;
Almedinilla;Nº explotaciones;Colmenas;4;
Almedinilla;Cabezas;Equinos;6;
Almedinilla;Cabezas;Bovinos;0;
Almedinilla;Cabezas;Ovinos;35;
Almedinilla;Cabezas;Caprinos;26;
Almedinilla;Cabezas;Porcinos;12;
Almedinilla;Cabezas;Aves corral;0;
Almedinilla;Cabezas;Conejas madre;0;
Almedinilla;UGT;Colmenas;33;
Almedinilla;UGT;Equinos;9;
Almedinilla;UGT;Bovinos;0;
Almedinilla;UGT;Ovinos;3,5;
Almedinilla;UGT;Caprinos;2,6;
Almedinilla;UGT;Porcinos;4;
Almedinilla;UGT;Aves corral;0;
Almedinilla;UGT;Conejas madre;0;
Almodóvar del Río;Nº explotaciones;Bovinos;23;
Almodóvar del Río;Nº explotaciones;Ovinos;15;
Almodóvar del Río;Nº explotaciones;Caprinos;9;
Almodóvar del Río;Nº explotaciones;Porcinos;3;
Almodóvar del Río;Nº explotaciones;Aves corral;3;
Almodóvar del Río;Nº explotaciones;Conejas madre;0;
Almodóvar del Río;Nº explotaciones;Colmenas;0;
Almodóvar del Río;Cabezas;Equinos;16;
Almodóvar del Río;Cabezas;Bovinos;1886;
Almodóvar del Río;Cabezas;Ovinos;4859;
Almodóvar del Río;Cabezas;Caprinos;1536;
Almodóvar del Río;Cabezas;Porcinos;641;
Almodóvar del Río;Cabezas;Aves corral;1910;
Almodóvar del Río;Cabezas;Conejas madre;0;
Almodóvar del Río;UGT;Colmenas;0;
Almodóvar del Río;UGT;Equinos;93;
Almodóvar del Río;UGT;Bovinos;1348,2;
Almodóvar del Río;UGT;Ovinos;485,9;
Almodóvar del Río;UGT;Caprinos;153,6;
Almodóvar del Río;UGT;Porcinos;192,3;
Almodóvar del Río;UGT;Aves corral;25,44;
Almodóvar del Río;UGT;Conejas madre;0;
Añora;Nº explotaciones;Bovinos;53;
Añora;Nº explotaciones;Ovinos;55;
Añora;Nº explotaciones;Caprinos;6;
Añora;Nº explotaciones;Porcinos;30;
Añora;Nº explotaciones;Aves corral;3;
Añora;Nº explotaciones;Conejas madre;0;
Añora;Nº explotaciones;Colmenas;0;
Añora;Cabezas;Equinos;21;
Añora;Cabezas;Bovinos;10199;
Añora;Cabezas;Ovinos;15586;
Añora;Cabezas;Caprinos;517;
Añora;Cabezas;Porcinos;3902;
Añora;Cabezas;Aves corral;55019;
Añora;Cabezas;Conejas madre;0;
Añora;UGT;Colmenas;0;
Añora;UGT;Equinos;89;
Añora;UGT;Bovinos;8131,5;
Añora;UGT;Ovinos;1558,6;
Añora;UGT;Caprinos;51,7;
Añora;UGT;Porcinos;1036,491;
Añora;UGT;Aves corral;385,266;
Añora;UGT;Conejas madre;0;
Baena;Nº explotaciones;Bovinos;2;
Baena;Nº explotaciones;Ovinos;12;
Baena;Nº explotaciones;Caprinos;12;
Baena;Nº explotaciones;Porcinos;4;
Baena;Nº explotaciones;Aves corral;0;
Baena;Nº explotaciones;Conejas madre;0;
Baena;Nº explotaciones;Colmenas;4;
Baena;Cabezas;Equinos;18;
Baena;Cabezas;Bovinos;55;
Baena;Cabezas;Ovinos;1436;
Baena;Cabezas;Caprinos;3161;
Baena;Cabezas;Porcinos;811;
Baena;Cabezas;Aves corral;0;
Baena;Cabezas;Conejas madre;0;
Baena;UGT;Colmenas;324;
Baena;UGT;Equinos;59;
Baena;UGT;Bovinos;42,1;
Baena;UGT;Ovinos;143,6;
Baena;UGT;Caprinos;316,1;
Baena;UGT;Porcinos;207,338;
Baena;UGT;Aves corral;0;
Baena;UGT;Conejas madre;0;
Belalcázar;Nº explotaciones;Bovinos;52;
Belalcázar;Nº explotaciones;Ovinos;108;
Belalcázar;Nº explotaciones;Caprinos;23;
Belalcázar;Nº explotaciones;Porcinos;34;
Belalcázar;Nº explotaciones;Aves corral;3;
Belalcázar;Nº explotaciones;Conejas madre;0;
