Territorio;Características básicas de la explotación;Medida;Valor;
Alboloduy;Nº explotaciones;Bovinos;0;
Alboloduy;Nº explotaciones;Ovinos;4;
Alboloduy;Nº explotaciones;Caprinos;5;
Alboloduy;Nº explotaciones;Porcinos;0;
Alboloduy;Nº explotaciones;Aves corral;0;
Alboloduy;Nº explotaciones;Conejas madre;1;
Alboloduy;Nº explotaciones;Colmenas;0;
Alboloduy;Cabezas;Equinos;0;
Alboloduy;Cabezas;Bovinos;0;
Alboloduy;Cabezas;Ovinos;237;
Alboloduy;Cabezas;Caprinos;1047;
Alboloduy;Cabezas;Porcinos;0;
Alboloduy;Cabezas;Aves corral;0;
Alboloduy;Cabezas;Conejas madre;2;
Alboloduy;UGT;Colmenas;0;
Alboloduy;UGT;Equinos;0;
Alboloduy;UGT;Bovinos;0;
Alboloduy;UGT;Ovinos;23,7;
Alboloduy;UGT;Caprinos;104,7;
Alboloduy;UGT;Porcinos;0;
Alboloduy;UGT;Aves corral;0;
Alboloduy;UGT;Conejas madre;0,04;
Albox;Nº explotaciones;Bovinos;0;
Albox;Nº explotaciones;Ovinos;16;
Albox;Nº explotaciones;Caprinos;48;
Albox;Nº explotaciones;Porcinos;5;
Albox;Nº explotaciones;Aves corral;3;
Albox;Nº explotaciones;Conejas madre;0;
Albox;Nº explotaciones;Colmenas;11;
Albox;Cabezas;Equinos;8;
Albox;Cabezas;Bovinos;0;
Albox;Cabezas;Ovinos;913;
Albox;Cabezas;Caprinos;5108;
Albox;Cabezas;Porcinos;13053;
Albox;Cabezas;Aves corral;14444;
Albox;Cabezas;Conejas madre;0;
Albox;UGT;Colmenas;1959;
Albox;UGT;Equinos;36;
Albox;UGT;Bovinos;0;
Albox;UGT;Ovinos;91,3;
Albox;UGT;Caprinos;510,8;
Albox;UGT;Porcinos;3915,9;
Albox;UGT;Aves corral;202,216;
Albox;UGT;Conejas madre;0;
Alcolea;Nº explotaciones;Bovinos;0;
Alcolea;Nº explotaciones;Ovinos;6;
Alcolea;Nº explotaciones;Caprinos;6;
Alcolea;Nº explotaciones;Porcinos;0;
Alcolea;Nº explotaciones;Aves corral;0;
Alcolea;Nº explotaciones;Conejas madre;0;
Alcolea;Nº explotaciones;Colmenas;0;
Alcolea;Cabezas;Equinos;0;
Alcolea;Cabezas;Bovinos;0;
Alcolea;Cabezas;Ovinos;527;
Alcolea;Cabezas;Caprinos;127;
Alcolea;Cabezas;Porcinos;0;
Alcolea;Cabezas;Aves corral;0;
Alcolea;Cabezas;Conejas madre;0;
Alcolea;UGT;Colmenas;0;
Alcolea;UGT;Equinos;0;
Alcolea;UGT;Bovinos;0;
Alcolea;UGT;Ovinos;52,7;
Alcolea;UGT;Caprinos;12,7;
Alcolea;UGT;Porcinos;0;
Alcolea;UGT;Aves corral;0;
Alcolea;UGT;Conejas madre;0;
Alcóntar;Nº explotaciones;Bovinos;0;
Alcóntar;Nº explotaciones;Ovinos;5;
Alcóntar;Nº explotaciones;Caprinos;6;
Alcóntar;Nº explotaciones;Porcinos;0;
Alcóntar;Nº explotaciones;Aves corral;0;
Alcóntar;Nº explotaciones;Conejas madre;0;
Alcóntar;Nº explotaciones;Colmenas;3;
Alcóntar;Cabezas;Equinos;1;
Alcóntar;Cabezas;Bovinos;0;
Alcóntar;Cabezas;Ovinos;2091;
Alcóntar;Cabezas;Caprinos;368;
Alcóntar;Cabezas;Porcinos;0;
Alcóntar;Cabezas;Aves corral;0;
Alcóntar;Cabezas;Conejas madre;0;
Alcóntar;UGT;Colmenas;1030;
Alcóntar;UGT;Equinos;2;
Alcóntar;UGT;Bovinos;0;
Alcóntar;UGT;Ovinos;209,1;
Alcóntar;UGT;Caprinos;36,8;
Alcóntar;UGT;Porcinos;0;
Alcóntar;UGT;Aves corral;0;
Alcóntar;UGT;Conejas madre;0;
Alcudia de Monteagud;Nº explotaciones;Bovinos;0;
Alcudia de Monteagud;Nº explotaciones;Ovinos;1;
Alcudia de Monteagud;Nº explotaciones;Caprinos;1;
Alcudia de Monteagud;Nº explotaciones;Porcinos;0;
Alcudia de Monteagud;Nº explotaciones;Aves corral;0;
Alcudia de Monteagud;Nº explotaciones;Conejas madre;0;
Alcudia de Monteagud;Nº explotaciones;Colmenas;0;
Alcudia de Monteagud;Cabezas;Equinos;0;
Alcudia de Monteagud;Cabezas;Bovinos;0;
Alcudia de Monteagud;Cabezas;Ovinos;20;
Alcudia de Monteagud;Cabezas;Caprinos;5;
Alcudia de Monteagud;Cabezas;Porcinos;0;
Alcudia de Monteagud;Cabezas;Aves corral;0;
Alcudia de Monteagud;Cabezas;Conejas madre;0;
Alcudia de Monteagud;UGT;Colmenas;0;
Alcudia de Monteagud;UGT;Equinos;0;
Alcudia de Monteagud;UGT;Bovinos;0;
Alcudia de Monteagud;UGT;Ovinos;2;
Alcudia de Monteagud;UGT;Caprinos;0,5;
Alcudia de Monteagud;UGT;Porcinos;0;
Alcudia de Monteagud;UGT;Aves corral;0;
Alcudia de Monteagud;UGT;Conejas madre;0;
Alhabia;Nº explotaciones;Bovinos;0;
Alhabia;Nº explotaciones;Ovinos;1;
Alhabia;Nº explotaciones;Caprinos;1;
Alhabia;Nº explotaciones;Porcinos;0;
Alhabia;Nº explotaciones;Aves corral;0;
Alhabia;Nº explotaciones;Conejas madre;0;
Alhabia;Nº explotaciones;Colmenas;0;
Alhabia;Cabezas;Equinos;0;
Alhabia;Cabezas;Bovinos;0;
Alhabia;Cabezas;Ovinos;44;
Alhabia;Cabezas;Caprinos;20;
Alhabia;Cabezas;Porcinos;0;
Alhabia;Cabezas;Aves corral;0;
Alhabia;Cabezas;Conejas madre;0;
Alhabia;UGT;Colmenas;0;
Alhabia;UGT;Equinos;0;
Alhabia;UGT;Bovinos;0;
Alhabia;UGT;Ovinos;4,4;
Alhabia;UGT;Caprinos;2;
Alhabia;UGT;Porcinos;0;
Alhabia;UGT;Aves corral;0;
Alhabia;UGT;Conejas madre;0;
Alhama de Almería;Nº explotaciones;Bovinos;0;
Alhama de Almería;Nº explotaciones;Ovinos;5;
Alhama de Almería;Nº explotaciones;Caprinos;4;
Alhama de Almería;Nº explotaciones;Porcinos;0;
Alhama de Almería;Nº explotaciones;Aves corral;1;
