Territorio;Tipo de entidad de credito;Medida;Valor;
Bayarque;Cooperativas de credito;Nº de oficinas;-;
Bayarque;Sucursales comunitarias;Nº de oficinas;-;
Bayarque;Establecimientos financieros de credito;Nº de oficinas;-;
Bayarque;TOTAL;Nº de oficinas;-;
Bedar;Bancos;Nº de oficinas;-;
Bedar;Cooperativas de credito;Nº de oficinas;1;
Bedar;Sucursales comunitarias;Nº de oficinas;-;
Bedar;Establecimientos financieros de credito;Nº de oficinas;-;
Bedar;TOTAL;Nº de oficinas;1;
Beires;Bancos;Nº de oficinas;-;
Beires;Cooperativas de credito;Nº de oficinas;-;
Beires;Sucursales comunitarias;Nº de oficinas;-;
Beires;Establecimientos financieros de credito;Nº de oficinas;-;
Beires;TOTAL;Nº de oficinas;-;
Benahadux;Bancos;Nº de oficinas;1;
Benahadux;Cooperativas de credito;Nº de oficinas;1;
Benahadux;Sucursales comunitarias;Nº de oficinas;-;
Benahadux;Establecimientos financieros de credito;Nº de oficinas;-;
Benahadux;TOTAL;Nº de oficinas;2;
Benitagla;Bancos;Nº de oficinas;-;
Benitagla;Cooperativas de credito;Nº de oficinas;-;
Benitagla;Sucursales comunitarias;Nº de oficinas;-;
Benitagla;Establecimientos financieros de credito;Nº de oficinas;-;
Benitagla;TOTAL;Nº de oficinas;-;
Benizalón;Bancos;Nº de oficinas;-;
Benizalón;Cooperativas de credito;Nº de oficinas;-;
Benizalón;Sucursales comunitarias;Nº de oficinas;-;
Benizalón;Establecimientos financieros de credito;Nº de oficinas;-;
Benizalón;TOTAL;Nº de oficinas;-;
Bentarique;Bancos;Nº de oficinas;-;
Bentarique;Cooperativas de credito;Nº de oficinas;-;
Bentarique;Sucursales comunitarias;Nº de oficinas;-;
Bentarique;Establecimientos financieros de credito;Nº de oficinas;-;
Bentarique;TOTAL;Nº de oficinas;-;
Berja;Bancos;Nº de oficinas;3;
Berja;Cooperativas de credito;Nº de oficinas;2;
Berja;Sucursales comunitarias;Nº de oficinas;-;
Berja;Establecimientos financieros de credito;Nº de oficinas;-;
Berja;TOTAL;Nº de oficinas;5;
Canjáyar;Bancos;Nº de oficinas;-;
Canjáyar;Cooperativas de credito;Nº de oficinas;1;
Canjáyar;Sucursales comunitarias;Nº de oficinas;-;
Canjáyar;Establecimientos financieros de credito;Nº de oficinas;-;
Canjáyar;TOTAL;Nº de oficinas;1;
Cantoria;Bancos;Nº de oficinas;-;
Cantoria;Cooperativas de credito;Nº de oficinas;1;
Cantoria;Sucursales comunitarias;Nº de oficinas;-;
Cantoria;Establecimientos financieros de credito;Nº de oficinas;-;
Cantoria;TOTAL;Nº de oficinas;1;
Carboneras;Bancos;Nº de oficinas;3;
Carboneras;Cooperativas de credito;Nº de oficinas;1;
Carboneras;Sucursales comunitarias;Nº de oficinas;-;
Carboneras;Establecimientos financieros de credito;Nº de oficinas;-;
Carboneras;TOTAL;Nº de oficinas;4;
Castro de Filabres;Bancos;Nº de oficinas;-;
Castro de Filabres;Cooperativas de credito;Nº de oficinas;-;
Castro de Filabres;Sucursales comunitarias;Nº de oficinas;-;
Castro de Filabres;Establecimientos financieros de credito;Nº de oficinas;-;
Castro de Filabres;TOTAL;Nº de oficinas;-;
Chercos;Bancos;Nº de oficinas;-;
Chercos;Cooperativas de credito;Nº de oficinas;-;
Chercos;Sucursales comunitarias;Nº de oficinas;-;
Chercos;Establecimientos financieros de credito;Nº de oficinas;-;
Chercos;TOTAL;Nº de oficinas;-;
Chirivel;Bancos;Nº de oficinas;-;
Chirivel;Cooperativas de credito;Nº de oficinas;1;
