Territorio;Tipo de entidad de credito;Medida;Valor;
Loja;TOTAL;Nº de oficinas;8;
Los Guájares;Bancos;Nº de oficinas;-;
Los Guájares;Cooperativas de credito;Nº de oficinas;1;
Los Guájares;Sucursales comunitarias;Nº de oficinas;-;
Los Guájares;Establecimientos financieros de credito;Nº de oficinas;-;
Los Guájares;TOTAL;Nº de oficinas;1;
Lugros;Bancos;Nº de oficinas;-;
Lugros;Cooperativas de credito;Nº de oficinas;-;
Lugros;Sucursales comunitarias;Nº de oficinas;-;
Lugros;Establecimientos financieros de credito;Nº de oficinas;-;
Lugros;TOTAL;Nº de oficinas;-;
Lújar;Bancos;Nº de oficinas;-;
Lújar;Cooperativas de credito;Nº de oficinas;-;
Lújar;Sucursales comunitarias;Nº de oficinas;-;
Lújar;Establecimientos financieros de credito;Nº de oficinas;-;
Lújar;TOTAL;Nº de oficinas;-;
Maracena;Bancos;Nº de oficinas;4;
Maracena;Cooperativas de credito;Nº de oficinas;2;
Maracena;Sucursales comunitarias;Nº de oficinas;-;
Maracena;Establecimientos financieros de credito;Nº de oficinas;-;
Maracena;TOTAL;Nº de oficinas;6;
Marchal;Bancos;Nº de oficinas;-;
Marchal;Cooperativas de credito;Nº de oficinas;-;
Marchal;Sucursales comunitarias;Nº de oficinas;-;
Marchal;Establecimientos financieros de credito;Nº de oficinas;-;
Marchal;TOTAL;Nº de oficinas;-;
Moclín;Bancos;Nº de oficinas;3;
Moclín;Cooperativas de credito;Nº de oficinas;1;
Moclín;Sucursales comunitarias;Nº de oficinas;-;
Moclín;Establecimientos financieros de credito;Nº de oficinas;-;
Moclín;TOTAL;Nº de oficinas;4;
Molvízar;Bancos;Nº de oficinas;1;
Molvízar;Cooperativas de credito;Nº de oficinas;1;
Molvízar;Sucursales comunitarias;Nº de oficinas;-;
Molvízar;Establecimientos financieros de credito;Nº de oficinas;-;
Molvízar;TOTAL;Nº de oficinas;2;
Monachil;Bancos;Nº de oficinas;2;
Monachil;Cooperativas de credito;Nº de oficinas;3;
Monachil;Sucursales comunitarias;Nº de oficinas;-;
Monachil;Establecimientos financieros de credito;Nº de oficinas;-;
Monachil;TOTAL;Nº de oficinas;5;
Montefrío;Bancos;Nº de oficinas;1;
Montefrío;Cooperativas de credito;Nº de oficinas;1;
Montefrío;Sucursales comunitarias;Nº de oficinas;-;
Montefrío;Establecimientos financieros de credito;Nº de oficinas;-;
Montefrío;TOTAL;Nº de oficinas;2;
Montejícar;Bancos;Nº de oficinas;1;
Montejícar;Cooperativas de credito;Nº de oficinas;1;
Montejícar;Sucursales comunitarias;Nº de oficinas;-;
Montejícar;Establecimientos financieros de credito;Nº de oficinas;-;
Montejícar;TOTAL;Nº de oficinas;2;
Montillana;Bancos;Nº de oficinas;1;
Montillana;Cooperativas de credito;Nº de oficinas;1;
Montillana;Sucursales comunitarias;Nº de oficinas;-;
Montillana;Establecimientos financieros de credito;Nº de oficinas;-;
Montillana;TOTAL;Nº de oficinas;2;
Moraleda de Zafayona;Bancos;Nº de oficinas;1;
Moraleda de Zafayona;Cooperativas de credito;Nº de oficinas;1;
Moraleda de Zafayona;Sucursales comunitarias;Nº de oficinas;-;
Moraleda de Zafayona;Establecimientos financieros de credito;Nº de oficinas;-;
Moraleda de Zafayona;TOTAL;Nº de oficinas;2;
Morelábor;Bancos;Nº de oficinas;1;
Morelábor;Cooperativas de credito;Nº de oficinas;1;
Morelábor;Sucursales comunitarias;Nº de oficinas;-;
Morelábor;Establecimientos financieros de credito;Nº de oficinas;-;
Morelábor;TOTAL;Nº de oficinas;2;
Motril;Bancos;Nº de oficinas;11;
Motril;Cooperativas de credito;Nº de oficinas;6;
Motril;Sucursales comunitarias;Nº de oficinas;-;
Motril;Establecimientos financieros de credito;Nº de oficinas;-;
Motril;TOTAL;Nº de oficinas;17;
Murtas;Bancos;Nº de oficinas;-;
Murtas;Cooperativas de credito;Nº de oficinas;-;
Murtas;Sucursales comunitarias;Nº de oficinas;-;
Murtas;Establecimientos financieros de credito;Nº de oficinas;-;
Murtas;TOTAL;Nº de oficinas;-;
Nevada;Bancos;Nº de oficinas;1;
Nevada;Cooperativas de credito;Nº de oficinas;-;
Nevada;Sucursales comunitarias;Nº de oficinas;-;
Nevada;Establecimientos financieros de credito;Nº de oficinas;-;
Nevada;TOTAL;Nº de oficinas;1;
Nigüelas;Bancos;Nº de oficinas;1;
Nigüelas;Cooperativas de credito;Nº de oficinas;-;
Nigüelas;Sucursales comunitarias;Nº de oficinas;-;
Nigüelas;Establecimientos financieros de credito;Nº de oficinas;-;
Nigüelas;TOTAL;Nº de oficinas;1;
Nívar;Bancos;Nº de oficinas;-;
Nívar;Cooperativas de credito;Nº de oficinas;-;
Nívar;Sucursales comunitarias;Nº de oficinas;-;
Nívar;Establecimientos financieros de credito;Nº de oficinas;-;
Nívar;TOTAL;Nº de oficinas;-;
Ogíjares;Bancos;Nº de oficinas;3;
Ogíjares;Cooperativas de credito;Nº de oficinas;1;
Ogíjares;Sucursales comunitarias;Nº de oficinas;-;
Ogíjares;Establecimientos financieros de credito;Nº de oficinas;-;
Ogíjares;TOTAL;Nº de oficinas;4;
Orce;Bancos;Nº de oficinas;1;
Orce;Cooperativas de credito;Nº de oficinas;1;
Orce;Sucursales comunitarias;Nº de oficinas;-;
Orce;Establecimientos financieros de credito;Nº de oficinas;-;
Orce;TOTAL;Nº de oficinas;2;
Órgiva;Bancos;Nº de oficinas;1;
Órgiva;Cooperativas de credito;Nº de oficinas;1;
Órgiva;Sucursales comunitarias;Nº de oficinas;-;
Órgiva;Establecimientos financieros de credito;Nº de oficinas;-;
Órgiva;TOTAL;Nº de oficinas;2;
Otívar;Bancos;Nº de oficinas;1;
Otívar;Cooperativas de credito;Nº de oficinas;1;
Otívar;Sucursales comunitarias;Nº de oficinas;-;
Otívar;Establecimientos financieros de credito;Nº de oficinas;-;
Otívar;TOTAL;Nº de oficinas;2;
Padul;Bancos;Nº de oficinas;1;
Padul;Cooperativas de credito;Nº de oficinas;1;
Padul;Sucursales comunitarias;Nº de oficinas;-;
Padul;Establecimientos financieros de credito;Nº de oficinas;-;
Padul;TOTAL;Nº de oficinas;2;
Pampaneira;Bancos;Nº de oficinas;-;
Pampaneira;Cooperativas de credito;Nº de oficinas;-;
Pampaneira;Sucursales comunitarias;Nº de oficinas;-;
Pampaneira;Establecimientos financieros de credito;Nº de oficinas;-;
Pampaneira;TOTAL;Nº de oficinas;-;
Pedro Martínez;Bancos;Nº de oficinas;1;
Pedro Martínez;Cooperativas de credito;Nº de oficinas;-;
Pedro Martínez;Sucursales comunitarias;Nº de oficinas;-;
Pedro Martínez;Establecimientos financieros de credito;Nº de oficinas;-;
Pedro Martínez;TOTAL;Nº de oficinas;1;
Peligros;Bancos;Nº de oficinas;2;
Peligros;Cooperativas de credito;Nº de oficinas;1;
Peligros;Sucursales comunitarias;Nº de oficinas;-;
Peligros;Establecimientos financieros de credito;Nº de oficinas;-;
Peligros;TOTAL;Nº de oficinas;3;
Pinos Genil;Bancos;Nº de oficinas;1;
Pinos Genil;Cooperativas de credito;Nº de oficinas;-;
Pinos Genil;Sucursales comunitarias;Nº de oficinas;-;
Pinos Genil;Establecimientos financieros de credito;Nº de oficinas;-;
Pinos Genil;TOTAL;Nº de oficinas;1;
Pinos Puente;Bancos;Nº de oficinas;3;
Pinos Puente;Cooperativas de credito;Nº de oficinas;2;
Pinos Puente;Sucursales comunitarias;Nº de oficinas;-;
Pinos Puente;Establecimientos financieros de credito;Nº de oficinas;-;
Pinos Puente;TOTAL;Nº de oficinas;5;
Píñar;Bancos;Nº de oficinas;1;
Píñar;Cooperativas de credito;Nº de oficinas;1;
Píñar;Sucursales comunitarias;Nº de oficinas;-;
Píñar;Establecimientos financieros de credito;Nº de oficinas;-;
Píñar;TOTAL;Nº de oficinas;2;
Polícar;Bancos;Nº de oficinas;-;
Polícar;Cooperativas de credito;Nº de oficinas;-;
Polícar;Sucursales comunitarias;Nº de oficinas;-;
Polícar;Establecimientos financieros de credito;Nº de oficinas;-;
Polícar;TOTAL;Nº de oficinas;-;
Polopos;Bancos;Nº de oficinas;-;
Polopos;Cooperativas de credito;Nº de oficinas;1;
Polopos;Sucursales comunitarias;Nº de oficinas;-;
Polopos;Establecimientos financieros de credito;Nº de oficinas;-;
Polopos;TOTAL;Nº de oficinas;1;
Pórtugos;Bancos;Nº de oficinas;-;
Pórtugos;Cooperativas de credito;Nº de oficinas;-;
Pórtugos;Sucursales comunitarias;Nº de oficinas;-;
Pórtugos;Establecimientos financieros de credito;Nº de oficinas;-;
Pórtugos;TOTAL;Nº de oficinas;-;
Puebla de Don Fadrique;Bancos;Nº de oficinas;1;
Puebla de Don Fadrique;Cooperativas de credito;Nº de oficinas;1;
Puebla de Don Fadrique;Sucursales comunitarias;Nº de oficinas;-;
Puebla de Don Fadrique;Establecimientos financieros de credito;Nº de oficinas;-;
Puebla de Don Fadrique;TOTAL;Nº de oficinas;2;
Pulianas;Bancos;Nº de oficinas;1;
Pulianas;Cooperativas de credito;Nº de oficinas;-;
Pulianas;Sucursales comunitarias;Nº de oficinas;-;
Pulianas;Establecimientos financieros de credito;Nº de oficinas;-;
Pulianas;TOTAL;Nº de oficinas;1;
Purullena;Bancos;Nº de oficinas;1;
Purullena;Cooperativas de credito;Nº de oficinas;1;
Purullena;Sucursales comunitarias;Nº de oficinas;-;
Purullena;Establecimientos financieros de credito;Nº de oficinas;-;
Purullena;TOTAL;Nº de oficinas;2;
Quentar;Bancos;Nº de oficinas;1;
Quentar;Cooperativas de credito;Nº de oficinas;-;
Quentar;Sucursales comunitarias;Nº de oficinas;-;
Quentar;Establecimientos financieros de credito;Nº de oficinas;-;
Quentar;TOTAL;Nº de oficinas;1;
Rubite;Bancos;Nº de oficinas;-;
Rubite;Cooperativas de credito;Nº de oficinas;-;
Rubite;Sucursales comunitarias;Nº de oficinas;-;
Rubite;Establecimientos financieros de credito;Nº de oficinas;-;
Rubite;TOTAL;Nº de oficinas;-;
Salar;Bancos;Nº de oficinas;1;
Salar;Cooperativas de credito;Nº de oficinas;1;
Salar;Sucursales comunitarias;Nº de oficinas;-;
Salar;Establecimientos financieros de credito;Nº de oficinas;-;
Salar;TOTAL;Nº de oficinas;2;
Salobreña;Bancos;Nº de oficinas;3;
Salobreña;Cooperativas de credito;Nº de oficinas;2;
Salobreña;Sucursales comunitarias;Nº de oficinas;-;
Salobreña;Establecimientos financieros de credito;Nº de oficinas;-;
Salobreña;TOTAL;Nº de oficinas;5;
Santa Cruz del Comercio;Bancos;Nº de oficinas;1;
Santa Cruz del Comercio;Cooperativas de credito;Nº de oficinas;-;
Santa Cruz del Comercio;Sucursales comunitarias;Nº de oficinas;-;
Santa Cruz del Comercio;Establecimientos financieros de credito;Nº de oficinas;-;
Santa Cruz del Comercio;TOTAL;Nº de oficinas;1;
Santa Fe;Bancos;Nº de oficinas;4;
Santa Fe;Cooperativas de credito;Nº de oficinas;1;
Santa Fe;Sucursales comunitarias;Nº de oficinas;-;
Santa Fe;Establecimientos financieros de credito;Nº de oficinas;-;
Santa Fe;TOTAL;Nº de oficinas;5;
Soportújar;Bancos;Nº de oficinas;-;
Soportújar;Cooperativas de credito;Nº de oficinas;-;
Soportújar;Sucursales comunitarias;Nº de oficinas;-;
Soportújar;Establecimientos financieros de credito;Nº de oficinas;-;
Soportújar;TOTAL;Nº de oficinas;-;
Sorvilán;Bancos;Nº de oficinas;-;
Sorvilán;Cooperativas de credito;Nº de oficinas;-;
Sorvilán;Sucursales comunitarias;Nº de oficinas;-;
Sorvilán;Establecimientos financieros de credito;Nº de oficinas;-;
Sorvilán;TOTAL;Nº de oficinas;-;
Torre-Cardela;Bancos;Nº de oficinas;1;
Torre-Cardela;Cooperativas de credito;Nº de oficinas;-;
Torre-Cardela;Sucursales comunitarias;Nº de oficinas;-;
Torre-Cardela;Establecimientos financieros de credito;Nº de oficinas;-;
Torre-Cardela;TOTAL;Nº de oficinas;1;
Torrenueva Costa;Bancos;Nº de oficinas;1;
Torrenueva Costa;Cooperativas de credito;Nº de oficinas;1;
Torrenueva Costa;Sucursales comunitarias;Nº de oficinas;-;
Torrenueva Costa;Establecimientos financieros de credito;Nº de oficinas;-;
Torrenueva Costa;TOTAL;Nº de oficinas;2;
Torvizcón;Bancos;Nº de oficinas;1;
Torvizcón;Cooperativas de credito;Nº de oficinas;-;
Torvizcón;Sucursales comunitarias;Nº de oficinas;-;
Torvizcón;Establecimientos financieros de credito;Nº de oficinas;-;
Torvizcón;TOTAL;Nº de oficinas;1;
Trevélez;Bancos;Nº de oficinas;-;
Trevélez;Cooperativas de credito;Nº de oficinas;1;
Trevélez;Sucursales comunitarias;Nº de oficinas;-;
Trevélez;Establecimientos financieros de credito;Nº de oficinas;-;
Trevélez;TOTAL;Nº de oficinas;1;
Turón;Bancos;Nº de oficinas;1;
Turón;Cooperativas de credito;Nº de oficinas;-;
Turón;Sucursales comunitarias;Nº de oficinas;-;
Turón;Establecimientos financieros de credito;Nº de oficinas;-;
Turón;TOTAL;Nº de oficinas;1;
Ugíjar;Bancos;Nº de oficinas;1;
Ugíjar;Cooperativas de credito;Nº de oficinas;1;
Ugíjar;Sucursales comunitarias;Nº de oficinas;-;
Ugíjar;Establecimientos financieros de credito;Nº de oficinas;-;
Ugíjar;TOTAL;Nº de oficinas;2;
Valderrubio;Bancos;Nº de oficinas;1;
Valderrubio;Cooperativas de credito;Nº de oficinas;1;
Valderrubio;Sucursales comunitarias;Nº de oficinas;-;
Valderrubio;Establecimientos financieros de credito;Nº de oficinas;-;
Valderrubio;TOTAL;Nº de oficinas;2;
Valle del Zalabí;Bancos;Nº de oficinas;1;
Valle del Zalabí;Cooperativas de credito;Nº de oficinas;1;
Valle del Zalabí;Sucursales comunitarias;Nº de oficinas;-;
Valle del Zalabí;Establecimientos financieros de credito;Nº de oficinas;-;
Valle del Zalabí;TOTAL;Nº de oficinas;2;
Válor;Bancos;Nº de oficinas;1;
Válor;Cooperativas de credito;Nº de oficinas;-;
Válor;Sucursales comunitarias;Nº de oficinas;-;
Válor;Establecimientos financieros de credito;Nº de oficinas;-;
Válor;TOTAL;Nº de oficinas;1;
Vegas del Genil;Bancos;Nº de oficinas;1;
Vegas del Genil;Cooperativas de credito;Nº de oficinas;1;
Vegas del Genil;Sucursales comunitarias;Nº de oficinas;-;
Vegas del Genil;Establecimientos financieros de credito;Nº de oficinas;-;
Vegas del Genil;TOTAL;Nº de oficinas;2;
Velez de Benaudalla;Bancos;Nº de oficinas;1;
Velez de Benaudalla;Cooperativas de credito;Nº de oficinas;1;
Velez de Benaudalla;Sucursales comunitarias;Nº de oficinas;-;
Velez de Benaudalla;Establecimientos financieros de credito;Nº de oficinas;-;
Velez de Benaudalla;TOTAL;Nº de oficinas;2;
Ventas de Huelma;Bancos;Nº de oficinas;1;
Ventas de Huelma;Cooperativas de credito;Nº de oficinas;-;
Ventas de Huelma;Sucursales comunitarias;Nº de oficinas;-;
Ventas de Huelma;Establecimientos financieros de credito;Nº de oficinas;-;
Ventas de Huelma;TOTAL;Nº de oficinas;1;
Villa de Otura;Bancos;Nº de oficinas;1;
Villa de Otura;Cooperativas de credito;Nº de oficinas;1;
Villa de Otura;Sucursales comunitarias;Nº de oficinas;-;
Villa de Otura;Establecimientos financieros de credito;Nº de oficinas;-;
Villa de Otura;TOTAL;Nº de oficinas;2;
Villamena;Bancos;Nº de oficinas;-;
Villamena;Cooperativas de credito;Nº de oficinas;-;
Villamena;Sucursales comunitarias;Nº de oficinas;-;
Villamena;Establecimientos financieros de credito;Nº de oficinas;-;
Villamena;TOTAL;Nº de oficinas;-;
Villanueva de las Torres;Bancos;Nº de oficinas;1;
Villanueva de las Torres;Cooperativas de credito;Nº de oficinas;-;
Villanueva de las Torres;Sucursales comunitarias;Nº de oficinas;-;
Villanueva de las Torres;Establecimientos financieros de credito;Nº de oficinas;-;
Villanueva de las Torres;TOTAL;Nº de oficinas;1;
Villanueva Mesía;Bancos;Nº de oficinas;1;
Villanueva Mesía;Cooperativas de credito;Nº de oficinas;1;
Villanueva Mesía;Sucursales comunitarias;Nº de oficinas;-;
Villanueva Mesía;Establecimientos financieros de credito;Nº de oficinas;-;
Villanueva Mesía;TOTAL;Nº de oficinas;2;
Víznar;Bancos;Nº de oficinas;-;
Víznar;Cooperativas de credito;Nº de oficinas;-;
Víznar;Sucursales comunitarias;Nº de oficinas;-;
Víznar;Establecimientos financieros de credito;Nº de oficinas;-;
Víznar;TOTAL;Nº de oficinas;-;
Zafarraya;Bancos;Nº de oficinas;1;
Zafarraya;Cooperativas de credito;Nº de oficinas;1;
Zafarraya;Sucursales comunitarias;Nº de oficinas;-;
Zafarraya;Establecimientos financieros de credito;Nº de oficinas;-;
Zafarraya;TOTAL;Nº de oficinas;2;
Zagra;Bancos;Nº de oficinas;-;
Zagra;Cooperativas de credito;Nº de oficinas;1;
Zagra;Sucursales comunitarias;Nº de oficinas;-;
Zagra;Establecimientos financieros de credito;Nº de oficinas;-;
Zagra;TOTAL;Nº de oficinas;1;
Zújar;Bancos;Nº de oficinas;1;
Zújar;Cooperativas de credito;Nº de oficinas;1;
Zújar;Sucursales comunitarias;Nº de oficinas;-;
Zújar;Establecimientos financieros de credito;Nº de oficinas;-;
Zújar;TOTAL;Nº de oficinas;2;
Huelva;Bancos;Nº de oficinas;143;
Huelva;Cooperativas de credito;Nº de oficinas;67;
Huelva;Sucursales comunitarias;Nº de oficinas;-;
Huelva;Establecimientos financieros de credito;Nº de oficinas;1;
Huelva;TOTAL;Nº de oficinas;211;
Alájar;Bancos;Nº de oficinas;1;
Alájar;Cooperativas de credito;Nº de oficinas;-;
Alájar;Sucursales comunitarias;Nº de oficinas;-;
Alájar;Establecimientos financieros de credito;Nº de oficinas;-;
Alájar;TOTAL;Nº de oficinas;1;
Aljaraque;Bancos;Nº de oficinas;5;
Aljaraque;Cooperativas de credito;Nº de oficinas;1;
Aljaraque;Sucursales comunitarias;Nº de oficinas;-;
Aljaraque;Establecimientos financieros de credito;Nº de oficinas;-;
Aljaraque;TOTAL;Nº de oficinas;6;
Almonaster la Real;Bancos;Nº de oficinas;-;
Almonaster la Real;Cooperativas de credito;Nº de oficinas;-;
Almonaster la Real;Sucursales comunitarias;Nº de oficinas;-;
Almonaster la Real;Establecimientos financieros de credito;Nº de oficinas;-;
Almonaster la Real;TOTAL;Nº de oficinas;-;
Almonte;Bancos;Nº de oficinas;7;
Almonte;Cooperativas de credito;Nº de oficinas;3;
Almonte;Sucursales comunitarias;Nº de oficinas;-;
Almonte;Establecimientos financieros de credito;Nº de oficinas;-;
Almonte;TOTAL;Nº de oficinas;10;
Alosno;Bancos;Nº de oficinas;2;
Alosno;Cooperativas de credito;Nº de oficinas;-;
Alosno;Sucursales comunitarias;Nº de oficinas;-;
Alosno;Establecimientos financieros de credito;Nº de oficinas;-;
Alosno;TOTAL;Nº de oficinas;2;
Aracena;Bancos;Nº de oficinas;4;
Aracena;Cooperativas de credito;Nº de oficinas;1;
Aracena;Sucursales comunitarias;Nº de oficinas;-;
Aracena;Establecimientos financieros de credito;Nº de oficinas;-;
Aracena;TOTAL;Nº de oficinas;5;
Aroche;Bancos;Nº de oficinas;1;
Aroche;Cooperativas de credito;Nº de oficinas;-;
Aroche;Sucursales comunitarias;Nº de oficinas;-;
Aroche;Establecimientos financieros de credito;Nº de oficinas;-;
Aroche;TOTAL;Nº de oficinas;1;
Arroyomolinos de León;Bancos;Nº de oficinas;1;
Arroyomolinos de León;Cooperativas de credito;Nº de oficinas;-;
Arroyomolinos de León;Sucursales comunitarias;Nº de oficinas;-;
Arroyomolinos de León;Establecimientos financieros de credito;Nº de oficinas;-;
Arroyomolinos de León;TOTAL;Nº de oficinas;1;
Ayamonte;Bancos;Nº de oficinas;6;
Ayamonte;Cooperativas de credito;Nº de oficinas;2;
Ayamonte;Sucursales comunitarias;Nº de oficinas;-;
Ayamonte;Establecimientos financieros de credito;Nº de oficinas;-;
Ayamonte;TOTAL;Nº de oficinas;8;
Beas;Bancos;Nº de oficinas;1;
Beas;Cooperativas de credito;Nº de oficinas;1;
Beas;Sucursales comunitarias;Nº de oficinas;-;
Beas;Establecimientos financieros de credito;Nº de oficinas;-;
Beas;TOTAL;Nº de oficinas;2;
Berrocal;Bancos;Nº de oficinas;-;
Berrocal;Cooperativas de credito;Nº de oficinas;-;
Berrocal;Sucursales comunitarias;Nº de oficinas;-;
Berrocal;Establecimientos financieros de credito;Nº de oficinas;-;
Berrocal;TOTAL;Nº de oficinas;-;
Bollullos Par del Condado;Bancos;Nº de oficinas;4;
Bollullos Par del Condado;Cooperativas de credito;Nº de oficinas;1;
Bollullos Par del Condado;Sucursales comunitarias;Nº de oficinas;-;
Bollullos Par del Condado;Establecimientos financieros de credito;Nº de oficinas;-;
Bollullos Par del Condado;TOTAL;Nº de oficinas;5;
Bonares;Bancos;Nº de oficinas;2;
Bonares;Cooperativas de credito;Nº de oficinas;1;
Bonares;Sucursales comunitarias;Nº de oficinas;-;
Bonares;Establecimientos financieros de credito;Nº de oficinas;-;
Bonares;TOTAL;Nº de oficinas;3;
Cabezas Rubias;Bancos;Nº de oficinas;1;
Cabezas Rubias;Cooperativas de credito;Nº de oficinas;-;
Cabezas Rubias;Sucursales comunitarias;Nº de oficinas;-;
Cabezas Rubias;Establecimientos financieros de credito;Nº de oficinas;-;
Cabezas Rubias;TOTAL;Nº de oficinas;1;
Cala;Bancos;Nº de oficinas;1;
Cala;Cooperativas de credito;Nº de oficinas;-;
Cala;Sucursales comunitarias;Nº de oficinas;-;
Cala;Establecimientos financieros de credito;Nº de oficinas;-;
Cala;TOTAL;Nº de oficinas;1;
Calañas;Bancos;Nº de oficinas;1;
Calañas;Cooperativas de credito;Nº de oficinas;1;
Calañas;Sucursales comunitarias;Nº de oficinas;-;
Calañas;Establecimientos financieros de credito;Nº de oficinas;-;
Calañas;TOTAL;Nº de oficinas;2;
Campofrío;Bancos;Nº de oficinas;-;
Campofrío;Cooperativas de credito;Nº de oficinas;-;
Campofrío;Sucursales comunitarias;Nº de oficinas;-;
Campofrío;Establecimientos financieros de credito;Nº de oficinas;-;
Campofrío;TOTAL;Nº de oficinas;-;
Cañaveral de León;Bancos;Nº de oficinas;-;
Cañaveral de León;Cooperativas de credito;Nº de oficinas;-;
Cañaveral de León;Sucursales comunitarias;Nº de oficinas;-;
Cañaveral de León;Establecimientos financieros de credito;Nº de oficinas;-;
Cañaveral de León;TOTAL;Nº de oficinas;-;
Cartaya;Bancos;Nº de oficinas;4;
Cartaya;Cooperativas de credito;Nº de oficinas;2;
Cartaya;Sucursales comunitarias;Nº de oficinas;-;
Cartaya;Establecimientos financieros de credito;Nº de oficinas;-;
Cartaya;TOTAL;Nº de oficinas;6;
Castaño del Robledo;Bancos;Nº de oficinas;-;
Castaño del Robledo;Cooperativas de credito;Nº de oficinas;-;
Castaño del Robledo;Sucursales comunitarias;Nº de oficinas;-;
Castaño del Robledo;Establecimientos financieros de credito;Nº de oficinas;-;
Castaño del Robledo;TOTAL;Nº de oficinas;-;
Chucena;Bancos;Nº de oficinas;-;
Chucena;Cooperativas de credito;Nº de oficinas;1;
Chucena;Sucursales comunitarias;Nº de oficinas;-;
Chucena;Establecimientos financieros de credito;Nº de oficinas;-;
Chucena;TOTAL;Nº de oficinas;1;
Corteconcepción;Bancos;Nº de oficinas;1;
Corteconcepción;Cooperativas de credito;Nº de oficinas;-;
Corteconcepción;Sucursales comunitarias;Nº de oficinas;-;
Corteconcepción;Establecimientos financieros de credito;Nº de oficinas;-;
Corteconcepción;TOTAL;Nº de oficinas;1;
Cortegana;Bancos;Nº de oficinas;2;
Cortegana;Cooperativas de credito;Nº de oficinas;1;
Cortegana;Sucursales comunitarias;Nº de oficinas;-;
Cortegana;Establecimientos financieros de credito;Nº de oficinas;-;
Cortegana;TOTAL;Nº de oficinas;3;
Cortelazor;Bancos;Nº de oficinas;-;
Cortelazor;Cooperativas de credito;Nº de oficinas;-;
Cortelazor;Sucursales comunitarias;Nº de oficinas;-;
Cortelazor;Establecimientos financieros de credito;Nº de oficinas;-;
Cortelazor;TOTAL;Nº de oficinas;-;
Cumbres de Enmedio;Bancos;Nº de oficinas;-;
Cumbres de Enmedio;Cooperativas de credito;Nº de oficinas;-;
Cumbres de Enmedio;Sucursales comunitarias;Nº de oficinas;-;
Cumbres de Enmedio;Establecimientos financieros de credito;Nº de oficinas;-;
Cumbres de Enmedio;TOTAL;Nº de oficinas;-;
Cumbres de San Bartolome;Bancos;Nº de oficinas;1;
Cumbres de San Bartolome;Cooperativas de credito;Nº de oficinas;-;
Cumbres de San Bartolome;Sucursales comunitarias;Nº de oficinas;-;
Cumbres de San Bartolome;Establecimientos financieros de credito;Nº de oficinas;-;
Cumbres de San Bartolome;TOTAL;Nº de oficinas;1;
Cumbres Mayores;Bancos;Nº de oficinas;1;
Cumbres Mayores;Cooperativas de credito;Nº de oficinas;-;
Cumbres Mayores;Sucursales comunitarias;Nº de oficinas;-;
Cumbres Mayores;Establecimientos financieros de credito;Nº de oficinas;-;
Cumbres Mayores;TOTAL;Nº de oficinas;1;
El Almendro;Bancos;Nº de oficinas;1;
El Almendro;Cooperativas de credito;Nº de oficinas;-;
El Almendro;Sucursales comunitarias;Nº de oficinas;-;
El Almendro;Establecimientos financieros de credito;Nº de oficinas;-;
El Almendro;TOTAL;Nº de oficinas;1;
El Campillo;Bancos;Nº de oficinas;1;
El Campillo;Cooperativas de credito;Nº de oficinas;-;
El Campillo;Sucursales comunitarias;Nº de oficinas;-;
El Campillo;Establecimientos financieros de credito;Nº de oficinas;-;
El Campillo;TOTAL;Nº de oficinas;1;
El Cerro de Andevalo;Bancos;Nº de oficinas;1;
El Cerro de Andevalo;Cooperativas de credito;Nº de oficinas;1;
El Cerro de Andevalo;Sucursales comunitarias;Nº de oficinas;-;
El Cerro de Andevalo;Establecimientos financieros de credito;Nº de oficinas;-;
El Cerro de Andevalo;TOTAL;Nº de oficinas;2;
El Granado;Bancos;Nº de oficinas;1;
El Granado;Cooperativas de credito;Nº de oficinas;-;
El Granado;Sucursales comunitarias;Nº de oficinas;-;
El Granado;Establecimientos financieros de credito;Nº de oficinas;-;
El Granado;TOTAL;Nº de oficinas;1;
Encinasola;Bancos;Nº de oficinas;1;
Encinasola;Cooperativas de credito;Nº de oficinas;-;
Encinasola;Sucursales comunitarias;Nº de oficinas;-;
Encinasola;Establecimientos financieros de credito;Nº de oficinas;-;
Encinasola;TOTAL;Nº de oficinas;1;
Escacena del Campo;Bancos;Nº de oficinas;1;
Escacena del Campo;Cooperativas de credito;Nº de oficinas;1;
Escacena del Campo;Sucursales comunitarias;Nº de oficinas;-;
Escacena del Campo;Establecimientos financieros de credito;Nº de oficinas;-;
Escacena del Campo;TOTAL;Nº de oficinas;2;
Fuenteheridos;Bancos;Nº de oficinas;-;
Fuenteheridos;Cooperativas de credito;Nº de oficinas;-;
Fuenteheridos;Sucursales comunitarias;Nº de oficinas;-;
Fuenteheridos;Establecimientos financieros de credito;Nº de oficinas;-;
Fuenteheridos;TOTAL;Nº de oficinas;-;
Galaroza;Bancos;Nº de oficinas;1;
Galaroza;Cooperativas de credito;Nº de oficinas;-;
Galaroza;Sucursales comunitarias;Nº de oficinas;-;
Galaroza;Establecimientos financieros de credito;Nº de oficinas;-;
Galaroza;TOTAL;Nº de oficinas;1;
Gibraleón;Bancos;Nº de oficinas;2;
Gibraleón;Cooperativas de credito;Nº de oficinas;1;
Gibraleón;Sucursales comunitarias;Nº de oficinas;-;
Gibraleón;Establecimientos financieros de credito;Nº de oficinas;-;
Gibraleón;TOTAL;Nº de oficinas;3;
Higuera de la Sierra;Bancos;Nº de oficinas;1;
