Territorio;Estado del dato;Tipo de establecimiento turístico;Medida;Valor;
Padules;Provisional;Campings;Nº de plazas;-;
Padules;Provisional;Casas Rurales;Nº de plazas;-;
Padules;Provisional;Viviendas Turísticas de Alojamiento Rural;Nº de plazas;-;
Padules;Provisional;Área de pernocta de autocaravanas;Nº de plazas;-;
Padules;Provisional;Viviendas con fines turísticos;Nº de plazas;-;
Padules;Provisional;Total;Nº de plazas;-;
Partaloa;Provisional;Apartamentos turísticos;Nº de plazas;-;
Partaloa;Provisional;Hostal;Nº de plazas;-;
Partaloa;Provisional;Hotel;Nº de plazas;-;
Partaloa;Provisional;Hotel-Apartamento;Nº de plazas;-;
Partaloa;Provisional;Pensión;Nº de plazas;-;
Partaloa;Provisional;Albergues;Nº de plazas;-;
Partaloa;Provisional;Campings;Nº de plazas;-;
Partaloa;Provisional;Casas Rurales;Nº de plazas;-;
Partaloa;Provisional;Viviendas Turísticas de Alojamiento Rural;Nº de plazas;52;
Partaloa;Provisional;Área de pernocta de autocaravanas;Nº de plazas;-;
Partaloa;Provisional;Viviendas con fines turísticos;Nº de plazas;-;
Partaloa;Provisional;Total;Nº de plazas;62;
Pechina;Provisional;Apartamentos turísticos;Nº de plazas;-;
Pechina;Provisional;Hostal;Nº de plazas;-;
Pechina;Provisional;Hotel;Nº de plazas;-;
Pechina;Provisional;Hotel-Apartamento;Nº de plazas;-;
Pechina;Provisional;Pensión;Nº de plazas;-;
Pechina;Provisional;Albergues;Nº de plazas;-;
Pechina;Provisional;Campings;Nº de plazas;-;
Pechina;Provisional;Casas Rurales;Nº de plazas;-;
Pechina;Provisional;Viviendas Turísticas de Alojamiento Rural;Nº de plazas;41;
Pechina;Provisional;Área de pernocta de autocaravanas;Nº de plazas;-;
Pechina;Provisional;Viviendas con fines turísticos;Nº de plazas;-;
Pechina;Provisional;Total;Nº de plazas;53;
Pulpí;Provisional;Apartamentos turísticos;Nº de plazas;577;
Pulpí;Provisional;Hostal;Nº de plazas;-;
Pulpí;Provisional;Hotel;Nº de plazas;-;
Pulpí;Provisional;Hotel-Apartamento;Nº de plazas;-;
Pulpí;Provisional;Pensión;Nº de plazas;-;
Pulpí;Provisional;Albergues;Nº de plazas;-;
Pulpí;Provisional;Campings;Nº de plazas;-;
Pulpí;Provisional;Casas Rurales;Nº de plazas;-;
Pulpí;Provisional;Viviendas Turísticas de Alojamiento Rural;Nº de plazas;-;
Pulpí;Provisional;Área de pernocta de autocaravanas;Nº de plazas;-;
Pulpí;Provisional;Viviendas con fines turísticos;Nº de plazas;3495;
Pulpí;Provisional;Total;Nº de plazas;4221;
Purchena;Provisional;Apartamentos turísticos;Nº de plazas;-;
Purchena;Provisional;Hostal;Nº de plazas;-;
Purchena;Provisional;Hotel;Nº de plazas;-;
Purchena;Provisional;Hotel-Apartamento;Nº de plazas;-;
Purchena;Provisional;Pensión;Nº de plazas;-;
Purchena;Provisional;Albergues;Nº de plazas;-;
Purchena;Provisional;Campings;Nº de plazas;-;
Purchena;Provisional;Casas Rurales;Nº de plazas;-;
Purchena;Provisional;Viviendas Turísticas de Alojamiento Rural;Nº de plazas;-;
Purchena;Provisional;Área de pernocta de autocaravanas;Nº de plazas;-;
Purchena;Provisional;Viviendas con fines turísticos;Nº de plazas;-;
Purchena;Provisional;Total;Nº de plazas;47;
Roquetas de Mar;Provisional;Apartamentos turísticos;Nº de plazas;2816;
Roquetas de Mar;Provisional;Hostal;Nº de plazas;-;
Roquetas de Mar;Provisional;Hotel;Nº de plazas;11232;
Roquetas de Mar;Provisional;Hotel-Apartamento;Nº de plazas;-;
Roquetas de Mar;Provisional;Pensión;Nº de plazas;-;
Roquetas de Mar;Provisional;Albergues;Nº de plazas;-;
Roquetas de Mar;Provisional;Campings;Nº de plazas;-;
Roquetas de Mar;Provisional;Casas Rurales;Nº de plazas;-;
Roquetas de Mar;Provisional;Viviendas Turísticas de Alojamiento Rural;Nº de plazas;-;
Roquetas de Mar;Provisional;Área de pernocta de autocaravanas;Nº de plazas;-;
Roquetas de Mar;Provisional;Viviendas con fines turísticos;Nº de plazas;7123;
Roquetas de Mar;Provisional;Total;Nº de plazas;25514;
Santa Cruz de Marchena;Provisional;Apartamentos turísticos;Nº de plazas;-;
Santa Cruz de Marchena;Provisional;Hostal;Nº de plazas;-;
Santa Cruz de Marchena;Provisional;Hotel;Nº de plazas;-;
Santa Cruz de Marchena;Provisional;Hotel-Apartamento;Nº de plazas;-;
Santa Cruz de Marchena;Provisional;Pensión;Nº de plazas;-;
Santa Cruz de Marchena;Provisional;Albergues;Nº de plazas;-;
Santa Cruz de Marchena;Provisional;Campings;Nº de plazas;-;
Santa Cruz de Marchena;Provisional;Casas Rurales;Nº de plazas;-;
Santa Cruz de Marchena;Provisional;Viviendas Turísticas de Alojamiento Rural;Nº de plazas;-;
Santa Cruz de Marchena;Provisional;Área de pernocta de autocaravanas;Nº de plazas;-;
Santa Cruz de Marchena;Provisional;Viviendas con fines turísticos;Nº de plazas;-;
Santa Cruz de Marchena;Provisional;Total;Nº de plazas;30;
Santa Fe de Mondújar;Provisional;Apartamentos turísticos;Nº de plazas;-;
Santa Fe de Mondújar;Provisional;Hostal;Nº de plazas;-;
Santa Fe de Mondújar;Provisional;Hotel;Nº de plazas;-;
Santa Fe de Mondújar;Provisional;Hotel-Apartamento;Nº de plazas;-;
Santa Fe de Mondújar;Provisional;Pensión;Nº de plazas;-;
Santa Fe de Mondújar;Provisional;Albergues;Nº de plazas;-;
Santa Fe de Mondújar;Provisional;Campings;Nº de plazas;-;
Santa Fe de Mondújar;Provisional;Casas Rurales;Nº de plazas;-;
Santa Fe de Mondújar;Provisional;Viviendas Turísticas de Alojamiento Rural;Nº de plazas;-;
Santa Fe de Mondújar;Provisional;Área de pernocta de autocaravanas;Nº de plazas;-;
Santa Fe de Mondújar;Provisional;Viviendas con fines turísticos;Nº de plazas;-;
Santa Fe de Mondújar;Provisional;Total;Nº de plazas;-;
Senés;Provisional;Apartamentos turísticos;Nº de plazas;-;
Senés;Provisional;Hostal;Nº de plazas;-;
Senés;Provisional;Hotel;Nº de plazas;-;
Senés;Provisional;Hotel-Apartamento;Nº de plazas;-;
Senés;Provisional;Pensión;Nº de plazas;-;
Senés;Provisional;Albergues;Nº de plazas;-;
Senés;Provisional;Campings;Nº de plazas;-;
Senés;Provisional;Casas Rurales;Nº de plazas;-;
Senés;Provisional;Viviendas Turísticas de Alojamiento Rural;Nº de plazas;-;
Senés;Provisional;Área de pernocta de autocaravanas;Nº de plazas;-;
Senés;Provisional;Viviendas con fines turísticos;Nº de plazas;-;
Senés;Provisional;Total;Nº de plazas;-;
Serón;Provisional;Apartamentos turísticos;Nº de plazas;-;
Serón;Provisional;Hostal;Nº de plazas;-;
Serón;Provisional;Hotel;Nº de plazas;-;
Serón;Provisional;Hotel-Apartamento;Nº de plazas;-;
Serón;Provisional;Pensión;Nº de plazas;-;
Serón;Provisional;Albergues;Nº de plazas;-;
Serón;Provisional;Campings;Nº de plazas;-;
Serón;Provisional;Casas Rurales;Nº de plazas;-;
Serón;Provisional;Viviendas Turísticas de Alojamiento Rural;Nº de plazas;64;
Serón;Provisional;Área de pernocta de autocaravanas;Nº de plazas;-;
Serón;Provisional;Viviendas con fines turísticos;Nº de plazas;-;
Serón;Provisional;Total;Nº de plazas;239;
Sierro;Provisional;Apartamentos turísticos;Nº de plazas;-;
Sierro;Provisional;Hostal;Nº de plazas;-;
Sierro;Provisional;Hotel;Nº de plazas;-;
Sierro;Provisional;Hotel-Apartamento;Nº de plazas;-;
Sierro;Provisional;Pensión;Nº de plazas;-;
Sierro;Provisional;Albergues;Nº de plazas;-;
Sierro;Provisional;Campings;Nº de plazas;-;
Sierro;Provisional;Casas Rurales;Nº de plazas;-;
Sierro;Provisional;Viviendas Turísticas de Alojamiento Rural;Nº de plazas;-;
Sierro;Provisional;Área de pernocta de autocaravanas;Nº de plazas;-;
Sierro;Provisional;Viviendas con fines turísticos;Nº de plazas;-;
Sierro;Provisional;Total;Nº de plazas;-;
Sorbas;Provisional;Apartamentos turísticos;Nº de plazas;-;
Sorbas;Provisional;Hostal;Nº de plazas;-;
Sorbas;Provisional;Hotel;Nº de plazas;-;
Sorbas;Provisional;Hotel-Apartamento;Nº de plazas;-;
Sorbas;Provisional;Pensión;Nº de plazas;-;
Sorbas;Provisional;Albergues;Nº de plazas;-;
Sorbas;Provisional;Campings;Nº de plazas;-;
Sorbas;Provisional;Casas Rurales;Nº de plazas;74;
Sorbas;Provisional;Viviendas Turísticas de Alojamiento Rural;Nº de plazas;65;
Sorbas;Provisional;Área de pernocta de autocaravanas;Nº de plazas;-;
Sorbas;Provisional;Viviendas con fines turísticos;Nº de plazas;43;
Sorbas;Provisional;Total;Nº de plazas;711;
Suflí;Provisional;Apartamentos turísticos;Nº de plazas;-;
Suflí;Provisional;Hostal;Nº de plazas;-;
Suflí;Provisional;Hotel;Nº de plazas;-;
Suflí;Provisional;Hotel-Apartamento;Nº de plazas;-;
Suflí;Provisional;Pensión;Nº de plazas;-;
Suflí;Provisional;Albergues;Nº de plazas;-;
Suflí;Provisional;Campings;Nº de plazas;-;
Suflí;Provisional;Casas Rurales;Nº de plazas;-;
Suflí;Provisional;Viviendas Turísticas de Alojamiento Rural;Nº de plazas;-;
Suflí;Provisional;Área de pernocta de autocaravanas;Nº de plazas;-;
Suflí;Provisional;Viviendas con fines turísticos;Nº de plazas;-;
Suflí;Provisional;Total;Nº de plazas;-;
Tabernas;Provisional;Apartamentos turísticos;Nº de plazas;-;
Tabernas;Provisional;Hostal;Nº de plazas;-;
Tabernas;Provisional;Hotel;Nº de plazas;-;
Tabernas;Provisional;Hotel-Apartamento;Nº de plazas;-;
Tabernas;Provisional;Pensión;Nº de plazas;-;
Tabernas;Provisional;Albergues;Nº de plazas;-;
Tabernas;Provisional;Campings;Nº de plazas;-;
Tabernas;Provisional;Casas Rurales;Nº de plazas;52;
Tabernas;Provisional;Viviendas Turísticas de Alojamiento Rural;Nº de plazas;127;
Tabernas;Provisional;Área de pernocta de autocaravanas;Nº de plazas;-;
Tabernas;Provisional;Viviendas con fines turísticos;Nº de plazas;43;
Tabernas;Provisional;Total;Nº de plazas;492;
Taberno;Provisional;Apartamentos turísticos;Nº de plazas;-;
Taberno;Provisional;Hostal;Nº de plazas;-;
Taberno;Provisional;Hotel;Nº de plazas;-;
Taberno;Provisional;Hotel-Apartamento;Nº de plazas;-;
Taberno;Provisional;Pensión;Nº de plazas;-;
Taberno;Provisional;Albergues;Nº de plazas;-;
Taberno;Provisional;Campings;Nº de plazas;-;
Taberno;Provisional;Casas Rurales;Nº de plazas;30;
Taberno;Provisional;Viviendas Turísticas de Alojamiento Rural;Nº de plazas;28;
Taberno;Provisional;Área de pernocta de autocaravanas;Nº de plazas;-;
Taberno;Provisional;Viviendas con fines turísticos;Nº de plazas;-;
Taberno;Provisional;Total;Nº de plazas;110;
Tahal;Provisional;Apartamentos turísticos;Nº de plazas;-;
Tahal;Provisional;Hostal;Nº de plazas;-;
Tahal;Provisional;Hotel;Nº de plazas;-;
Tahal;Provisional;Hotel-Apartamento;Nº de plazas;-;
Tahal;Provisional;Pensión;Nº de plazas;-;
Tahal;Provisional;Albergues;Nº de plazas;-;
Tahal;Provisional;Campings;Nº de plazas;-;
Tahal;Provisional;Casas Rurales;Nº de plazas;-;
Tahal;Provisional;Viviendas Turísticas de Alojamiento Rural;Nº de plazas;-;
Tahal;Provisional;Área de pernocta de autocaravanas;Nº de plazas;-;
Tahal;Provisional;Viviendas con fines turísticos;Nº de plazas;-;
Tahal;Provisional;Total;Nº de plazas;-;
Terque;Provisional;Apartamentos turísticos;Nº de plazas;-;
Terque;Provisional;Hostal;Nº de plazas;-;
Terque;Provisional;Hotel;Nº de plazas;-;
Terque;Provisional;Hotel-Apartamento;Nº de plazas;-;
Terque;Provisional;Pensión;Nº de plazas;-;
Terque;Provisional;Albergues;Nº de plazas;-;
Terque;Provisional;Campings;Nº de plazas;-;
Terque;Provisional;Casas Rurales;Nº de plazas;-;
Terque;Provisional;Viviendas Turísticas de Alojamiento Rural;Nº de plazas;40;
Terque;Provisional;Área de pernocta de autocaravanas;Nº de plazas;-;
Terque;Provisional;Viviendas con fines turísticos;Nº de plazas;-;
Terque;Provisional;Total;Nº de plazas;59;
Tíjola;Provisional;Apartamentos turísticos;Nº de plazas;-;
Tíjola;Provisional;Hostal;Nº de plazas;-;
Tíjola;Provisional;Hotel;Nº de plazas;-;
Tíjola;Provisional;Hotel-Apartamento;Nº de plazas;-;
Tíjola;Provisional;Pensión;Nº de plazas;-;
Tíjola;Provisional;Albergues;Nº de plazas;-;
Tíjola;Provisional;Campings;Nº de plazas;-;
Tíjola;Provisional;Casas Rurales;Nº de plazas;-;
Tíjola;Provisional;Viviendas Turísticas de Alojamiento Rural;Nº de plazas;-;
Tíjola;Provisional;Área de pernocta de autocaravanas;Nº de plazas;-;
Tíjola;Provisional;Viviendas con fines turísticos;Nº de plazas;-;
Tíjola;Provisional;Total;Nº de plazas;39;
Turre;Provisional;Apartamentos turísticos;Nº de plazas;-;
Turre;Provisional;Hostal;Nº de plazas;-;
Turre;Provisional;Hotel;Nº de plazas;-;
Turre;Provisional;Hotel-Apartamento;Nº de plazas;-;
Turre;Provisional;Pensión;Nº de plazas;-;
Turre;Provisional;Albergues;Nº de plazas;-;
Turre;Provisional;Campings;Nº de plazas;-;
Turre;Provisional;Casas Rurales;Nº de plazas;-;
Turre;Provisional;Viviendas Turísticas de Alojamiento Rural;Nº de plazas;467;
Turre;Provisional;Área de pernocta de autocaravanas;Nº de plazas;-;
Turre;Provisional;Viviendas con fines turísticos;Nº de plazas;224;
Turre;Provisional;Total;Nº de plazas;789;
Uleila del Campo;Provisional;Apartamentos turísticos;Nº de plazas;-;
Uleila del Campo;Provisional;Hostal;Nº de plazas;-;
Uleila del Campo;Provisional;Hotel;Nº de plazas;-;
Uleila del Campo;Provisional;Hotel-Apartamento;Nº de plazas;-;
Uleila del Campo;Provisional;Pensión;Nº de plazas;-;
Uleila del Campo;Provisional;Albergues;Nº de plazas;-;
Uleila del Campo;Provisional;Campings;Nº de plazas;-;
Uleila del Campo;Provisional;Casas Rurales;Nº de plazas;-;
Uleila del Campo;Provisional;Viviendas Turísticas de Alojamiento Rural;Nº de plazas;-;
Uleila del Campo;Provisional;Área de pernocta de autocaravanas;Nº de plazas;-;
Uleila del Campo;Provisional;Viviendas con fines turísticos;Nº de plazas;-;
Uleila del Campo;Provisional;Total;Nº de plazas;-;
Velefique;Provisional;Apartamentos turísticos;Nº de plazas;-;
Velefique;Provisional;Hostal;Nº de plazas;-;
Velefique;Provisional;Hotel;Nº de plazas;-;
Velefique;Provisional;Hotel-Apartamento;Nº de plazas;-;
Velefique;Provisional;Pensión;Nº de plazas;-;
Velefique;Provisional;Albergues;Nº de plazas;-;
Velefique;Provisional;Campings;Nº de plazas;-;
Velefique;Provisional;Casas Rurales;Nº de plazas;-;
Velefique;Provisional;Viviendas Turísticas de Alojamiento Rural;Nº de plazas;-;
Velefique;Provisional;Área de pernocta de autocaravanas;Nº de plazas;-;
Velefique;Provisional;Viviendas con fines turísticos;Nº de plazas;-;
Velefique;Provisional;Total;Nº de plazas;-;
Vélez-Blanco;Provisional;Apartamentos turísticos;Nº de plazas;-;
Vélez-Blanco;Provisional;Hostal;Nº de plazas;-;
Vélez-Blanco;Provisional;Hotel;Nº de plazas;-;
Vélez-Blanco;Provisional;Hotel-Apartamento;Nº de plazas;-;
Vélez-Blanco;Provisional;Pensión;Nº de plazas;-;
Vélez-Blanco;Provisional;Albergues;Nº de plazas;-;
Vélez-Blanco;Provisional;Campings;Nº de plazas;-;
Vélez-Blanco;Provisional;Casas Rurales;Nº de plazas;137;
Vélez-Blanco;Provisional;Viviendas Turísticas de Alojamiento Rural;Nº de plazas;195;
Vélez-Blanco;Provisional;Área de pernocta de autocaravanas;Nº de plazas;-;
Vélez-Blanco;Provisional;Viviendas con fines turísticos;Nº de plazas;58;
Vélez-Blanco;Provisional;Total;Nº de plazas;808;
Vélez-Rubio;Provisional;Apartamentos turísticos;Nº de plazas;-;
Vélez-Rubio;Provisional;Hostal;Nº de plazas;-;
Vélez-Rubio;Provisional;Hotel;Nº de plazas;-;
Vélez-Rubio;Provisional;Hotel-Apartamento;Nº de plazas;-;
Vélez-Rubio;Provisional;Pensión;Nº de plazas;-;
Vélez-Rubio;Provisional;Albergues;Nº de plazas;-;
Vélez-Rubio;Provisional;Campings;Nº de plazas;-;
Vélez-Rubio;Provisional;Casas Rurales;Nº de plazas;142;
Vélez-Rubio;Provisional;Viviendas Turísticas de Alojamiento Rural;Nº de plazas;147;
Vélez-Rubio;Provisional;Área de pernocta de autocaravanas;Nº de plazas;-;
Vélez-Rubio;Provisional;Viviendas con fines turísticos;Nº de plazas;62;
Vélez-Rubio;Provisional;Total;Nº de plazas;450;
Vera;Provisional;Apartamentos turísticos;Nº de plazas;2336;
Vera;Provisional;Hostal;Nº de plazas;-;
Vera;Provisional;Hotel;Nº de plazas;1579;
Vera;Provisional;Hotel-Apartamento;Nº de plazas;-;
Vera;Provisional;Pensión;Nº de plazas;-;
Vera;Provisional;Albergues;Nº de plazas;-;
Vera;Provisional;Campings;Nº de plazas;-;
Vera;Provisional;Casas Rurales;Nº de plazas;52;
Vera;Provisional;Viviendas Turísticas de Alojamiento Rural;Nº de plazas;45;
Vera;Provisional;Área de pernocta de autocaravanas;Nº de plazas;-;
Vera;Provisional;Viviendas con fines turísticos;Nº de plazas;9822;
Vera;Provisional;Total;Nº de plazas;15438;
Viator;Provisional;Apartamentos turísticos;Nº de plazas;-;
Viator;Provisional;Hostal;Nº de plazas;-;
Viator;Provisional;Hotel;Nº de plazas;-;
Viator;Provisional;Hotel-Apartamento;Nº de plazas;-;
Viator;Provisional;Pensión;Nº de plazas;-;
Viator;Provisional;Albergues;Nº de plazas;-;
Viator;Provisional;Campings;Nº de plazas;-;
Viator;Provisional;Casas Rurales;Nº de plazas;-;
Viator;Provisional;Viviendas Turísticas de Alojamiento Rural;Nº de plazas;-;
Viator;Provisional;Área de pernocta de autocaravanas;Nº de plazas;-;
Viator;Provisional;Viviendas con fines turísticos;Nº de plazas;-;
Viator;Provisional;Total;Nº de plazas;-;
Vícar;Provisional;Apartamentos turísticos;Nº de plazas;-;
Vícar;Provisional;Hostal;Nº de plazas;-;
Vícar;Provisional;Hotel;Nº de plazas;-;
Vícar;Provisional;Hotel-Apartamento;Nº de plazas;-;
Vícar;Provisional;Pensión;Nº de plazas;-;
Vícar;Provisional;Albergues;Nº de plazas;-;
Vícar;Provisional;Campings;Nº de plazas;-;
Vícar;Provisional;Casas Rurales;Nº de plazas;-;
Vícar;Provisional;Viviendas Turísticas de Alojamiento Rural;Nº de plazas;-;
Vícar;Provisional;Área de pernocta de autocaravanas;Nº de plazas;-;
Vícar;Provisional;Viviendas con fines turísticos;Nº de plazas;386;
Vícar;Provisional;Total;Nº de plazas;948;
Zurgena;Provisional;Apartamentos turísticos;Nº de plazas;-;
Zurgena;Provisional;Hostal;Nº de plazas;-;
Zurgena;Provisional;Hotel;Nº de plazas;-;
Zurgena;Provisional;Hotel-Apartamento;Nº de plazas;-;
Zurgena;Provisional;Pensión;Nº de plazas;-;
Zurgena;Provisional;Albergues;Nº de plazas;-;
Zurgena;Provisional;Campings;Nº de plazas;-;
Zurgena;Provisional;Casas Rurales;Nº de plazas;-;
Zurgena;Provisional;Viviendas Turísticas de Alojamiento Rural;Nº de plazas;28;
Zurgena;Provisional;Área de pernocta de autocaravanas;Nº de plazas;-;
Zurgena;Provisional;Viviendas con fines turísticos;Nº de plazas;29;
Zurgena;Provisional;Total;Nº de plazas;71;
Cádiz;Provisional;Apartamentos turísticos;Nº de plazas;9152;
Cádiz;Provisional;Hostal;Nº de plazas;4975;
Cádiz;Provisional;Hotel;Nº de plazas;39413;
Cádiz;Provisional;Hotel-Apartamento;Nº de plazas;4498;
Cádiz;Provisional;Pensión;Nº de plazas;1968;
Cádiz;Provisional;Albergues;Nº de plazas;2362;
Cádiz;Provisional;Campings;Nº de plazas;21986;
Cádiz;Provisional;Casas Rurales;Nº de plazas;1195;
Cádiz;Provisional;Viviendas Turísticas de Alojamiento Rural;Nº de plazas;23601;
Cádiz;Provisional;Área de pernocta de autocaravanas;Nº de plazas;-;
Cádiz;Provisional;Viviendas con fines turísticos;Nº de plazas;90027;
Cádiz;Provisional;Total;Nº de plazas;199477;
Alcalá de los Gazules;Provisional;Apartamentos turísticos;Nº de plazas;-;
Alcalá de los Gazules;Provisional;Hostal;Nº de plazas;-;
Alcalá de los Gazules;Provisional;Hotel;Nº de plazas;-;
Alcalá de los Gazules;Provisional;Hotel-Apartamento;Nº de plazas;-;
Alcalá de los Gazules;Provisional;Pensión;Nº de plazas;-;
Alcalá de los Gazules;Provisional;Albergues;Nº de plazas;-;
Alcalá de los Gazules;Provisional;Campings;Nº de plazas;-;
Alcalá de los Gazules;Provisional;Casas Rurales;Nº de plazas;-;
Alcalá de los Gazules;Provisional;Viviendas Turísticas de Alojamiento Rural;Nº de plazas;82;
Alcalá de los Gazules;Provisional;Área de pernocta de autocaravanas;Nº de plazas;-;
Alcalá de los Gazules;Provisional;Viviendas con fines turísticos;Nº de plazas;66;
Alcalá de los Gazules;Provisional;Total;Nº de plazas;939;
Alcalá del Valle;Provisional;Apartamentos turísticos;Nº de plazas;-;
Alcalá del Valle;Provisional;Hostal;Nº de plazas;-;
Alcalá del Valle;Provisional;Hotel;Nº de plazas;-;
Alcalá del Valle;Provisional;Hotel-Apartamento;Nº de plazas;-;
Alcalá del Valle;Provisional;Pensión;Nº de plazas;-;
Alcalá del Valle;Provisional;Albergues;Nº de plazas;-;
Alcalá del Valle;Provisional;Campings;Nº de plazas;-;
Alcalá del Valle;Provisional;Casas Rurales;Nº de plazas;-;
Alcalá del Valle;Provisional;Viviendas Turísticas de Alojamiento Rural;Nº de plazas;-;
Alcalá del Valle;Provisional;Área de pernocta de autocaravanas;Nº de plazas;-;
Alcalá del Valle;Provisional;Viviendas con fines turísticos;Nº de plazas;-;
Alcalá del Valle;Provisional;Total;Nº de plazas;91;
Algar;Provisional;Apartamentos turísticos;Nº de plazas;-;
Algar;Provisional;Hostal;Nº de plazas;-;
Algar;Provisional;Hotel;Nº de plazas;-;
Algar;Provisional;Hotel-Apartamento;Nº de plazas;-;
Algar;Provisional;Pensión;Nº de plazas;-;
Algar;Provisional;Albergues;Nº de plazas;-;
Algar;Provisional;Campings;Nº de plazas;-;
Algar;Provisional;Casas Rurales;Nº de plazas;-;
Algar;Provisional;Viviendas Turísticas de Alojamiento Rural;Nº de plazas;147;
Algar;Provisional;Área de pernocta de autocaravanas;Nº de plazas;-;
Algar;Provisional;Viviendas con fines turísticos;Nº de plazas;-;
Algar;Provisional;Total;Nº de plazas;217;
Algeciras;Provisional;Apartamentos turísticos;Nº de plazas;-;
Algeciras;Provisional;Hostal;Nº de plazas;242;
Algeciras;Provisional;Hotel;Nº de plazas;1040;
Algeciras;Provisional;Hotel-Apartamento;Nº de plazas;-;
Algeciras;Provisional;Pensión;Nº de plazas;283;
Algeciras;Provisional;Albergues;Nº de plazas;-;
Algeciras;Provisional;Campings;Nº de plazas;-;
Algeciras;Provisional;Casas Rurales;Nº de plazas;-;
Algeciras;Provisional;Viviendas Turísticas de Alojamiento Rural;Nº de plazas;-;
Algeciras;Provisional;Área de pernocta de autocaravanas;Nº de plazas;-;
Algeciras;Provisional;Viviendas con fines turísticos;Nº de plazas;451;
Algeciras;Provisional;Total;Nº de plazas;2502;
Algodonales;Provisional;Apartamentos turísticos;Nº de plazas;-;
Algodonales;Provisional;Hostal;Nº de plazas;-;
Algodonales;Provisional;Hotel;Nº de plazas;-;
Algodonales;Provisional;Hotel-Apartamento;Nº de plazas;-;
Algodonales;Provisional;Pensión;Nº de plazas;-;
Algodonales;Provisional;Albergues;Nº de plazas;-;
Algodonales;Provisional;Campings;Nº de plazas;-;
Algodonales;Provisional;Casas Rurales;Nº de plazas;-;
Algodonales;Provisional;Viviendas Turísticas de Alojamiento Rural;Nº de plazas;520;
Algodonales;Provisional;Área de pernocta de autocaravanas;Nº de plazas;-;
Algodonales;Provisional;Viviendas con fines turísticos;Nº de plazas;79;
Algodonales;Provisional;Total;Nº de plazas;717;
Arcos de la Frontera;Provisional;Apartamentos turísticos;Nº de plazas;-;
Arcos de la Frontera;Provisional;Hostal;Nº de plazas;93;
Arcos de la Frontera;Provisional;Hotel;Nº de plazas;606;
Arcos de la Frontera;Provisional;Hotel-Apartamento;Nº de plazas;-;
Arcos de la Frontera;Provisional;Pensión;Nº de plazas;-;
Arcos de la Frontera;Provisional;Albergues;Nº de plazas;-;
Arcos de la Frontera;Provisional;Campings;Nº de plazas;-;
Arcos de la Frontera;Provisional;Casas Rurales;Nº de plazas;173;
Arcos de la Frontera;Provisional;Viviendas Turísticas de Alojamiento Rural;Nº de plazas;875;
Arcos de la Frontera;Provisional;Área de pernocta de autocaravanas;Nº de plazas;-;
Arcos de la Frontera;Provisional;Viviendas con fines turísticos;Nº de plazas;872;
Arcos de la Frontera;Provisional;Total;Nº de plazas;3245;
Barbate;Provisional;Apartamentos turísticos;Nº de plazas;1486;
Barbate;Provisional;Hostal;Nº de plazas;577;
Barbate;Provisional;Hotel;Nº de plazas;1561;
Barbate;Provisional;Hotel-Apartamento;Nº de plazas;-;
Barbate;Provisional;Pensión;Nº de plazas;164;
Barbate;Provisional;Albergues;Nº de plazas;-;
Barbate;Provisional;Campings;Nº de plazas;-;
Barbate;Provisional;Casas Rurales;Nº de plazas;-;
Barbate;Provisional;Viviendas Turísticas de Alojamiento Rural;Nº de plazas;629;
Barbate;Provisional;Área de pernocta de autocaravanas;Nº de plazas;-;
Barbate;Provisional;Viviendas con fines turísticos;Nº de plazas;3141;
Barbate;Provisional;Total;Nº de plazas;10706;
Benalup-Casas Viejas;Provisional;Apartamentos turísticos;Nº de plazas;-;
Benalup-Casas Viejas;Provisional;Hostal;Nº de plazas;-;
Benalup-Casas Viejas;Provisional;Hotel;Nº de plazas;-;
Benalup-Casas Viejas;Provisional;Hotel-Apartamento;Nº de plazas;-;
Benalup-Casas Viejas;Provisional;Pensión;Nº de plazas;-;
Benalup-Casas Viejas;Provisional;Albergues;Nº de plazas;-;
Benalup-Casas Viejas;Provisional;Campings;Nº de plazas;-;
Benalup-Casas Viejas;Provisional;Casas Rurales;Nº de plazas;-;
Benalup-Casas Viejas;Provisional;Viviendas Turísticas de Alojamiento Rural;Nº de plazas;443;
Benalup-Casas Viejas;Provisional;Área de pernocta de autocaravanas;Nº de plazas;-;
Benalup-Casas Viejas;Provisional;Viviendas con fines turísticos;Nº de plazas;75;
Benalup-Casas Viejas;Provisional;Total;Nº de plazas;882;
Benaocaz;Provisional;Apartamentos turísticos;Nº de plazas;-;
Benaocaz;Provisional;Hostal;Nº de plazas;-;
Benaocaz;Provisional;Hotel;Nº de plazas;-;
Benaocaz;Provisional;Hotel-Apartamento;Nº de plazas;-;
Benaocaz;Provisional;Pensión;Nº de plazas;-;
Benaocaz;Provisional;Albergues;Nº de plazas;-;
Benaocaz;Provisional;Campings;Nº de plazas;-;
Benaocaz;Provisional;Casas Rurales;Nº de plazas;-;
Benaocaz;Provisional;Viviendas Turísticas de Alojamiento Rural;Nº de plazas;403;
Benaocaz;Provisional;Área de pernocta de autocaravanas;Nº de plazas;-;
Benaocaz;Provisional;Viviendas con fines turísticos;Nº de plazas;71;
Benaocaz;Provisional;Total;Nº de plazas;648;
Bornos;Provisional;Apartamentos turísticos;Nº de plazas;-;
Bornos;Provisional;Hostal;Nº de plazas;-;
Bornos;Provisional;Hotel;Nº de plazas;-;
