Territorio;Medida;Valor;
Murtas;Renta por unidad de consumo;14324;
Nevada;Renta neta media por persona;9669;
Nevada;Renta bruta media por persona;11256;
Nevada;Renta neta media por hogar;19339;
Nevada;Renta bruta media por hogar;22510;
Nevada;Renta por unidad de consumo;13840;
Nigüelas;Renta neta media por persona;11067;
Nigüelas;Renta bruta media por persona;12808;
Nigüelas;Renta neta media por hogar;27507;
Nigüelas;Renta bruta media por hogar;31834;
Nigüelas;Renta por unidad de consumo;16479;
Nívar;Renta neta media por persona;13307;
Nívar;Renta bruta media por persona;15991;
Nívar;Renta neta media por hogar;33623;
Nívar;Renta bruta media por hogar;40406;
Nívar;Renta por unidad de consumo;19629;
Ogíjares;Renta neta media por persona;13092;
Ogíjares;Renta bruta media por persona;15915;
Ogíjares;Renta neta media por hogar;35230;
Ogíjares;Renta bruta media por hogar;42827;
Ogíjares;Renta por unidad de consumo;20033;
Orce;Renta neta media por persona;9895;
Orce;Renta bruta media por persona;11196;
Orce;Renta neta media por hogar;20679;
Orce;Renta bruta media por hogar;23396;
Orce;Renta por unidad de consumo;13733;
Órgiva;Renta neta media por persona;9417;
Órgiva;Renta bruta media por persona;10899;
Órgiva;Renta neta media por hogar;22670;
Órgiva;Renta bruta media por hogar;26239;
Órgiva;Renta por unidad de consumo;14187;
Otívar;Renta neta media por persona;9880;
Otívar;Renta bruta media por persona;11349;
Otívar;Renta neta media por hogar;25576;
Otívar;Renta bruta media por hogar;29379;
Otívar;Renta por unidad de consumo;14830;
Padul;Renta neta media por persona;10975;
Padul;Renta bruta media por persona;12725;
Padul;Renta neta media por hogar;27986;
Padul;Renta bruta media por hogar;32451;
Padul;Renta por unidad de consumo;16366;
Pampaneira;Renta neta media por persona;10576;
Pampaneira;Renta bruta media por persona;12361;
Pampaneira;Renta neta media por hogar;22166;
Pampaneira;Renta bruta media por hogar;25908;
Pampaneira;Renta por unidad de consumo;15307;
Pedro Martínez;Renta neta media por persona;8939;
Pedro Martínez;Renta bruta media por persona;9893;
Pedro Martínez;Renta neta media por hogar;20405;
Pedro Martínez;Renta bruta media por hogar;22585;
Pedro Martínez;Renta por unidad de consumo;12749;
Peligros;Renta neta media por persona;11638;
Peligros;Renta bruta media por persona;13787;
Peligros;Renta neta media por hogar;32308;
Peligros;Renta bruta media por hogar;38272;
Peligros;Renta por unidad de consumo;17905;
Pinos Genil;Renta neta media por persona;11558;
Pinos Genil;Renta bruta media por persona;13523;
Pinos Genil;Renta neta media por hogar;30073;
Pinos Genil;Renta bruta media por hogar;35188;
Pinos Genil;Renta por unidad de consumo;17614;
Pinos Puente;Renta neta media por persona;8869;
Pinos Puente;Renta bruta media por persona;9853;
Pinos Puente;Renta neta media por hogar;21740;
Pinos Puente;Renta bruta media por hogar;24156;
Pinos Puente;Renta por unidad de consumo;12991;
Píñar;Renta neta media por persona;10706;
Píñar;Renta bruta media por persona;12098;
Píñar;Renta neta media por hogar;24690;
Píñar;Renta bruta media por hogar;27901;
Píñar;Renta por unidad de consumo;15365;
Polícar;Renta neta media por persona;12706;
Polícar;Renta bruta media por persona;15040;
Polícar;Renta neta media por hogar;26664;
Polícar;Renta bruta media por hogar;31560;
Polícar;Renta por unidad de consumo;17942;
Polopos;Renta neta media por persona;8679;
Polopos;Renta bruta media por persona;9839;
Polopos;Renta neta media por hogar;21676;
Polopos;Renta bruta media por hogar;24577;
Polopos;Renta por unidad de consumo;12472;
Pórtugos;Renta neta media por persona;12153;
Pórtugos;Renta bruta media por persona;14004;
Pórtugos;Renta neta media por hogar;26836;
Pórtugos;Renta bruta media por hogar;30921;
Pórtugos;Renta por unidad de consumo;17234;
Puebla de Don Fadrique;Renta neta media por persona;9321;
Puebla de Don Fadrique;Renta bruta media por persona;10508;
Puebla de Don Fadrique;Renta neta media por hogar;21861;
Puebla de Don Fadrique;Renta bruta media por hogar;24647;
Puebla de Don Fadrique;Renta por unidad de consumo;13548;
Pulianas;Renta neta media por persona;10204;
Pulianas;Renta bruta media por persona;11775;
Pulianas;Renta neta media por hogar;28999;
Pulianas;Renta bruta media por hogar;33463;
Pulianas;Renta por unidad de consumo;15670;
Purullena;Renta neta media por persona;9666;
Purullena;Renta bruta media por persona;10950;
Purullena;Renta neta media por hogar;24935;
Purullena;Renta bruta media por hogar;28246;
Purullena;Renta por unidad de consumo;14767;
Quéntar;Renta neta media por persona;11534;
Quéntar;Renta bruta media por persona;13101;
Quéntar;Renta neta media por hogar;24536;
Quéntar;Renta bruta media por hogar;27868;
Quéntar;Renta por unidad de consumo;16162;
Rubite;Renta neta media por persona;9961;
Rubite;Renta bruta media por persona;11537;
Rubite;Renta neta media por hogar;19132;
Rubite;Renta bruta media por hogar;22161;
Rubite;Renta por unidad de consumo;13733;
Salar;Renta neta media por persona;8651;
Salar;Renta bruta media por persona;9575;
Salar;Renta neta media por hogar;20999;
Salar;Renta bruta media por hogar;23243;
Salar;Renta por unidad de consumo;12660;
Salobreña;Renta neta media por persona;10622;
Salobreña;Renta bruta media por persona;12364;
Salobreña;Renta neta media por hogar;25683;
Salobreña;Renta bruta media por hogar;29893;
Salobreña;Renta por unidad de consumo;15610;
Santa Cruz del Comercio;Renta neta media por persona;10427;
Santa Cruz del Comercio;Renta bruta media por persona;11997;
Santa Cruz del Comercio;Renta neta media por hogar;22449;
Santa Cruz del Comercio;Renta bruta media por hogar;25827;
Santa Cruz del Comercio;Renta por unidad de consumo;14842;
Santa Fe;Renta neta media por persona;10204;
Santa Fe;Renta bruta media por persona;11852;
Santa Fe;Renta neta media por hogar;26072;
Santa Fe;Renta bruta media por hogar;30279;
Santa Fe;Renta por unidad de consumo;15283;
Soportújar;Renta neta media por persona;11990;
Soportújar;Renta bruta media por persona;13851;
Soportújar;Renta neta media por hogar;26396;
Soportújar;Renta bruta media por hogar;30493;
Soportújar;Renta por unidad de consumo;17225;
Sorvilán;Renta neta media por persona;9107;
Sorvilán;Renta bruta media por persona;10253;
Sorvilán;Renta neta media por hogar;18508;
Sorvilán;Renta bruta media por hogar;20837;
Sorvilán;Renta por unidad de consumo;12525;
Torre-Cardela;Renta neta media por persona;10749;
Torre-Cardela;Renta bruta media por persona;12022;
Torre-Cardela;Renta neta media por hogar;21975;
Torre-Cardela;Renta bruta media por hogar;24580;
Torre-Cardela;Renta por unidad de consumo;15211;
Torrenueva Costa;Renta neta media por persona;9626;
Torrenueva Costa;Renta bruta media por persona;10909;
Torrenueva Costa;Renta neta media por hogar;22860;
Torrenueva Costa;Renta bruta media por hogar;25906;
Torrenueva Costa;Renta por unidad de consumo;13932;
Torvizcón;Renta neta media por persona;9465;
Torvizcón;Renta bruta media por persona;10484;
Torvizcón;Renta neta media por hogar;17706;
Torvizcón;Renta bruta media por hogar;19613;
Torvizcón;Renta por unidad de consumo;12816;
Trevélez;Renta neta media por persona;11143;
Trevélez;Renta bruta media por persona;12718;
Trevélez;Renta neta media por hogar;24488;
Trevélez;Renta bruta media por hogar;27946;
Trevélez;Renta por unidad de consumo;15824;
Turón;Renta neta media por persona;10905;
Turón;Renta bruta media por persona;12006;
Turón;Renta neta media por hogar;18028;
Turón;Renta bruta media por hogar;19849;
Turón;Renta por unidad de consumo;14007;
Ugíjar;Renta neta media por persona;8896;
Ugíjar;Renta bruta media por persona;9988;
Ugíjar;Renta neta media por hogar;21984;
Ugíjar;Renta bruta media por hogar;24684;
Ugíjar;Renta por unidad de consumo;12987;
Valderrubio;Renta neta media por persona;9606;
Valderrubio;Renta bruta media por persona;10856;
Valderrubio;Renta neta media por hogar;24638;
Valderrubio;Renta bruta media por hogar;27846;
Valderrubio;Renta por unidad de consumo;14316;
Valle del Zalabí;Renta neta media por persona;10346;
Valle del Zalabí;Renta bruta media por persona;11732;
Valle del Zalabí;Renta neta media por hogar;24344;
Valle del Zalabí;Renta bruta media por hogar;27604;
Valle del Zalabí;Renta por unidad de consumo;15129;
Válor;Renta neta media por persona;10577;
Válor;Renta bruta media por persona;12005;
Válor;Renta neta media por hogar;19820;
Válor;Renta bruta media por hogar;22497;
Válor;Renta por unidad de consumo;14525;
Vegas del Genil;Renta neta media por persona;10747;
Vegas del Genil;Renta bruta media por persona;12666;
Vegas del Genil;Renta neta media por hogar;31328;
Vegas del Genil;Renta bruta media por hogar;36919;
Vegas del Genil;Renta por unidad de consumo;16914;
Vélez de Benaudalla;Renta neta media por persona;10054;
Vélez de Benaudalla;Renta bruta media por persona;11647;
Vélez de Benaudalla;Renta neta media por hogar;23179;
Vélez de Benaudalla;Renta bruta media por hogar;26851;
Vélez de Benaudalla;Renta por unidad de consumo;14731;
Ventas de Huelma;Renta neta media por persona;11844;
Ventas de Huelma;Renta bruta media por persona;14036;
Ventas de Huelma;Renta neta media por hogar;26496;
Ventas de Huelma;Renta bruta media por hogar;31400;
Ventas de Huelma;Renta por unidad de consumo;17099;
Villa de Otura;Renta neta media por persona;13603;
Villa de Otura;Renta bruta media por persona;16579;
Villa de Otura;Renta neta media por hogar;38444;
Villa de Otura;Renta bruta media por hogar;46855;
Villa de Otura;Renta por unidad de consumo;21127;
Villamena;Renta neta media por persona;11055;
Villamena;Renta bruta media por persona;12624;
Villamena;Renta neta media por hogar;24423;
Villamena;Renta bruta media por hogar;27889;
Villamena;Renta por unidad de consumo;15869;
Villanueva de las Torres;Renta neta media por persona;9502;
Villanueva de las Torres;Renta bruta media por persona;se;
Villanueva de las Torres;Renta neta media por hogar;18344;
Villanueva de las Torres;Renta bruta media por hogar;20107;
Villanueva de las Torres;Renta por unidad de consumo;12736;
Villanueva Mesía;Renta neta media por persona;9770;
Villanueva Mesía;Renta bruta media por persona;se;
Villanueva Mesía;Renta neta media por hogar;22770;
Villanueva Mesía;Renta bruta media por hogar;25795;
Villanueva Mesía;Renta por unidad de consumo;14235;
Víznar;Renta neta media por persona;13123;
Víznar;Renta bruta media por persona;15809;
Víznar;Renta neta media por hogar;34408;
Víznar;Renta bruta media por hogar;41452;
Víznar;Renta por unidad de consumo;19594;
Zafarraya;Renta neta media por persona;8825;
Zafarraya;Renta bruta media por persona;9854;
Zafarraya;Renta neta media por hogar;22607;
Zafarraya;Renta bruta media por hogar;25244;
Zafarraya;Renta por unidad de consumo;13224;
Zagra;Renta neta media por persona;8854;
Zagra;Renta bruta media por persona;se;
Zagra;Renta neta media por hogar;21680;
Zagra;Renta bruta media por hogar;23646;
Zagra;Renta por unidad de consumo;12826;
Zújar;Renta neta media por persona;9348;
Zújar;Renta bruta media por persona;10407;
Zújar;Renta neta media por hogar;21896;
Zújar;Renta bruta media por hogar;24375;
Zújar;Renta por unidad de consumo;13589;
Huelva;Renta neta media por persona;11199;
Huelva;Renta bruta media por persona;13152;
Huelva;Renta neta media por hogar;29133;
Huelva;Renta bruta media por hogar;34212;
Huelva;Renta por unidad de consumo;16835;
Alájar;Renta neta media por persona;9832;
Alájar;Renta bruta media por persona;11298;
Alájar;Renta neta media por hogar;22193;
Alájar;Renta bruta media por hogar;25500;
Alájar;Renta por unidad de consumo;13917;
Aljaraque;Renta neta media por persona;14060;
Aljaraque;Renta bruta media por persona;17465;
Aljaraque;Renta neta media por hogar;41388;
Aljaraque;Renta bruta media por hogar;51411;
Aljaraque;Renta por unidad de consumo;22099;
Almonaster la Real;Renta neta media por persona;12386;
Almonaster la Real;Renta bruta media por persona;14724;
Almonaster la Real;Renta neta media por hogar;25944;
Almonaster la Real;Renta bruta media por hogar;30839;
Almonaster la Real;Renta por unidad de consumo;17616;
Almonte;Renta neta media por persona;9693;
Almonte;Renta bruta media por persona;11082;
Almonte;Renta neta media por hogar;25850;
Almonte;Renta bruta media por hogar;29556;
Almonte;Renta por unidad de consumo;14651;
Alosno;Renta neta media por persona;10394;
Alosno;Renta bruta media por persona;11775;
Alosno;Renta neta media por hogar;24109;
Alosno;Renta bruta media por hogar;27312;
Alosno;Renta por unidad de consumo;15145;
Aracena;Renta neta media por persona;11299;
Aracena;Renta bruta media por persona;13303;
Aracena;Renta neta media por hogar;27706;
Aracena;Renta bruta media por hogar;32620;
Aracena;Renta por unidad de consumo;16835;
Aroche;Renta neta media por persona;9535;
Aroche;Renta bruta media por persona;se;
Aroche;Renta neta media por hogar;21546;
Aroche;Renta bruta media por hogar;24006;
Aroche;Renta por unidad de consumo;13632;
Arroyomolinos de León;Renta neta media por persona;8673;
Arroyomolinos de León;Renta bruta media por persona;9575;
Arroyomolinos de León;Renta neta media por hogar;19146;
Arroyomolinos de León;Renta bruta media por hogar;21137;
Arroyomolinos de León;Renta por unidad de consumo;12271;
Ayamonte;Renta neta media por persona;10513;
Ayamonte;Renta bruta media por persona;12224;
Ayamonte;Renta neta media por hogar;27141;
Ayamonte;Renta bruta media por hogar;31559;
Ayamonte;Renta por unidad de consumo;15823;
Beas;Renta neta media por persona;11367;
Beas;Renta bruta media por persona;13193;
Beas;Renta neta media por hogar;28185;
Beas;Renta bruta media por hogar;32711;
Beas;Renta por unidad de consumo;16833;
Berrocal;Renta neta media por persona;14098;
Berrocal;Renta bruta media por persona;16406;
Berrocal;Renta neta media por hogar;29197;
Berrocal;Renta bruta media por hogar;33974;
Berrocal;Renta por unidad de consumo;19865;
Bollullos Par del Condado;Renta neta media por persona;10355;
Bollullos Par del Condado;Renta bruta media por persona;11933;
Bollullos Par del Condado;Renta neta media por hogar;28769;
Bollullos Par del Condado;Renta bruta media por hogar;33150;
Bollullos Par del Condado;Renta por unidad de consumo;15818;
Bonares;Renta neta media por persona;10515;
Bonares;Renta bruta media por persona;12312;
Bonares;Renta neta media por hogar;30499;
Bonares;Renta bruta media por hogar;35716;
Bonares;Renta por unidad de consumo;16427;
Cabezas Rubias;Renta neta media por persona;10941;
Cabezas Rubias;Renta bruta media por persona;12335;
Cabezas Rubias;Renta neta media por hogar;22294;
Cabezas Rubias;Renta bruta media por hogar;25134;
Cabezas Rubias;Renta por unidad de consumo;15000;
Cala;Renta neta media por persona;10173;
Cala;Renta bruta media por persona;11598;
Cala;Renta neta media por hogar;23133;
Cala;Renta bruta media por hogar;26376;
Cala;Renta por unidad de consumo;14465;
Calañas;Renta neta media por persona;11697;
Calañas;Renta bruta media por persona;13727;
Calañas;Renta neta media por hogar;27184;
Calañas;Renta bruta media por hogar;31901;
Calañas;Renta por unidad de consumo;16985;
Campofrío;Renta neta media por persona;11241;
Campofrío;Renta bruta media por persona;13097;
Campofrío;Renta neta media por hogar;26697;
Campofrío;Renta bruta media por hogar;31105;
Campofrío;Renta por unidad de consumo;16303;
Cañaveral de León;Renta neta media por persona;9671;
Cañaveral de León;Renta bruta media por persona;10570;
Cañaveral de León;Renta neta media por hogar;19653;
Cañaveral de León;Renta bruta media por hogar;21479;
Cañaveral de León;Renta por unidad de consumo;13344;
Cartaya;Renta neta media por persona;10429;
Cartaya;Renta bruta media por persona;12215;
Cartaya;Renta neta media por hogar;28906;
Cartaya;Renta bruta media por hogar;33857;
Cartaya;Renta por unidad de consumo;15898;
Castaño del Robledo;Renta neta media por persona;12299;
Castaño del Robledo;Renta bruta media por persona;14546;
Castaño del Robledo;Renta neta media por hogar;23609;
Castaño del Robledo;Renta bruta media por hogar;27923;
Castaño del Robledo;Renta por unidad de consumo;16680;
Chucena;Renta neta media por persona;10006;
Chucena;Renta bruta media por persona;11202;
Chucena;Renta neta media por hogar;28167;
Chucena;Renta bruta media por hogar;31534;
Chucena;Renta por unidad de consumo;15348;
Corteconcepción;Renta neta media por persona;10728;
Corteconcepción;Renta bruta media por persona;12232;
Corteconcepción;Renta neta media por hogar;23891;
Corteconcepción;Renta bruta media por hogar;27244;
Corteconcepción;Renta por unidad de consumo;15194;
Cortegana;Renta neta media por persona;11032;
Cortegana;Renta bruta media por persona;12792;
Cortegana;Renta neta media por hogar;25688;
Cortegana;Renta bruta media por hogar;29783;
Cortegana;Renta por unidad de consumo;16107;
Cortelazor;Renta neta media por persona;10831;
Cortelazor;Renta bruta media por persona;12330;
Cortelazor;Renta neta media por hogar;20614;
Cortelazor;Renta bruta media por hogar;23467;
Cortelazor;Renta por unidad de consumo;14609;
Cumbres de Enmedio;Renta neta media por persona;se;
Cumbres de Enmedio;Renta bruta media por persona;se;
Cumbres de Enmedio;Renta neta media por hogar;se;
Cumbres de Enmedio;Renta bruta media por hogar;se;
Cumbres de Enmedio;Renta por unidad de consumo;se;
Cumbres de San Bartolomé;Renta neta media por persona;11745;
Cumbres de San Bartolomé;Renta bruta media por persona;13257;
Cumbres de San Bartolomé;Renta neta media por hogar;22322;
Cumbres de San Bartolomé;Renta bruta media por hogar;25195;
Cumbres de San Bartolomé;Renta por unidad de consumo;15961;
Cumbres Mayores;Renta neta media por persona;10653;
Cumbres Mayores;Renta bruta media por persona;12088;
Cumbres Mayores;Renta neta media por hogar;23421;
Cumbres Mayores;Renta bruta media por hogar;26576;
Cumbres Mayores;Renta por unidad de consumo;15548;
El Almendro;Renta neta media por persona;10865;
El Almendro;Renta bruta media por persona;12414;
El Almendro;Renta neta media por hogar;23886;
El Almendro;Renta bruta media por hogar;27290;
El Almendro;Renta por unidad de consumo;15578;
El Campillo;Renta neta media por persona;12013;
El Campillo;Renta bruta media por persona;13904;
El Campillo;Renta neta media por hogar;27060;
El Campillo;Renta bruta media por hogar;31321;
El Campillo;Renta por unidad de consumo;17356;
El Cerro de Andévalo;Renta neta media por persona;10959;
El Cerro de Andévalo;Renta bruta media por persona;12622;
El Cerro de Andévalo;Renta neta media por hogar;25665;
El Cerro de Andévalo;Renta bruta media por hogar;29561;
El Cerro de Andévalo;Renta por unidad de consumo;16057;
El Granado;Renta neta media por persona;12169;
El Granado;Renta bruta media por persona;13930;
El Granado;Renta neta media por hogar;26251;
El Granado;Renta bruta media por hogar;30050;
El Granado;Renta por unidad de consumo;17267;
Encinasola;Renta neta media por persona;10420;
Encinasola;Renta bruta media por persona;11739;
Encinasola;Renta neta media por hogar;21354;
Encinasola;Renta bruta media por hogar;24058;
Encinasola;Renta por unidad de consumo;14581;
Escacena del Campo;Renta neta media por persona;9633;
Escacena del Campo;Renta bruta media por persona;10757;
Escacena del Campo;Renta neta media por hogar;26129;
Escacena del Campo;Renta bruta media por hogar;29177;
Escacena del Campo;Renta por unidad de consumo;14719;
Fuenteheridos;Renta neta media por persona;9665;
Fuenteheridos;Renta bruta media por persona;11584;
Fuenteheridos;Renta neta media por hogar;22111;
Fuenteheridos;Renta bruta media por hogar;26501;
Fuenteheridos;Renta por unidad de consumo;14575;
Galaroza;Renta neta media por persona;10049;
Galaroza;Renta bruta media por persona;11422;
Galaroza;Renta neta media por hogar;22963;
Galaroza;Renta bruta media por hogar;26102;
Galaroza;Renta por unidad de consumo;14726;
Gibraleón;Renta neta media por persona;10309;
Gibraleón;Renta bruta media por persona;11853;
Gibraleón;Renta neta media por hogar;27189;
Gibraleón;Renta bruta media por hogar;31260;
Gibraleón;Renta por unidad de consumo;15573;
Higuera de la Sierra;Renta neta media por persona;10458;
Higuera de la Sierra;Renta bruta media por persona;11925;
Higuera de la Sierra;Renta neta media por hogar;23776;
Higuera de la Sierra;Renta bruta media por hogar;27113;
Higuera de la Sierra;Renta por unidad de consumo;14935;
Hinojales;Renta neta media por persona;10202;
Hinojales;Renta bruta media por persona;11404;
Hinojales;Renta neta media por hogar;22458;
Hinojales;Renta bruta media por hogar;25103;
Hinojales;Renta por unidad de consumo;14568;
Hinojos;Renta neta media por persona;10909;
Hinojos;Renta bruta media por persona;12715;
Hinojos;Renta neta media por hogar;26971;
Hinojos;Renta bruta media por hogar;31433;
Hinojos;Renta por unidad de consumo;16268;
Huelva (capital);Renta neta media por persona;12416;
Huelva (capital);Renta bruta media por persona;14856;
Huelva (capital);Renta neta media por hogar;31593;
Huelva (capital);Renta bruta media por hogar;37803;
Huelva (capital);Renta por unidad de consumo;18496;
Isla Cristina;Renta neta media por persona;9440;
Isla Cristina;Renta bruta media por persona;10729;
Isla Cristina;Renta neta media por hogar;25597;
Isla Cristina;Renta bruta media por hogar;29096;
Isla Cristina;Renta por unidad de consumo;14228;
Jabugo;Renta neta media por persona;11284;
Jabugo;Renta bruta media por persona;13028;
Jabugo;Renta neta media por hogar;28412;
Jabugo;Renta bruta media por hogar;32800;
Jabugo;Renta por unidad de consumo;16815;
La Granada de Río-Tinto;Renta neta media por persona;10322;
La Granada de Río-Tinto;Renta bruta media por persona;11593;
La Granada de Río-Tinto;Renta neta media por hogar;23512;
La Granada de Río-Tinto;Renta bruta media por hogar;26406;
La Granada de Río-Tinto;Renta por unidad de consumo;14461;
La Nava;Renta neta media por persona;10970;
La Nava;Renta bruta media por persona;12465;
La Nava;Renta neta media por hogar;21777;
La Nava;Renta bruta media por hogar;24745;
La Nava;Renta por unidad de consumo;15200;
La Palma del Condado;Renta neta media por persona;10722;
La Palma del Condado;Renta bruta media por persona;12536;
La Palma del Condado;Renta neta media por hogar;30431;
La Palma del Condado;Renta bruta media por hogar;35581;
La Palma del Condado;Renta por unidad de consumo;16650;
La Zarza-Perrunal;Renta neta media por persona;11718;
La Zarza-Perrunal;Renta bruta media por persona;13451;
La Zarza-Perrunal;Renta neta media por hogar;25539;
La Zarza-Perrunal;Renta bruta media por hogar;29316;
La Zarza-Perrunal;Renta por unidad de consumo;16473;
Lepe;Renta neta media por persona;9798;
Lepe;Renta bruta media por persona;11314;
Lepe;Renta neta media por hogar;27532;
Lepe;Renta bruta media por hogar;31794;
Lepe;Renta por unidad de consumo;15062;
Linares de la Sierra;Renta neta media por persona;11645;
Linares de la Sierra;Renta bruta media por persona;14001;
Linares de la Sierra;Renta neta media por hogar;23373;
Linares de la Sierra;Renta bruta media por hogar;28104;
Linares de la Sierra;Renta por unidad de consumo;16468;
Los Marines;Renta neta media por persona;10947;
Los Marines;Renta bruta media por persona;12572;
Los Marines;Renta neta media por hogar;23149;
Los Marines;Renta bruta media por hogar;26581;
Los Marines;Renta por unidad de consumo;15459;
Lucena del Puerto;Renta neta media por persona;11236;
Lucena del Puerto;Renta bruta media por persona;13299;
Lucena del Puerto;Renta neta media por hogar;32635;
Lucena del Puerto;Renta bruta media por hogar;38630;
Lucena del Puerto;Renta por unidad de consumo;17582;
Manzanilla;Renta neta media por persona;9347;
Manzanilla;Renta bruta media por persona;se;
Manzanilla;Renta neta media por hogar;22804;
Manzanilla;Renta bruta media por hogar;25088;
Manzanilla;Renta por unidad de consumo;13690;
Minas de Riotinto;Renta neta media por persona;12869;
Minas de Riotinto;Renta bruta media por persona;15230;
Minas de Riotinto;Renta neta media por hogar;29354;
Minas de Riotinto;Renta bruta media por hogar;34739;
Minas de Riotinto;Renta por unidad de consumo;18559;
Moguer;Renta neta media por persona;10484;
Moguer;Renta bruta media por persona;12202;
Moguer;Renta neta media por hogar;28814;
Moguer;Renta bruta media por hogar;33538;
Moguer;Renta por unidad de consumo;15988;
Nerva;Renta neta media por persona;11516;
Nerva;Renta bruta media por persona;13243;
Nerva;Renta neta media por hogar;27470;
Nerva;Renta bruta media por hogar;31590;
Nerva;Renta por unidad de consumo;16801;
Niebla;Renta neta media por persona;10220;
Niebla;Renta bruta media por persona;11686;
Niebla;Renta neta media por hogar;27605;
Niebla;Renta bruta media por hogar;31565;
Niebla;Renta por unidad de consumo;15536;
Palos de la Frontera;Renta neta media por persona;12457;
Palos de la Frontera;Renta bruta media por persona;15030;
Palos de la Frontera;Renta neta media por hogar;37379;
Palos de la Frontera;Renta bruta media por hogar;45100;
Palos de la Frontera;Renta por unidad de consumo;19433;
Paterna del Campo;Renta neta media por persona;10220;
Paterna del Campo;Renta bruta media por persona;11461;
Paterna del Campo;Renta neta media por hogar;25441;
Paterna del Campo;Renta bruta media por hogar;28528;
Paterna del Campo;Renta por unidad de consumo;15061;
Paymogo;Renta neta media por persona;9806;
Paymogo;Renta bruta media por persona;11024;
Paymogo;Renta neta media por hogar;24715;
Paymogo;Renta bruta media por hogar;27784;
Paymogo;Renta por unidad de consumo;14622;
Puebla de Guzmán;Renta neta media por persona;10960;
Puebla de Guzmán;Renta bruta media por persona;12535;
Puebla de Guzmán;Renta neta media por hogar;25928;
Puebla de Guzmán;Renta bruta media por hogar;29654;
Puebla de Guzmán;Renta por unidad de consumo;16153;
Puerto Moral;Renta neta media por persona;11056;
Puerto Moral;Renta bruta media por persona;12798;
Puerto Moral;Renta neta media por hogar;25704;
Puerto Moral;Renta bruta media por hogar;29755;
Puerto Moral;Renta por unidad de consumo;16243;
Punta Umbría;Renta neta media por persona;11890;
Punta Umbría;Renta bruta media por persona;14157;
Punta Umbría;Renta neta media por hogar;28582;
Punta Umbría;Renta bruta media por hogar;34031;
Punta Umbría;Renta por unidad de consumo;17121;
Rociana del Condado;Renta neta media por persona;8869;
Rociana del Condado;Renta bruta media por persona;9885;
Rociana del Condado;Renta neta media por hogar;25266;
Rociana del Condado;Renta bruta media por hogar;28156;
Rociana del Condado;Renta por unidad de consumo;13583;
Rosal de la Frontera;Renta neta media por persona;9665;
Rosal de la Frontera;Renta bruta media por persona;10910;
Rosal de la Frontera;Renta neta media por hogar;21982;
Rosal de la Frontera;Renta bruta media por hogar;24815;
Rosal de la Frontera;Renta por unidad de consumo;13825;
San Bartolomé de la Torre;Renta neta media por persona;10675;
San Bartolomé de la Torre;Renta bruta media por persona;12345;
San Bartolomé de la Torre;Renta neta media por hogar;28766;
San Bartolomé de la Torre;Renta bruta media por hogar;33269;
San Bartolomé de la Torre;Renta por unidad de consumo;16299;
San Juan del Puerto;Renta neta media por persona;10273;
San Juan del Puerto;Renta bruta media por persona;11936;
San Juan del Puerto;Renta neta media por hogar;29309;
San Juan del Puerto;Renta bruta media por hogar;34051;
San Juan del Puerto;Renta por unidad de consumo;15944;
San Silvestre de Guzmán;Renta neta media por persona;10971;
San Silvestre de Guzmán;Renta bruta media por persona;12623;
San Silvestre de Guzmán;Renta neta media por hogar;25732;
San Silvestre de Guzmán;Renta bruta media por hogar;29605;
San Silvestre de Guzmán;Renta por unidad de consumo;15830;
Sanlúcar de Guadiana;Renta neta media por persona;11995;
Sanlúcar de Guadiana;Renta bruta media por persona;14350;
Sanlúcar de Guadiana;Renta neta media por hogar;26335;
Sanlúcar de Guadiana;Renta bruta media por hogar;31507;
Sanlúcar de Guadiana;Renta por unidad de consumo;17704;
Santa Ana la Real;Renta neta media por persona;11086;
Santa Ana la Real;Renta bruta media por persona;12900;
Santa Ana la Real;Renta neta media por hogar;23951;
Santa Ana la Real;Renta bruta media por hogar;27873;
Santa Ana la Real;Renta por unidad de consumo;16039;
Santa Bárbara de Casa;Renta neta media por persona;10056;
Santa Bárbara de Casa;Renta bruta media por persona;11274;
Santa Bárbara de Casa;Renta neta media por hogar;22035;
Santa Bárbara de Casa;Renta bruta media por hogar;24705;
Santa Bárbara de Casa;Renta por unidad de consumo;14207;
Santa Olalla del Cala;Renta neta media por persona;10081;
Santa Olalla del Cala;Renta bruta media por persona;11471;
Santa Olalla del Cala;Renta neta media por hogar;23784;
Santa Olalla del Cala;Renta bruta media por hogar;27064;
Santa Olalla del Cala;Renta por unidad de consumo;14966;
Trigueros;Renta neta media por persona;10859;
Trigueros;Renta bruta media por persona;12687;
Trigueros;Renta neta media por hogar;28220;
Trigueros;Renta bruta media por hogar;32974;
Trigueros;Renta por unidad de consumo;16513;
Valdelarco;Renta neta media por persona;11754;
Valdelarco;Renta bruta media por persona;13599;
Valdelarco;Renta neta media por hogar;22926;
Valdelarco;Renta bruta media por hogar;26523;
Valdelarco;Renta por unidad de consumo;15962;
Valverde del Camino;Renta neta media por persona;11972;
Valverde del Camino;Renta bruta media por persona;14180;
Valverde del Camino;Renta neta media por hogar;30665;
Valverde del Camino;Renta bruta media por hogar;36319;
Valverde del Camino;Renta por unidad de consumo;18092;
Villablanca;Renta neta media por persona;9199;
Villablanca;Renta bruta media por persona;10349;
Villablanca;Renta neta media por hogar;23820;
