Territorio;Medida;Valor;
Berja;Renta neta media por persona;9187;
Berja;Renta bruta media por persona;10440;
Berja;Renta neta media por hogar;24977;
Berja;Renta bruta media por hogar;28384;
Berja;Renta por unidad de consumo;13965;
Canjáyar;Renta neta media por persona;10503;
Canjáyar;Renta bruta media por persona;11676;
Canjáyar;Renta neta media por hogar;20730;
Canjáyar;Renta bruta media por hogar;23047;
Canjáyar;Renta por unidad de consumo;14384;
Cantoria;Renta neta media por persona;10034;
Cantoria;Renta bruta media por persona;11551;
Cantoria;Renta neta media por hogar;24003;
Cantoria;Renta bruta media por hogar;27633;
Cantoria;Renta por unidad de consumo;15168;
Carboneras;Renta neta media por persona;11494;
Carboneras;Renta bruta media por persona;13652;
Carboneras;Renta neta media por hogar;29551;
Carboneras;Renta bruta media por hogar;35098;
Carboneras;Renta por unidad de consumo;17444;
Castro de Filabres;Renta neta media por persona;14109;
Castro de Filabres;Renta bruta media por persona;16321;
Castro de Filabres;Renta neta media por hogar;25396;
Castro de Filabres;Renta bruta media por hogar;29379;
Castro de Filabres;Renta por unidad de consumo;18356;
Chercos;Renta neta media por persona;10120;
Chercos;Renta bruta media por persona;11425;
Chercos;Renta neta media por hogar;23132;
Chercos;Renta bruta media por hogar;26115;
Chercos;Renta por unidad de consumo;14406;
Chirivel;Renta neta media por persona;10694;
Chirivel;Renta bruta media por persona;12199;
Chirivel;Renta neta media por hogar;22049;
Chirivel;Renta bruta media por hogar;25153;
Chirivel;Renta por unidad de consumo;15359;
Cóbdar;Renta neta media por persona;12445;
Cóbdar;Renta bruta media por persona;14413;
Cóbdar;Renta neta media por hogar;28653;
Cóbdar;Renta bruta media por hogar;33183;
Cóbdar;Renta por unidad de consumo;18050;
Cuevas del Almanzora;Renta neta media por persona;9738;
Cuevas del Almanzora;Renta bruta media por persona;11243;
Cuevas del Almanzora;Renta neta media por hogar;26103;
Cuevas del Almanzora;Renta bruta media por hogar;30136;
Cuevas del Almanzora;Renta por unidad de consumo;14920;
Dalías;Renta neta media por persona;9873;
Dalías;Renta bruta media por persona;11333;
Dalías;Renta neta media por hogar;25467;
Dalías;Renta bruta media por hogar;29236;
Dalías;Renta por unidad de consumo;14973;
El Ejido;Renta neta media por persona;9299;
El Ejido;Renta bruta media por persona;10823;
El Ejido;Renta neta media por hogar;26789;
El Ejido;Renta bruta media por hogar;31177;
El Ejido;Renta por unidad de consumo;14440;
Enix;Renta neta media por persona;11475;
Enix;Renta bruta media por persona;13467;
Enix;Renta neta media por hogar;23332;
Enix;Renta bruta media por hogar;27380;
Enix;Renta por unidad de consumo;16021;
Felix;Renta neta media por persona;11842;
Felix;Renta bruta media por persona;14002;
Felix;Renta neta media por hogar;24516;
Felix;Renta bruta media por hogar;28988;
Felix;Renta por unidad de consumo;16278;
Fines;Renta neta media por persona;10487;
Fines;Renta bruta media por persona;12174;
Fines;Renta neta media por hogar;27111;
Fines;Renta bruta media por hogar;31472;
Fines;Renta por unidad de consumo;15919;
Fiñana;Renta neta media por persona;10310;
Fiñana;Renta bruta media por persona;11515;
Fiñana;Renta neta media por hogar;22376;
Fiñana;Renta bruta media por hogar;24992;
Fiñana;Renta por unidad de consumo;14564;
Fondón;Renta neta media por persona;11642;
Fondón;Renta bruta media por persona;13417;
Fondón;Renta neta media por hogar;23029;
Fondón;Renta bruta media por hogar;26539;
Fondón;Renta por unidad de consumo;15799;
Gádor;Renta neta media por persona;9619;
Gádor;Renta bruta media por persona;11023;
Gádor;Renta neta media por hogar;21686;
Gádor;Renta bruta media por hogar;24853;
Gádor;Renta por unidad de consumo;13813;
Garrucha;Renta neta media por persona;9611;
Garrucha;Renta bruta media por persona;11184;
Garrucha;Renta neta media por hogar;26213;
Garrucha;Renta bruta media por hogar;30507;
Garrucha;Renta por unidad de consumo;14662;
Gérgal;Renta neta media por persona;9658;
Gérgal;Renta bruta media por persona;10872;
Gérgal;Renta neta media por hogar;22238;
Gérgal;Renta bruta media por hogar;25033;
Gérgal;Renta por unidad de consumo;13852;
Huécija;Renta neta media por persona;10907;
Huécija;Renta bruta media por persona;12636;
Huécija;Renta neta media por hogar;22157;
Huécija;Renta bruta media por hogar;25671;
Huécija;Renta por unidad de consumo;15207;
Huércal de Almería;Renta neta media por persona;11464;
Huércal de Almería;Renta bruta media por persona;13648;
Huércal de Almería;Renta neta media por hogar;32725;
Huércal de Almería;Renta bruta media por hogar;38955;
Huércal de Almería;Renta por unidad de consumo;17929;
Huércal-Overa;Renta neta media por persona;10719;
Huércal-Overa;Renta bruta media por persona;12600;
Huércal-Overa;Renta neta media por hogar;30106;
Huércal-Overa;Renta bruta media por hogar;35387;
Huércal-Overa;Renta por unidad de consumo;16672;
Íllar;Renta neta media por persona;10486;
Íllar;Renta bruta media por persona;11816;
Íllar;Renta neta media por hogar;20546;
Íllar;Renta bruta media por hogar;23152;
Íllar;Renta por unidad de consumo;14579;
Instinción;Renta neta media por persona;9492;
Instinción;Renta bruta media por persona;10556;
Instinción;Renta neta media por hogar;18820;
Instinción;Renta bruta media por hogar;20928;
Instinción;Renta por unidad de consumo;13261;
La Mojonera;Renta neta media por persona;8037;
La Mojonera;Renta bruta media por persona;9006;
La Mojonera;Renta neta media por hogar;28298;
La Mojonera;Renta bruta media por hogar;31708;
La Mojonera;Renta por unidad de consumo;13050;
Laroya;Renta neta media por persona;11379;
Laroya;Renta bruta media por persona;12950;
Laroya;Renta neta media por hogar;23369;
Laroya;Renta bruta media por hogar;26597;
Laroya;Renta por unidad de consumo;15413;
Las Tres Villas;Renta neta media por persona;11115;
Las Tres Villas;Renta bruta media por persona;12473;
Las Tres Villas;Renta neta media por hogar;22269;
Las Tres Villas;Renta bruta media por hogar;24993;
Las Tres Villas;Renta por unidad de consumo;15129;
Laujar de Andarax;Renta neta media por persona;9369;
Laujar de Andarax;Renta bruta media por persona;10628;
Laujar de Andarax;Renta neta media por hogar;19712;
Laujar de Andarax;Renta bruta media por hogar;22360;
Laujar de Andarax;Renta por unidad de consumo;13167;
Líjar;Renta neta media por persona;11056;
Líjar;Renta bruta media por persona;12336;
Líjar;Renta neta media por hogar;25753;
Líjar;Renta bruta media por hogar;28735;
Líjar;Renta por unidad de consumo;15922;
Los Gallardos;Renta neta media por persona;10235;
Los Gallardos;Renta bruta media por persona;11782;
Los Gallardos;Renta neta media por hogar;25119;
Los Gallardos;Renta bruta media por hogar;28920;
Los Gallardos;Renta por unidad de consumo;15701;
Lubrín;Renta neta media por persona;10494;
Lubrín;Renta bruta media por persona;11756;
Lubrín;Renta neta media por hogar;21461;
Lubrín;Renta bruta media por hogar;24041;
Lubrín;Renta por unidad de consumo;14985;
Lucainena de las Torres;Renta neta media por persona;9745;
Lucainena de las Torres;Renta bruta media por persona;11448;
Lucainena de las Torres;Renta neta media por hogar;23102;
Lucainena de las Torres;Renta bruta media por hogar;27140;
Lucainena de las Torres;Renta por unidad de consumo;14683;
Lúcar;Renta neta media por persona;11336;
Lúcar;Renta bruta media por persona;13009;
Lúcar;Renta neta media por hogar;23106;
Lúcar;Renta bruta media por hogar;26516;
Lúcar;Renta por unidad de consumo;16285;
Macael;Renta neta media por persona;11113;
Macael;Renta bruta media por persona;13200;
Macael;Renta neta media por hogar;27560;
Macael;Renta bruta media por hogar;32736;
Macael;Renta por unidad de consumo;16709;
María;Renta neta media por persona;11006;
María;Renta bruta media por persona;12436;
María;Renta neta media por hogar;24381;
María;Renta bruta media por hogar;27546;
María;Renta por unidad de consumo;15612;
Mojácar;Renta neta media por persona;11171;
Mojácar;Renta bruta media por persona;13423;
Mojácar;Renta neta media por hogar;25506;
Mojácar;Renta bruta media por hogar;30650;
Mojácar;Renta por unidad de consumo;16926;
Nacimiento;Renta neta media por persona;10566;
Nacimiento;Renta bruta media por persona;11937;
Nacimiento;Renta neta media por hogar;22166;
Nacimiento;Renta bruta media por hogar;25042;
Nacimiento;Renta por unidad de consumo;14640;
Níjar;Renta neta media por persona;8147;
Níjar;Renta bruta media por persona;9270;
Níjar;Renta neta media por hogar;24461;
Níjar;Renta bruta media por hogar;27834;
Níjar;Renta por unidad de consumo;12813;
Ohanes;Renta neta media por persona;11148;
Ohanes;Renta bruta media por persona;12635;
