Territorio;Nacionalidad;Medida;Valor;
Alboloduy;Sub-Sahara;Inmigraciones ;-;
Alboloduy;Resto África;Inmigraciones ;-;
Alboloduy;América;Inmigraciones ;-;
Alboloduy;América Norte;Inmigraciones ;-;
Alboloduy;Central-Caribe;Inmigraciones ;-;
Alboloduy;América Sur;Inmigraciones ;-;
Alboloduy;Asia;Inmigraciones ;-;
Alboloduy;Próximo Oriente;Inmigraciones ;-;
Alboloduy;Resto Asia;Inmigraciones ;-;
Alboloduy;Oceanía;Inmigraciones ;-;
Alboloduy;Apátridas;Inmigraciones ;-;
Alboloduy;TOTAL;Inmigraciones ;2;
Albox;Española;Inmigraciones ;43;
Albox;Extranjera;Inmigraciones ;475;
Albox;Europa;Inmigraciones ;142;
Albox;UE27;Inmigraciones ;75;
Albox;Resto de Europa;Inmigraciones ;67;
Albox;África;Inmigraciones ;41;
Albox;África Norte;Inmigraciones ;32;
Albox;Sub-Sahara;Inmigraciones ;-;
Albox;Resto África;Inmigraciones ;9;
Albox;América;Inmigraciones ;256;
Albox;América Norte;Inmigraciones ;2;
Albox;Central-Caribe;Inmigraciones ;7;
Albox;América Sur;Inmigraciones ;247;
Albox;Asia;Inmigraciones ;36;
Albox;Próximo Oriente;Inmigraciones ;-;
Albox;Resto Asia;Inmigraciones ;36;
Albox;Oceanía;Inmigraciones ;-;
Albox;Apátridas;Inmigraciones ;1;
Albox;TOTAL;Inmigraciones ;519;
Alcolea;Española;Inmigraciones ;3;
Alcolea;Extranjera;Inmigraciones ;12;
Alcolea;Europa;Inmigraciones ;1;
Alcolea;UE27;Inmigraciones ;1;
Alcolea;Resto de Europa;Inmigraciones ;-;
Alcolea;África;Inmigraciones ;1;
Alcolea;África Norte;Inmigraciones ;1;
Alcolea;Sub-Sahara;Inmigraciones ;-;
Alcolea;Resto África;Inmigraciones ;-;
Alcolea;América;Inmigraciones ;10;
Alcolea;América Norte;Inmigraciones ;-;
Alcolea;Central-Caribe;Inmigraciones ;-;
Alcolea;América Sur;Inmigraciones ;10;
Alcolea;Asia;Inmigraciones ;-;
Alcolea;Próximo Oriente;Inmigraciones ;-;
Alcolea;Resto Asia;Inmigraciones ;-;
Alcolea;Oceanía;Inmigraciones ;-;
Alcolea;Apátridas;Inmigraciones ;-;
Alcolea;TOTAL;Inmigraciones ;15;
Alcóntar;Española;Inmigraciones ;2;
Alcóntar;Extranjera;Inmigraciones ;8;
Alcóntar;Europa;Inmigraciones ;1;
Alcóntar;UE27;Inmigraciones ;-;
Alcóntar;Resto de Europa;Inmigraciones ;1;
Alcóntar;África;Inmigraciones ;2;
Alcóntar;África Norte;Inmigraciones ;1;
Alcóntar;Sub-Sahara;Inmigraciones ;-;
Alcóntar;Resto África;Inmigraciones ;1;
Alcóntar;América;Inmigraciones ;5;
Alcóntar;América Norte;Inmigraciones ;-;
Alcóntar;Central-Caribe;Inmigraciones ;3;
Alcóntar;América Sur;Inmigraciones ;2;
Alcóntar;Asia;Inmigraciones ;-;
Alcóntar;Próximo Oriente;Inmigraciones ;-;
Alcóntar;Resto Asia;Inmigraciones ;-;
Alcóntar;Oceanía;Inmigraciones ;-;
Alcóntar;Apátridas;Inmigraciones ;-;
Alcóntar;TOTAL;Inmigraciones ;10;
Alcudia de Monteagud;Española;Inmigraciones ;-;
Alcudia de Monteagud;Extranjera;Inmigraciones ;4;
Alcudia de Monteagud;Europa;Inmigraciones ;4;
Alcudia de Monteagud;UE27;Inmigraciones ;-;
Alcudia de Monteagud;Resto de Europa;Inmigraciones ;4;
Alcudia de Monteagud;África;Inmigraciones ;-;
Alcudia de Monteagud;África Norte;Inmigraciones ;-;
Alcudia de Monteagud;Sub-Sahara;Inmigraciones ;-;
Alcudia de Monteagud;Resto África;Inmigraciones ;-;
Alcudia de Monteagud;América;Inmigraciones ;-;
Alcudia de Monteagud;América Norte;Inmigraciones ;-;
Alcudia de Monteagud;Central-Caribe;Inmigraciones ;-;
Alcudia de Monteagud;América Sur;Inmigraciones ;-;
Alcudia de Monteagud;Asia;Inmigraciones ;-;
Alcudia de Monteagud;Próximo Oriente;Inmigraciones ;-;
Alcudia de Monteagud;Resto Asia;Inmigraciones ;-;
Alcudia de Monteagud;Oceanía;Inmigraciones ;-;
Alcudia de Monteagud;Apátridas;Inmigraciones ;-;
Alcudia de Monteagud;TOTAL;Inmigraciones ;4;
Alhabia;Española;Inmigraciones ;4;
Alhabia;Extranjera;Inmigraciones ;15;
Alhabia;Europa;Inmigraciones ;7;
Alhabia;UE27;Inmigraciones ;7;
Alhabia;Resto de Europa;Inmigraciones ;-;
Alhabia;África;Inmigraciones ;6;
Alhabia;África Norte;Inmigraciones ;5;
Alhabia;Sub-Sahara;Inmigraciones ;-;
Alhabia;Resto África;Inmigraciones ;1;
Alhabia;América;Inmigraciones ;2;
Alhabia;América Norte;Inmigraciones ;-;
Alhabia;Central-Caribe;Inmigraciones ;-;
Alhabia;América Sur;Inmigraciones ;2;
Alhabia;Asia;Inmigraciones ;-;
Alhabia;Próximo Oriente;Inmigraciones ;-;
Alhabia;Resto Asia;Inmigraciones ;-;
Alhabia;Oceanía;Inmigraciones ;-;
Alhabia;Apátridas;Inmigraciones ;-;
Alhabia;TOTAL;Inmigraciones ;19;
Alhama de Almería;Española;Inmigraciones ;3;
Alhama de Almería;Extranjera;Inmigraciones ;69;
Alhama de Almería;Europa;Inmigraciones ;24;
Alhama de Almería;UE27;Inmigraciones ;23;
Alhama de Almería;Resto de Europa;Inmigraciones ;1;
Alhama de Almería;África;Inmigraciones ;27;
Alhama de Almería;África Norte;Inmigraciones ;11;
Alhama de Almería;Sub-Sahara;Inmigraciones ;5;
Alhama de Almería;Resto África;Inmigraciones ;11;
Alhama de Almería;América;Inmigraciones ;18;
Alhama de Almería;América Norte;Inmigraciones ;-;
Alhama de Almería;Central-Caribe;Inmigraciones ;-;
Alhama de Almería;América Sur;Inmigraciones ;18;
Alhama de Almería;Asia;Inmigraciones ;-;
Alhama de Almería;Próximo Oriente;Inmigraciones ;-;
Alhama de Almería;Resto Asia;Inmigraciones ;-;
Alhama de Almería;Oceanía;Inmigraciones ;-;
Alhama de Almería;Apátridas;Inmigraciones ;-;
Alhama de Almería;TOTAL;Inmigraciones ;72;
Alicún;Española;Inmigraciones ;-;
Alicún;Extranjera;Inmigraciones ;3;
Alicún;Europa;Inmigraciones ;3;
Alicún;UE27;Inmigraciones ;3;
Alicún;Resto de Europa;Inmigraciones ;-;
Alicún;África;Inmigraciones ;-;
Alicún;África Norte;Inmigraciones ;-;
Alicún;Sub-Sahara;Inmigraciones ;-;
Alicún;Resto África;Inmigraciones ;-;
Alicún;América;Inmigraciones ;-;
Alicún;América Norte;Inmigraciones ;-;
Alicún;Central-Caribe;Inmigraciones ;-;
Alicún;América Sur;Inmigraciones ;-;
Alicún;Asia;Inmigraciones ;-;
Alicún;Próximo Oriente;Inmigraciones ;-;
Alicún;Resto Asia;Inmigraciones ;-;
Alicún;Oceanía;Inmigraciones ;-;
Alicún;Apátridas;Inmigraciones ;-;
Alicún;TOTAL;Inmigraciones ;3;
Almería (capital);Española;Inmigraciones ;352;
Almería (capital);Extranjera;Inmigraciones ;3577;
Almería (capital);Europa;Inmigraciones ;518;
Almería (capital);UE27;Inmigraciones ;343;
Almería (capital);Resto de Europa;Inmigraciones ;175;
Almería (capital);África;Inmigraciones ;1586;
Almería (capital);África Norte;Inmigraciones ;1446;
Almería (capital);Sub-Sahara;Inmigraciones ;11;
Almería (capital);Resto África;Inmigraciones ;129;
Almería (capital);América;Inmigraciones ;1370;
Almería (capital);América Norte;Inmigraciones ;27;
Almería (capital);Central-Caribe;Inmigraciones ;122;
Almería (capital);América Sur;Inmigraciones ;1221;
Almería (capital);Asia;Inmigraciones ;103;
Almería (capital);Próximo Oriente;Inmigraciones ;20;
Almería (capital);Resto Asia;Inmigraciones ;83;
Almería (capital);Oceanía;Inmigraciones ;-;
Almería (capital);Apátridas;Inmigraciones ;-;
Almería (capital);TOTAL;Inmigraciones ;3929;
Almócita;Española;Inmigraciones ;-;
Almócita;Extranjera;Inmigraciones ;1;
Almócita;Europa;Inmigraciones ;1;
Almócita;UE27;Inmigraciones ;1;
Almócita;Resto de Europa;Inmigraciones ;-;
Almócita;África;Inmigraciones ;-;
Almócita;África Norte;Inmigraciones ;-;
Almócita;Sub-Sahara;Inmigraciones ;-;
Almócita;Resto África;Inmigraciones ;-;
Almócita;América;Inmigraciones ;-;
Almócita;América Norte;Inmigraciones ;-;
Almócita;Central-Caribe;Inmigraciones ;-;
Almócita;América Sur;Inmigraciones ;-;
Almócita;Asia;Inmigraciones ;-;
Almócita;Próximo Oriente;Inmigraciones ;-;
Almócita;Resto Asia;Inmigraciones ;-;
Almócita;Oceanía;Inmigraciones ;-;
Almócita;Apátridas;Inmigraciones ;-;
Almócita;TOTAL;Inmigraciones ;1;
