Territorio;Nacionalidad;Medida;Valor;
Ubrique;Próximo Oriente;Inmigraciones ;-;
Ubrique;Resto Asia;Inmigraciones ;1;
Ubrique;Oceanía;Inmigraciones ;-;
Ubrique;Apátridas;Inmigraciones ;-;
Ubrique;TOTAL;Inmigraciones ;178;
Vejer de la Frontera;Española;Inmigraciones ;24;
Vejer de la Frontera;Extranjera;Inmigraciones ;119;
Vejer de la Frontera;Europa;Inmigraciones ;68;
Vejer de la Frontera;UE27;Inmigraciones ;53;
Vejer de la Frontera;Resto de Europa;Inmigraciones ;15;
Vejer de la Frontera;África;Inmigraciones ;15;
Vejer de la Frontera;África Norte;Inmigraciones ;14;
Vejer de la Frontera;Sub-Sahara;Inmigraciones ;-;
Vejer de la Frontera;Resto África;Inmigraciones ;1;
Vejer de la Frontera;América;Inmigraciones ;31;
Vejer de la Frontera;América Norte;Inmigraciones ;1;
Vejer de la Frontera;Central-Caribe;Inmigraciones ;11;
Vejer de la Frontera;América Sur;Inmigraciones ;19;
Vejer de la Frontera;Asia;Inmigraciones ;3;
Vejer de la Frontera;Próximo Oriente;Inmigraciones ;-;
Vejer de la Frontera;Resto Asia;Inmigraciones ;3;
Vejer de la Frontera;Oceanía;Inmigraciones ;2;
Vejer de la Frontera;Apátridas;Inmigraciones ;-;
Vejer de la Frontera;TOTAL;Inmigraciones ;143;
Villaluenga del Rosario;Española;Inmigraciones ;2;
Villaluenga del Rosario;Extranjera;Inmigraciones ;-;
Villaluenga del Rosario;Europa;Inmigraciones ;-;
Villaluenga del Rosario;UE27;Inmigraciones ;-;
Villaluenga del Rosario;Resto de Europa;Inmigraciones ;-;
Villaluenga del Rosario;África;Inmigraciones ;-;
Villaluenga del Rosario;África Norte;Inmigraciones ;-;
Villaluenga del Rosario;Sub-Sahara;Inmigraciones ;-;
Villaluenga del Rosario;Resto África;Inmigraciones ;-;
Villaluenga del Rosario;América;Inmigraciones ;-;
Villaluenga del Rosario;América Norte;Inmigraciones ;-;
Villaluenga del Rosario;Central-Caribe;Inmigraciones ;-;
Villaluenga del Rosario;América Sur;Inmigraciones ;-;
Villaluenga del Rosario;Asia;Inmigraciones ;-;
Villaluenga del Rosario;Próximo Oriente;Inmigraciones ;-;
Villaluenga del Rosario;Resto Asia;Inmigraciones ;-;
Villaluenga del Rosario;Oceanía;Inmigraciones ;-;
Villaluenga del Rosario;Apátridas;Inmigraciones ;-;
Villaluenga del Rosario;TOTAL;Inmigraciones ;2;
Villamartín;Española;Inmigraciones ;10;
Villamartín;Extranjera;Inmigraciones ;50;
Villamartín;Europa;Inmigraciones ;16;
Villamartín;UE27;Inmigraciones ;13;
Villamartín;Resto de Europa;Inmigraciones ;3;
Villamartín;África;Inmigraciones ;7;
Villamartín;África Norte;Inmigraciones ;7;
Villamartín;Sub-Sahara;Inmigraciones ;-;
Villamartín;Resto África;Inmigraciones ;-;
Villamartín;América;Inmigraciones ;25;
Villamartín;América Norte;Inmigraciones ;-;
Villamartín;Central-Caribe;Inmigraciones ;4;
Villamartín;América Sur;Inmigraciones ;21;
Villamartín;Asia;Inmigraciones ;2;
Villamartín;Próximo Oriente;Inmigraciones ;-;
Villamartín;Resto Asia;Inmigraciones ;2;
Villamartín;Oceanía;Inmigraciones ;-;
Villamartín;Apátridas;Inmigraciones ;1;
Villamartín;TOTAL;Inmigraciones ;61;
Zahara;Española;Inmigraciones ;1;
Zahara;Extranjera;Inmigraciones ;10;
Zahara;Europa;Inmigraciones ;1;
Zahara;UE27;Inmigraciones ;1;
Zahara;Resto de Europa;Inmigraciones ;-;
Zahara;África;Inmigraciones ;-;
Zahara;África Norte;Inmigraciones ;-;
Zahara;Sub-Sahara;Inmigraciones ;-;
Zahara;Resto África;Inmigraciones ;-;
Zahara;América;Inmigraciones ;9;
Zahara;América Norte;Inmigraciones ;-;
Zahara;Central-Caribe;Inmigraciones ;4;
Zahara;América Sur;Inmigraciones ;5;
Zahara;Asia;Inmigraciones ;-;
Zahara;Próximo Oriente;Inmigraciones ;-;
Zahara;Resto Asia;Inmigraciones ;-;
Zahara;Oceanía;Inmigraciones ;-;
Zahara;Apátridas;Inmigraciones ;-;
Zahara;TOTAL;Inmigraciones ;11;
Córdoba;Española;Inmigraciones ;853;
Córdoba;Extranjera;Inmigraciones ;5426;
Córdoba;Europa;Inmigraciones ;1000;
Córdoba;UE27;Inmigraciones ;657;
Córdoba;Resto de Europa;Inmigraciones ;343;
Córdoba;África;Inmigraciones ;903;
Córdoba;África Norte;Inmigraciones ;628;
Córdoba;Sub-Sahara;Inmigraciones ;56;
Córdoba;Resto África;Inmigraciones ;219;
Córdoba;América;Inmigraciones ;3284;
Córdoba;América Norte;Inmigraciones ;60;
Córdoba;Central-Caribe;Inmigraciones ;1036;
Córdoba;América Sur;Inmigraciones ;2188;
Córdoba;Asia;Inmigraciones ;232;
Córdoba;Próximo Oriente;Inmigraciones ;43;
Córdoba;Resto Asia;Inmigraciones ;189;
Córdoba;Oceanía;Inmigraciones ;7;
Córdoba;Apátridas;Inmigraciones ;1;
Córdoba;TOTAL;Inmigraciones ;6280;
Adamuz;Española;Inmigraciones ;4;
Adamuz;Extranjera;Inmigraciones ;11;
Adamuz;Europa;Inmigraciones ;4;
Adamuz;UE27;Inmigraciones ;4;
Adamuz;Resto de Europa;Inmigraciones ;-;
Adamuz;África;Inmigraciones ;5;
Adamuz;África Norte;Inmigraciones ;5;
Adamuz;Sub-Sahara;Inmigraciones ;-;
Adamuz;Resto África;Inmigraciones ;-;
Adamuz;América;Inmigraciones ;2;
Adamuz;América Norte;Inmigraciones ;-;
Adamuz;Central-Caribe;Inmigraciones ;1;
Adamuz;América Sur;Inmigraciones ;1;
Adamuz;Asia;Inmigraciones ;-;
Adamuz;Próximo Oriente;Inmigraciones ;-;
Adamuz;Resto Asia;Inmigraciones ;-;
Adamuz;Oceanía;Inmigraciones ;-;
Adamuz;Apátridas;Inmigraciones ;-;
Adamuz;TOTAL;Inmigraciones ;15;
Aguilar de la Frontera;Española;Inmigraciones ;5;
Aguilar de la Frontera;Extranjera;Inmigraciones ;54;
Aguilar de la Frontera;Europa;Inmigraciones ;1;
Aguilar de la Frontera;UE27;Inmigraciones ;1;
Aguilar de la Frontera;Resto de Europa;Inmigraciones ;-;
Aguilar de la Frontera;África;Inmigraciones ;13;
Aguilar de la Frontera;África Norte;Inmigraciones ;12;
Aguilar de la Frontera;Sub-Sahara;Inmigraciones ;-;
Aguilar de la Frontera;Resto África;Inmigraciones ;1;
Aguilar de la Frontera;América;Inmigraciones ;37;
Aguilar de la Frontera;América Norte;Inmigraciones ;-;
Aguilar de la Frontera;Central-Caribe;Inmigraciones ;16;
Aguilar de la Frontera;América Sur;Inmigraciones ;21;
Aguilar de la Frontera;Asia;Inmigraciones ;2;
Aguilar de la Frontera;Próximo Oriente;Inmigraciones ;-;
Aguilar de la Frontera;Resto Asia;Inmigraciones ;2;
Aguilar de la Frontera;Oceanía;Inmigraciones ;1;
Aguilar de la Frontera;Apátridas;Inmigraciones ;-;
Aguilar de la Frontera;TOTAL;Inmigraciones ;59;
Alcaracejos;Española;Inmigraciones ;1;
Alcaracejos;Extranjera;Inmigraciones ;7;
Alcaracejos;Europa;Inmigraciones ;2;
Alcaracejos;UE27;Inmigraciones ;2;
Alcaracejos;Resto de Europa;Inmigraciones ;-;
Alcaracejos;África;Inmigraciones ;1;
Alcaracejos;África Norte;Inmigraciones ;1;
Alcaracejos;Sub-Sahara;Inmigraciones ;-;
Alcaracejos;Resto África;Inmigraciones ;-;
Alcaracejos;América;Inmigraciones ;3;
Alcaracejos;América Norte;Inmigraciones ;-;
Alcaracejos;Central-Caribe;Inmigraciones ;1;
Alcaracejos;América Sur;Inmigraciones ;2;
Alcaracejos;Asia;Inmigraciones ;1;
Alcaracejos;Próximo Oriente;Inmigraciones ;-;
Alcaracejos;Resto Asia;Inmigraciones ;1;
Alcaracejos;Oceanía;Inmigraciones ;-;
Alcaracejos;Apátridas;Inmigraciones ;-;
Alcaracejos;TOTAL;Inmigraciones ;8;
Almedinilla;Española;Inmigraciones ;1;
Almedinilla;Extranjera;Inmigraciones ;24;
Almedinilla;Europa;Inmigraciones ;6;
Almedinilla;UE27;Inmigraciones ;3;
Almedinilla;Resto de Europa;Inmigraciones ;3;
Almedinilla;África;Inmigraciones ;7;
Almedinilla;África Norte;Inmigraciones ;7;
Almedinilla;Sub-Sahara;Inmigraciones ;-;
Almedinilla;Resto África;Inmigraciones ;-;
Almedinilla;América;Inmigraciones ;11;
Almedinilla;América Norte;Inmigraciones ;-;
Almedinilla;Central-Caribe;Inmigraciones ;7;
Almedinilla;América Sur;Inmigraciones ;4;
Almedinilla;Asia;Inmigraciones ;-;
Almedinilla;Próximo Oriente;Inmigraciones ;-;
Almedinilla;Resto Asia;Inmigraciones ;-;
Almedinilla;Oceanía;Inmigraciones ;-;
Almedinilla;Apátridas;Inmigraciones ;-;
Almedinilla;TOTAL;Inmigraciones ;25;
Almodóvar del Río;Española;Inmigraciones ;9;
Almodóvar del Río;Extranjera;Inmigraciones ;30;
Almodóvar del Río;Europa;Inmigraciones ;8;
Almodóvar del Río;UE27;Inmigraciones ;5;
Almodóvar del Río;Resto de Europa;Inmigraciones ;3;
Almodóvar del Río;África;Inmigraciones ;6;
Almodóvar del Río;África Norte;Inmigraciones ;6;
Almodóvar del Río;Sub-Sahara;Inmigraciones ;-;
Almodóvar del Río;Resto África;Inmigraciones ;-;
Almodóvar del Río;América;Inmigraciones ;11;
Almodóvar del Río;América Norte;Inmigraciones ;-;
Almodóvar del Río;Central-Caribe;Inmigraciones ;4;
Almodóvar del Río;América Sur;Inmigraciones ;7;
Almodóvar del Río;Asia;Inmigraciones ;4;
Almodóvar del Río;Próximo Oriente;Inmigraciones ;-;
Almodóvar del Río;Resto Asia;Inmigraciones ;4;
Almodóvar del Río;Oceanía;Inmigraciones ;1;
Almodóvar del Río;Apátridas;Inmigraciones ;-;
Almodóvar del Río;TOTAL;Inmigraciones ;39;
Añora;Española;Inmigraciones ;3;
Añora;Extranjera;Inmigraciones ;7;
Añora;Europa;Inmigraciones ;1;
Añora;UE27;Inmigraciones ;1;
Añora;Resto de Europa;Inmigraciones ;-;
Añora;África;Inmigraciones ;-;
Añora;África Norte;Inmigraciones ;-;
Añora;Sub-Sahara;Inmigraciones ;-;
Añora;Resto África;Inmigraciones ;-;
Añora;América;Inmigraciones ;6;
Añora;América Norte;Inmigraciones ;-;
Añora;Central-Caribe;Inmigraciones ;4;
Añora;América Sur;Inmigraciones ;2;
Añora;Asia;Inmigraciones ;-;
Añora;Próximo Oriente;Inmigraciones ;-;
Añora;Resto Asia;Inmigraciones ;-;
Añora;Oceanía;Inmigraciones ;-;
Añora;Apátridas;Inmigraciones ;-;
Añora;TOTAL;Inmigraciones ;10;
Baena;Española;Inmigraciones ;11;
Baena;Extranjera;Inmigraciones ;115;
Baena;Europa;Inmigraciones ;21;
Baena;UE27;Inmigraciones ;18;
Baena;Resto de Europa;Inmigraciones ;3;
Baena;África;Inmigraciones ;42;
Baena;África Norte;Inmigraciones ;27;
Baena;Sub-Sahara;Inmigraciones ;7;
Baena;Resto África;Inmigraciones ;8;
Baena;América;Inmigraciones ;49;
Baena;América Norte;Inmigraciones ;-;
Baena;Central-Caribe;Inmigraciones ;11;
Baena;América Sur;Inmigraciones ;38;
Baena;Asia;Inmigraciones ;3;
Baena;Próximo Oriente;Inmigraciones ;-;
Baena;Resto Asia;Inmigraciones ;3;
Baena;Oceanía;Inmigraciones ;-;
Baena;Apátridas;Inmigraciones ;-;
Baena;TOTAL;Inmigraciones ;126;
Belalcázar;Española;Inmigraciones ;4;
Belalcázar;Extranjera;Inmigraciones ;25;
Belalcázar;Europa;Inmigraciones ;3;
Belalcázar;UE27;Inmigraciones ;3;
Belalcázar;Resto de Europa;Inmigraciones ;-;
Belalcázar;África;Inmigraciones ;1;
Belalcázar;África Norte;Inmigraciones ;1;
Belalcázar;Sub-Sahara;Inmigraciones ;-;
Belalcázar;Resto África;Inmigraciones ;-;
Belalcázar;América;Inmigraciones ;21;
Belalcázar;América Norte;Inmigraciones ;-;
Belalcázar;Central-Caribe;Inmigraciones ;2;
Belalcázar;América Sur;Inmigraciones ;19;
Belalcázar;Asia;Inmigraciones ;-;
Belalcázar;Próximo Oriente;Inmigraciones ;-;
Belalcázar;Resto Asia;Inmigraciones ;-;
Belalcázar;Oceanía;Inmigraciones ;-;
Belalcázar;Apátridas;Inmigraciones ;-;
Belalcázar;TOTAL;Inmigraciones ;29;
Belmez;Española;Inmigraciones ;7;
Belmez;Extranjera;Inmigraciones ;26;
Belmez;Europa;Inmigraciones ;2;
Belmez;UE27;Inmigraciones ;1;
Belmez;Resto de Europa;Inmigraciones ;1;
Belmez;África;Inmigraciones ;13;
Belmez;África Norte;Inmigraciones ;12;
Belmez;Sub-Sahara;Inmigraciones ;-;
Belmez;Resto África;Inmigraciones ;1;
Belmez;América;Inmigraciones ;11;
Belmez;América Norte;Inmigraciones ;-;
Belmez;Central-Caribe;Inmigraciones ;4;
Belmez;América Sur;Inmigraciones ;7;
Belmez;Asia;Inmigraciones ;-;
Belmez;Próximo Oriente;Inmigraciones ;-;
Belmez;Resto Asia;Inmigraciones ;-;
Belmez;Oceanía;Inmigraciones ;-;
Belmez;Apátridas;Inmigraciones ;-;
Belmez;TOTAL;Inmigraciones ;33;
Benamejí;Española;Inmigraciones ;-;
Benamejí;Extranjera;Inmigraciones ;12;
Benamejí;Europa;Inmigraciones ;2;
Benamejí;UE27;Inmigraciones ;-;
Benamejí;Resto de Europa;Inmigraciones ;2;
Benamejí;África;Inmigraciones ;5;
Benamejí;África Norte;Inmigraciones ;5;
Benamejí;Sub-Sahara;Inmigraciones ;-;
Benamejí;Resto África;Inmigraciones ;-;
Benamejí;América;Inmigraciones ;5;
Benamejí;América Norte;Inmigraciones ;-;
Benamejí;Central-Caribe;Inmigraciones ;4;
Benamejí;América Sur;Inmigraciones ;1;
Benamejí;Asia;Inmigraciones ;-;
Benamejí;Próximo Oriente;Inmigraciones ;-;
Benamejí;Resto Asia;Inmigraciones ;-;
Benamejí;Oceanía;Inmigraciones ;-;
Benamejí;Apátridas;Inmigraciones ;-;
Benamejí;TOTAL;Inmigraciones ;12;
Bujalance;Española;Inmigraciones ;11;
Bujalance;Extranjera;Inmigraciones ;24;
Bujalance;Europa;Inmigraciones ;5;
Bujalance;UE27;Inmigraciones ;4;
Bujalance;Resto de Europa;Inmigraciones ;1;
Bujalance;África;Inmigraciones ;14;
Bujalance;África Norte;Inmigraciones ;14;
Bujalance;Sub-Sahara;Inmigraciones ;-;
Bujalance;Resto África;Inmigraciones ;-;
Bujalance;América;Inmigraciones ;5;
Bujalance;América Norte;Inmigraciones ;-;
Bujalance;Central-Caribe;Inmigraciones ;2;
Bujalance;América Sur;Inmigraciones ;3;
Bujalance;Asia;Inmigraciones ;-;
Bujalance;Próximo Oriente;Inmigraciones ;-;
Bujalance;Resto Asia;Inmigraciones ;-;
Bujalance;Oceanía;Inmigraciones ;-;
Bujalance;Apátridas;Inmigraciones ;-;
Bujalance;TOTAL;Inmigraciones ;35;
Cabra;Española;Inmigraciones ;25;
Cabra;Extranjera;Inmigraciones ;134;
Cabra;Europa;Inmigraciones ;11;
Cabra;UE27;Inmigraciones ;7;
Cabra;Resto de Europa;Inmigraciones ;4;
Cabra;África;Inmigraciones ;6;
Cabra;África Norte;Inmigraciones ;6;
Cabra;Sub-Sahara;Inmigraciones ;-;
Cabra;Resto África;Inmigraciones ;-;
Cabra;América;Inmigraciones ;109;
Cabra;América Norte;Inmigraciones ;-;
Cabra;Central-Caribe;Inmigraciones ;72;
Cabra;América Sur;Inmigraciones ;37;
Cabra;Asia;Inmigraciones ;8;
Cabra;Próximo Oriente;Inmigraciones ;-;
Cabra;Resto Asia;Inmigraciones ;8;
Cabra;Oceanía;Inmigraciones ;-;
Cabra;Apátridas;Inmigraciones ;-;
Cabra;TOTAL;Inmigraciones ;159;
Cañete de las Torres;Española;Inmigraciones ;3;
Cañete de las Torres;Extranjera;Inmigraciones ;19;
Cañete de las Torres;Europa;Inmigraciones ;3;
Cañete de las Torres;UE27;Inmigraciones ;3;
Cañete de las Torres;Resto de Europa;Inmigraciones ;-;
Cañete de las Torres;África;Inmigraciones ;7;
Cañete de las Torres;África Norte;Inmigraciones ;3;
Cañete de las Torres;Sub-Sahara;Inmigraciones ;-;
Cañete de las Torres;Resto África;Inmigraciones ;4;
Cañete de las Torres;América;Inmigraciones ;9;
Cañete de las Torres;América Norte;Inmigraciones ;-;
Cañete de las Torres;Central-Caribe;Inmigraciones ;3;
Cañete de las Torres;América Sur;Inmigraciones ;6;
Cañete de las Torres;Asia;Inmigraciones ;-;
Cañete de las Torres;Próximo Oriente;Inmigraciones ;-;
Cañete de las Torres;Resto Asia;Inmigraciones ;-;
Cañete de las Torres;Oceanía;Inmigraciones ;-;
Cañete de las Torres;Apátridas;Inmigraciones ;-;
Cañete de las Torres;TOTAL;Inmigraciones ;22;
Carcabuey;Española;Inmigraciones ;2;
Carcabuey;Extranjera;Inmigraciones ;35;
Carcabuey;Europa;Inmigraciones ;1;
Carcabuey;UE27;Inmigraciones ;1;
Carcabuey;Resto de Europa;Inmigraciones ;-;
Carcabuey;África;Inmigraciones ;3;
Carcabuey;África Norte;Inmigraciones ;3;
Carcabuey;Sub-Sahara;Inmigraciones ;-;
Carcabuey;Resto África;Inmigraciones ;-;
Carcabuey;América;Inmigraciones ;31;
Carcabuey;América Norte;Inmigraciones ;-;
Carcabuey;Central-Caribe;Inmigraciones ;3;
Carcabuey;América Sur;Inmigraciones ;28;
Carcabuey;Asia;Inmigraciones ;-;
Carcabuey;Próximo Oriente;Inmigraciones ;-;
Carcabuey;Resto Asia;Inmigraciones ;-;
Carcabuey;Oceanía;Inmigraciones ;-;
Carcabuey;Apátridas;Inmigraciones ;-;
Carcabuey;TOTAL;Inmigraciones ;37;
Cardeña;Española;Inmigraciones ;1;
Cardeña;Extranjera;Inmigraciones ;4;
Cardeña;Europa;Inmigraciones ;3;
Cardeña;UE27;Inmigraciones ;1;
Cardeña;Resto de Europa;Inmigraciones ;2;
Cardeña;África;Inmigraciones ;-;
Cardeña;África Norte;Inmigraciones ;-;
Cardeña;Sub-Sahara;Inmigraciones ;-;
Cardeña;Resto África;Inmigraciones ;-;
Cardeña;América;Inmigraciones ;1;
Cardeña;América Norte;Inmigraciones ;-;
Cardeña;Central-Caribe;Inmigraciones ;-;
Cardeña;América Sur;Inmigraciones ;1;
Cardeña;Asia;Inmigraciones ;-;
Cardeña;Próximo Oriente;Inmigraciones ;-;
Cardeña;Resto Asia;Inmigraciones ;-;
Cardeña;Oceanía;Inmigraciones ;-;
Cardeña;Apátridas;Inmigraciones ;-;
Cardeña;TOTAL;Inmigraciones ;5;
Castro del Río;Española;Inmigraciones ;4;
Castro del Río;Extranjera;Inmigraciones ;33;
Castro del Río;Europa;Inmigraciones ;15;
Castro del Río;UE27;Inmigraciones ;15;
Castro del Río;Resto de Europa;Inmigraciones ;-;
Castro del Río;África;Inmigraciones ;5;
Castro del Río;África Norte;Inmigraciones ;5;
Castro del Río;Sub-Sahara;Inmigraciones ;-;
Castro del Río;Resto África;Inmigraciones ;-;
Castro del Río;América;Inmigraciones ;13;
Castro del Río;América Norte;Inmigraciones ;-;
Castro del Río;Central-Caribe;Inmigraciones ;4;
Castro del Río;América Sur;Inmigraciones ;9;
Castro del Río;Asia;Inmigraciones ;-;
Castro del Río;Próximo Oriente;Inmigraciones ;-;
Castro del Río;Resto Asia;Inmigraciones ;-;
Castro del Río;Oceanía;Inmigraciones ;-;
Castro del Río;Apátridas;Inmigraciones ;-;
Castro del Río;TOTAL;Inmigraciones ;37;
Conquista;Española;Inmigraciones ;-;
Conquista;Extranjera;Inmigraciones ;1;
Conquista;Europa;Inmigraciones ;-;
Conquista;UE27;Inmigraciones ;-;
Conquista;Resto de Europa;Inmigraciones ;-;
Conquista;África;Inmigraciones ;-;
Conquista;África Norte;Inmigraciones ;-;
Conquista;Sub-Sahara;Inmigraciones ;-;
Conquista;Resto África;Inmigraciones ;-;
Conquista;América;Inmigraciones ;1;
Conquista;América Norte;Inmigraciones ;-;
Conquista;Central-Caribe;Inmigraciones ;1;
Conquista;América Sur;Inmigraciones ;-;
Conquista;Asia;Inmigraciones ;-;
Conquista;Próximo Oriente;Inmigraciones ;-;
Conquista;Resto Asia;Inmigraciones ;-;
Conquista;Oceanía;Inmigraciones ;-;
Conquista;Apátridas;Inmigraciones ;-;
Conquista;TOTAL;Inmigraciones ;1;
Córdoba (capital);Española;Inmigraciones ;434;
Córdoba (capital);Extranjera;Inmigraciones ;2507;
Córdoba (capital);Europa;Inmigraciones ;405;
Córdoba (capital);UE27;Inmigraciones ;192;
Córdoba (capital);Resto de Europa;Inmigraciones ;213;
Córdoba (capital);África;Inmigraciones ;310;
Córdoba (capital);África Norte;Inmigraciones ;203;
Córdoba (capital);Sub-Sahara;Inmigraciones ;26;
Córdoba (capital);Resto África;Inmigraciones ;81;
Córdoba (capital);América;Inmigraciones ;1643;
Córdoba (capital);América Norte;Inmigraciones ;32;
Córdoba (capital);Central-Caribe;Inmigraciones ;533;
Córdoba (capital);América Sur;Inmigraciones ;1078;
Córdoba (capital);Asia;Inmigraciones ;145;
Córdoba (capital);Próximo Oriente;Inmigraciones ;37;
Córdoba (capital);Resto Asia;Inmigraciones ;108;
Córdoba (capital);Oceanía;Inmigraciones ;4;
Córdoba (capital);Apátridas;Inmigraciones ;-;
Córdoba (capital);TOTAL;Inmigraciones ;2941;
Doña Mencía;Española;Inmigraciones ;3;
Doña Mencía;Extranjera;Inmigraciones ;11;
Doña Mencía;Europa;Inmigraciones ;-;
Doña Mencía;UE27;Inmigraciones ;-;
Doña Mencía;Resto de Europa;Inmigraciones ;-;
Doña Mencía;África;Inmigraciones ;2;
Doña Mencía;África Norte;Inmigraciones ;2;
Doña Mencía;Sub-Sahara;Inmigraciones ;-;
Doña Mencía;Resto África;Inmigraciones ;-;
Doña Mencía;América;Inmigraciones ;8;
Doña Mencía;América Norte;Inmigraciones ;-;
Doña Mencía;Central-Caribe;Inmigraciones ;3;
Doña Mencía;América Sur;Inmigraciones ;5;
Doña Mencía;Asia;Inmigraciones ;1;
Doña Mencía;Próximo Oriente;Inmigraciones ;-;
Doña Mencía;Resto Asia;Inmigraciones ;1;
Doña Mencía;Oceanía;Inmigraciones ;-;
Doña Mencía;Apátridas;Inmigraciones ;-;
Doña Mencía;TOTAL;Inmigraciones ;14;
Dos Torres;Española;Inmigraciones ;1;
Dos Torres;Extranjera;Inmigraciones ;10;
Dos Torres;Europa;Inmigraciones ;1;
Dos Torres;UE27;Inmigraciones ;1;
Dos Torres;Resto de Europa;Inmigraciones ;-;
Dos Torres;África;Inmigraciones ;7;
Dos Torres;África Norte;Inmigraciones ;6;
Dos Torres;Sub-Sahara;Inmigraciones ;1;
Dos Torres;Resto África;Inmigraciones ;-;
Dos Torres;América;Inmigraciones ;2;
Dos Torres;América Norte;Inmigraciones ;-;
Dos Torres;Central-Caribe;Inmigraciones ;-;
Dos Torres;América Sur;Inmigraciones ;2;
Dos Torres;Asia;Inmigraciones ;-;
Dos Torres;Próximo Oriente;Inmigraciones ;-;
Dos Torres;Resto Asia;Inmigraciones ;-;
Dos Torres;Oceanía;Inmigraciones ;-;
Dos Torres;Apátridas;Inmigraciones ;-;
Dos Torres;TOTAL;Inmigraciones ;11;
El Carpio;Española;Inmigraciones ;-;
El Carpio;Extranjera;Inmigraciones ;10;
El Carpio;Europa;Inmigraciones ;3;
El Carpio;UE27;Inmigraciones ;3;
El Carpio;Resto de Europa;Inmigraciones ;-;
El Carpio;África;Inmigraciones ;1;
El Carpio;África Norte;Inmigraciones ;1;
El Carpio;Sub-Sahara;Inmigraciones ;-;
El Carpio;Resto África;Inmigraciones ;-;
El Carpio;América;Inmigraciones ;5;
El Carpio;América Norte;Inmigraciones ;-;
El Carpio;Central-Caribe;Inmigraciones ;-;
El Carpio;América Sur;Inmigraciones ;5;
El Carpio;Asia;Inmigraciones ;1;
El Carpio;Próximo Oriente;Inmigraciones ;-;
El Carpio;Resto Asia;Inmigraciones ;1;
El Carpio;Oceanía;Inmigraciones ;-;
El Carpio;Apátridas;Inmigraciones ;-;
El Carpio;TOTAL;Inmigraciones ;10;
El Guijo;Española;Inmigraciones ;-;
El Guijo;Extranjera;Inmigraciones ;3;
El Guijo;Europa;Inmigraciones ;-;
El Guijo;UE27;Inmigraciones ;-;
El Guijo;Resto de Europa;Inmigraciones ;-;
El Guijo;África;Inmigraciones ;-;
El Guijo;África Norte;Inmigraciones ;-;
El Guijo;Sub-Sahara;Inmigraciones ;-;
El Guijo;Resto África;Inmigraciones ;-;
El Guijo;América;Inmigraciones ;3;
El Guijo;América Norte;Inmigraciones ;-;
El Guijo;Central-Caribe;Inmigraciones ;2;
El Guijo;América Sur;Inmigraciones ;1;
El Guijo;Asia;Inmigraciones ;-;
El Guijo;Próximo Oriente;Inmigraciones ;-;
El Guijo;Resto Asia;Inmigraciones ;-;
El Guijo;Oceanía;Inmigraciones ;-;
El Guijo;Apátridas;Inmigraciones ;-;
El Guijo;TOTAL;Inmigraciones ;3;
El Viso;Española;Inmigraciones ;2;
El Viso;Extranjera;Inmigraciones ;16;
El Viso;Europa;Inmigraciones ;-;
El Viso;UE27;Inmigraciones ;-;
El Viso;Resto de Europa;Inmigraciones ;-;
El Viso;África;Inmigraciones ;1;
El Viso;África Norte;Inmigraciones ;-;
El Viso;Sub-Sahara;Inmigraciones ;-;
El Viso;Resto África;Inmigraciones ;1;
El Viso;América;Inmigraciones ;15;
El Viso;América Norte;Inmigraciones ;-;
El Viso;Central-Caribe;Inmigraciones ;11;
El Viso;América Sur;Inmigraciones ;4;
El Viso;Asia;Inmigraciones ;-;
El Viso;Próximo Oriente;Inmigraciones ;-;
El Viso;Resto Asia;Inmigraciones ;-;
El Viso;Oceanía;Inmigraciones ;-;
El Viso;Apátridas;Inmigraciones ;-;
El Viso;TOTAL;Inmigraciones ;18;
Encinas Reales;Española;Inmigraciones ;2;
Encinas Reales;Extranjera;Inmigraciones ;7;
Encinas Reales;Europa;Inmigraciones ;2;
Encinas Reales;UE27;Inmigraciones ;2;
Encinas Reales;Resto de Europa;Inmigraciones ;-;
Encinas Reales;África;Inmigraciones ;1;
Encinas Reales;África Norte;Inmigraciones ;1;
Encinas Reales;Sub-Sahara;Inmigraciones ;-;
Encinas Reales;Resto África;Inmigraciones ;-;
Encinas Reales;América;Inmigraciones ;4;
Encinas Reales;América Norte;Inmigraciones ;-;
Encinas Reales;Central-Caribe;Inmigraciones ;4;
Encinas Reales;América Sur;Inmigraciones ;-;
Encinas Reales;Asia;Inmigraciones ;-;
Encinas Reales;Próximo Oriente;Inmigraciones ;-;
Encinas Reales;Resto Asia;Inmigraciones ;-;
Encinas Reales;Oceanía;Inmigraciones ;-;
Encinas Reales;Apátridas;Inmigraciones ;-;
Encinas Reales;TOTAL;Inmigraciones ;9;
Espejo;Española;Inmigraciones ;2;
Espejo;Extranjera;Inmigraciones ;21;
Espejo;Europa;Inmigraciones ;3;
Espejo;UE27;Inmigraciones ;2;
Espejo;Resto de Europa;Inmigraciones ;1;
Espejo;África;Inmigraciones ;-;
Espejo;África Norte;Inmigraciones ;-;
Espejo;Sub-Sahara;Inmigraciones ;-;
Espejo;Resto África;Inmigraciones ;-;
Espejo;América;Inmigraciones ;18;
Espejo;América Norte;Inmigraciones ;-;
Espejo;Central-Caribe;Inmigraciones ;2;
Espejo;América Sur;Inmigraciones ;16;
Espejo;Asia;Inmigraciones ;-;
Espejo;Próximo Oriente;Inmigraciones ;-;
