Territorio;Tipo de instalación;Medida;Valor;
Adra;Pistas de esquí;Espacios deportivos;-;
Adra;Campos de tiro;Espacios deportivos;-;
Adra;Otros espacios singulares;Espacios deportivos;1;
Adra;Áreas de actividad acuática;Espacios deportivos;1;
Adra;Áreas de actividad aérea;Espacios deportivos;-;
Adra;Áreas de actividad terrestre;Espacios deportivos;-;
Adra;Total;Espacios deportivos;55;
Albanchez;Campos de fútbol;Espacios deportivos;-;
Albanchez;Espacios pequeños y no reglamentarios;Espacios deportivos;1;
Albanchez;Frontones;Espacios deportivos;-;
Albanchez;Otros campos;Espacios deportivos;-;
Albanchez;Pabellones con frontón y frontones en recinto cerrado;Espacios deportivos;-;
Albanchez;Polideportivos;Espacios deportivos;-;
Albanchez;Piscinas aire libre;Espacios deportivos;3;
Albanchez;Piscinas cubiertas;Espacios deportivos;-;
Albanchez;Pistas de atletismo;Espacios deportivos;-;
Albanchez;Pistas de padel;Espacios deportivos;1;
Albanchez;Pistas de petanca;Espacios deportivos;-;
Albanchez;Pistas de squash;Espacios deportivos;-;
Albanchez;Pistas de tenis;Espacios deportivos;-;
Albanchez;Pistas polideportivas;Espacios deportivos;1;
Albanchez;Salas;Espacios deportivos;-;
Albanchez;Velódromos;Espacios deportivos;-;
Albanchez;Otros espacios convencionales;Espacios deportivos;-;
Albanchez;Carriles de bicicleta;Espacios deportivos;-;
Albanchez;Circuitos de velocidad;Espacios deportivos;-;
Albanchez;Campos de golf;Espacios deportivos;-;
Albanchez;Pistas de hípica;Espacios deportivos;-;
Albanchez;Juegos tradicionales y populares;Espacios deportivos;-;
Albanchez;Circuitos de karting;Espacios deportivos;-;
Albanchez;Circuitos de motocross;Espacios deportivos;-;
Albanchez;Rocódromos;Espacios deportivos;-;
Albanchez;Pistas de esquí;Espacios deportivos;-;
Albanchez;Campos de tiro;Espacios deportivos;-;
Albanchez;Otros espacios singulares;Espacios deportivos;-;
Albanchez;Áreas de actividad acuática;Espacios deportivos;-;
Albanchez;Áreas de actividad aérea;Espacios deportivos;-;
Albanchez;Áreas de actividad terrestre;Espacios deportivos;-;
Albanchez;Total;Espacios deportivos;6;
Alboloduy;Campos de fútbol;Espacios deportivos;-;
