Territorio;Tipo de instalación;Medida;Valor;
Villaviciosa de Córdoba;Espacios pequeños y no reglamentarios;Espacios deportivos;1;
Villaviciosa de Córdoba;Frontones;Espacios deportivos;-;
Villaviciosa de Córdoba;Otros campos;Espacios deportivos;1;
Villaviciosa de Córdoba;Pabellones con frontón y frontones en recinto cerrado;Espacios deportivos;-;
Villaviciosa de Córdoba;Polideportivos;Espacios deportivos;1;
Villaviciosa de Córdoba;Piscinas aire libre;Espacios deportivos;2;
Villaviciosa de Córdoba;Piscinas cubiertas;Espacios deportivos;-;
Villaviciosa de Córdoba;Pistas de atletismo;Espacios deportivos;-;
Villaviciosa de Córdoba;Pistas de padel;Espacios deportivos;-;
Villaviciosa de Córdoba;Pistas de petanca;Espacios deportivos;-;
Villaviciosa de Córdoba;Pistas de squash;Espacios deportivos;-;
Villaviciosa de Córdoba;Pistas de tenis;Espacios deportivos;-;
Villaviciosa de Córdoba;Pistas polideportivas;Espacios deportivos;6;
Villaviciosa de Córdoba;Salas;Espacios deportivos;1;
Villaviciosa de Córdoba;Velódromos;Espacios deportivos;-;
Villaviciosa de Córdoba;Otros espacios convencionales;Espacios deportivos;-;
Villaviciosa de Córdoba;Carriles de bicicleta;Espacios deportivos;-;
Villaviciosa de Córdoba;Circuitos de velocidad;Espacios deportivos;-;
Villaviciosa de Córdoba;Campos de golf;Espacios deportivos;-;
Villaviciosa de Córdoba;Pistas de hípica;Espacios deportivos;-;
Villaviciosa de Córdoba;Juegos tradicionales y populares;Espacios deportivos;-;
Villaviciosa de Córdoba;Circuitos de karting;Espacios deportivos;-;
Villaviciosa de Córdoba;Circuitos de motocross;Espacios deportivos;-;
Villaviciosa de Córdoba;Rocódromos;Espacios deportivos;-;
Villaviciosa de Córdoba;Pistas de esquí;Espacios deportivos;-;
Villaviciosa de Córdoba;Campos de tiro;Espacios deportivos;-;
Villaviciosa de Córdoba;Otros espacios singulares;Espacios deportivos;-;
Villaviciosa de Córdoba;Áreas de actividad acuática;Espacios deportivos;-;
Villaviciosa de Córdoba;Áreas de actividad aérea;Espacios deportivos;-;
Villaviciosa de Córdoba;Áreas de actividad terrestre;Espacios deportivos;5;
Villaviciosa de Córdoba;Total;Espacios deportivos;17;
Zuheros;Campos de fútbol;Espacios deportivos;-;
Zuheros;Espacios pequeños y no reglamentarios;Espacios deportivos;-;
Zuheros;Frontones;Espacios deportivos;-;
Zuheros;Otros campos;Espacios deportivos;-;
Zuheros;Pabellones con frontón y frontones en recinto cerrado;Espacios deportivos;-;
Zuheros;Polideportivos;Espacios deportivos;-;
Zuheros;Piscinas aire libre;Espacios deportivos;1;
Zuheros;Piscinas cubiertas;Espacios deportivos;-;
Zuheros;Pistas de atletismo;Espacios deportivos;-;
Zuheros;Pistas de padel;Espacios deportivos;-;
Zuheros;Pistas de petanca;Espacios deportivos;-;
Zuheros;Pistas de squash;Espacios deportivos;-;
Zuheros;Pistas de tenis;Espacios deportivos;-;
Zuheros;Pistas polideportivas;Espacios deportivos;3;
Zuheros;Salas;Espacios deportivos;1;
Zuheros;Velódromos;Espacios deportivos;-;
Zuheros;Otros espacios convencionales;Espacios deportivos;-;
Zuheros;Carriles de bicicleta;Espacios deportivos;-;
Zuheros;Circuitos de velocidad;Espacios deportivos;-;
Zuheros;Campos de golf;Espacios deportivos;-;
Zuheros;Pistas de hípica;Espacios deportivos;-;
Zuheros;Juegos tradicionales y populares;Espacios deportivos;-;
Zuheros;Circuitos de karting;Espacios deportivos;-;
Zuheros;Circuitos de motocross;Espacios deportivos;-;
Zuheros;Rocódromos;Espacios deportivos;1;
Zuheros;Pistas de esquí;Espacios deportivos;-;
Zuheros;Campos de tiro;Espacios deportivos;-;
Zuheros;Otros espacios singulares;Espacios deportivos;-;
Zuheros;Áreas de actividad acuática;Espacios deportivos;-;
Zuheros;Áreas de actividad aérea;Espacios deportivos;-;
Zuheros;Áreas de actividad terrestre;Espacios deportivos;2;
Zuheros;Total;Espacios deportivos;8;
Granada;Campos de fútbol;Espacios deportivos;126;
Granada;Espacios pequeños y no reglamentarios;Espacios deportivos;368;
Granada;Frontones;Espacios deportivos;11;
Granada;Otros campos;Espacios deportivos;112;
Granada;Pabellones con frontón y frontones en recinto cerrado;Espacios deportivos;1;
Granada;Polideportivos;Espacios deportivos;59;
Granada;Piscinas aire libre;Espacios deportivos;434;
Granada;Piscinas cubiertas;Espacios deportivos;38;
Granada;Pistas de atletismo;Espacios deportivos;16;
Granada;Pistas de padel;Espacios deportivos;26;
Granada;Pistas de petanca;Espacios deportivos;124;
Granada;Pistas de squash;Espacios deportivos;8;
Granada;Pistas de tenis;Espacios deportivos;144;
Granada;Pistas polideportivas;Espacios deportivos;979;
Granada;Salas;Espacios deportivos;439;
Granada;Velódromos;Espacios deportivos;2;
Granada;Otros espacios convencionales;Espacios deportivos;15;
Granada;Carriles de bicicleta;Espacios deportivos;3;
Granada;Circuitos de velocidad;Espacios deportivos;2;
Granada;Campos de golf;Espacios deportivos;2;
Granada;Pistas de hípica;Espacios deportivos;-;
Granada;Juegos tradicionales y populares;Espacios deportivos;-;
Granada;Circuitos de karting;Espacios deportivos;1;
Granada;Circuitos de motocross;Espacios deportivos;6;
Granada;Rocódromos;Espacios deportivos;7;
Granada;Pistas de esquí;Espacios deportivos;78;
Granada;Campos de tiro;Espacios deportivos;31;
Granada;Otros espacios singulares;Espacios deportivos;11;
Granada;Áreas de actividad acuática;Espacios deportivos;11;
Granada;Áreas de actividad aérea;Espacios deportivos;3;
Granada;Áreas de actividad terrestre;Espacios deportivos;157;
Granada;Total;Espacios deportivos;3214;
Agrón;Campos de fútbol;Espacios deportivos;1;
Agrón;Espacios pequeños y no reglamentarios;Espacios deportivos;-;
Agrón;Frontones;Espacios deportivos;-;
Agrón;Otros campos;Espacios deportivos;-;
Agrón;Pabellones con frontón y frontones en recinto cerrado;Espacios deportivos;-;
Agrón;Polideportivos;Espacios deportivos;-;
Agrón;Piscinas aire libre;Espacios deportivos;-;
Agrón;Piscinas cubiertas;Espacios deportivos;-;
Agrón;Pistas de atletismo;Espacios deportivos;-;
Agrón;Pistas de padel;Espacios deportivos;-;
Agrón;Pistas de petanca;Espacios deportivos;-;
Agrón;Pistas de squash;Espacios deportivos;-;
Agrón;Pistas de tenis;Espacios deportivos;-;
Agrón;Pistas polideportivas;Espacios deportivos;1;
Agrón;Salas;Espacios deportivos;1;
Agrón;Velódromos;Espacios deportivos;-;
Agrón;Otros espacios convencionales;Espacios deportivos;-;
Agrón;Carriles de bicicleta;Espacios deportivos;-;
Agrón;Circuitos de velocidad;Espacios deportivos;-;
Agrón;Campos de golf;Espacios deportivos;-;
Agrón;Pistas de hípica;Espacios deportivos;-;
Agrón;Juegos tradicionales y populares;Espacios deportivos;-;
Agrón;Circuitos de karting;Espacios deportivos;-;
Agrón;Circuitos de motocross;Espacios deportivos;-;
Agrón;Rocódromos;Espacios deportivos;-;
Agrón;Pistas de esquí;Espacios deportivos;-;
Agrón;Campos de tiro;Espacios deportivos;-;
Agrón;Otros espacios singulares;Espacios deportivos;-;
Agrón;Áreas de actividad acuática;Espacios deportivos;-;
Agrón;Áreas de actividad aérea;Espacios deportivos;-;
Agrón;Áreas de actividad terrestre;Espacios deportivos;-;
Agrón;Total;Espacios deportivos;3;
Alamedilla;Campos de fútbol;Espacios deportivos;-;
Alamedilla;Espacios pequeños y no reglamentarios;Espacios deportivos;-;
Alamedilla;Frontones;Espacios deportivos;-;
Alamedilla;Otros campos;Espacios deportivos;1;
Alamedilla;Pabellones con frontón y frontones en recinto cerrado;Espacios deportivos;-;
Alamedilla;Polideportivos;Espacios deportivos;-;
Alamedilla;Piscinas aire libre;Espacios deportivos;-;
Alamedilla;Piscinas cubiertas;Espacios deportivos;-;
Alamedilla;Pistas de atletismo;Espacios deportivos;-;
Alamedilla;Pistas de padel;Espacios deportivos;-;
Alamedilla;Pistas de petanca;Espacios deportivos;-;
Alamedilla;Pistas de squash;Espacios deportivos;-;
Alamedilla;Pistas de tenis;Espacios deportivos;-;
Alamedilla;Pistas polideportivas;Espacios deportivos;2;
Alamedilla;Salas;Espacios deportivos;-;
Alamedilla;Velódromos;Espacios deportivos;-;
Alamedilla;Otros espacios convencionales;Espacios deportivos;-;
Alamedilla;Carriles de bicicleta;Espacios deportivos;-;
Alamedilla;Circuitos de velocidad;Espacios deportivos;-;
Alamedilla;Campos de golf;Espacios deportivos;-;
Alamedilla;Pistas de hípica;Espacios deportivos;-;
Alamedilla;Juegos tradicionales y populares;Espacios deportivos;-;
Alamedilla;Circuitos de karting;Espacios deportivos;-;
Alamedilla;Circuitos de motocross;Espacios deportivos;-;
Alamedilla;Rocódromos;Espacios deportivos;-;
Alamedilla;Pistas de esquí;Espacios deportivos;-;
Alamedilla;Campos de tiro;Espacios deportivos;-;
Alamedilla;Otros espacios singulares;Espacios deportivos;-;
Alamedilla;Áreas de actividad acuática;Espacios deportivos;-;
Alamedilla;Áreas de actividad aérea;Espacios deportivos;-;
Alamedilla;Áreas de actividad terrestre;Espacios deportivos;-;
Alamedilla;Total;Espacios deportivos;3;
Albolote;Campos de fútbol;Espacios deportivos;8;
Albolote;Espacios pequeños y no reglamentarios;Espacios deportivos;4;
Albolote;Frontones;Espacios deportivos;-;
Albolote;Otros campos;Espacios deportivos;1;
Albolote;Pabellones con frontón y frontones en recinto cerrado;Espacios deportivos;-;
Albolote;Polideportivos;Espacios deportivos;2;
Albolote;Piscinas aire libre;Espacios deportivos;11;
Albolote;Piscinas cubiertas;Espacios deportivos;-;
Albolote;Pistas de atletismo;Espacios deportivos;1;
Albolote;Pistas de padel;Espacios deportivos;8;
Albolote;Pistas de petanca;Espacios deportivos;8;
Albolote;Pistas de squash;Espacios deportivos;1;
Albolote;Pistas de tenis;Espacios deportivos;18;
Albolote;Pistas polideportivas;Espacios deportivos;14;
Albolote;Salas;Espacios deportivos;8;
Albolote;Velódromos;Espacios deportivos;-;
Albolote;Otros espacios convencionales;Espacios deportivos;-;
Albolote;Carriles de bicicleta;Espacios deportivos;-;
Albolote;Circuitos de velocidad;Espacios deportivos;-;
Albolote;Campos de golf;Espacios deportivos;-;
Albolote;Pistas de hípica;Espacios deportivos;-;
Albolote;Juegos tradicionales y populares;Espacios deportivos;-;
Albolote;Circuitos de karting;Espacios deportivos;-;
Albolote;Circuitos de motocross;Espacios deportivos;-;
Albolote;Rocódromos;Espacios deportivos;-;
Albolote;Pistas de esquí;Espacios deportivos;-;
Albolote;Campos de tiro;Espacios deportivos;1;
Albolote;Otros espacios singulares;Espacios deportivos;-;
Albolote;Áreas de actividad acuática;Espacios deportivos;2;
Albolote;Áreas de actividad aérea;Espacios deportivos;-;
Albolote;Áreas de actividad terrestre;Espacios deportivos;-;
Albolote;Total;Espacios deportivos;87;
Albondón;Campos de fútbol;Espacios deportivos;1;
Albondón;Espacios pequeños y no reglamentarios;Espacios deportivos;1;
Albondón;Frontones;Espacios deportivos;-;
Albondón;Otros campos;Espacios deportivos;-;
Albondón;Pabellones con frontón y frontones en recinto cerrado;Espacios deportivos;-;
Albondón;Polideportivos;Espacios deportivos;-;
Albondón;Piscinas aire libre;Espacios deportivos;2;
Albondón;Piscinas cubiertas;Espacios deportivos;-;
Albondón;Pistas de atletismo;Espacios deportivos;-;
Albondón;Pistas de padel;Espacios deportivos;-;
Albondón;Pistas de petanca;Espacios deportivos;-;
Albondón;Pistas de squash;Espacios deportivos;-;
Albondón;Pistas de tenis;Espacios deportivos;-;
Albondón;Pistas polideportivas;Espacios deportivos;1;
Albondón;Salas;Espacios deportivos;-;
Albondón;Velódromos;Espacios deportivos;-;
Albondón;Otros espacios convencionales;Espacios deportivos;-;
Albondón;Carriles de bicicleta;Espacios deportivos;-;
Albondón;Circuitos de velocidad;Espacios deportivos;-;
Albondón;Campos de golf;Espacios deportivos;-;
Albondón;Pistas de hípica;Espacios deportivos;-;
Albondón;Juegos tradicionales y populares;Espacios deportivos;-;
Albondón;Circuitos de karting;Espacios deportivos;-;
Albondón;Circuitos de motocross;Espacios deportivos;-;
Albondón;Rocódromos;Espacios deportivos;-;
Albondón;Pistas de esquí;Espacios deportivos;-;
Albondón;Campos de tiro;Espacios deportivos;-;
Albondón;Otros espacios singulares;Espacios deportivos;-;
Albondón;Áreas de actividad acuática;Espacios deportivos;-;
Albondón;Áreas de actividad aérea;Espacios deportivos;-;
Albondón;Áreas de actividad terrestre;Espacios deportivos;-;
Albondón;Total;Espacios deportivos;5;
Albuñán;Campos de fútbol;Espacios deportivos;-;
Albuñán;Espacios pequeños y no reglamentarios;Espacios deportivos;1;
Albuñán;Frontones;Espacios deportivos;-;
Albuñán;Otros campos;Espacios deportivos;-;
Albuñán;Pabellones con frontón y frontones en recinto cerrado;Espacios deportivos;-;
Albuñán;Polideportivos;Espacios deportivos;-;
Albuñán;Piscinas aire libre;Espacios deportivos;1;
Albuñán;Piscinas cubiertas;Espacios deportivos;-;
Albuñán;Pistas de atletismo;Espacios deportivos;-;
Albuñán;Pistas de padel;Espacios deportivos;-;
Albuñán;Pistas de petanca;Espacios deportivos;-;
Albuñán;Pistas de squash;Espacios deportivos;-;
Albuñán;Pistas de tenis;Espacios deportivos;-;
Albuñán;Pistas polideportivas;Espacios deportivos;1;
Albuñán;Salas;Espacios deportivos;-;
Albuñán;Velódromos;Espacios deportivos;-;
Albuñán;Otros espacios convencionales;Espacios deportivos;-;
Albuñán;Carriles de bicicleta;Espacios deportivos;-;
Albuñán;Circuitos de velocidad;Espacios deportivos;-;
Albuñán;Campos de golf;Espacios deportivos;-;
Albuñán;Pistas de hípica;Espacios deportivos;-;
Albuñán;Juegos tradicionales y populares;Espacios deportivos;-;
Albuñán;Circuitos de karting;Espacios deportivos;-;
Albuñán;Circuitos de motocross;Espacios deportivos;-;
Albuñán;Rocódromos;Espacios deportivos;-;
Albuñán;Pistas de esquí;Espacios deportivos;-;
Albuñán;Campos de tiro;Espacios deportivos;-;
Albuñán;Otros espacios singulares;Espacios deportivos;-;
Albuñán;Áreas de actividad acuática;Espacios deportivos;-;
Albuñán;Áreas de actividad aérea;Espacios deportivos;-;
Albuñán;Áreas de actividad terrestre;Espacios deportivos;-;
Albuñán;Total;Espacios deportivos;3;
Albuñol;Campos de fútbol;Espacios deportivos;1;
Albuñol;Espacios pequeños y no reglamentarios;Espacios deportivos;1;
Albuñol;Frontones;Espacios deportivos;-;
Albuñol;Otros campos;Espacios deportivos;-;
Albuñol;Pabellones con frontón y frontones en recinto cerrado;Espacios deportivos;-;
Albuñol;Polideportivos;Espacios deportivos;1;
Albuñol;Piscinas aire libre;Espacios deportivos;-;
Albuñol;Piscinas cubiertas;Espacios deportivos;-;
Albuñol;Pistas de atletismo;Espacios deportivos;-;
Albuñol;Pistas de padel;Espacios deportivos;-;
Albuñol;Pistas de petanca;Espacios deportivos;-;
Albuñol;Pistas de squash;Espacios deportivos;-;
Albuñol;Pistas de tenis;Espacios deportivos;-;
Albuñol;Pistas polideportivas;Espacios deportivos;5;
Albuñol;Salas;Espacios deportivos;3;
Albuñol;Velódromos;Espacios deportivos;-;
Albuñol;Otros espacios convencionales;Espacios deportivos;-;
Albuñol;Carriles de bicicleta;Espacios deportivos;-;
Albuñol;Circuitos de velocidad;Espacios deportivos;-;
Albuñol;Campos de golf;Espacios deportivos;-;
Albuñol;Pistas de hípica;Espacios deportivos;-;
Albuñol;Juegos tradicionales y populares;Espacios deportivos;-;
Albuñol;Circuitos de karting;Espacios deportivos;-;
Albuñol;Circuitos de motocross;Espacios deportivos;-;
Albuñol;Rocódromos;Espacios deportivos;-;
Albuñol;Pistas de esquí;Espacios deportivos;-;
Albuñol;Campos de tiro;Espacios deportivos;-;
Albuñol;Otros espacios singulares;Espacios deportivos;-;
Albuñol;Áreas de actividad acuática;Espacios deportivos;-;
Albuñol;Áreas de actividad aérea;Espacios deportivos;-;
Albuñol;Áreas de actividad terrestre;Espacios deportivos;-;
Albuñol;Total;Espacios deportivos;11;
Albuñuelas;Campos de fútbol;Espacios deportivos;-;
Albuñuelas;Espacios pequeños y no reglamentarios;Espacios deportivos;-;
Albuñuelas;Frontones;Espacios deportivos;-;
Albuñuelas;Otros campos;Espacios deportivos;-;
Albuñuelas;Pabellones con frontón y frontones en recinto cerrado;Espacios deportivos;-;
Albuñuelas;Polideportivos;Espacios deportivos;-;
Albuñuelas;Piscinas aire libre;Espacios deportivos;-;
Albuñuelas;Piscinas cubiertas;Espacios deportivos;-;
Albuñuelas;Pistas de atletismo;Espacios deportivos;-;
Albuñuelas;Pistas de padel;Espacios deportivos;-;
Albuñuelas;Pistas de petanca;Espacios deportivos;-;
Albuñuelas;Pistas de squash;Espacios deportivos;-;
Albuñuelas;Pistas de tenis;Espacios deportivos;-;
Albuñuelas;Pistas polideportivas;Espacios deportivos;1;
Albuñuelas;Salas;Espacios deportivos;2;
Albuñuelas;Velódromos;Espacios deportivos;-;
Albuñuelas;Otros espacios convencionales;Espacios deportivos;-;
Albuñuelas;Carriles de bicicleta;Espacios deportivos;-;
Albuñuelas;Circuitos de velocidad;Espacios deportivos;-;
Albuñuelas;Campos de golf;Espacios deportivos;-;
Albuñuelas;Pistas de hípica;Espacios deportivos;-;
Albuñuelas;Juegos tradicionales y populares;Espacios deportivos;-;
Albuñuelas;Circuitos de karting;Espacios deportivos;-;
Albuñuelas;Circuitos de motocross;Espacios deportivos;-;
Albuñuelas;Rocódromos;Espacios deportivos;-;
Albuñuelas;Pistas de esquí;Espacios deportivos;-;
Albuñuelas;Campos de tiro;Espacios deportivos;-;
Albuñuelas;Otros espacios singulares;Espacios deportivos;-;
Albuñuelas;Áreas de actividad acuática;Espacios deportivos;-;
Albuñuelas;Áreas de actividad aérea;Espacios deportivos;-;
Albuñuelas;Áreas de actividad terrestre;Espacios deportivos;1;
Albuñuelas;Total;Espacios deportivos;4;
Aldeire;Campos de fútbol;Espacios deportivos;-;
Aldeire;Espacios pequeños y no reglamentarios;Espacios deportivos;2;
Aldeire;Frontones;Espacios deportivos;1;
Aldeire;Otros campos;Espacios deportivos;1;
Aldeire;Pabellones con frontón y frontones en recinto cerrado;Espacios deportivos;-;
Aldeire;Polideportivos;Espacios deportivos;-;
Aldeire;Piscinas aire libre;Espacios deportivos;-;
Aldeire;Piscinas cubiertas;Espacios deportivos;-;
Aldeire;Pistas de atletismo;Espacios deportivos;-;
Aldeire;Pistas de padel;Espacios deportivos;-;
Aldeire;Pistas de petanca;Espacios deportivos;-;
Aldeire;Pistas de squash;Espacios deportivos;-;
Aldeire;Pistas de tenis;Espacios deportivos;-;
Aldeire;Pistas polideportivas;Espacios deportivos;-;
Aldeire;Salas;Espacios deportivos;-;
Aldeire;Velódromos;Espacios deportivos;-;
Aldeire;Otros espacios convencionales;Espacios deportivos;-;
Aldeire;Carriles de bicicleta;Espacios deportivos;-;
Aldeire;Circuitos de velocidad;Espacios deportivos;-;
Aldeire;Campos de golf;Espacios deportivos;-;
Aldeire;Pistas de hípica;Espacios deportivos;-;
Aldeire;Juegos tradicionales y populares;Espacios deportivos;-;
Aldeire;Circuitos de karting;Espacios deportivos;-;
Aldeire;Circuitos de motocross;Espacios deportivos;-;
Aldeire;Rocódromos;Espacios deportivos;-;
Aldeire;Pistas de esquí;Espacios deportivos;-;
Aldeire;Campos de tiro;Espacios deportivos;-;
Aldeire;Otros espacios singulares;Espacios deportivos;-;
Aldeire;Áreas de actividad acuática;Espacios deportivos;-;
Aldeire;Áreas de actividad aérea;Espacios deportivos;-;
Aldeire;Áreas de actividad terrestre;Espacios deportivos;4;
Aldeire;Total;Espacios deportivos;8;
Alfacar;Campos de fútbol;Espacios deportivos;1;
Alfacar;Espacios pequeños y no reglamentarios;Espacios deportivos;3;
Alfacar;Frontones;Espacios deportivos;-;
Alfacar;Otros campos;Espacios deportivos;3;
Alfacar;Pabellones con frontón y frontones en recinto cerrado;Espacios deportivos;-;
Alfacar;Polideportivos;Espacios deportivos;-;
Alfacar;Piscinas aire libre;Espacios deportivos;8;
Alfacar;Piscinas cubiertas;Espacios deportivos;-;
Alfacar;Pistas de atletismo;Espacios deportivos;-;
Alfacar;Pistas de padel;Espacios deportivos;-;
Alfacar;Pistas de petanca;Espacios deportivos;1;
Alfacar;Pistas de squash;Espacios deportivos;-;
Alfacar;Pistas de tenis;Espacios deportivos;2;
Alfacar;Pistas polideportivas;Espacios deportivos;15;
Alfacar;Salas;Espacios deportivos;4;
Alfacar;Velódromos;Espacios deportivos;-;
Alfacar;Otros espacios convencionales;Espacios deportivos;-;
Alfacar;Carriles de bicicleta;Espacios deportivos;-;
Alfacar;Circuitos de velocidad;Espacios deportivos;-;
Alfacar;Campos de golf;Espacios deportivos;-;
Alfacar;Pistas de hípica;Espacios deportivos;-;
Alfacar;Juegos tradicionales y populares;Espacios deportivos;-;
Alfacar;Circuitos de karting;Espacios deportivos;-;
Alfacar;Circuitos de motocross;Espacios deportivos;-;
Alfacar;Rocódromos;Espacios deportivos;-;
Alfacar;Pistas de esquí;Espacios deportivos;-;
Alfacar;Campos de tiro;Espacios deportivos;1;
Alfacar;Otros espacios singulares;Espacios deportivos;-;
Alfacar;Áreas de actividad acuática;Espacios deportivos;-;
Alfacar;Áreas de actividad aérea;Espacios deportivos;-;
Alfacar;Áreas de actividad terrestre;Espacios deportivos;-;
Alfacar;Total;Espacios deportivos;38;
Algarinejo;Campos de fútbol;Espacios deportivos;1;
Algarinejo;Espacios pequeños y no reglamentarios;Espacios deportivos;1;
Algarinejo;Frontones;Espacios deportivos;-;
Algarinejo;Otros campos;Espacios deportivos;-;
Algarinejo;Pabellones con frontón y frontones en recinto cerrado;Espacios deportivos;-;
Algarinejo;Polideportivos;Espacios deportivos;1;
Algarinejo;Piscinas aire libre;Espacios deportivos;4;
Algarinejo;Piscinas cubiertas;Espacios deportivos;-;
Algarinejo;Pistas de atletismo;Espacios deportivos;-;
Algarinejo;Pistas de padel;Espacios deportivos;-;
Algarinejo;Pistas de petanca;Espacios deportivos;-;
Algarinejo;Pistas de squash;Espacios deportivos;-;
Algarinejo;Pistas de tenis;Espacios deportivos;-;
Algarinejo;Pistas polideportivas;Espacios deportivos;3;
Algarinejo;Salas;Espacios deportivos;-;
Algarinejo;Velódromos;Espacios deportivos;-;
Algarinejo;Otros espacios convencionales;Espacios deportivos;-;
Algarinejo;Carriles de bicicleta;Espacios deportivos;-;
Algarinejo;Circuitos de velocidad;Espacios deportivos;-;
Algarinejo;Campos de golf;Espacios deportivos;-;
Algarinejo;Pistas de hípica;Espacios deportivos;-;
Algarinejo;Juegos tradicionales y populares;Espacios deportivos;-;
Algarinejo;Circuitos de karting;Espacios deportivos;-;
Algarinejo;Circuitos de motocross;Espacios deportivos;-;
Algarinejo;Rocódromos;Espacios deportivos;-;
Algarinejo;Pistas de esquí;Espacios deportivos;-;
Algarinejo;Campos de tiro;Espacios deportivos;-;
Algarinejo;Otros espacios singulares;Espacios deportivos;-;
Algarinejo;Áreas de actividad acuática;Espacios deportivos;-;
Algarinejo;Áreas de actividad aérea;Espacios deportivos;-;
Algarinejo;Áreas de actividad terrestre;Espacios deportivos;-;
Algarinejo;Total;Espacios deportivos;10;
Alhama de Granada;Campos de fútbol;Espacios deportivos;-;
Alhama de Granada;Espacios pequeños y no reglamentarios;Espacios deportivos;2;
Alhama de Granada;Frontones;Espacios deportivos;-;
Alhama de Granada;Otros campos;Espacios deportivos;1;
Alhama de Granada;Pabellones con frontón y frontones en recinto cerrado;Espacios deportivos;-;
Alhama de Granada;Polideportivos;Espacios deportivos;1;
Alhama de Granada;Piscinas aire libre;Espacios deportivos;7;
Alhama de Granada;Piscinas cubiertas;Espacios deportivos;-;
Alhama de Granada;Pistas de atletismo;Espacios deportivos;-;
Alhama de Granada;Pistas de padel;Espacios deportivos;-;
Alhama de Granada;Pistas de petanca;Espacios deportivos;-;
Alhama de Granada;Pistas de squash;Espacios deportivos;-;
Alhama de Granada;Pistas de tenis;Espacios deportivos;-;
Alhama de Granada;Pistas polideportivas;Espacios deportivos;5;
Alhama de Granada;Salas;Espacios deportivos;2;
Alhama de Granada;Velódromos;Espacios deportivos;-;
Alhama de Granada;Otros espacios convencionales;Espacios deportivos;1;
Alhama de Granada;Carriles de bicicleta;Espacios deportivos;-;
Alhama de Granada;Circuitos de velocidad;Espacios deportivos;-;
Alhama de Granada;Campos de golf;Espacios deportivos;-;
Alhama de Granada;Pistas de hípica;Espacios deportivos;-;
Alhama de Granada;Juegos tradicionales y populares;Espacios deportivos;-;
Alhama de Granada;Circuitos de karting;Espacios deportivos;-;
Alhama de Granada;Circuitos de motocross;Espacios deportivos;-;
Alhama de Granada;Rocódromos;Espacios deportivos;-;
Alhama de Granada;Pistas de esquí;Espacios deportivos;-;
Alhama de Granada;Campos de tiro;Espacios deportivos;-;
Alhama de Granada;Otros espacios singulares;Espacios deportivos;-;
Alhama de Granada;Áreas de actividad acuática;Espacios deportivos;-;
Alhama de Granada;Áreas de actividad aérea;Espacios deportivos;-;
Alhama de Granada;Áreas de actividad terrestre;Espacios deportivos;1;
Alhama de Granada;Total;Espacios deportivos;20;
Alhendín;Campos de fútbol;Espacios deportivos;1;
Alhendín;Espacios pequeños y no reglamentarios;Espacios deportivos;-;
Alhendín;Frontones;Espacios deportivos;-;
Alhendín;Otros campos;Espacios deportivos;-;
Alhendín;Pabellones con frontón y frontones en recinto cerrado;Espacios deportivos;-;
Alhendín;Polideportivos;Espacios deportivos;-;
Alhendín;Piscinas aire libre;Espacios deportivos;-;
Alhendín;Piscinas cubiertas;Espacios deportivos;-;
Alhendín;Pistas de atletismo;Espacios deportivos;-;
Alhendín;Pistas de padel;Espacios deportivos;-;
Alhendín;Pistas de petanca;Espacios deportivos;-;
Alhendín;Pistas de squash;Espacios deportivos;-;
Alhendín;Pistas de tenis;Espacios deportivos;1;
Alhendín;Pistas polideportivas;Espacios deportivos;5;
Alhendín;Salas;Espacios deportivos;1;
Alhendín;Velódromos;Espacios deportivos;-;
Alhendín;Otros espacios convencionales;Espacios deportivos;-;
Alhendín;Carriles de bicicleta;Espacios deportivos;-;
Alhendín;Circuitos de velocidad;Espacios deportivos;-;
Alhendín;Campos de golf;Espacios deportivos;-;
Alhendín;Pistas de hípica;Espacios deportivos;-;
Alhendín;Juegos tradicionales y populares;Espacios deportivos;-;
Alhendín;Circuitos de karting;Espacios deportivos;-;
Alhendín;Circuitos de motocross;Espacios deportivos;-;
Alhendín;Rocódromos;Espacios deportivos;-;
Alhendín;Pistas de esquí;Espacios deportivos;-;
Alhendín;Campos de tiro;Espacios deportivos;-;
Alhendín;Otros espacios singulares;Espacios deportivos;-;
Alhendín;Áreas de actividad acuática;Espacios deportivos;-;
Alhendín;Áreas de actividad aérea;Espacios deportivos;-;
Alhendín;Áreas de actividad terrestre;Espacios deportivos;-;
Alhendín;Total;Espacios deportivos;8;
Alicún de Ortega;Campos de fútbol;Espacios deportivos;-;
Alicún de Ortega;Espacios pequeños y no reglamentarios;Espacios deportivos;-;
Alicún de Ortega;Frontones;Espacios deportivos;-;
Alicún de Ortega;Otros campos;Espacios deportivos;1;
Alicún de Ortega;Pabellones con frontón y frontones en recinto cerrado;Espacios deportivos;-;
Alicún de Ortega;Polideportivos;Espacios deportivos;-;
Alicún de Ortega;Piscinas aire libre;Espacios deportivos;-;
Alicún de Ortega;Piscinas cubiertas;Espacios deportivos;-;
Alicún de Ortega;Pistas de atletismo;Espacios deportivos;-;
Alicún de Ortega;Pistas de padel;Espacios deportivos;-;
Alicún de Ortega;Pistas de petanca;Espacios deportivos;-;
Alicún de Ortega;Pistas de squash;Espacios deportivos;-;
Alicún de Ortega;Pistas de tenis;Espacios deportivos;-;
Alicún de Ortega;Pistas polideportivas;Espacios deportivos;3;
