Territorio;Medida;Contratos según tipo de jornada;Sexo;Valor;
Abrucena;Contratos;No especificado;Ambos sexos;-;
Abrucena;Contratos;TOTAL;Hombres;233;
Abrucena;Contratos;TOTAL;Mujeres;129;
Abrucena;Contratos;TOTAL;Ambos sexos;362;
Adra;Contratos;Contratos Indefinidos;Hombres;2453;
Adra;Contratos;Contratos Indefinidos;Mujeres;1240;
Adra;Contratos;Contratos Indefinidos;Ambos sexos;3693;
Adra;Contratos;Indefinidos jornada completa;Hombres;753;
Adra;Contratos;Indefinidos jornada completa;Mujeres;189;
Adra;Contratos;Indefinidos jornada completa;Ambos sexos;942;
Adra;Contratos;Indefinidos jornada parcial;Hombres;249;
Adra;Contratos;Indefinidos jornada parcial;Mujeres;302;
Adra;Contratos;Indefinidos jornada parcial;Ambos sexos;551;
Adra;Contratos;Indefinidos fijo discontinuo;Hombres;1451;
Adra;Contratos;Indefinidos fijo discontinuo;Mujeres;749;
Adra;Contratos;Indefinidos fijo discontinuo;Ambos sexos;2200;
Adra;Contratos;Contratos Temporales;Hombres;1118;
Adra;Contratos;Contratos Temporales;Mujeres;908;
Adra;Contratos;Contratos Temporales;Ambos sexos;2026;
Adra;Contratos;Temporales jornada completa;Hombres;775;
Adra;Contratos;Temporales jornada completa;Mujeres;376;
Adra;Contratos;Temporales jornada completa;Ambos sexos;1151;
Adra;Contratos;Temporales jornada parcial;Hombres;343;
Adra;Contratos;Temporales jornada parcial;Mujeres;532;
Adra;Contratos;Temporales jornada parcial;Ambos sexos;875;
Adra;Contratos;No especificado;Hombres;-;
Adra;Contratos;No especificado;Mujeres;-;
Adra;Contratos;No especificado;Ambos sexos;-;
Adra;Contratos;TOTAL;Hombres;3571;
Adra;Contratos;TOTAL;Mujeres;2148;
Adra;Contratos;TOTAL;Ambos sexos;5719;
Albanchez;Contratos;Contratos Indefinidos;Hombres;24;
Albanchez;Contratos;Contratos Indefinidos;Mujeres;61;
Albanchez;Contratos;Contratos Indefinidos;Ambos sexos;85;
Albanchez;Contratos;Indefinidos jornada completa;Hombres;10;
Albanchez;Contratos;Indefinidos jornada completa;Mujeres;3;
Albanchez;Contratos;Indefinidos jornada completa;Ambos sexos;13;
Albanchez;Contratos;Indefinidos jornada parcial;Hombres;3;
Albanchez;Contratos;Indefinidos jornada parcial;Mujeres;19;
Albanchez;Contratos;Indefinidos jornada parcial;Ambos sexos;22;
Albanchez;Contratos;Indefinidos fijo discontinuo;Hombres;11;
Albanchez;Contratos;Indefinidos fijo discontinuo;Mujeres;39;
Albanchez;Contratos;Indefinidos fijo discontinuo;Ambos sexos;50;
Albanchez;Contratos;Contratos Temporales;Hombres;32;
Albanchez;Contratos;Contratos Temporales;Mujeres;38;
Albanchez;Contratos;Contratos Temporales;Ambos sexos;70;
Albanchez;Contratos;Temporales jornada completa;Hombres;16;
Albanchez;Contratos;Temporales jornada completa;Mujeres;22;
Albanchez;Contratos;Temporales jornada completa;Ambos sexos;38;
Albanchez;Contratos;Temporales jornada parcial;Hombres;16;
Albanchez;Contratos;Temporales jornada parcial;Mujeres;16;
Albanchez;Contratos;Temporales jornada parcial;Ambos sexos;32;
Albanchez;Contratos;No especificado;Hombres;-;
Albanchez;Contratos;No especificado;Mujeres;-;
Albanchez;Contratos;No especificado;Ambos sexos;-;
Albanchez;Contratos;TOTAL;Hombres;56;
Albanchez;Contratos;TOTAL;Mujeres;99;
Albanchez;Contratos;TOTAL;Ambos sexos;155;
Alboloduy;Contratos;Contratos Indefinidos;Hombres;20;
Alboloduy;Contratos;Contratos Indefinidos;Mujeres;11;
Alboloduy;Contratos;Contratos Indefinidos;Ambos sexos;31;
Alboloduy;Contratos;Indefinidos jornada completa;Hombres;9;
Alboloduy;Contratos;Indefinidos jornada completa;Mujeres;1;
Alboloduy;Contratos;Indefinidos jornada completa;Ambos sexos;10;
Alboloduy;Contratos;Indefinidos jornada parcial;Hombres;2;
Alboloduy;Contratos;Indefinidos jornada parcial;Mujeres;-;
Alboloduy;Contratos;Indefinidos jornada parcial;Ambos sexos;2;
Alboloduy;Contratos;Indefinidos fijo discontinuo;Hombres;9;
Alboloduy;Contratos;Indefinidos fijo discontinuo;Mujeres;10;
Alboloduy;Contratos;Indefinidos fijo discontinuo;Ambos sexos;19;
Alboloduy;Contratos;Contratos Temporales;Hombres;62;
Alboloduy;Contratos;Contratos Temporales;Mujeres;82;
Alboloduy;Contratos;Contratos Temporales;Ambos sexos;144;
Alboloduy;Contratos;Temporales jornada completa;Hombres;54;
Alboloduy;Contratos;Temporales jornada completa;Mujeres;70;
Alboloduy;Contratos;Temporales jornada completa;Ambos sexos;124;
Alboloduy;Contratos;Temporales jornada parcial;Hombres;8;
Alboloduy;Contratos;Temporales jornada parcial;Mujeres;12;
Alboloduy;Contratos;Temporales jornada parcial;Ambos sexos;20;
Alboloduy;Contratos;No especificado;Hombres;-;
Alboloduy;Contratos;No especificado;Mujeres;-;
Alboloduy;Contratos;No especificado;Ambos sexos;-;
Alboloduy;Contratos;TOTAL;Hombres;82;
Alboloduy;Contratos;TOTAL;Mujeres;93;
Alboloduy;Contratos;TOTAL;Ambos sexos;175;
Albox;Contratos;Contratos Indefinidos;Hombres;654;
Albox;Contratos;Contratos Indefinidos;Mujeres;378;
Albox;Contratos;Contratos Indefinidos;Ambos sexos;1032;
Albox;Contratos;Indefinidos jornada completa;Hombres;387;
Albox;Contratos;Indefinidos jornada completa;Mujeres;116;
Albox;Contratos;Indefinidos jornada completa;Ambos sexos;503;
Albox;Contratos;Indefinidos jornada parcial;Hombres;82;
Albox;Contratos;Indefinidos jornada parcial;Mujeres;182;
Albox;Contratos;Indefinidos jornada parcial;Ambos sexos;264;
Albox;Contratos;Indefinidos fijo discontinuo;Hombres;185;
Albox;Contratos;Indefinidos fijo discontinuo;Mujeres;80;
Albox;Contratos;Indefinidos fijo discontinuo;Ambos sexos;265;
Albox;Contratos;Contratos Temporales;Hombres;565;
Albox;Contratos;Contratos Temporales;Mujeres;563;
Albox;Contratos;Contratos Temporales;Ambos sexos;1128;
Albox;Contratos;Temporales jornada completa;Hombres;513;
Albox;Contratos;Temporales jornada completa;Mujeres;392;
Albox;Contratos;Temporales jornada completa;Ambos sexos;905;
Albox;Contratos;Temporales jornada parcial;Hombres;52;
Albox;Contratos;Temporales jornada parcial;Mujeres;171;
Albox;Contratos;Temporales jornada parcial;Ambos sexos;223;
Albox;Contratos;No especificado;Hombres;-;
Albox;Contratos;No especificado;Mujeres;-;
Albox;Contratos;No especificado;Ambos sexos;-;
Albox;Contratos;TOTAL;Hombres;1219;
Albox;Contratos;TOTAL;Mujeres;941;
Albox;Contratos;TOTAL;Ambos sexos;2160;
Alcolea;Contratos;Contratos Indefinidos;Hombres;66;
Alcolea;Contratos;Contratos Indefinidos;Mujeres;33;
Alcolea;Contratos;Contratos Indefinidos;Ambos sexos;99;
Alcolea;Contratos;Indefinidos jornada completa;Hombres;22;
Alcolea;Contratos;Indefinidos jornada completa;Mujeres;5;
Alcolea;Contratos;Indefinidos jornada completa;Ambos sexos;27;
Alcolea;Contratos;Indefinidos jornada parcial;Hombres;6;
Alcolea;Contratos;Indefinidos jornada parcial;Mujeres;6;
Alcolea;Contratos;Indefinidos jornada parcial;Ambos sexos;12;
Alcolea;Contratos;Indefinidos fijo discontinuo;Hombres;38;
Alcolea;Contratos;Indefinidos fijo discontinuo;Mujeres;22;
Alcolea;Contratos;Indefinidos fijo discontinuo;Ambos sexos;60;
Alcolea;Contratos;Contratos Temporales;Hombres;79;
Alcolea;Contratos;Contratos Temporales;Mujeres;108;
Alcolea;Contratos;Contratos Temporales;Ambos sexos;187;
Alcolea;Contratos;Temporales jornada completa;Hombres;67;
