Territorio;Actividad;Medida;Valor;
Vícar;Industria, energía, agua y gestión de residuos;Establecimientos;97;
Vícar;Construcción;Establecimientos;173;
Vícar;Comercio;Establecimientos;482;
Vícar;Transporte y almacenamiento;Establecimientos;112;
Vícar;Hostelería;Establecimientos;94;
Vícar;Información y comunicaciones;Establecimientos;13;
Vícar;Banca y seguros;Establecimientos;34;
Vícar;Administración pública, educación y sanidad;Establecimientos;104;
Vícar;Actividades inmobiliarias, profesionales, auxiliares, artísticas y otros servicios;Establecimientos;318;
Vícar;TOTAL;Establecimientos;3370;
Zurgena;Agricultura, ganadería, silvicultura y pesca;Establecimientos;24;
Zurgena;Industria, energía, agua y gestión de residuos;Establecimientos;9;
Zurgena;Construcción;Establecimientos;28;
Zurgena;Comercio;Establecimientos;29;
Zurgena;Transporte y almacenamiento;Establecimientos;12;
Zurgena;Hostelería;Establecimientos;22;
Zurgena;Información y comunicaciones;Establecimientos;5;
Zurgena;Banca y seguros;Establecimientos;5;
Zurgena;Administración pública, educación y sanidad;Establecimientos;14;
Zurgena;Actividades inmobiliarias, profesionales, auxiliares, artísticas y otros servicios;Establecimientos;34;
Zurgena;TOTAL;Establecimientos;182;
Cádiz;Agricultura, ganadería, silvicultura y pesca;Establecimientos;5224;
Cádiz;Industria, energía, agua y gestión de residuos;Establecimientos;3905;
Cádiz;Construcción;Establecimientos;6937;
Cádiz;Comercio;Establecimientos;20891;
Cádiz;Transporte y almacenamiento;Establecimientos;4457;
Cádiz;Hostelería;Establecimientos;8328;
Cádiz;Información y comunicaciones;Establecimientos;1050;
Cádiz;Banca y seguros;Establecimientos;2071;
Cádiz;Administración pública, educación y sanidad;Establecimientos;7318;
Cádiz;Actividades inmobiliarias, profesionales, auxiliares, artísticas y otros servicios;Establecimientos;21957;
Cádiz;TOTAL;Establecimientos;82138;
Alcalá de los Gazules;Agricultura, ganadería, silvicultura y pesca;Establecimientos;106;
Alcalá de los Gazules;Industria, energía, agua y gestión de residuos;Establecimientos;17;
Alcalá de los Gazules;Construcción;Establecimientos;27;
Alcalá de los Gazules;Comercio;Establecimientos;101;
Alcalá de los Gazules;Transporte y almacenamiento;Establecimientos;14;
Alcalá de los Gazules;Hostelería;Establecimientos;41;
Alcalá de los Gazules;Información y comunicaciones;Establecimientos;2;
Alcalá de los Gazules;Banca y seguros;Establecimientos;8;
Alcalá de los Gazules;Administración pública, educación y sanidad;Establecimientos;21;
Alcalá de los Gazules;Actividades inmobiliarias, profesionales, auxiliares, artísticas y otros servicios;Establecimientos;70;
Alcalá de los Gazules;TOTAL;Establecimientos;407;
Alcalá del Valle;Agricultura, ganadería, silvicultura y pesca;Establecimientos;62;
Alcalá del Valle;Industria, energía, agua y gestión de residuos;Establecimientos;13;
Alcalá del Valle;Construcción;Establecimientos;26;
Alcalá del Valle;Comercio;Establecimientos;76;
Alcalá del Valle;Transporte y almacenamiento;Establecimientos;8;
Alcalá del Valle;Hostelería;Establecimientos;29;
Alcalá del Valle;Información y comunicaciones;Establecimientos;2;
Alcalá del Valle;Banca y seguros;Establecimientos;6;
Alcalá del Valle;Administración pública, educación y sanidad;Establecimientos;18;
Alcalá del Valle;Actividades inmobiliarias, profesionales, auxiliares, artísticas y otros servicios;Establecimientos;37;
Alcalá del Valle;TOTAL;Establecimientos;277;
Algar;Agricultura, ganadería, silvicultura y pesca;Establecimientos;21;
Algar;Industria, energía, agua y gestión de residuos;Establecimientos;8;
Algar;Construcción;Establecimientos;12;
Algar;Comercio;Establecimientos;35;
Algar;Transporte y almacenamiento;Establecimientos;3;
Algar;Hostelería;Establecimientos;15;
Algar;Información y comunicaciones;Establecimientos;-;
Algar;Banca y seguros;Establecimientos;2;
Algar;Administración pública, educación y sanidad;Establecimientos;8;
Algar;Actividades inmobiliarias, profesionales, auxiliares, artísticas y otros servicios;Establecimientos;13;
Algar;TOTAL;Establecimientos;117;
Algeciras;Agricultura, ganadería, silvicultura y pesca;Establecimientos;57;
Algeciras;Industria, energía, agua y gestión de residuos;Establecimientos;212;
Algeciras;Construcción;Establecimientos;479;
Algeciras;Comercio;Establecimientos;1819;
Algeciras;Transporte y almacenamiento;Establecimientos;775;
Algeciras;Hostelería;Establecimientos;523;
Algeciras;Información y comunicaciones;Establecimientos;72;
Algeciras;Banca y seguros;Establecimientos;188;
Algeciras;Administración pública, educación y sanidad;Establecimientos;693;
Algeciras;Actividades inmobiliarias, profesionales, auxiliares, artísticas y otros servicios;Establecimientos;1922;
Algeciras;TOTAL;Establecimientos;6740;
Algodonales;Agricultura, ganadería, silvicultura y pesca;Establecimientos;70;
Algodonales;Industria, energía, agua y gestión de residuos;Establecimientos;21;
Algodonales;Construcción;Establecimientos;29;
Algodonales;Comercio;Establecimientos;88;
Algodonales;Transporte y almacenamiento;Establecimientos;10;
Algodonales;Hostelería;Establecimientos;50;
Algodonales;Información y comunicaciones;Establecimientos;1;
Algodonales;Banca y seguros;Establecimientos;5;
Algodonales;Administración pública, educación y sanidad;Establecimientos;28;
Algodonales;Actividades inmobiliarias, profesionales, auxiliares, artísticas y otros servicios;Establecimientos;50;
Algodonales;TOTAL;Establecimientos;352;
Arcos de la Frontera;Agricultura, ganadería, silvicultura y pesca;Establecimientos;249;
Arcos de la Frontera;Industria, energía, agua y gestión de residuos;Establecimientos;93;
Arcos de la Frontera;Construcción;Establecimientos;215;
Arcos de la Frontera;Comercio;Establecimientos;439;
Arcos de la Frontera;Transporte y almacenamiento;Establecimientos;120;
Arcos de la Frontera;Hostelería;Establecimientos;184;
Arcos de la Frontera;Información y comunicaciones;Establecimientos;20;
Arcos de la Frontera;Banca y seguros;Establecimientos;48;
Arcos de la Frontera;Administración pública, educación y sanidad;Establecimientos;133;
Arcos de la Frontera;Actividades inmobiliarias, profesionales, auxiliares, artísticas y otros servicios;Establecimientos;402;
Arcos de la Frontera;TOTAL;Establecimientos;1903;
Barbate;Agricultura, ganadería, silvicultura y pesca;Establecimientos;96;
Barbate;Industria, energía, agua y gestión de residuos;Establecimientos;56;
Barbate;Construcción;Establecimientos;110;
Barbate;Comercio;Establecimientos;434;
Barbate;Transporte y almacenamiento;Establecimientos;40;
Barbate;Hostelería;Establecimientos;276;
Barbate;Información y comunicaciones;Establecimientos;13;
Barbate;Banca y seguros;Establecimientos;23;
Barbate;Administración pública, educación y sanidad;Establecimientos;76;
Barbate;Actividades inmobiliarias, profesionales, auxiliares, artísticas y otros servicios;Establecimientos;357;
Barbate;TOTAL;Establecimientos;1481;
Benalup-Casas Viejas;Agricultura, ganadería, silvicultura y pesca;Establecimientos;35;
Benalup-Casas Viejas;Industria, energía, agua y gestión de residuos;Establecimientos;23;
Benalup-Casas Viejas;Construcción;Establecimientos;71;
Benalup-Casas Viejas;Comercio;Establecimientos;108;
Benalup-Casas Viejas;Transporte y almacenamiento;Establecimientos;23;
Benalup-Casas Viejas;Hostelería;Establecimientos;57;
Benalup-Casas Viejas;Información y comunicaciones;Establecimientos;2;
Benalup-Casas Viejas;Banca y seguros;Establecimientos;11;
Benalup-Casas Viejas;Administración pública, educación y sanidad;Establecimientos;38;
Benalup-Casas Viejas;Actividades inmobiliarias, profesionales, auxiliares, artísticas y otros servicios;Establecimientos;93;
Benalup-Casas Viejas;TOTAL;Establecimientos;461;
Benaocaz;Agricultura, ganadería, silvicultura y pesca;Establecimientos;10;
Benaocaz;Industria, energía, agua y gestión de residuos;Establecimientos;10;
Benaocaz;Construcción;Establecimientos;3;
Benaocaz;Comercio;Establecimientos;8;
Benaocaz;Transporte y almacenamiento;Establecimientos;-;
Benaocaz;Hostelería;Establecimientos;14;
Benaocaz;Información y comunicaciones;Establecimientos;1;
Benaocaz;Banca y seguros;Establecimientos;1;
Benaocaz;Administración pública, educación y sanidad;Establecimientos;5;
Benaocaz;Actividades inmobiliarias, profesionales, auxiliares, artísticas y otros servicios;Establecimientos;10;
Benaocaz;TOTAL;Establecimientos;62;
Bornos;Agricultura, ganadería, silvicultura y pesca;Establecimientos;68;
Bornos;Industria, energía, agua y gestión de residuos;Establecimientos;13;
Bornos;Construcción;Establecimientos;42;
Bornos;Comercio;Establecimientos;113;
Bornos;Transporte y almacenamiento;Establecimientos;14;
Bornos;Hostelería;Establecimientos;45;
Bornos;Información y comunicaciones;Establecimientos;5;
Bornos;Banca y seguros;Establecimientos;10;
Bornos;Administración pública, educación y sanidad;Establecimientos;25;
Bornos;Actividades inmobiliarias, profesionales, auxiliares, artísticas y otros servicios;Establecimientos;57;
Bornos;TOTAL;Establecimientos;392;
Cádiz (capital);Agricultura, ganadería, silvicultura y pesca;Establecimientos;27;
Cádiz (capital);Industria, energía, agua y gestión de residuos;Establecimientos;242;
Cádiz (capital);Construcción;Establecimientos;423;
Cádiz (capital);Comercio;Establecimientos;1860;
Cádiz (capital);Transporte y almacenamiento;Establecimientos;442;
Cádiz (capital);Hostelería;Establecimientos;876;
Cádiz (capital);Información y comunicaciones;Establecimientos;157;
Cádiz (capital);Banca y seguros;Establecimientos;267;
Cádiz (capital);Administración pública, educación y sanidad;Establecimientos;935;
Cádiz (capital);Actividades inmobiliarias, profesionales, auxiliares, artísticas y otros servicios;Establecimientos;2547;
Cádiz (capital);TOTAL;Establecimientos;7776;
Castellar de la Frontera;Agricultura, ganadería, silvicultura y pesca;Establecimientos;48;
Castellar de la Frontera;Industria, energía, agua y gestión de residuos;Establecimientos;14;
Castellar de la Frontera;Construcción;Establecimientos;27;
Castellar de la Frontera;Comercio;Establecimientos;41;
Castellar de la Frontera;Transporte y almacenamiento;Establecimientos;9;
Castellar de la Frontera;Hostelería;Establecimientos;25;
Castellar de la Frontera;Información y comunicaciones;Establecimientos;1;
Castellar de la Frontera;Banca y seguros;Establecimientos;1;
Castellar de la Frontera;Administración pública, educación y sanidad;Establecimientos;19;
Castellar de la Frontera;Actividades inmobiliarias, profesionales, auxiliares, artísticas y otros servicios;Establecimientos;26;
Castellar de la Frontera;TOTAL;Establecimientos;211;
Chiclana de la Frontera;Agricultura, ganadería, silvicultura y pesca;Establecimientos;98;
Chiclana de la Frontera;Industria, energía, agua y gestión de residuos;Establecimientos;262;
Chiclana de la Frontera;Construcción;Establecimientos;728;
Chiclana de la Frontera;Comercio;Establecimientos;1489;
Chiclana de la Frontera;Transporte y almacenamiento;Establecimientos;292;
Chiclana de la Frontera;Hostelería;Establecimientos;497;
Chiclana de la Frontera;Información y comunicaciones;Establecimientos;83;
Chiclana de la Frontera;Banca y seguros;Establecimientos;128;
Chiclana de la Frontera;Administración pública, educación y sanidad;Establecimientos;491;
Chiclana de la Frontera;Actividades inmobiliarias, profesionales, auxiliares, artísticas y otros servicios;Establecimientos;1653;
Chiclana de la Frontera;TOTAL;Establecimientos;5721;
Chipiona;Agricultura, ganadería, silvicultura y pesca;Establecimientos;309;
Chipiona;Industria, energía, agua y gestión de residuos;Establecimientos;53;
Chipiona;Construcción;Establecimientos;120;
Chipiona;Comercio;Establecimientos;495;
Chipiona;Transporte y almacenamiento;Establecimientos;41;
Chipiona;Hostelería;Establecimientos;232;
Chipiona;Información y comunicaciones;Establecimientos;6;
Chipiona;Banca y seguros;Establecimientos;27;
Chipiona;Administración pública, educación y sanidad;Establecimientos;84;
Chipiona;Actividades inmobiliarias, profesionales, auxiliares, artísticas y otros servicios;Establecimientos;285;
Chipiona;TOTAL;Establecimientos;1652;
Conil de la Frontera;Agricultura, ganadería, silvicultura y pesca;Establecimientos;264;
Conil de la Frontera;Industria, energía, agua y gestión de residuos;Establecimientos;73;
Conil de la Frontera;Construcción;Establecimientos;270;
Conil de la Frontera;Comercio;Establecimientos;530;
Conil de la Frontera;Transporte y almacenamiento;Establecimientos;73;
Conil de la Frontera;Hostelería;Establecimientos;344;
Conil de la Frontera;Información y comunicaciones;Establecimientos;37;
Conil de la Frontera;Banca y seguros;Establecimientos;37;
Conil de la Frontera;Administración pública, educación y sanidad;Establecimientos;166;
Conil de la Frontera;Actividades inmobiliarias, profesionales, auxiliares, artísticas y otros servicios;Establecimientos;547;
Conil de la Frontera;TOTAL;Establecimientos;2341;
El Bosque;Agricultura, ganadería, silvicultura y pesca;Establecimientos;10;
El Bosque;Industria, energía, agua y gestión de residuos;Establecimientos;24;
El Bosque;Construcción;Establecimientos;25;
El Bosque;Comercio;Establecimientos;41;
El Bosque;Transporte y almacenamiento;Establecimientos;3;
El Bosque;Hostelería;Establecimientos;36;
El Bosque;Información y comunicaciones;Establecimientos;1;
El Bosque;Banca y seguros;Establecimientos;4;
El Bosque;Administración pública, educación y sanidad;Establecimientos;16;
El Bosque;Actividades inmobiliarias, profesionales, auxiliares, artísticas y otros servicios;Establecimientos;36;
El Bosque;TOTAL;Establecimientos;196;
El Gastor;Agricultura, ganadería, silvicultura y pesca;Establecimientos;13;
El Gastor;Industria, energía, agua y gestión de residuos;Establecimientos;5;
El Gastor;Construcción;Establecimientos;17;
El Gastor;Comercio;Establecimientos;24;
El Gastor;Transporte y almacenamiento;Establecimientos;8;
El Gastor;Hostelería;Establecimientos;18;
El Gastor;Información y comunicaciones;Establecimientos;1;
El Gastor;Banca y seguros;Establecimientos;5;
El Gastor;Administración pública, educación y sanidad;Establecimientos;8;
El Gastor;Actividades inmobiliarias, profesionales, auxiliares, artísticas y otros servicios;Establecimientos;19;
El Gastor;TOTAL;Establecimientos;118;
El Puerto de Santa María;Agricultura, ganadería, silvicultura y pesca;Establecimientos;182;
El Puerto de Santa María;Industria, energía, agua y gestión de residuos;Establecimientos;283;
El Puerto de Santa María;Construcción;Establecimientos;491;
El Puerto de Santa María;Comercio;Establecimientos;1549;
El Puerto de Santa María;Transporte y almacenamiento;Establecimientos;292;
El Puerto de Santa María;Hostelería;Establecimientos;657;
El Puerto de Santa María;Información y comunicaciones;Establecimientos;109;
El Puerto de Santa María;Banca y seguros;Establecimientos;157;
El Puerto de Santa María;Administración pública, educación y sanidad;Establecimientos;602;
El Puerto de Santa María;Actividades inmobiliarias, profesionales, auxiliares, artísticas y otros servicios;Establecimientos;2054;
El Puerto de Santa María;TOTAL;Establecimientos;6376;
Espera;Agricultura, ganadería, silvicultura y pesca;Establecimientos;50;
Espera;Industria, energía, agua y gestión de residuos;Establecimientos;9;
Espera;Construcción;Establecimientos;29;
Espera;Comercio;Establecimientos;53;
Espera;Transporte y almacenamiento;Establecimientos;4;
Espera;Hostelería;Establecimientos;22;
Espera;Información y comunicaciones;Establecimientos;1;
Espera;Banca y seguros;Establecimientos;5;
Espera;Administración pública, educación y sanidad;Establecimientos;13;
Espera;Actividades inmobiliarias, profesionales, auxiliares, artísticas y otros servicios;Establecimientos;25;
Espera;TOTAL;Establecimientos;211;
Grazalema;Agricultura, ganadería, silvicultura y pesca;Establecimientos;35;
Grazalema;Industria, energía, agua y gestión de residuos;Establecimientos;11;
Grazalema;Construcción;Establecimientos;10;
Grazalema;Comercio;Establecimientos;41;
Grazalema;Transporte y almacenamiento;Establecimientos;5;
Grazalema;Hostelería;Establecimientos;33;
Grazalema;Información y comunicaciones;Establecimientos;2;
Grazalema;Banca y seguros;Establecimientos;8;
Grazalema;Administración pública, educación y sanidad;Establecimientos;11;
Grazalema;Actividades inmobiliarias, profesionales, auxiliares, artísticas y otros servicios;Establecimientos;28;
Grazalema;TOTAL;Establecimientos;184;
Jerez de la Frontera;Agricultura, ganadería, silvicultura y pesca;Establecimientos;845;
Jerez de la Frontera;Industria, energía, agua y gestión de residuos;Establecimientos;757;
Jerez de la Frontera;Construcción;Establecimientos;1085;
Jerez de la Frontera;Comercio;Establecimientos;3898;
Jerez de la Frontera;Transporte y almacenamiento;Establecimientos;837;
Jerez de la Frontera;Hostelería;Establecimientos;1186;
Jerez de la Frontera;Información y comunicaciones;Establecimientos;208;
Jerez de la Frontera;Banca y seguros;Establecimientos;452;
Jerez de la Frontera;Administración pública, educación y sanidad;Establecimientos;1359;
Jerez de la Frontera;Actividades inmobiliarias, profesionales, auxiliares, artísticas y otros servicios;Establecimientos;4104;
Jerez de la Frontera;TOTAL;Establecimientos;14731;
Jimena de la Frontera;Agricultura, ganadería, silvicultura y pesca;Establecimientos;179;
Jimena de la Frontera;Industria, energía, agua y gestión de residuos;Establecimientos;21;
Jimena de la Frontera;Construcción;Establecimientos;55;
Jimena de la Frontera;Comercio;Establecimientos;115;
Jimena de la Frontera;Transporte y almacenamiento;Establecimientos;25;
Jimena de la Frontera;Hostelería;Establecimientos;56;
Jimena de la Frontera;Información y comunicaciones;Establecimientos;5;
Jimena de la Frontera;Banca y seguros;Establecimientos;10;
Jimena de la Frontera;Administración pública, educación y sanidad;Establecimientos;45;
Jimena de la Frontera;Actividades inmobiliarias, profesionales, auxiliares, artísticas y otros servicios;Establecimientos;129;
Jimena de la Frontera;TOTAL;Establecimientos;640;
La Línea de la Concepción;Agricultura, ganadería, silvicultura y pesca;Establecimientos;55;
La Línea de la Concepción;Industria, energía, agua y gestión de residuos;Establecimientos;117;
La Línea de la Concepción;Construcción;Establecimientos;218;
La Línea de la Concepción;Comercio;Establecimientos;900;
La Línea de la Concepción;Transporte y almacenamiento;Establecimientos;226;
La Línea de la Concepción;Hostelería;Establecimientos;342;
La Línea de la Concepción;Información y comunicaciones;Establecimientos;26;
La Línea de la Concepción;Banca y seguros;Establecimientos;77;
La Línea de la Concepción;Administración pública, educación y sanidad;Establecimientos;310;
La Línea de la Concepción;Actividades inmobiliarias, profesionales, auxiliares, artísticas y otros servicios;Establecimientos;823;
La Línea de la Concepción;TOTAL;Establecimientos;3094;
Los Barrios;Agricultura, ganadería, silvicultura y pesca;Establecimientos;80;
Los Barrios;Industria, energía, agua y gestión de residuos;Establecimientos;114;
Los Barrios;Construcción;Establecimientos;154;
Los Barrios;Comercio;Establecimientos;532;
Los Barrios;Transporte y almacenamiento;Establecimientos;162;
Los Barrios;Hostelería;Establecimientos;198;
Los Barrios;Información y comunicaciones;Establecimientos;18;
Los Barrios;Banca y seguros;Establecimientos;41;
Los Barrios;Administración pública, educación y sanidad;Establecimientos;161;
Los Barrios;Actividades inmobiliarias, profesionales, auxiliares, artísticas y otros servicios;Establecimientos;480;
Los Barrios;TOTAL;Establecimientos;1940;
Medina Sidonia;Agricultura, ganadería, silvicultura y pesca;Establecimientos;86;
Medina Sidonia;Industria, energía, agua y gestión de residuos;Establecimientos;42;
Medina Sidonia;Construcción;Establecimientos;89;
Medina Sidonia;Comercio;Establecimientos;180;
Medina Sidonia;Transporte y almacenamiento;Establecimientos;22;
Medina Sidonia;Hostelería;Establecimientos;74;
Medina Sidonia;Información y comunicaciones;Establecimientos;7;
Medina Sidonia;Banca y seguros;Establecimientos;17;
Medina Sidonia;Administración pública, educación y sanidad;Establecimientos;70;
Medina Sidonia;Actividades inmobiliarias, profesionales, auxiliares, artísticas y otros servicios;Establecimientos;160;
Medina Sidonia;TOTAL;Establecimientos;747;
Olvera;Agricultura, ganadería, silvicultura y pesca;Establecimientos;152;
Olvera;Industria, energía, agua y gestión de residuos;Establecimientos;37;
Olvera;Construcción;Establecimientos;55;
Olvera;Comercio;Establecimientos;159;
Olvera;Transporte y almacenamiento;Establecimientos;31;
Olvera;Hostelería;Establecimientos;51;
Olvera;Información y comunicaciones;Establecimientos;5;
Olvera;Banca y seguros;Establecimientos;13;
Olvera;Administración pública, educación y sanidad;Establecimientos;43;
Olvera;Actividades inmobiliarias, profesionales, auxiliares, artísticas y otros servicios;Establecimientos;112;
Olvera;TOTAL;Establecimientos;658;
Paterna de Rivera;Agricultura, ganadería, silvicultura y pesca;Establecimientos;21;
Paterna de Rivera;Industria, energía, agua y gestión de residuos;Establecimientos;13;
Paterna de Rivera;Construcción;Establecimientos;51;
Paterna de Rivera;Comercio;Establecimientos;80;
Paterna de Rivera;Transporte y almacenamiento;Establecimientos;13;
Paterna de Rivera;Hostelería;Establecimientos;26;
Paterna de Rivera;Información y comunicaciones;Establecimientos;3;
Paterna de Rivera;Banca y seguros;Establecimientos;1;
Paterna de Rivera;Administración pública, educación y sanidad;Establecimientos;19;
Paterna de Rivera;Actividades inmobiliarias, profesionales, auxiliares, artísticas y otros servicios;Establecimientos;43;
Paterna de Rivera;TOTAL;Establecimientos;270;
Prado del Rey;Agricultura, ganadería, silvicultura y pesca;Establecimientos;69;
Prado del Rey;Industria, energía, agua y gestión de residuos;Establecimientos;72;
Prado del Rey;Construcción;Establecimientos;32;
Prado del Rey;Comercio;Establecimientos;127;
Prado del Rey;Transporte y almacenamiento;Establecimientos;17;
Prado del Rey;Hostelería;Establecimientos;50;
Prado del Rey;Información y comunicaciones;Establecimientos;5;
Prado del Rey;Banca y seguros;Establecimientos;17;
Prado del Rey;Administración pública, educación y sanidad;Establecimientos;25;
Prado del Rey;Actividades inmobiliarias, profesionales, auxiliares, artísticas y otros servicios;Establecimientos;64;
Prado del Rey;TOTAL;Establecimientos;478;
Puerto Real;Agricultura, ganadería, silvicultura y pesca;Establecimientos;46;
Puerto Real;Industria, energía, agua y gestión de residuos;Establecimientos;149;
Puerto Real;Construcción;Establecimientos;174;
Puerto Real;Comercio;Establecimientos;634;
Puerto Real;Transporte y almacenamiento;Establecimientos;155;
Puerto Real;Hostelería;Establecimientos;175;
Puerto Real;Información y comunicaciones;Establecimientos;30;
Puerto Real;Banca y seguros;Establecimientos;41;
Puerto Real;Administración pública, educación y sanidad;Establecimientos;206;
Puerto Real;Actividades inmobiliarias, profesionales, auxiliares, artísticas y otros servicios;Establecimientos;511;
Puerto Real;TOTAL;Establecimientos;2121;
Puerto Serrano;Agricultura, ganadería, silvicultura y pesca;Establecimientos;42;
Puerto Serrano;Industria, energía, agua y gestión de residuos;Establecimientos;13;
Puerto Serrano;Construcción;Establecimientos;20;
Puerto Serrano;Comercio;Establecimientos;81;
Puerto Serrano;Transporte y almacenamiento;Establecimientos;9;
Puerto Serrano;Hostelería;Establecimientos;32;
Puerto Serrano;Información y comunicaciones;Establecimientos;2;
Puerto Serrano;Banca y seguros;Establecimientos;9;
Puerto Serrano;Administración pública, educación y sanidad;Establecimientos;19;
Puerto Serrano;Actividades inmobiliarias, profesionales, auxiliares, artísticas y otros servicios;Establecimientos;35;
Puerto Serrano;TOTAL;Establecimientos;262;
Rota;Agricultura, ganadería, silvicultura y pesca;Establecimientos;175;
Rota;Industria, energía, agua y gestión de residuos;Establecimientos;55;
Rota;Construcción;Establecimientos;205;
Rota;Comercio;Establecimientos;498;
Rota;Transporte y almacenamiento;Establecimientos;102;
Rota;Hostelería;Establecimientos;274;
Rota;Información y comunicaciones;Establecimientos;15;
Rota;Banca y seguros;Establecimientos;43;
Rota;Administración pública, educación y sanidad;Establecimientos;158;
Rota;Actividades inmobiliarias, profesionales, auxiliares, artísticas y otros servicios;Establecimientos;571;
Rota;TOTAL;Establecimientos;2096;
San Fernando;Agricultura, ganadería, silvicultura y pesca;Establecimientos;17;
San Fernando;Industria, energía, agua y gestión de residuos;Establecimientos;152;
San Fernando;Construcción;Establecimientos;284;
San Fernando;Comercio;Establecimientos;1062;
San Fernando;Transporte y almacenamiento;Establecimientos;194;
San Fernando;Hostelería;Establecimientos;366;
San Fernando;Información y comunicaciones;Establecimientos;62;
San Fernando;Banca y seguros;Establecimientos;113;
San Fernando;Administración pública, educación y sanidad;Establecimientos;482;
San Fernando;Actividades inmobiliarias, profesionales, auxiliares, artísticas y otros servicios;Establecimientos;1154;
San Fernando;TOTAL;Establecimientos;3886;
San José del Valle;Agricultura, ganadería, silvicultura y pesca;Establecimientos;76;
San José del Valle;Industria, energía, agua y gestión de residuos;Establecimientos;24;
San José del Valle;Construcción;Establecimientos;26;
San José del Valle;Comercio;Establecimientos;67;
San José del Valle;Transporte y almacenamiento;Establecimientos;28;
San José del Valle;Hostelería;Establecimientos;38;
San José del Valle;Información y comunicaciones;Establecimientos;2;
San José del Valle;Banca y seguros;Establecimientos;5;
San José del Valle;Administración pública, educación y sanidad;Establecimientos;23;
San José del Valle;Actividades inmobiliarias, profesionales, auxiliares, artísticas y otros servicios;Establecimientos;52;
San José del Valle;TOTAL;Establecimientos;341;
San Martín del Tesorillo;Agricultura, ganadería, silvicultura y pesca;Establecimientos;15;
San Martín del Tesorillo;Industria, energía, agua y gestión de residuos;Establecimientos;6;
San Martín del Tesorillo;Construcción;Establecimientos;25;
San Martín del Tesorillo;Comercio;Establecimientos;37;
San Martín del Tesorillo;Transporte y almacenamiento;Establecimientos;2;
San Martín del Tesorillo;Hostelería;Establecimientos;15;
San Martín del Tesorillo;Información y comunicaciones;Establecimientos;-;
San Martín del Tesorillo;Banca y seguros;Establecimientos;3;
San Martín del Tesorillo;Administración pública, educación y sanidad;Establecimientos;10;
San Martín del Tesorillo;Actividades inmobiliarias, profesionales, auxiliares, artísticas y otros servicios;Establecimientos;39;
San Martín del Tesorillo;TOTAL;Establecimientos;152;
San Roque;Agricultura, ganadería, silvicultura y pesca;Establecimientos;73;
San Roque;Industria, energía, agua y gestión de residuos;Establecimientos;132;
San Roque;Construcción;Establecimientos;378;
San Roque;Comercio;Establecimientos;493;
San Roque;Transporte y almacenamiento;Establecimientos;134;
San Roque;Hostelería;Establecimientos;259;
San Roque;Información y comunicaciones;Establecimientos;52;
San Roque;Banca y seguros;Establecimientos;63;
San Roque;Administración pública, educación y sanidad;Establecimientos;223;
San Roque;Actividades inmobiliarias, profesionales, auxiliares, artísticas y otros servicios;Establecimientos;1150;
San Roque;TOTAL;Establecimientos;2957;
Sanlúcar de Barrameda;Agricultura, ganadería, silvicultura y pesca;Establecimientos;730;
Sanlúcar de Barrameda;Industria, energía, agua y gestión de residuos;Establecimientos;247;
Sanlúcar de Barrameda;Construcción;Establecimientos;434;
Sanlúcar de Barrameda;Comercio;Establecimientos;1271;
Sanlúcar de Barrameda;Transporte y almacenamiento;Establecimientos;152;
Sanlúcar de Barrameda;Hostelería;Establecimientos;417;
Sanlúcar de Barrameda;Información y comunicaciones;Establecimientos;45;
Sanlúcar de Barrameda;Banca y seguros;Establecimientos;106;
Sanlúcar de Barrameda;Administración pública, educación y sanidad;Establecimientos;311;
Sanlúcar de Barrameda;Actividades inmobiliarias, profesionales, auxiliares, artísticas y otros servicios;Establecimientos;1008;
Sanlúcar de Barrameda;TOTAL;Establecimientos;4721;
Setenil de las Bodegas;Agricultura, ganadería, silvicultura y pesca;Establecimientos;71;
Setenil de las Bodegas;Industria, energía, agua y gestión de residuos;Establecimientos;7;
Setenil de las Bodegas;Construcción;Establecimientos;28;
Setenil de las Bodegas;Comercio;Establecimientos;65;
Setenil de las Bodegas;Transporte y almacenamiento;Establecimientos;9;
Setenil de las Bodegas;Hostelería;Establecimientos;29;
Setenil de las Bodegas;Información y comunicaciones;Establecimientos;1;
Setenil de las Bodegas;Banca y seguros;Establecimientos;5;
Setenil de las Bodegas;Administración pública, educación y sanidad;Establecimientos;14;
Setenil de las Bodegas;Actividades inmobiliarias, profesionales, auxiliares, artísticas y otros servicios;Establecimientos;21;
Setenil de las Bodegas;TOTAL;Establecimientos;250;
Tarifa;Agricultura, ganadería, silvicultura y pesca;Establecimientos;137;
Tarifa;Industria, energía, agua y gestión de residuos;Establecimientos;60;
Tarifa;Construcción;Establecimientos;132;
Tarifa;Comercio;Establecimientos;398;
Tarifa;Transporte y almacenamiento;Establecimientos;44;
Tarifa;Hostelería;Establecimientos;351;
Tarifa;Información y comunicaciones;Establecimientos;16;
Tarifa;Banca y seguros;Establecimientos;24;
Tarifa;Administración pública, educación y sanidad;Establecimientos;142;
Tarifa;Actividades inmobiliarias, profesionales, auxiliares, artísticas y otros servicios;Establecimientos;480;
Tarifa;TOTAL;Establecimientos;1784;
Torre Alháquime;Agricultura, ganadería, silvicultura y pesca;Establecimientos;20;
Torre Alháquime;Industria, energía, agua y gestión de residuos;Establecimientos;2;
Torre Alháquime;Construcción;Establecimientos;3;
