Territorio;Nivel educativo;Medida;Valor;
Abla;Infantil 1º ciclo;Número de centros;1;
Abla;Infantil 2º ciclo;Número de centros;1;
Abla;Primaria;Número de centros;1;
Abla;Educación especial;Número de centros;-;
Abla;E.S.O.;Número de centros;1;
Abla;Bachillerato;Número de centros;-;
Abla;Cursos acceso a otros niveles;Número de centros;-;
Abla;Formación Profesional Básica;Número de centros;-;
Abla;C. F. Grado Medio;Número de centros;-;
Abla;C. F. Grado Superior;Número de centros;-;
Abla;Enseñanzas de Régimen Especial;Número de centros;-;
Abrucena;Infantil 1º ciclo;Número de centros;-;
Abrucena;Infantil 2º ciclo;Número de centros;1;
Abrucena;Primaria;Número de centros;1;
Abrucena;Educación especial;Número de centros;1;
Abrucena;E.S.O.;Número de centros;1;
Abrucena;Bachillerato;Número de centros;-;
Abrucena;Cursos acceso a otros niveles;Número de centros;-;
Abrucena;Formación Profesional Básica;Número de centros;-;
Abrucena;C. F. Grado Medio;Número de centros;-;
Abrucena;C. F. Grado Superior;Número de centros;-;
Abrucena;Enseñanzas de Régimen Especial;Número de centros;-;
Adra;Infantil 1º ciclo;Número de centros;1;
Adra;Infantil 2º ciclo;Número de centros;8;
Adra;Primaria;Número de centros;8;
Adra;Educación especial;Número de centros;4;
Adra;E.S.O.;Número de centros;5;
Adra;Bachillerato;Número de centros;2;
Adra;Cursos acceso a otros niveles;Número de centros;1;
Adra;Formación Profesional Básica;Número de centros;1;
Adra;C. F. Grado Medio;Número de centros;3;
Adra;C. F. Grado Superior;Número de centros;2;
Adra;Enseñanzas de Régimen Especial;Número de centros;-;
Albanchez;Infantil 1º ciclo;Número de centros;-;
Albanchez;Infantil 2º ciclo;Número de centros;1;
Albanchez;Primaria;Número de centros;1;
Albanchez;Educación especial;Número de centros;-;
Albanchez;E.S.O.;Número de centros;1;
Albanchez;Bachillerato;Número de centros;-;
Albanchez;Cursos acceso a otros niveles;Número de centros;-;
Albanchez;Formación Profesional Básica;Número de centros;-;
Albanchez;C. F. Grado Medio;Número de centros;-;
Albanchez;C. F. Grado Superior;Número de centros;-;
Albanchez;Enseñanzas de Régimen Especial;Número de centros;-;
Alboloduy;Infantil 1º ciclo;Número de centros;1;
Alboloduy;Infantil 2º ciclo;Número de centros;1;
Alboloduy;Primaria;Número de centros;1;
Alboloduy;Educación especial;Número de centros;-;
Alboloduy;E.S.O.;Número de centros;-;
Alboloduy;Bachillerato;Número de centros;-;
Alboloduy;Cursos acceso a otros niveles;Número de centros;-;
Alboloduy;Formación Profesional Básica;Número de centros;-;
Alboloduy;C. F. Grado Medio;Número de centros;-;
Alboloduy;C. F. Grado Superior;Número de centros;-;
Alboloduy;Enseñanzas de Régimen Especial;Número de centros;-;
Albox;Infantil 1º ciclo;Número de centros;1;
Albox;Infantil 2º ciclo;Número de centros;3;
Albox;Primaria;Número de centros;3;
Albox;Educación especial;Número de centros;2;
Albox;E.S.O.;Número de centros;2;
Albox;Bachillerato;Número de centros;2;
Albox;Cursos acceso a otros niveles;Número de centros;-;
Albox;Formación Profesional Básica;Número de centros;2;
Albox;C. F. Grado Medio;Número de centros;2;
Albox;C. F. Grado Superior;Número de centros;2;
Albox;Enseñanzas de Régimen Especial;Número de centros;2;
Alcolea;Infantil 1º ciclo;Número de centros;1;
Alcolea;Infantil 2º ciclo;Número de centros;1;
Alcolea;Primaria;Número de centros;1;
Alcolea;Educación especial;Número de centros;-;
Alcolea;E.S.O.;Número de centros;-;
Alcolea;Bachillerato;Número de centros;-;
Alcolea;Cursos acceso a otros niveles;Número de centros;-;
Alcolea;Formación Profesional Básica;Número de centros;-;
Alcolea;C. F. Grado Medio;Número de centros;-;
Alcolea;C. F. Grado Superior;Número de centros;-;
Alcolea;Enseñanzas de Régimen Especial;Número de centros;-;
Alhabia;Infantil 1º ciclo;Número de centros;-;
Alhabia;Infantil 2º ciclo;Número de centros;1;
Alhabia;Primaria;Número de centros;1;
Alhabia;Educación especial;Número de centros;-;
Alhabia;E.S.O.;Número de centros;1;
Alhabia;Bachillerato;Número de centros;-;
Alhabia;Cursos acceso a otros niveles;Número de centros;-;
Alhabia;Formación Profesional Básica;Número de centros;-;
Alhabia;C. F. Grado Medio;Número de centros;-;
Alhabia;C. F. Grado Superior;Número de centros;-;
Alhabia;Enseñanzas de Régimen Especial;Número de centros;-;
Alhama de Almería;Infantil 1º ciclo;Número de centros;1;
Alhama de Almería;Infantil 2º ciclo;Número de centros;1;
Alhama de Almería;Primaria;Número de centros;1;
Alhama de Almería;Educación especial;Número de centros;1;
Alhama de Almería;E.S.O.;Número de centros;1;
Alhama de Almería;Bachillerato;Número de centros;1;
Alhama de Almería;Cursos acceso a otros niveles;Número de centros;-;
Alhama de Almería;Formación Profesional Básica;Número de centros;-;
Alhama de Almería;C. F. Grado Medio;Número de centros;-;
Alhama de Almería;C. F. Grado Superior;Número de centros;-;
Alhama de Almería;Enseñanzas de Régimen Especial;Número de centros;-;
Alicún;Infantil 1º ciclo;Número de centros;-;
Alicún;Infantil 2º ciclo;Número de centros;1;
Alicún;Primaria;Número de centros;1;
Alicún;Educación especial;Número de centros;-;
Alicún;E.S.O.;Número de centros;1;
Alicún;Bachillerato;Número de centros;-;
Alicún;Cursos acceso a otros niveles;Número de centros;-;
Alicún;Formación Profesional Básica;Número de centros;-;
Alicún;C. F. Grado Medio;Número de centros;-;
Alicún;C. F. Grado Superior;Número de centros;-;
Alicún;Enseñanzas de Régimen Especial;Número de centros;-;
Almería (capital);Infantil 1º ciclo;Número de centros;11;
Almería (capital);Infantil 2º ciclo;Número de centros;41;
Almería (capital);Primaria;Número de centros;40;
Almería (capital);Educación especial;Número de centros;38;
Almería (capital);E.S.O.;Número de centros;20;
Almería (capital);Bachillerato;Número de centros;17;
Almería (capital);Cursos acceso a otros niveles;Número de centros;1;
Almería (capital);Formación Profesional Básica;Número de centros;12;
Almería (capital);C. F. Grado Medio;Número de centros;13;
Almería (capital);C. F. Grado Superior;Número de centros;15;
Almería (capital);Enseñanzas de Régimen Especial;Número de centros;5;
Antas;Infantil 1º ciclo;Número de centros;1;
Antas;Infantil 2º ciclo;Número de centros;1;
Antas;Primaria;Número de centros;1;
Antas;Educación especial;Número de centros;-;
Antas;E.S.O.;Número de centros;1;
Antas;Bachillerato;Número de centros;-;
Antas;Cursos acceso a otros niveles;Número de centros;-;
Antas;Formación Profesional Básica;Número de centros;-;
Antas;C. F. Grado Medio;Número de centros;-;
Antas;C. F. Grado Superior;Número de centros;-;
Antas;Enseñanzas de Régimen Especial;Número de centros;-;
Arboleas;Infantil 1º ciclo;Número de centros;1;
Arboleas;Infantil 2º ciclo;Número de centros;1;
Arboleas;Primaria;Número de centros;1;
Arboleas;Educación especial;Número de centros;1;
Arboleas;E.S.O.;Número de centros;1;
Arboleas;Bachillerato;Número de centros;-;
Arboleas;Cursos acceso a otros niveles;Número de centros;-;
Arboleas;Formación Profesional Básica;Número de centros;-;
Arboleas;C. F. Grado Medio;Número de centros;-;
Arboleas;C. F. Grado Superior;Número de centros;-;
Arboleas;Enseñanzas de Régimen Especial;Número de centros;-;
Armuña de Almanzora;Infantil 1º ciclo;Número de centros;-;
Armuña de Almanzora;Infantil 2º ciclo;Número de centros;1;
Armuña de Almanzora;Primaria;Número de centros;1;
Armuña de Almanzora;Educación especial;Número de centros;-;
Armuña de Almanzora;E.S.O.;Número de centros;-;
Armuña de Almanzora;Bachillerato;Número de centros;-;
Armuña de Almanzora;Cursos acceso a otros niveles;Número de centros;-;
Armuña de Almanzora;Formación Profesional Básica;Número de centros;-;
Armuña de Almanzora;C. F. Grado Medio;Número de centros;-;
Armuña de Almanzora;C. F. Grado Superior;Número de centros;-;
Armuña de Almanzora;Enseñanzas de Régimen Especial;Número de centros;-;
Balanegra;Infantil 1º ciclo;Número de centros;1;
Balanegra;Infantil 2º ciclo;Número de centros;1;
Balanegra;Primaria;Número de centros;1;
Balanegra;Educación especial;Número de centros;-;
Balanegra;E.S.O.;Número de centros;1;
Balanegra;Bachillerato;Número de centros;-;
Balanegra;Cursos acceso a otros niveles;Número de centros;-;
Balanegra;Formación Profesional Básica;Número de centros;-;
Balanegra;C. F. Grado Medio;Número de centros;-;
Balanegra;C. F. Grado Superior;Número de centros;-;
Balanegra;Enseñanzas de Régimen Especial;Número de centros;-;
Bayárcal;Infantil 1º ciclo;Número de centros;-;
Bayárcal;Infantil 2º ciclo;Número de centros;1;
Bayárcal;Primaria;Número de centros;1;
Bayárcal;Educación especial;Número de centros;-;
Bayárcal;E.S.O.;Número de centros;-;
Bayárcal;Bachillerato;Número de centros;-;
Bayárcal;Cursos acceso a otros niveles;Número de centros;-;
Bayárcal;Formación Profesional Básica;Número de centros;-;
Bayárcal;C. F. Grado Medio;Número de centros;-;
Bayárcal;C. F. Grado Superior;Número de centros;-;
Bayárcal;Enseñanzas de Régimen Especial;Número de centros;-;
Bédar;Infantil 1º ciclo;Número de centros;-;
Bédar;Infantil 2º ciclo;Número de centros;1;
Bédar;Primaria;Número de centros;1;
Bédar;Educación especial;Número de centros;-;
Bédar;E.S.O.;Número de centros;-;
Bédar;Bachillerato;Número de centros;-;
Bédar;Cursos acceso a otros niveles;Número de centros;-;
Bédar;Formación Profesional Básica;Número de centros;-;
Bédar;C. F. Grado Medio;Número de centros;-;
Bédar;C. F. Grado Superior;Número de centros;-;
Bédar;Enseñanzas de Régimen Especial;Número de centros;-;
Benahadux;Infantil 1º ciclo;Número de centros;1;
Benahadux;Infantil 2º ciclo;Número de centros;1;
Benahadux;Primaria;Número de centros;1;
Benahadux;Educación especial;Número de centros;-;
Benahadux;E.S.O.;Número de centros;1;
Benahadux;Bachillerato;Número de centros;-;
Benahadux;Cursos acceso a otros niveles;Número de centros;-;
Benahadux;Formación Profesional Básica;Número de centros;-;
Benahadux;C. F. Grado Medio;Número de centros;-;
Benahadux;C. F. Grado Superior;Número de centros;-;
Benahadux;Enseñanzas de Régimen Especial;Número de centros;-;
Berja;Infantil 1º ciclo;Número de centros;1;
Berja;Infantil 2º ciclo;Número de centros;3;
Berja;Primaria;Número de centros;3;
Berja;Educación especial;Número de centros;4;
Berja;E.S.O.;Número de centros;2;
Berja;Bachillerato;Número de centros;1;
Berja;Cursos acceso a otros niveles;Número de centros;-;
Berja;Formación Profesional Básica;Número de centros;1;
Berja;C. F. Grado Medio;Número de centros;1;
Berja;C. F. Grado Superior;Número de centros;-;
Berja;Enseñanzas de Régimen Especial;Número de centros;-;
Canjáyar;Infantil 1º ciclo;Número de centros;-;
Canjáyar;Infantil 2º ciclo;Número de centros;1;
Canjáyar;Primaria;Número de centros;1;
Canjáyar;Educación especial;Número de centros;-;
Canjáyar;E.S.O.;Número de centros;1;
Canjáyar;Bachillerato;Número de centros;1;
Canjáyar;Cursos acceso a otros niveles;Número de centros;-;
Canjáyar;Formación Profesional Básica;Número de centros;-;
Canjáyar;C. F. Grado Medio;Número de centros;-;
Canjáyar;C. F. Grado Superior;Número de centros;-;
Canjáyar;Enseñanzas de Régimen Especial;Número de centros;-;
Cantoria;Infantil 1º ciclo;Número de centros;1;
Cantoria;Infantil 2º ciclo;Número de centros;1;
Cantoria;Primaria;Número de centros;1;
Cantoria;Educación especial;Número de centros;-;
Cantoria;E.S.O.;Número de centros;1;
Cantoria;Bachillerato;Número de centros;1;
Cantoria;Cursos acceso a otros niveles;Número de centros;-;
Cantoria;Formación Profesional Básica;Número de centros;-;
Cantoria;C. F. Grado Medio;Número de centros;-;
Cantoria;C. F. Grado Superior;Número de centros;-;
Cantoria;Enseñanzas de Régimen Especial;Número de centros;-;
Carboneras;Infantil 1º ciclo;Número de centros;1;
Carboneras;Infantil 2º ciclo;Número de centros;4;
Carboneras;Primaria;Número de centros;3;
Carboneras;Educación especial;Número de centros;2;
Carboneras;E.S.O.;Número de centros;1;
Carboneras;Bachillerato;Número de centros;1;
Carboneras;Cursos acceso a otros niveles;Número de centros;-;
Carboneras;Formación Profesional Básica;Número de centros;1;
Carboneras;C. F. Grado Medio;Número de centros;1;
Carboneras;C. F. Grado Superior;Número de centros;-;
Carboneras;Enseñanzas de Régimen Especial;Número de centros;-;
Chirivel;Infantil 1º ciclo;Número de centros;1;
Chirivel;Infantil 2º ciclo;Número de centros;1;
Chirivel;Primaria;Número de centros;1;
Chirivel;Educación especial;Número de centros;-;
Chirivel;E.S.O.;Número de centros;1;
Chirivel;Bachillerato;Número de centros;-;
Chirivel;Cursos acceso a otros niveles;Número de centros;-;
Chirivel;Formación Profesional Básica;Número de centros;-;
Chirivel;C. F. Grado Medio;Número de centros;-;
Chirivel;C. F. Grado Superior;Número de centros;-;
Chirivel;Enseñanzas de Régimen Especial;Número de centros;-;
Cuevas del Almanzora;Infantil 1º ciclo;Número de centros;2;
Cuevas del Almanzora;Infantil 2º ciclo;Número de centros;6;
Cuevas del Almanzora;Primaria;Número de centros;6;
Cuevas del Almanzora;Educación especial;Número de centros;2;
Cuevas del Almanzora;E.S.O.;Número de centros;2;
Cuevas del Almanzora;Bachillerato;Número de centros;1;
Cuevas del Almanzora;Cursos acceso a otros niveles;Número de centros;-;
Cuevas del Almanzora;Formación Profesional Básica;Número de centros;1;
Cuevas del Almanzora;C. F. Grado Medio;Número de centros;1;
Cuevas del Almanzora;C. F. Grado Superior;Número de centros;1;
Cuevas del Almanzora;Enseñanzas de Régimen Especial;Número de centros;2;
Dalías;Infantil 1º ciclo;Número de centros;1;
Dalías;Infantil 2º ciclo;Número de centros;1;
Dalías;Primaria;Número de centros;1;
Dalías;Educación especial;Número de centros;-;
Dalías;E.S.O.;Número de centros;1;
Dalías;Bachillerato;Número de centros;-;
Dalías;Cursos acceso a otros niveles;Número de centros;-;
Dalías;Formación Profesional Básica;Número de centros;-;
Dalías;C. F. Grado Medio;Número de centros;-;
Dalías;C. F. Grado Superior;Número de centros;-;
Dalías;Enseñanzas de Régimen Especial;Número de centros;-;
El Ejido;Infantil 1º ciclo;Número de centros;6;
El Ejido;Infantil 2º ciclo;Número de centros;22;
El Ejido;Primaria;Número de centros;19;
El Ejido;Educación especial;Número de centros;18;
El Ejido;E.S.O.;Número de centros;11;
El Ejido;Bachillerato;Número de centros;6;
El Ejido;Cursos acceso a otros niveles;Número de centros;1;
El Ejido;Formación Profesional Básica;Número de centros;5;
El Ejido;C. F. Grado Medio;Número de centros;6;
El Ejido;C. F. Grado Superior;Número de centros;4;
El Ejido;Enseñanzas de Régimen Especial;Número de centros;2;
Felix;Infantil 1º ciclo;Número de centros;-;
Felix;Infantil 2º ciclo;Número de centros;1;
Felix;Primaria;Número de centros;1;
Felix;Educación especial;Número de centros;-;
Felix;E.S.O.;Número de centros;1;
Felix;Bachillerato;Número de centros;-;
Felix;Cursos acceso a otros niveles;Número de centros;-;
Felix;Formación Profesional Básica;Número de centros;-;
Felix;C. F. Grado Medio;Número de centros;-;
Felix;C. F. Grado Superior;Número de centros;-;
Felix;Enseñanzas de Régimen Especial;Número de centros;-;
Fines;Infantil 1º ciclo;Número de centros;1;
Fines;Infantil 2º ciclo;Número de centros;1;
Fines;Primaria;Número de centros;1;
Fines;Educación especial;Número de centros;-;
Fines;E.S.O.;Número de centros;1;
Fines;Bachillerato;Número de centros;-;
Fines;Cursos acceso a otros niveles;Número de centros;-;
Fines;Formación Profesional Básica;Número de centros;-;
Fines;C. F. Grado Medio;Número de centros;-;
Fines;C. F. Grado Superior;Número de centros;-;
Fines;Enseñanzas de Régimen Especial;Número de centros;-;
Fiñana;Infantil 1º ciclo;Número de centros;1;
Fiñana;Infantil 2º ciclo;Número de centros;1;
Fiñana;Primaria;Número de centros;1;
Fiñana;Educación especial;Número de centros;2;
Fiñana;E.S.O.;Número de centros;1;
Fiñana;Bachillerato;Número de centros;1;
Fiñana;Cursos acceso a otros niveles;Número de centros;-;
Fiñana;Formación Profesional Básica;Número de centros;-;
Fiñana;C. F. Grado Medio;Número de centros;1;
Fiñana;C. F. Grado Superior;Número de centros;-;
Fiñana;Enseñanzas de Régimen Especial;Número de centros;-;
Gádor;Infantil 1º ciclo;Número de centros;1;
Gádor;Infantil 2º ciclo;Número de centros;1;
Gádor;Primaria;Número de centros;1;
Gádor;Educación especial;Número de centros;1;
Gádor;E.S.O.;Número de centros;1;
Gádor;Bachillerato;Número de centros;-;
Gádor;Cursos acceso a otros niveles;Número de centros;-;
Gádor;Formación Profesional Básica;Número de centros;-;
Gádor;C. F. Grado Medio;Número de centros;-;
Gádor;C. F. Grado Superior;Número de centros;-;
Gádor;Enseñanzas de Régimen Especial;Número de centros;-;
Garrucha;Infantil 1º ciclo;Número de centros;1;
Garrucha;Infantil 2º ciclo;Número de centros;2;
Garrucha;Primaria;Número de centros;2;
Garrucha;Educación especial;Número de centros;1;
Garrucha;E.S.O.;Número de centros;1;
Garrucha;Bachillerato;Número de centros;1;
Garrucha;Cursos acceso a otros niveles;Número de centros;-;
Garrucha;Formación Profesional Básica;Número de centros;-;
Garrucha;C. F. Grado Medio;Número de centros;-;
Garrucha;C. F. Grado Superior;Número de centros;-;
Garrucha;Enseñanzas de Régimen Especial;Número de centros;-;
Gérgal;Infantil 1º ciclo;Número de centros;-;
Gérgal;Infantil 2º ciclo;Número de centros;1;
Gérgal;Primaria;Número de centros;1;
Gérgal;Educación especial;Número de centros;1;
Gérgal;E.S.O.;Número de centros;1;
Gérgal;Bachillerato;Número de centros;-;
Gérgal;Cursos acceso a otros niveles;Número de centros;-;
Gérgal;Formación Profesional Básica;Número de centros;-;
Gérgal;C. F. Grado Medio;Número de centros;-;
Gérgal;C. F. Grado Superior;Número de centros;-;
Gérgal;Enseñanzas de Régimen Especial;Número de centros;-;
Huércal de Almería;Infantil 1º ciclo;Número de centros;-;
Huércal de Almería;Infantil 2º ciclo;Número de centros;4;
Huércal de Almería;Primaria;Número de centros;4;
Huércal de Almería;Educación especial;Número de centros;3;
Huércal de Almería;E.S.O.;Número de centros;2;
Huércal de Almería;Bachillerato;Número de centros;1;
Huércal de Almería;Cursos acceso a otros niveles;Número de centros;-;
Huércal de Almería;Formación Profesional Básica;Número de centros;1;
Huércal de Almería;C. F. Grado Medio;Número de centros;-;
Huércal de Almería;C. F. Grado Superior;Número de centros;-;
Huércal de Almería;Enseñanzas de Régimen Especial;Número de centros;-;
Huércal-Overa;Infantil 1º ciclo;Número de centros;1;
Huércal-Overa;Infantil 2º ciclo;Número de centros;5;
Huércal-Overa;Primaria;Número de centros;5;
Huércal-Overa;Educación especial;Número de centros;3;
Huércal-Overa;E.S.O.;Número de centros;3;
Huércal-Overa;Bachillerato;Número de centros;2;
Huércal-Overa;Cursos acceso a otros niveles;Número de centros;1;
Huércal-Overa;Formación Profesional Básica;Número de centros;1;
Huércal-Overa;C. F. Grado Medio;Número de centros;2;
Huércal-Overa;C. F. Grado Superior;Número de centros;2;
Huércal-Overa;Enseñanzas de Régimen Especial;Número de centros;1;
Instinción;Infantil 1º ciclo;Número de centros;-;
Instinción;Infantil 2º ciclo;Número de centros;1;
Instinción;Primaria;Número de centros;1;
Instinción;Educación especial;Número de centros;-;
Instinción;E.S.O.;Número de centros;-;
Instinción;Bachillerato;Número de centros;-;
Instinción;Cursos acceso a otros niveles;Número de centros;-;
Instinción;Formación Profesional Básica;Número de centros;-;
Instinción;C. F. Grado Medio;Número de centros;-;
Instinción;C. F. Grado Superior;Número de centros;-;
Instinción;Enseñanzas de Régimen Especial;Número de centros;-;
La Mojonera;Infantil 1º ciclo;Número de centros;2;
La Mojonera;Infantil 2º ciclo;Número de centros;4;
La Mojonera;Primaria;Número de centros;4;
La Mojonera;Educación especial;Número de centros;2;
La Mojonera;E.S.O.;Número de centros;2;
La Mojonera;Bachillerato;Número de centros;1;
La Mojonera;Cursos acceso a otros niveles;Número de centros;-;
La Mojonera;Formación Profesional Básica;Número de centros;1;
La Mojonera;C. F. Grado Medio;Número de centros;1;
La Mojonera;C. F. Grado Superior;Número de centros;-;
La Mojonera;Enseñanzas de Régimen Especial;Número de centros;-;
Laujar de Andarax;Infantil 1º ciclo;Número de centros;1;
Laujar de Andarax;Infantil 2º ciclo;Número de centros;1;
Laujar de Andarax;Primaria;Número de centros;1;
Laujar de Andarax;Educación especial;Número de centros;-;
Laujar de Andarax;E.S.O.;Número de centros;1;
Laujar de Andarax;Bachillerato;Número de centros;-;
Laujar de Andarax;Cursos acceso a otros niveles;Número de centros;-;
Laujar de Andarax;Formación Profesional Básica;Número de centros;1;
Laujar de Andarax;C. F. Grado Medio;Número de centros;-;
Laujar de Andarax;C. F. Grado Superior;Número de centros;-;
Laujar de Andarax;Enseñanzas de Régimen Especial;Número de centros;-;
Los Gallardos;Infantil 1º ciclo;Número de centros;1;
Los Gallardos;Infantil 2º ciclo;Número de centros;1;
Los Gallardos;Primaria;Número de centros;1;
Los Gallardos;Educación especial;Número de centros;1;
Los Gallardos;E.S.O.;Número de centros;1;
Los Gallardos;Bachillerato;Número de centros;-;
Los Gallardos;Cursos acceso a otros niveles;Número de centros;-;
Los Gallardos;Formación Profesional Básica;Número de centros;-;
Los Gallardos;C. F. Grado Medio;Número de centros;-;
Los Gallardos;C. F. Grado Superior;Número de centros;-;
Los Gallardos;Enseñanzas de Régimen Especial;Número de centros;-;
Lubrín;Infantil 1º ciclo;Número de centros;1;
Lubrín;Infantil 2º ciclo;Número de centros;1;
Lubrín;Primaria;Número de centros;1;
Lubrín;Educación especial;Número de centros;-;
Lubrín;E.S.O.;Número de centros;1;
Lubrín;Bachillerato;Número de centros;-;
Lubrín;Cursos acceso a otros niveles;Número de centros;-;
Lubrín;Formación Profesional Básica;Número de centros;-;
Lubrín;C. F. Grado Medio;Número de centros;-;
Lubrín;C. F. Grado Superior;Número de centros;-;
Lubrín;Enseñanzas de Régimen Especial;Número de centros;-;
Lucainena de las Torres;Infantil 1º ciclo;Número de centros;-;
Lucainena de las Torres;Infantil 2º ciclo;Número de centros;1;
Lucainena de las Torres;Primaria;Número de centros;1;
Lucainena de las Torres;Educación especial;Número de centros;-;
Lucainena de las Torres;E.S.O.;Número de centros;-;
Lucainena de las Torres;Bachillerato;Número de centros;-;
Lucainena de las Torres;Cursos acceso a otros niveles;Número de centros;-;
Lucainena de las Torres;Formación Profesional Básica;Número de centros;-;
Lucainena de las Torres;C. F. Grado Medio;Número de centros;-;
Lucainena de las Torres;C. F. Grado Superior;Número de centros;-;
Lucainena de las Torres;Enseñanzas de Régimen Especial;Número de centros;-;
Lúcar;Infantil 1º ciclo;Número de centros;1;
Lúcar;Infantil 2º ciclo;Número de centros;-;
Lúcar;Primaria;Número de centros;-;
Lúcar;Educación especial;Número de centros;-;
Lúcar;E.S.O.;Número de centros;-;
Lúcar;Bachillerato;Número de centros;-;
Lúcar;Cursos acceso a otros niveles;Número de centros;-;
Lúcar;Formación Profesional Básica;Número de centros;-;
Lúcar;C. F. Grado Medio;Número de centros;-;
Lúcar;C. F. Grado Superior;Número de centros;-;
Lúcar;Enseñanzas de Régimen Especial;Número de centros;-;
Macael;Infantil 1º ciclo;Número de centros;1;
Macael;Infantil 2º ciclo;Número de centros;2;
Macael;Primaria;Número de centros;2;
Macael;Educación especial;Número de centros;-;
Macael;E.S.O.;Número de centros;1;
Macael;Bachillerato;Número de centros;1;
Macael;Cursos acceso a otros niveles;Número de centros;-;
Macael;Formación Profesional Básica;Número de centros;1;
Macael;C. F. Grado Medio;Número de centros;1;
Macael;C. F. Grado Superior;Número de centros;2;
Macael;Enseñanzas de Régimen Especial;Número de centros;1;
María;Infantil 1º ciclo;Número de centros;1;
María;Infantil 2º ciclo;Número de centros;1;
María;Primaria;Número de centros;1;
María;Educación especial;Número de centros;-;
María;E.S.O.;Número de centros;1;
María;Bachillerato;Número de centros;-;
María;Cursos acceso a otros niveles;Número de centros;-;
María;Formación Profesional Básica;Número de centros;-;
María;C. F. Grado Medio;Número de centros;-;
María;C. F. Grado Superior;Número de centros;-;
María;Enseñanzas de Régimen Especial;Número de centros;-;
Mojácar;Infantil 1º ciclo;Número de centros;1;
Mojácar;Infantil 2º ciclo;Número de centros;1;
Mojácar;Primaria;Número de centros;1;
Mojácar;Educación especial;Número de centros;-;
Mojácar;E.S.O.;Número de centros;1;
Mojácar;Bachillerato;Número de centros;-;
Mojácar;Cursos acceso a otros niveles;Número de centros;-;
Mojácar;Formación Profesional Básica;Número de centros;-;
Mojácar;C. F. Grado Medio;Número de centros;1;
Mojácar;C. F. Grado Superior;Número de centros;-;
Mojácar;Enseñanzas de Régimen Especial;Número de centros;-;
Nacimiento;Infantil 1º ciclo;Número de centros;-;
Nacimiento;Infantil 2º ciclo;Número de centros;1;
Nacimiento;Primaria;Número de centros;1;
Nacimiento;Educación especial;Número de centros;-;
Nacimiento;E.S.O.;Número de centros;-;
Nacimiento;Bachillerato;Número de centros;-;
Nacimiento;Cursos acceso a otros niveles;Número de centros;-;
Nacimiento;Formación Profesional Básica;Número de centros;-;
Nacimiento;C. F. Grado Medio;Número de centros;-;
Nacimiento;C. F. Grado Superior;Número de centros;-;
Nacimiento;Enseñanzas de Régimen Especial;Número de centros;-;
Níjar;Infantil 1º ciclo;Número de centros;5;
Níjar;Infantil 2º ciclo;Número de centros;10;
Níjar;Primaria;Número de centros;8;
Níjar;Educación especial;Número de centros;6;
Níjar;E.S.O.;Número de centros;3;
Níjar;Bachillerato;Número de centros;1;
Níjar;Cursos acceso a otros niveles;Número de centros;-;
Níjar;Formación Profesional Básica;Número de centros;2;
Níjar;C. F. Grado Medio;Número de centros;1;
Níjar;C. F. Grado Superior;Número de centros;-;
Níjar;Enseñanzas de Régimen Especial;Número de centros;1;
Olula del Río;Infantil 1º ciclo;Número de centros;1;
Olula del Río;Infantil 2º ciclo;Número de centros;2;
Olula del Río;Primaria;Número de centros;2;
Olula del Río;Educación especial;Número de centros;2;
Olula del Río;E.S.O.;Número de centros;1;
Olula del Río;Bachillerato;Número de centros;1;
Olula del Río;Cursos acceso a otros niveles;Número de centros;1;
Olula del Río;Formación Profesional Básica;Número de centros;1;
Olula del Río;C. F. Grado Medio;Número de centros;1;
Olula del Río;C. F. Grado Superior;Número de centros;-;
Olula del Río;Enseñanzas de Régimen Especial;Número de centros;1;
Oria;Infantil 1º ciclo;Número de centros;1;
Oria;Infantil 2º ciclo;Número de centros;1;
Oria;Primaria;Número de centros;1;
Oria;Educación especial;Número de centros;1;
Oria;E.S.O.;Número de centros;1;
Oria;Bachillerato;Número de centros;-;
Oria;Cursos acceso a otros niveles;Número de centros;-;
Oria;Formación Profesional Básica;Número de centros;-;
Oria;C. F. Grado Medio;Número de centros;-;
Oria;C. F. Grado Superior;Número de centros;-;
Oria;Enseñanzas de Régimen Especial;Número de centros;-;
Pechina;Infantil 1º ciclo;Número de centros;1;
Pechina;Infantil 2º ciclo;Número de centros;1;
Pechina;Primaria;Número de centros;1;
Pechina;Educación especial;Número de centros;1;
Pechina;E.S.O.;Número de centros;1;
Pechina;Bachillerato;Número de centros;-;
Pechina;Cursos acceso a otros niveles;Número de centros;-;
Pechina;Formación Profesional Básica;Número de centros;-;
Pechina;C. F. Grado Medio;Número de centros;-;
Pechina;C. F. Grado Superior;Número de centros;-;
Pechina;Enseñanzas de Régimen Especial;Número de centros;-;
Pulpí;Infantil 1º ciclo;Número de centros;1;
Pulpí;Infantil 2º ciclo;Número de centros;3;
Pulpí;Primaria;Número de centros;3;
Pulpí;Educación especial;Número de centros;2;
Pulpí;E.S.O.;Número de centros;1;
Pulpí;Bachillerato;Número de centros;1;
Pulpí;Cursos acceso a otros niveles;Número de centros;-;
Pulpí;Formación Profesional Básica;Número de centros;1;
Pulpí;C. F. Grado Medio;Número de centros;1;
Pulpí;C. F. Grado Superior;Número de centros;-;
Pulpí;Enseñanzas de Régimen Especial;Número de centros;1;
Purchena;Infantil 1º ciclo;Número de centros;1;
