Territorio;Tipo de centros asistenciales;Medida;Valor;
Alboloduy;Residencia de ancianos;Superficie solar;-;
Alboloduy;Guarderías infantiles;Nº centros;1;
Alboloduy;Guarderías infantiles;Plazas;30;
Alboloduy;Guarderías infantiles;Superficie cubierta;145;
Alboloduy;Guarderías infantiles;Superficie aire libre;35;
Alboloduy;Guarderías infantiles;Superficie solar;180;
Alboloduy;Albergues municipales;Nº centros;-;
Alboloduy;Albergues municipales;Plazas;-;
Alboloduy;Albergues municipales;Superficie cubierta;-;
Alboloduy;Albergues municipales;Superficie aire libre;-;
Alboloduy;Albergues municipales;Superficie solar;-;
Alboloduy;Rehabilitación toxicómanos;Nº centros;-;
Alboloduy;Rehabilitación toxicómanos;Plazas;-;
Alboloduy;Rehabilitación toxicómanos;Superficie cubierta;-;
Alboloduy;Rehabilitación toxicómanos;Superficie aire libre;-;
Alboloduy;Rehabilitación toxicómanos;Superficie solar;-;
Alboloduy;Otros;Nº centros;-;
Alboloduy;Otros;Plazas;-;
Alboloduy;Otros;Superficie cubierta;-;
Alboloduy;Otros;Superficie aire libre;-;
Alboloduy;Otros;Superficie solar;-;
Alboloduy;TOTAL;Nº centros;1;
Alboloduy;TOTAL;Plazas;30;
Alboloduy;TOTAL;Superficie cubierta;145;
Alboloduy;TOTAL;Superficie aire libre;35;
Alboloduy;TOTAL;Superficie solar;180;
Albox;Centro de asistencia social;Nº centros;2;
Albox;Centro de asistencia social;Plazas;48;
Albox;Centro de asistencia social;Superficie cubierta;4373;
Albox;Centro de asistencia social;Superficie aire libre;8983;
Albox;Centro de asistencia social;Superficie solar;10999;
Albox;Residencia de ancianos;Nº centros;1;
Albox;Residencia de ancianos;Plazas;50;
Albox;Residencia de ancianos;Superficie cubierta;1296;
Albox;Residencia de ancianos;Superficie aire libre;60;
Albox;Residencia de ancianos;Superficie solar;767;
Albox;Guarderías infantiles;Nº centros;2;
Albox;Guarderías infantiles;Plazas;222;
Albox;Guarderías infantiles;Superficie cubierta;1667;
Albox;Guarderías infantiles;Superficie aire libre;1749;
Albox;Guarderías infantiles;Superficie solar;3416;
Albox;Albergues municipales;Nº centros;-;
Albox;Albergues municipales;Plazas;-;
Albox;Albergues municipales;Superficie cubierta;-;
Albox;Albergues municipales;Superficie aire libre;-;
Albox;Albergues municipales;Superficie solar;-;
Albox;Rehabilitación toxicómanos;Nº centros;-;
Albox;Rehabilitación toxicómanos;Plazas;-;
Albox;Rehabilitación toxicómanos;Superficie cubierta;-;
Albox;Rehabilitación toxicómanos;Superficie aire libre;-;
Albox;Rehabilitación toxicómanos;Superficie solar;-;
Albox;Otros;Nº centros;2;
Albox;Otros;Plazas;140;
Albox;Otros;Superficie cubierta;2267;
Albox;Otros;Superficie aire libre;1496;
Albox;Otros;Superficie solar;2505;
Albox;TOTAL;Nº centros;7;
Albox;TOTAL;Plazas;460;
Albox;TOTAL;Superficie cubierta;9603;
Albox;TOTAL;Superficie aire libre;12288;
Albox;TOTAL;Superficie solar;17687;
Alcolea;Centro de asistencia social;Nº centros;-;
Alcolea;Centro de asistencia social;Plazas;-;
Alcolea;Centro de asistencia social;Superficie cubierta;-;
Alcolea;Centro de asistencia social;Superficie aire libre;-;
Alcolea;Centro de asistencia social;Superficie solar;-;
Alcolea;Residencia de ancianos;Nº centros;-;
Alcolea;Residencia de ancianos;Plazas;-;
Alcolea;Residencia de ancianos;Superficie cubierta;-;
Alcolea;Residencia de ancianos;Superficie aire libre;-;
Alcolea;Residencia de ancianos;Superficie solar;-;
Alcolea;Guarderías infantiles;Nº centros;1;
Alcolea;Guarderías infantiles;Plazas;15;
Alcolea;Guarderías infantiles;Superficie cubierta;95;
Alcolea;Guarderías infantiles;Superficie aire libre;0;
Alcolea;Guarderías infantiles;Superficie solar;95;
Alcolea;Albergues municipales;Nº centros;-;
Alcolea;Albergues municipales;Plazas;-;
Alcolea;Albergues municipales;Superficie cubierta;-;
Alcolea;Albergues municipales;Superficie aire libre;-;
Alcolea;Albergues municipales;Superficie solar;-;
Alcolea;Rehabilitación toxicómanos;Nº centros;-;
Alcolea;Rehabilitación toxicómanos;Plazas;-;
Alcolea;Rehabilitación toxicómanos;Superficie cubierta;-;
Alcolea;Rehabilitación toxicómanos;Superficie aire libre;-;
Alcolea;Rehabilitación toxicómanos;Superficie solar;-;
Alcolea;Otros;Nº centros;-;
Alcolea;Otros;Plazas;-;
Alcolea;Otros;Superficie cubierta;-;
Alcolea;Otros;Superficie aire libre;-;
Alcolea;Otros;Superficie solar;-;
Alcolea;TOTAL;Nº centros;1;
Alcolea;TOTAL;Plazas;15;
Alcolea;TOTAL;Superficie cubierta;95;
Alcolea;TOTAL;Superficie aire libre;0;
Alcolea;TOTAL;Superficie solar;95;
Alhama de Almería;Centro de asistencia social;Nº centros;-;
Alhama de Almería;Centro de asistencia social;Plazas;-;
Alhama de Almería;Centro de asistencia social;Superficie cubierta;-;
Alhama de Almería;Centro de asistencia social;Superficie aire libre;-;
Alhama de Almería;Centro de asistencia social;Superficie solar;-;
Alhama de Almería;Residencia de ancianos;Nº centros;2;
Alhama de Almería;Residencia de ancianos;Plazas;126;
Alhama de Almería;Residencia de ancianos;Superficie cubierta;7800;
Alhama de Almería;Residencia de ancianos;Superficie aire libre;2650;
Alhama de Almería;Residencia de ancianos;Superficie solar;4920;
Alhama de Almería;Guarderías infantiles;Nº centros;2;
Alhama de Almería;Guarderías infantiles;Plazas;148;
Alhama de Almería;Guarderías infantiles;Superficie cubierta;895;
Alhama de Almería;Guarderías infantiles;Superficie aire libre;148;
Alhama de Almería;Guarderías infantiles;Superficie solar;584;
Alhama de Almería;Albergues municipales;Nº centros;-;
Alhama de Almería;Albergues municipales;Plazas;-;
Alhama de Almería;Albergues municipales;Superficie cubierta;-;
Alhama de Almería;Albergues municipales;Superficie aire libre;-;
Alhama de Almería;Albergues municipales;Superficie solar;-;
Alhama de Almería;Rehabilitación toxicómanos;Nº centros;-;
Alhama de Almería;Rehabilitación toxicómanos;Plazas;-;
Alhama de Almería;Rehabilitación toxicómanos;Superficie cubierta;-;
Alhama de Almería;Rehabilitación toxicómanos;Superficie aire libre;-;
Alhama de Almería;Rehabilitación toxicómanos;Superficie solar;-;
Alhama de Almería;Otros;Nº centros;1;
Alhama de Almería;Otros;Plazas;30;
Alhama de Almería;Otros;Superficie cubierta;185;
Alhama de Almería;Otros;Superficie aire libre;207;
Alhama de Almería;Otros;Superficie solar;392;
Alhama de Almería;TOTAL;Nº centros;5;
Alhama de Almería;TOTAL;Plazas;304;
Alhama de Almería;TOTAL;Superficie cubierta;8880;
Alhama de Almería;TOTAL;Superficie aire libre;3005;
Alhama de Almería;TOTAL;Superficie solar;5896;
Antas;Centro de asistencia social;Nº centros;1;
Antas;Centro de asistencia social;Plazas;65;
Antas;Centro de asistencia social;Superficie cubierta;621;
Antas;Centro de asistencia social;Superficie aire libre;13;
Antas;Centro de asistencia social;Superficie solar;336;
Antas;Residencia de ancianos;Nº centros;-;
Antas;Residencia de ancianos;Plazas;-;
Antas;Residencia de ancianos;Superficie cubierta;-;
Antas;Residencia de ancianos;Superficie aire libre;-;
Antas;Residencia de ancianos;Superficie solar;-;
Antas;Guarderías infantiles;Nº centros;2;
Antas;Guarderías infantiles;Plazas;107;
Antas;Guarderías infantiles;Superficie cubierta;785;
Antas;Guarderías infantiles;Superficie aire libre;438;
Antas;Guarderías infantiles;Superficie solar;1146;
Antas;Albergues municipales;Nº centros;-;
Antas;Albergues municipales;Plazas;-;
Antas;Albergues municipales;Superficie cubierta;-;
Antas;Albergues municipales;Superficie aire libre;-;
Antas;Albergues municipales;Superficie solar;-;
Antas;Rehabilitación toxicómanos;Nº centros;-;
Antas;Rehabilitación toxicómanos;Plazas;-;
Antas;Rehabilitación toxicómanos;Superficie cubierta;-;
Antas;Rehabilitación toxicómanos;Superficie aire libre;-;
Antas;Rehabilitación toxicómanos;Superficie solar;-;
Antas;Otros;Nº centros;-;
Antas;Otros;Plazas;-;
Antas;Otros;Superficie cubierta;-;
Antas;Otros;Superficie aire libre;-;
Antas;Otros;Superficie solar;-;
Antas;TOTAL;Nº centros;3;
Antas;TOTAL;Plazas;172;
Antas;TOTAL;Superficie cubierta;1406;
Antas;TOTAL;Superficie aire libre;451;
Antas;TOTAL;Superficie solar;1482;
Arboleas;Centro de asistencia social;Nº centros;-;
Arboleas;Centro de asistencia social;Plazas;-;
Arboleas;Centro de asistencia social;Superficie cubierta;-;
Arboleas;Centro de asistencia social;Superficie aire libre;-;
Arboleas;Centro de asistencia social;Superficie solar;-;
Arboleas;Residencia de ancianos;Nº centros;-;
Arboleas;Residencia de ancianos;Plazas;-;
Arboleas;Residencia de ancianos;Superficie cubierta;-;
Arboleas;Residencia de ancianos;Superficie aire libre;-;
Arboleas;Residencia de ancianos;Superficie solar;-;
Arboleas;Guarderías infantiles;Nº centros;1;
Arboleas;Guarderías infantiles;Plazas;110;
Arboleas;Guarderías infantiles;Superficie cubierta;415;
Arboleas;Guarderías infantiles;Superficie aire libre;339;
Arboleas;Guarderías infantiles;Superficie solar;782;
Arboleas;Albergues municipales;Nº centros;-;
Arboleas;Albergues municipales;Plazas;-;
Arboleas;Albergues municipales;Superficie cubierta;-;
Arboleas;Albergues municipales;Superficie aire libre;-;
Arboleas;Albergues municipales;Superficie solar;-;
Arboleas;Rehabilitación toxicómanos;Nº centros;-;
Arboleas;Rehabilitación toxicómanos;Plazas;-;
Arboleas;Rehabilitación toxicómanos;Superficie cubierta;-;
Arboleas;Rehabilitación toxicómanos;Superficie aire libre;-;
Arboleas;Rehabilitación toxicómanos;Superficie solar;-;
